rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
336654	1788	Kanauri	ā	ā	still / yet	still / yet			9.1.1		0			
336655	1788	Kanauri	ăchöchā	ăchöchā	oh! / ah!	oh! / ah!	int	int	10.7		0			
336656	1788	Kanauri	acī lāmō	acī lāmō	song	song			5.1		0			
336657	1788	Kanauri	ăcō	ăcō	???	???					0			
336658	1788	Kanauri	adargöṅ	adargöṅ	ginger	ginger	n	n	3.1.5		0			
336659	1788	Kanauri	adă̄ro	adă̄ro	ginger	ginger	n	n	3.1.5		0			
336660	1788	Kanauri	adĕmo	adĕmo	uncomfortable / badly made or put on	uncomfortable / badly made or put on			6.17		0			
336661	1788	Kanauri	ādēs̱ẖös pādēs̱ẖös	ādēs̱ẖös pādēs̱ẖös	neighborhood	neighborhood			9.10.3		0			
336662	1788	Kanauri	adhön	adhön	half	half	adj	adj	9.8		0			
336663	1788	Kanauri	ae	ae	and	and			10.1.2.1		0			
336664	1788	Kanauri	agʻ	agʻ	cave / den	cave / den			3.2.7		0			
336665	1788	Kanauri	āgöth	āgöth	income	income					0			
336666	1788	Kanauri	agrē	agrē	indeed / certainly	indeed / certainly			10.0		0			
336667	1788	Kanauri	aī	aī	other	other	adj	adj	8.1		0			
336668	1788	Kanauri	aīd	aīd	other	other	adj	adj	8.1		0			
336669	1788	Kanauri	aī	aī	grandmother	grandmother			4.7.1		0			
336670	1788	Kanauri	akhā	akhā	pain	pain			1.1.5.1		0			
336671	1788	Kanauri	akhröṅ	akhröṅ	letter of the alphabet	letter of the alphabet			5.1		0			bIndic
336672	1788	Kanauri	alagin	alagin	woman who brings bad luck	woman who brings bad luck			1.9.3		0			
336673	1788	Kanauri	alkōlöṅ	alkōlöṅ	false	false	a	a	9.6.2.1		0			
336674	1788	Kanauri	alkōlöṅ	alkōlöṅ	lie	lie	n	n	8.5.10.4		0			
336675	1788	Kanauri	alkōlöṅ lanmigʻ	alkōlöṅ lanmigʻ	lie / tell a lie	lie / tell a lie	v	v	8.5.10.4		0			
336676	1788	Kanauri	alkōlös	alkōlös	liar	liar	nm	nm	4.2.12.3		0			
336677	1788	Kanauri	alkōlē	alkōlē	liar	liar	nf	nf	4.2.12.3		0			
336678	1788	Kanauri	alṭh	alṭh	trap for leopard	trap for leopard	n	n	5.14		0			
336679	1788	Kanauri	ama	ama	mother / sister of mother	mother / sister of mother			4.7.1		0			
336680	1788	Kanauri	amāts	amāts	sister-in-law of father	sister-in-law of father			10.1.1		0			
336681	1788	Kanauri	amī	amī	enemy	enemy			4.2.6		0			
336682	1788	Kanauri	amjī	amjī	doctor	doctor			4.2.1.5		0			
336683	1788	Kanauri	amöliṅ	amöliṅ	pretense	pretense					0			
336684	1788	Kanauri	amonöṅ	amonöṅ	pear (wild)	pear (wild)			3.1.5		0			
336685	1788	Kanauri	an	an	self (objective case) / myself, etc.	self (objective case) / myself, etc.			4.1		0			
336686	1788	Kanauri	anī	anī	self (objective case) / myself, etc.	self (objective case) / myself, etc.			4.1		0			
336687	1788	Kanauri	aṅ	aṅ	my	my	pron	pron	10.2.3.2		0			
336688	1788	Kanauri	aṅu	aṅu	my	my	pron	pron	10.2.3.2		0			
336689	1788	Kanauri	ancimigʻ	ancimigʻ	rise	rise	v	v	1.1.4		0			
336690	1788	Kanauri	aṇḍō	aṇḍō	dome	dome					0			
336691	1788	Kanauri	aṇe	aṇe	sister of father / sister-in-law of mother	sister of father / sister-in-law of mother			10.1.1		0			
336692	1788	Kanauri	aṇesī	aṇesī	self (nom. case) / myself / yoursefl, etc.	self (nom. case) / myself / yoursefl, etc.	pron	pron	4.1		0			
336693	1788	Kanauri	ăṅgī	ăṅgī	counting up to a hundred	counting up to a hundred	n	n	6.2		0			
336694	1788	Kanauri	aṅ◦kōʻ	aṅkōʻ	in my direction / towards me	in my direction / towards me	adv	adv	9.2.8		0			2530,m
336695	1788	Kanauri	annē	annē	anna (=one penny)	anna (=one penny)	n	n	5.9		0			
336696	1788	Kanauri	aṇöṅ	aṇöṅ	corn / grain	corn / grain			3.1.4		0			
336697	1788	Kanauri	ănu	ănu	own	own	pron	pron	6.19		0			
336698	1788	Kanauri	aṇĕgānŭ	aṇĕgānŭ	own (pl. masc.)	own (pl. masc.)	pron	pron	6.19		0			
336699	1788	Kanauri	aṇĕwānŭ	aṇĕwānŭ	own (pl. fem.)	own (pl. fem.)	pron	pron	6.19		0			
336700	1788	Kanauri	anyāröṅ	anyāröṅ	darkness	darkness	n	n	9.4		0			
336701	1788	Kanauri	anyāröṅ	anyāröṅ	dark / darkness	dark / darkness	adj	adj	9.4		0			
336702	1788	Kanauri	anyārös	anyārös	dark	dark	adj	adj	9.4		0			
336703	1788	Kanauri	apa	apa	father	father	n	n	4.7.1		0			
336704	1788	Kanauri	apa tĕtē	apa tĕtē	forefathers	forefathers					0			
336705	1788	Kanauri	apats	apats	brother of father	brother of father			1.5.3.2		0			
336706	1788	Kanauri	apī	apī	grandmother (maternal) / midwife	grandmother (maternal) / midwife			4.7.1		0			
336707	1788	Kanauri	ārĕāmigʻ	ārĕāmigʻ	call	call	v	v	8.5.13		0			
336708	1788	Kanauri	argā	argā	string of bells on horse	string of bells on horse			5.1		0			w
336709	1788	Kanauri	armigʻ	armigʻ	warm	warm	vt	vt	7.1.2.3		0			
336710	1788	Kanauri	arpyāmigʻ	arpyāmigʻ	keep / preserve	keep / preserve	v	v	6.18		0			
336711	1788	Kanauri	ars̱ẖimigʻ	ars̱ẖimigʻ	warm oneself at fire or in sun	warm oneself at fire or in sun	v	v	7.1.2.3		0			
336712	1788	Kanauri	ăsbāb	ăsbāb	goods / luggage	goods / luggage			5.11		0			
336713	1788	Kanauri	ās̱ẖā	ās̱ẖā	hope	hope	n	n	8.3.1.7.1		0			
336714	1788	Kanauri	ās̱ẖāṅ	ās̱ẖāṅ	barren (land)	barren (land)	adj	adj	1.9.6.2		0			
336715	1788	Kanauri	ās̱ẖāröṅ	ās̱ẖāröṅ	month June-July	month June-July			9.1.2		0			
336716	1788	Kanauri	ās̱ẖiṅ	ās̱ẖiṅ	fuel (bad)	fuel (bad)			3.2.4		0			
336717	1788	Kanauri	as̱ẖuts	as̱ẖuts	mirror	mirror	n	n	5.11.8.3		0			
336718	1788	Kanauri	āsöṅ ū	āsöṅ ū	geranium (wild) / columbine	geranium (wild) / columbine			3.2.5		0			
336719	1788	Kanauri	āsyāmigʻ	āsyāmigʻ	endure	endure	v	v	6.2		0			
336720	1788	Kanauri	aṭĕāmigʻ	aṭĕāmigʻ	bury	bury	vt	vt	6.11		0			
336721	1788	Kanauri	aṭhal	aṭhal	plant whose berries are used as soap	plant whose berries are used as soap			10.0		0			
336722	1788	Kanauri	atiṅ	atiṅ	rites for the dead	rites for the dead			10.0		0			
336723	1788	Kanauri	atiṅ lanmigʻ	atiṅ lanmigʻ	perform the rites for the dead	perform the rites for the dead			10.0		0			
336724	1788	Kanauri	aū	aū	call	call	n	n	8.5.13		0			
336725	1788	Kanauri	aū tshārĕāmigʻ	aū tshārĕāmigʻ	proclaim	proclaim	v	v			0			
336726	1788	Kanauri	aya lai	aya lai	oh!	oh!	int	int	10.7		0			
336727	1788	Kanauri	ayānöṅ	ayānöṅ	infant	infant			4.2.11		0			
336728	1788	Kanauri	ayo	ayo	alas! / oh!	alas! / oh!	int	int	10.7		0			
336729	1788	Kanauri	ayō	ayō	grandmother / great grandmother	grandmother / great grandmother			4.7.1		0			
336730	1788	Kanauri	aẕẖ	aẕẖ	goat (male)	goat (male)			2.1.8		0			
336731	1788	Kanauri	băcĕnmigʻ	băcĕnmigʻ	escape	escape	v	v	6.7.2		0			
336732	1788	Kanauri	bădārī	bădārī	storekeeper (i.e., watchman)	storekeeper (i.e., watchman)			1.2.6.9		0			
336733	1788	Kanauri	bădārnī	bădārnī	wife, etc. of storekeeper	wife, etc. of storekeeper			4.7.4		0			
336734	1788	Kanauri	bādrön	bādrön	month August-September	month August-September			9.1.2		0			
336735	1788	Kanauri	bagʻ	bagʻ	mask	mask	n	n	5.8		0			
336736	1788	Kanauri	bāg	bāg	fortune / fate	fortune / fate			5.8.1.3		0			
336737	1788	Kanauri	băgār	băgār	labor forced but paid	labor forced but paid			6.1.1		0			
336738	1788	Kanauri	bāgarĕa	bāgarĕa	man with double teeth (one behind the other)	man with double teeth (one behind the other)			9.9		0			
336739	1788	Kanauri	bāgarē	bāgarē	woman with double teeth (one behind the other)	woman with double teeth (one behind the other)			9.9		0			
336740	1788	Kanauri	bāgē	bāgē	last	last	adj	adj	9.9		0			
336741	1788	Kanauri	bagits	bagits	thin	thin	adj	adj	9.7.2		0			
336742	1788	Kanauri	baglī	baglī	share / part	share / part	n	n	6.10.4		0			
336743	1788	Kanauri	Băgwān	Băgwān	God	God			5.8.1.1		0			bIndic
336744	1788	Kanauri	Băgwānŭ dāʻɔ̆rzlanmigʻ	Băgwānŭ dāʻɔ̆rzlanmigʻ	pray to God	pray to God	v	v	5.8.3.1		0			bIndic
336745	1788	Kanauri	bagyālös	bagyālös	person who in anger has separated himself from his	person who in anger has separated himself from his			10.1.1		0			
336746	1788	Kanauri	baī	baī	brother (younger)	brother (younger)			1.5.3.2		0			
336747	1788	Kanauri	baīts	baīts	brother (younger)	brother (younger)			1.5.3.2		0			
336748	1788	Kanauri	băjē̆āmigʻ	băjē̆āmigʻ	play (music)	play (music)	vt	vt	6.1.1.3		0			
336749	1788	Kanauri	bajöṅ	bajöṅ	belt (leather)	belt (leather)	n	n	5.11.8.2.1.3		0			
336750	1788	Kanauri	bakhör	bakhör	goat (female)	goat (female)			2.1.8		0			
336751	1788	Kanauri	bakhös	bakhös	fat	fat	adj	adj	1.6.4		0			
336752	1788	Kanauri	baklös	baklös	thick	thick	adj	adj	9.7.2		0			
336753	1788	Kanauri	bakṭūts	bakṭūts	kid (male)	kid (male)			2.1.8		0			
336754	1788	Kanauri	băl(h)	băl(h)	head / summit / mountain-peak	head / summit / mountain-peak			1.2.1		0			1241
336755	1788	Kanauri	bălbăl shō	bălbăl shō	strawberry (wild)	strawberry (wild)			3.1.5		0			
336756	1788	Kanauri	bāliṅ	bāliṅ	sand	sand	n	n	3.2.11		0			
336757	1788	Kanauri	bălmȭṭh	bălmȭṭh	plant (small, with sweet-smelling root)	plant (small, with sweet-smelling root)			3.1.10		0			
336758	1788	Kanauri	bălts	bălts	head (diminutive)	head (diminutive)	n	n	1.2.1		0			
336760	1788	Kanauri	balū	balū	nose-ring	nose-ring			1.2.8		0			
336761	1788	Kanauri	bām	bām	drum (large)	drum (large)			5.1		0			
336762	1788	Kanauri	bam◦migʻ	bammigʻ	defeated / lose	defeated / lose	v	v	6.5		0			2149,m
336763	1788	Kanauri	bampī	bampī	bladder	bladder	n	n	1.7.8		0			
336764	1788	Kanauri	bamsutröṅ	bamsutröṅ	ulcer	ulcer			1.8.6.2		0			
336765	1788	Kanauri	ban	ban	oak / Quercus incana	oak / Quercus incana			3.1.1		0			
336766	1788	Kanauri	baṅ	baṅ	foot / paw / leg / leg of bed	foot / paw / leg / leg of bed			1.5.7		0			
336767	1788	Kanauri	baṅ sabʻ	baṅ sabʻ	sock / stocking (woolen)	sock / stocking (woolen)			1.6.1.3		0			
336768	1788	Kanauri	baṅa ḍen sarmigʻ	baṅa ḍen sarmigʻ	rear (of a horse's rearing)	rear (of a horseÕs rearing)	v	v	1.1.2		0			
336769	1788	Kanauri	s̱ẖol baṅ	s̱ẖol baṅ	leg straight out in sitting	leg straight out in sitting			1.5.7		0			
336770	1788	Kanauri	s̱ẖol baṅ s̱ẖĕnnigʻ	s̱ẖol baṅ s̱ẖĕnnigʻ	sit with legs straight out	sit with legs straight out	v	v	6.1.1.4.1		0			
336771	1788	Kanauri	banārös	banārös	miser	miser	n	n			0			
336772	1788	Kanauri	banārē	banārē	miser	miser	nf	nf			0			
336773	1788	Kanauri	band lanmigʻ	band lanmigʻ	abolish / stop	abolish / stop	v	v	6.9		0			
336774	1788	Kanauri	bandărös	bandărös	monkey	monkey	n	n	2.1.9		0			b
336775	1788	Kanauri	bandrăṇigʻ	bandrăṇigʻ	monkey	monkey	nf	nf	2.1.9		0			b
336776	1788	Kanauri	baṇdie	baṇdie	barren (woman)	barren (woman)	adj	adj	1.9.6.2		0			
336777	1788	Kanauri	bāṇdō	bāṇdō	servant	servant	n	n	4.2.10		0			
336778	1788	Kanauri	băndŭā	băndŭā	prisoner / captive	prisoner / captive			5.11.9.1		0			
336779	1788	Kanauri	bāṇĕāmigʻ	bāṇĕāmigʻ	cross (river)	cross (river)	vt	vt	6.7.10		0			
336780	1788	Kanauri	baṇiā	baṇiā	shopkeeper	shopkeeper			9.10.6		0			
336781	1788	Kanauri	baṇiṅ	baṇiṅ	vessel	vessel			5.1		0			
336782	1788	Kanauri	bannigʻ (-do)	bannigʻ (-do)	boiled (of food)	boiled (of food)	v	v	6.6		0			
