rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
306997	1771	Belhare	thotma	thotma	stiff	stiff			7.1.5.1		0			
306998	1771	Belhare	suma	suma	itch	itch			1.6.5.5		0			
306999	1771	Belhare	papma	papma	tangled	tangled			7.1.5.1		0			
307000	1771	Belhare	munma	munma	forget	forget			8.3.1.16.1		0			
307001	1771	Belhare	tima	tima	pleased	pleased			8.3.1.1.1		0			
307002	1771	Belhare	na◦ri	nari	nose	nose			1.2.8		0			803,m
307003	1771	Belhare	hap◦ma	hapma	cry	cry			1.8.8.2		0			1103,m
307004	1771	Belhare	niũa	niũa	mind	mind			1.10		0			
307007	1771	Belhare	sakmari	sakmari	neck	neck			1.4.2		0			
307008	1771	Belhare	rima	rima	spin	to spin	v		6.7.6		0	dwb20		
307009	1771	Belhare	niŋ	niŋ	name, personality	name, personality			5.8		0			2450
307010	1771	Belhare	thona	thona	decency, (social) wisdom, well-behaviour	decency, (social) wisdom, well-behaviour			9.6.1.1		0			
307011	1771	Belhare	mik	mik	eye	eye			1.2.6		0			682
307012	1771	Belhare	tonma	tonma	aroused	aroused			1.1.4		0			
307013	1771	Belhare	li	li	penis	penis					0			1284
307014	1771	Belhare	si	si	vagina	vagina					0			
307015	1771	Belhare	tukma	tukma	hurt	hurt			1.1.5.1		0			
307016	1771	Belhare	sua	sua	muscles [only in poss. of experience constructions	muscles [only in poss. of experience constructions			10.1.1		0			
307019	1771	Belhare	taŋ◦ghek	taŋghek	head	head			1.2.1		0			371,m
307020	1771	Belhare	yam	yam	body [only in poss. of experience constructions]	body [only in poss. of experience constructions]			10.1.1		0			
307021	1771	Belhare	tama	tama	activated	activated					0			
307022	1771	Belhare	dʌsa	dʌsa	bad luck	bad luck			9.6.2.1		0			
307023	1771	Belhare	sak◦ma	sak◦ma	breath	breath			1.1.2.2		0			32,s
307024	1771	Belhare	pama	pama	grow	grow			9.7.2		0			
307025	1771	Belhare	honma	honma	perceptible	perceptible					0			
307026	1771	Belhare	hak◦liũa	hak◦liũa	sweat	sweat			1.8.1		0			
307027	1771	Belhare	khakmarak	khakmarak	mucus	mucus			1.8.2		0			
307028	1771	Belhare	chep◦ma	chepma	urine	urine			1.8.4		0			650,m
307029	1771	Belhare	hi	hi	shit	shit (n.)	n		1.8.5		0	dwb33		
307030	1771	Belhare	la◦lik	la◦lik	semen, sperm	semen, sperm					0			1614,1286
307031	1771	Belhare	miʔwa	miʔwa	tears	tears			1.2.6.7		0			
307032	1771	Belhare	khawa	khawa	wound	wound			1.8.6.2		0		D1	
307033	1771	Belhare	chiat	chiat	spit	spit (n.)	n		1.8.3		0	dwb33		
307034	1771	Belhare	bʌl	bʌl	power	power			1.1.5		0			
307035	1771	Belhare	remsumik	remsumik	envy	envy (n.)	n		8.3.2.6.2		0	dwb33		
307036	1771	Belhare	katma	katma	positively activated	positively activated					0			
307037	1771	Belhare	hikikpa	hikikpa	hickup	hickup (n.)	n				0	dwb33		
307038	1771	Belhare	gauppa	gauppa	burp	burp (n.)	n		1.8.3		0	dwb33		
307039	1771	Belhare	ha◦gam◦ba	hagamba	yawn	yawn (n.)	n		1.3.1.3		0	dwb33		
307040	1771	Belhare	hakchiũa	hakchiũa	sneeze	sneeze (n.)	n		1.8.2.1		0	dwb33		
307041	1771	Belhare	cipma	cipma	detest	detest (n.)	n		8.3.1.1.2		0	dwb33		
307042	1771	Belhare	kipma	kipma	fear	fear (n.)	n		8.3.1.10.1		0	dwb33		
307043	1771	Belhare	suma	suma	weary, tiredness (n.)	weary, tiredness (n.)			8.3.1.11.2		0			
307044	1771	Belhare	pepma	pepma	nausea	nausea					0			
307045	1771	Belhare	rek	rek	anger	anger			1.5.3.2		0			
307046	1771	Belhare	ris	ris	anger	anger			1.5.3.2		0			
307047	1771	Belhare	lamma	lamma	appetite	appetite			1.1.3		0			
307048	1771	Belhare	ŋoĩsima	ŋoĩsima	shame	shame (n.)	n		8.3.3.8.2		0	dwb33		
307049	1771	Belhare	man	man	honour [of deities / ancestors]	honour [of deities / ancestors]			10.1.1		0			
307050	1771	Belhare	luma	luma	perceptible	perceptible					0			
307051	1771	Belhare	waepma	waepma	thirst	thirst			1.1.3.1		0			
307052	1771	Belhare	sak	sak	hunger	hunger			1.1.3		0			1824
307053	1771	Belhare	pokma	pokma	rise	rise			1.1.4		0			
307054	1771	Belhare	chom	chom	desire	desire (n.)	n		8.3.1.14.3		0	dwb33		
307055	1771	Belhare	lama	lama	return	return			6.2.2.1		0			
307056	1771	Belhare	cik	cik	detest (n., archaic)	detest (n., archaic)			8.3.1.1.2		0			
307057	1771	Belhare	limma	limma	taste sensitive, able to taste	taste sensitive, able to taste			1.3.5.8		0			
307058	1771	Belhare	mun	mun	mouth	mouth			1.3.1		0			
307059	1771	Belhare	simma	simma	paresthetic, tingle	paresthetic, tingle			8.4		0			
307061	1771	Belhare	muk	muk	hand, arm	hand, arm			1.5.1.1		0			769
307062	1771	Belhare	thomma	thomma	distended	distended			1.1.5.2		0			
307063	1771	Belhare	phok	phok	belly	belly			1.4.7		0		D1	
307064	1771	Belhare	iŋalamma	iŋalamma	appetite for beer	appetite for beer			1.1.3		0			
307065	1771	Belhare	sa◦lamma	salamma	appetite for meat	appetite for meat			1.1.3		0			34,m
307066	1771	Belhare	laŋ	laŋ	leg, foot	leg, foot			1.5.7		0		D1	3580
307067	1771	Belhare	muk	muk	arm, hand	arm, hand			1.5.1.2		0		D1	769
307068	1771	Belhare	phipma	phipma	fart	fart			1.8.5.2		0			
307069	1771	Belhare	uŋma	uŋma	come down	to come down	v		6.7.1		0	dwb20		
307070	1771	Belhare	retma	retma	laughter	laughter (n.)	n		1.8.8.1		0	dwb33		
307071	1771	Belhare	yama	yama	pity	pity (v.)	v		8.3.2.3.2		0	dwb21		
307072	1771	Belhare	yokma	yokma	embarrassment, fear, shameful joy	embarrassment, fear (n.), shameful joy	n		8.3.1.5.1		0	dwb34		
