rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
120102	641	Hayu	a		his, its, him, it		pron po				0			
120104	641	Hayu	ãːki		our (PI), us (PI)		pron po				0			
120105	641	Hayu	aŋ		my, me		pron po				0			2530
120107	641	Hayu	aŋ		heat, scald (esp. milk)		vt				0			
120108	641	Hayu	aŋtshe		our (DE), us (DE)		pron po				0			
120109	641	Hayu	atshe		their, them		pron po				0			
120110	641	Hayu	atikhen		from over there		adv				0			
120111	641	Hayu	atim		there, that way (away from speaker)		adv				0			
120114	641	Hayu	ani		up, above		adv loc				0			
120115	641	Hayu	ani		above		pp				0			
120116	641	Hayu	ami		their, them		pron po				0			
120117	641	Hayu	i		this, he, etc.		dem				0			5807,m
120118	641	Hayu	i		nearby, here		adj				0			5807,m
120127	641	Hayu	isore		clan name		pn			84.235	0			
120128	641	Hayu	ɩŋ		pour (e.g. into a cup), to serve		vt, vtt			84.74	0			
120129	641	Hayu	ɩt		say, say sth. to so. (obj.)		vtt, vr			84.74	0			
120130	641	Hayu	ɩm		sleep		vi, vr			84.74	0			127
120132	641	Hayu	ɩ̃ː◦pi		sleep		n			84.74	0			127,m
120136	641	Hayu	ũːki		our (PI), us (PI)		pron po			84.74	0			
120137	641	Hayu	ukuti		current (of water)		n			84.74	0			
120138	641	Hayu	uk		lift, pry up, pull up		vt			84.74	0			
120139	641	Hayu	uŋ		your , you		pron po			84.74	0			
120140	641	Hayu	uŋtshe		our (DI), us (DI)		pron po			84.74	0			
120141	641	Hayu	ut		pull off skin or bark		vtt			84.74	0			
120142	641	Hayu	ʊ̃ːti		cloudy (of water)		adj			84.74	0			
120144	641	Hayu	uti		below		pp			84.74	0			
120146	641	Hayu	utimtso		lower		n			84.74	0			
120147	641	Hayu	uni		your , you (PL)		pron po			84.74	0			
120148	641	Hayu	up		wash (of body parts)		vt, vtt			84.74	0			
120149	641	Hayu	uxpʊ		father		n			84.74	0			
120150	641	Hayu	uboŋ		ahead, in front, before		adv			84.74	0			
120151	641	Hayu	um		smoke out, cremate		vtt			84.74	0			
120152	641	Hayu	umu		mother		n			84.74	0			
120153	641	Hayu	umbe		now		adv			84.74	0			
120155	641	Hayu	umum-he		later, in a minute		adv			84.33	0			
120156	641	Hayu	ʊ		raise to maturity; mature		vtt, vr			84.33	0			
120157	641	Hayu	ʊːtsho		civet cat		n			84.33	0			
120158	641	Hayu	ʊt		meet, find		vtt			84.33	0			
120159	641	Hayu	ʊː◦ri		dog		n			84.33	0			m,1764
120161	641	Hayu	ʊlawo		big, huge		adj			84.33	0			
120162	641	Hayu	e		manner of going out of sight		adv			84.33	0			
120163	641	Hayu	ek◦pu◦ti		brain		n			84.33	0			m,252,m
120164	641	Hayu	ẽːgo		manner of holding sth. up in the hands		adv			84.229	0			
120165	641	Hayu	ereru		lower back, coccyx, buttocks		n			84.229	0			
120166	641	Hayu	ex◦pi		excrement		n			84.229	0			576,575
120169	641	Hayu	ok		crow, cry (of animal)		vi			84.229	0			
120170	641	Hayu	õːkaŋ		soot		n			84.181	0			
120171	641	Hayu	oksaŋ(-mʊ)		light (in weight)		adj			84.181	0			
120172	641	Hayu	õː◦ga		pus		n			84.181	0			1298,m
120173	641	Hayu	on		strong, able		be v.			84.181	0			
120174	641	Hayu	on		rot (of wood or rock)		v + la			84.83	0			
120175	641	Hayu	op		shoot, shoot or throw at sth.		vt			84.83	0			
120176	641	Hayu	ohonde		hoeing song		n			84.83	0			
120177	641	Hayu	oxpi		soft, tender		adj			84.109, 84	0			
120179	641	Hayu	kak		shine (of sun)		vi			84.109, 84	0			
120180	641	Hayu	kak-mʊ		like [with certain adjectives]		pp (?)			84.109, 84	0			
120181	641	Hayu	kaktsila		tomato		n			84.109, 84	0			
120182	641	Hayu	kaŋatum-ha		manner of being stone dead		adv			84.109, 84	0			
120183	641	Hayu	kaŋkaŋ-mʊ		standing, vertical		adj			84.109, 84	0			
120184	641	Hayu	kaŋkhep		with one leg raised or stretched out		adv			84.109, 84	0			
120186	641	Hayu	kaŋdzaŋ		dance, performed in a line, the participants front to back		adj + n			84.109, 84	0			
120187	641	Hayu	kaŋdzel		manner of carrying sth. hanging from the shoulder		adv			84.109, 84	0			
120188	641	Hayu	kaŋtoŋ		tree whose fruits are used to poison fish		n v.			84.109, 84	0			
120189	641	Hayu	kaːtso		friend, bond friend		n			84.109, 84	0			
120191	641	Hayu	kanakorde		plant, Boehmeria platyphylla		n			84.109, 84	0			
120192	641	Hayu	kananaŋ		biting fly, mosquito		n			84.109, 84	0			
120193	641	Hayu	kaʔmara		spider		n			84.109, 84	0			
120194	641	Hayu	kamalextso		clan name		pn			84.109, 84	0			
120195	641	Hayu	kaːmʊ		door		n			84.109, 84	0			
120196	641	Hayu	kaːraŋ		mushroom		n			84.109, 84	0			
120197	641	Hayu	kaxtʊ		walnut		n			84.109, 84	0			
120198	641	Hayu	ki		oil		n			84.109, 84	0			
120199	641	Hayu	kik		put on, wear (a waistband)		vt, vtt			84.109, 84	0			
120200	641	Hayu	kik		waistband, belt, loincloth		n			84.109, 84	0			
120201	641	Hayu	kitsum buptsu		esp. d'herbe		n			84.109, 84	0			
120202	641	Hayu	kin		hide		vr			84.109, 84	0			
120203	641	Hayu	kiːlaŋ		dust, dirt		n			84.198	0			
120204	641	Hayu	kixki		grandfather		n			84.198	0			
120206	641	Hayu	kɩ		scratch; scrape (e.g. the inside of a pot)		vt, vtt			84.198	0			
120207	641	Hayu	kɩ̃ːki		alive, awake		adj			84.198	0			
120208	641	Hayu	kɩn		try; about to do sth.		vtt (au			84.198	0			
120210	641	Hayu	ku		carry in the hand or under the arm		vt, vtt			84.198	0			
120211	641	Hayu	kuk		roll up (e.g. thread)		vt			84.198	0			
120212	641	Hayu	kukuyu		aunt (maternal uncle's wife)		n			84.198	0			
120213	641	Hayu	kukusom		body hair		n			84.198	0			
120214	641	Hayu	kuk◦tsho		skin, bark, husk, peel		n			84.198	0			586,m
120215	641	Hayu	kuk◦di-waʔ◦mi		gekko, house lizard		n			84.198	0			6105,m,m,m
120216	641	Hayu	kuk◦lɩŋ		lizard		n df.			84.198	0			6105,m
120217	641	Hayu	kuŋkuŋ		dark, darkness		adj			84.198	0			
120218	641	Hayu	kuŋgoʔ		manner of lifting sth. heavy		adv			84.229	0			
120219	641	Hayu	kuŋ◦luŋ		egg		n			84.229	0			305,m
120220	641	Hayu	kuŋsit		bend / bow while bending		adv ?			84.229	0			
120222	641	Hayu	kut		wash in water, rinse		vtt, vr			84.229	0			
120223	641	Hayu	kutukutu		eat one at a time		adv			84.229	0			
120224	641	Hayu	kuder		tree		n df.			84.229	0			
120225	641	Hayu	kumtsiŋ		lip		n			84.244	0			
120226	641	Hayu	kumdzʊŋ		wind		n			84.144	0			
120227	641	Hayu	kurum-kurum		manner of chewing		adv			84.184	0			
