rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
142677	111	*BSDTK	ciŋ	ciŋ	back	back			1.4.8	1	0			223
142678	643	Hayu	sɪːM◦tɪ	sɪːM◦tɪ	back	back			1.4.8	1	0			223,1243
142679	307	Bahing	tsiŋ	tsiŋ	back	back			1.4.8	1	0			223
142680	1435	Sunwar	ciː	ciː	back	back			1.4.8	1	0			223
142681	544	Dumi	tsɨm◦rɨ	tsɨm◦rɨ	backbone	backbone			1.4.8.2	1	0	jbl5	HIDE	DUPE IN SOURCE
142682	1542	Thulung	cəŋ	cəŋ	back	back			1.4.8	1	0			208
142683	754	Khaling	cham◦ru	cham◦ru	backbone / spine; upper back	backbone / spine; upper back			1.4.8.2	1	0	jbl5	HIDE	DUPE IN SOURCE
142684	821	Kulung	ci◦rə	ci◦rə	backbone	backbone			1.4.8.2	1	0	jbl5	HIDE	DUPE IN SOURCE
142687	544	Dumi	tsɨm◦rɨ	tsɨm◦rɨ	backbone	backbone			1.4.8.2	2	0	jbl5	HIDE	DUPE IN SOURCE
142688	754	Khaling	cham◦ru	cham◦ru	backbone	backbone			1.4.8.2	2	0			m,232
142689	821	Kulung	ci◦rə	ci◦rə	backbone	backbone			1.4.8.2	2	0	jbl5	HIDE	DUPE IN SOURCE
142691	307	Bahing	koːdza	koːdza	belly	belly			1.4.7	3	0			m
142692	1435	Sunwar	koːj	koːj	belly	belly			1.4.7	3	0			m
142693	1542	Thulung	goːjiu	goːjiu	belly	belly			1.4.7	3	0			m
142694	424	Chamling	khori	khori	belly	belly			1.4.7	3	0			m
142695	424	Chamling	kui	kui	stomach	stomach			1.7.6	3	0			2125
142696	129	*Kiranti	ko	ko	belly	belly			1.4.7	3	0			m
142697	544	Dumi	mu◦pu	mu◦pu	belly	belly			1.4.7	4	0	jbl5	HIDE	DUPE IN SOURCE
142698	754	Khaling	mu◦phu	mu◦phu	belly	belly			1.4.7	4	0	jbl5	HIDE	DUPE IN SOURCE
142699	821	Kulung	bo	bo	belly	belly			1.4.7	4	0			2103
142700	323	Bantawa	buk	buk	belly	belly			1.4.7	4	0			164
142701	912	Limbu	sap◦poːk	sap◦poːk	belly	belly			1.4.7	4	0			m,164
142702	176	*Tibeto-Burman	puːk-~buk	puːk-*̃buk	belly	belly			1.4.7	4	0			164,164
142704	129	*Kiranti	puk	puk	belly	belly			1.4.7	4	0			164
142705	544	Dumi	mu◦pu	mu◦pu	belly	belly			1.4.7	5	0		D1	m,2103
142706	754	Khaling	mu◦phu	mu◦phu	belly	belly			1.4.7	5	0		D1	m,2103
142708	307	Bahing	bombo	bombo	thumb	thumb			1.5.6.1	6	0			
142709	1542	Thulung	bomla	bomla	thumb	thumb			1.5.6.1	6	0			
