rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
488002	1978	Phom	pʰom⁵⁵	pʰom⁵⁵	cloud	cloud		3.2.1		0		
488003	1978	Phom	bɛ⁵⁵di³¹ʒuk⁵⁵	bɛ⁵⁵di³¹ʒuk⁵⁵	earthquake	earthquake		3.2.6		0		
488004	1978	Phom	ñaɯ³³	ñaɯ³³	fog / mist	fog / mist		3.2.1		0		
488005	1978	Phom	gɛ³³laŋ³³	gɛ³³laŋ³³	lightning	lightning		3.2.1		0		
488006	1978	Phom	len³¹ñɯ³³	len³¹ñɯ³³	moon ('month'+'mother')	moon ('month'+'mother')		3.2.2		0		3579,1621
488007	1978	Phom	ʒaŋ⁵⁵	ʒaŋ⁵⁵	rain	rain		3.2.1		0		3571
488008	1978	Phom	pʰom⁵⁵ʃaŋ³³	pʰom⁵⁵ʃaŋ³³	sky	sky		3.2.2		0		
488009	1978	Phom	ʃʌ⁵⁵	ʃʌ⁵⁵	snow	snow		3.2.1		0		
488010	1978	Phom	lit³³hæ³³	lit³³hæ³³	star	star		3.2.2		0		3579,m
488011	1978	Phom	ʒaŋ⁵⁵he⁵⁵	ʒaŋ⁵⁵he⁵⁵	sun	sun		3.2.10		0		
488012	1978	Phom	ʒaŋ⁵⁵muk³³	ʒaŋ⁵⁵muk³³	thunder	thunder		3.2.1		0		m,2465
488013	1978	Phom	ʒaŋ⁵⁵lɯk³³	ʒaŋ⁵⁵lɯk³³	wind (air)	wind (air)		3.2.1		0		
488014	1978	Phom	pʰiʔ³³læ³¹	pʰiʔ³³læ³¹	dust ('sand'+?)	dust ('sand'+?)		3.2.11		0		
488015	1978	Phom	gaʔ◦dɔk³³	gaʔdɔk³³	earth / soil	earth / soil		3.2.11		0		2284,m
488016	1978	Phom	ʃam⁵⁵yoŋ⁵⁵	ʃam⁵⁵yoŋ⁵⁵	lake ('house'+'water')	lake ('house'+'water')		3.2.5		0		1612,7197
488017	1978	Phom	gæʔ³³ʃaŋ³³	gæʔ³³ʃaŋ³³	mountain	mountain		3.2.5		0		
488018	1978	Phom	ñaɯ⁵⁵hot⁵⁵	ñaɯ⁵⁵hot⁵⁵	mud	mud		3.2.11		0		
488019	1978	Phom	pʰi³³yoŋ⁵⁵	pʰi³³yoŋ⁵⁵	puddle	puddle		3.2.3		0		
488020	1978	Phom	yoŋ⁵⁵ñɯ³³	yoŋ⁵⁵ñɯ³³	river (large)	river (large)		3.2.3		0		7770?,1621
488021	1978	Phom	yoŋ⁵⁵yɛn³¹	yoŋ⁵⁵yɛn³¹	river (small)	river (small)		3.2.3		0		7770?,m
488022	1978	Phom	ʃɯ³¹	ʃɯ³¹	saline spring	saline spring		6.7.9		0		
488023	1978	Phom	pʰiʔ³³	pʰiʔ³³	sand	sand		3.2.11		0		
488024	1978	Phom	yoŋ⁵⁵čɯŋ³³	yoŋ⁵⁵čɯŋ³³	sea / ocean	sea / ocean		3.2.3		0		
488025	1978	Phom	yoŋ⁵⁵lok³³	yoŋ⁵⁵lok³³	spring (for water)	spring (for water)		6.7.9		0		7197,m
488026	1978	Phom	yɔŋ³³	yɔŋ³³	stone	stone		3.2.9		0		1269
488027	1978	Phom	gæʔ³³či⁵⁵	gæʔ³³či⁵⁵	valley	valley		3.2.5		0		
488028	1978	Phom	yoŋ⁵⁵	yoŋ⁵⁵	water	water		3.2.3		0		7197
488029	1978	Phom	yoŋ⁵⁵lɔŋ³¹	yoŋ⁵⁵lɔŋ³¹	waterfall	waterfall		3.2.3		0		
488030	1978	Phom	yam³¹hi³³mæk⁵⁵	yam³¹hi³³mæk⁵⁵	animal	animal		2.3		0		6093,m,m
488031	1978	Phom	ʃʌk⁵⁵	ʃʌk⁵⁵	buffalo (of the plains)	buffalo (of the plains)		2.1.2		0		
488032	1978	Phom	ot³¹	ot³¹	camel	camel		2.2.7		0		5733?,b
488033	1978	Phom	mæ⁵⁵ʃi⁵⁵	mæ⁵⁵ʃi⁵⁵	cat	cat		2.1.3		0		
488034	1978	Phom	mo³³hoʔ³³	mo³³hoʔ³³	cattle / cow / ox	cattle / cow / ox		2.1.2		0		b
488035	1978	Phom	ʃi³³	ʃi³³	dog	dog		2.1.11		0		1764
488036	1978	Phom	yom⁵⁵	yom⁵⁵	goat	goat		2.1.8		0		6028
488037	1978	Phom	gɔ⁵⁵yʌy⁵⁵	gɔ⁵⁵yʌy⁵⁵	horse	horse		2.1.7		0		
488038	1978	Phom	ñæ³¹	ñæ³¹	mithun (water buffalo)	mithun (water buffalo)		2.1.2		0		2538
488039	1978	Phom	ok⁵⁵	ok⁵⁵	pig	pig		2.1.12		0		1006
488040	1978	Phom	mi⁵⁵	mi⁵⁵	sheep	sheep		2.1.8		0		4769
488041	1978	Phom	ap³³bak³³	ap³³bak³³	bat (animal)	bat (animal)		2.2.4.1		0		m,2146
488042	1978	Phom	ʃap³³daw⁵⁵	ʃap³³daw⁵⁵	bear	bear		2.2.3		0		
488043	1978	Phom	mʌy³¹ʃi³¹	mʌy³¹ʃi³¹	deer (barking)	deer (barking)		2.2.2		0		39,m
488044	1978	Phom	ʃɔk³³	ʃɔk³³	deer (big horned)	deer (big horned)		2.2.2		0		
488045	1978	Phom	mʌy³¹ñɯ³³	mʌy³¹ñɯ³³	elephant	elephant		2.2.1		0		2257,1621
488046	1978	Phom	hu⁵⁵lu³³	hu⁵⁵lu³³	gibbon (black)	gibbon (black)		2.1.9		0		
488047	1978	Phom	ʃi³³ŋæ⁵⁵	ʃi³³ŋæ⁵⁵	gibbon (brown)	gibbon (brown)		2.1.9		0		
488048	1978	Phom	mæ³¹hu³¹	mæ³¹hu³¹	jackal / fox	jackal / fox		2.1.11		0		999R
488049	1978	Phom	ʒɯ³¹	ʒɯ³¹	mole	mole		2.2.7		0		
488050	1978	Phom	hap³³	hap³³	monkey (long-tailed langur)	monkey (long-tailed langur)		2.1.9		0		
488051	1978	Phom	mʌy³¹ʃæŋ⁵⁵	mʌy³¹ʃæŋ⁵⁵	monkey (macaque)	monkey (macaque)		2.1.9		0		39,m
488052	1978	Phom	mʌy³¹yaʔ³³	mʌy³¹yaʔ³³	mountain goat	mountain goat		3.2.5		0		m,6032
488053	1978	Phom	yʌ³³pʰʌʔ³³oŋ⁵⁵	yʌ³³pʰʌʔ³³oŋ⁵⁵	rabbit	rabbit		2.1.1		0		
488054	1978	Phom	yɯp³³hɯʔ³³	yɯp³³hɯʔ³³	rat	rat		2.1.1		0		2796,m
488055	1978	Phom	goŋ⁵⁵aw⁵⁵	goŋ⁵⁵aw⁵⁵	squirrel	squirrel		2.1.1		0		
488056	1978	Phom	ʃaʔ³³ñɯ³³	ʃaʔ³³ñɯ³³	tiger	tiger		2.1.3		0		5560,1621
488057	1978	Phom	ʃɔ⁵⁵	ʃɔ⁵⁵	wolf	wolf		2.1.11		0		6053
488058	1978	Phom	u³³	u³³	bird (general term) / fowl	bird (general term) / fowl		2.2.4		0		301
488059	1978	Phom	u³³bɔŋ⁵⁵	u³³bɔŋ⁵⁵	cock / rooster	cock / rooster		2.1.10		0		
488060	1978	Phom	a³³ʃæ⁵⁵	a³³ʃæ⁵⁵	crow	crow		2.2.4.1		0		
