rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
316948	350	Bodo	ə	ə	demonstrative, indicative of proximity	demonstrative, indicative of proximity		10.2.1		0		
316949	350	Bodo	əzəŋ	əzəŋ	this way / here	this way / here		10.4.3.2		0		
316950	350	Bodo	ərəy	ərəy	this way / in this way	this way / in this way		10.4.3.2		0		
316951	350	Bodo	ərəy tərəy	ərəy tərəy	this and that	this and that		10.4.3.2		0		
316952	350	Bodo	ə	ə	present indicative suffix	present indicative suffix		5.8		0		
316953	350	Bodo	zayə́	zayə́	eats	eats		1.3.5.8		0		
316954	350	Bodo	tabayə	tabayə	walks	walks		6.7.4		0		
316955	350	Bodo	ətraw	ətraw	eighteen	eighteen		9.9		0		
316956	350	Bodo	əntay	əntay	then	then		9.1.5		0		
316957	350	Bodo	ənbla	ənbla	then	then		9.1.5		0		
316958	350	Bodo	əmbla	əmbla	then	then		9.1.5		0		
316959	350	Bodo	əy	əy	there	there		9.2.7		0		
316960	350	Bodo	əy	əy	as / like	as / like		10.0		0		
316961	350	Bodo	əy	əy	instructive case suffix	instructive case suffix		10.4		0		
316962	350	Bodo	ə́y	ə́y	that one (away)	that one (away)		10.1		0		
316965	350	Bodo	əynay	əynay	injustice	injustice				0		
316966	350	Bodo	ələ́	ələ́	soundly (sleep); slowly	soundly (sleep); slowly		9.6.1.1		0		
316967	350	Bodo	ələŋgi	ələŋgi	bending	bending		9.5		0		
316968	350	Bodo	ələŋgi káŋ	ələŋgi káŋ	dancing of dewda	dancing of dewda		6.7.9		0		
316969	350	Bodo	ələ gələ	ələ gələ	tramp / jobless wanderer	tramp / jobless wanderer				0		
316970	350	Bodo	əlab	əlab	thatch	thatch	v	3.1.6.4		0		
316971	350	Bodo	a	a	prefix, indicative of possesion (I person)	prefix, indicative of possesion (I person)		10.4		0		
316972	350	Bodo	agəy	agəy	younger brother / sister (my)	younger brother / sister (my)				0		
316973	350	Bodo	abo	abo	elder sister (my)	elder sister (my)		4.7.1		0		
