rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
304981	1470	Tangkhul	phur	phur	abdomen	abdomen		1.4.7	84	0		
304982	1470	Tangkhul	śəp	śəp	able	able		1.1.2.4	84	0		
304983	1470	Tangkhul	rər	rər	able	able		1.1.2.4	84	0		
304984	1470	Tangkhul	kər	kər	able	able		1.1.2.4	84	0		
304985	1470	Tangkhul	tuŋ	tuŋ	above	above		9.2.1	84	0		
304986	1470	Tangkhul	śɯ	śɯ	about	about		10.1	84	0		
304987	1470	Tangkhul	śoy	śoy	absent	absent		8.1	84	0		
304988	1470	Tangkhul	həŋ	həŋ	absorb	absorb		9.5	84	0		
304989	1470	Tangkhul	zi	zi	absorb	absorb		9.5	84	0		
304990	1470	Tangkhul	hòŋ	hòŋ	abundant	abundant		7.1.2.1	84	0		
304991	1470	Tangkhul	rot	rot	abuse	abuse		6.4	84	0		
304992	1470	Tangkhul	yur	yur	accompany	accompany		6.7.10	84	0		
304993	1470	Tangkhul	yon	yon	accuse	accuse		8.3.1.3.1	84	0		
304994	1470	Tangkhul	say	say	accustomed	accustomed		8.3	84	0		
304995	1470	Tangkhul	suy	suy	accustomed	accustomed		8.3	84	0		
304996	1470	Tangkhul	zar	zar	accustomed	accustomed		8.3	84	0		
304997	1470	Tangkhul	toy	toy	accustomed	accustomed		8.3	84	0		
304998	1470	Tangkhul	ray	ray	ache	ache		1.1.5.1	84	0		
304999	1470	Tangkhul	kɯ	kɯ	ache	ache		1.1.5.1	84	0		
305000	1470	Tangkhul	naŋ	naŋ	active	active		10.4.2	84	0		
305001	1470	Tangkhul	caŋ	caŋ	active	active		10.4.2	84	0		
305002	1470	Tangkhul	nər	nər	active	active		10.4.2	84	0		
305003	1470	Tangkhul	hik	hik	adamant	adamant			84	0		
305004	1470	Tangkhul	cən	cən	add	add		9.9	84	0		
305005	1470	Tangkhul	rúm	rúm	add	add		9.9	84	0		
305006	1470	Tangkhul	kɯ	kɯ	addict	addict			84	0		
305007	1470	Tangkhul	śə́m	śə́m	adjust	adjust			84	0		
305008	1470	Tangkhul	yəy	yəy	adjust	adjust			84	0		
305009	1470	Tangkhul	cin	cin	advice	advice		8.5.14.2	84	0		
305010	1470	Tangkhul	rúm	rúm	affection	affection		8.3.1.1.1	84	0		
305011	1470	Tangkhul	thi	thi	after	after		9.1.5	84	0		
305012	1470	Tangkhul	rəm	rəm	afterbirth	afterbirth			84	0		670
305013	1470	Tangkhul	nay	nay	afterbirth	afterbirth			84	0		
305014	1470	Tangkhul	śin	śin	again	again		10.1	84	0		
305015	1470	Tangkhul	zat	zat	again	again		10.1	84	0		
