rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
126911	1426	Spiti	zuo	zuo	body	body		1.1.1	1.1	0		4
126912	1426	Spiti	ye◦wa	ye◦wa	side (right)	side (right)		1.4.5	1.2	0		2786,m
126913	1426	Spiti	yunma	yunma	side (left)	side (left)		1.4.5	1.3	0		
126914	1426	Spiti	gyap	gyap	back	back		1.4.8	1.4	0	HIDE	DUPE IN SOURCE
126915	1426	Spiti	dun	dun	front	front		1.4.4	1.5	0		
126916	1426	Spiti	kãlag	kãlag	limbs / arms and legs	limbs  /  arms and legs		1.5.3.1	1.7	0		
126917	1426	Spiti	pàŋ	pàŋ	lap	lap		1.4.4.2	1.8	0		1255
126918	1426	Spiti	šà	šà	flesh / meat	flesh  /  meat		1.1.1.1	1.11	0		34
126919	1426	Spiti	son◦po/son◦po dice	son◦po/son◦po dice	alive / be living	alive  /  be living		1.1.2.1	1.12	0		77,m,77,m,m
126920	1426	Spiti	ši◦je	ši◦je	die / be dead	die  /  be dead		1.1.6	1.13	0		27,s
126921	1426	Spiti	rò	rò	corpse / dead body	corpse  /  dead body		1.1.6.1	1.14	0		19
126922	1426	Spiti	ñik	ñik	sleep	sleep (n.)	n	1.1.4.1	1.16	0		131
126923	1426	Spiti	ñyal◦še	ñyal◦še	sleep	sleep (v.)	v	1.1.4.1	1.16	0		129,m
126924	1426	Spiti	ñik sa◦ce	ñik sace	awake / be awake	awake  /  be awake		1.1.4	1.17	0		131?,150,m
126925	1426	Spiti	mi◦lam	mi◦lam	dream	dream (n.)	n	1.1.4.2	1.18	0		130,1017
126926	1426	Spiti	mi◦lam yoŋ◦je	mi◦lam yoŋ◦je	dream	dream (v.)	v	1.1.4.2	1.18	0		130,1017,m,m
126927	1426	Spiti	gò	gò	head	head		1.2.1	2.1	0		386
126928	1426	Spiti	tsho◦ma	tsho◦ma	fontanel (soft spots in baby s	fontanel (soft spots in baby s		1.2.1.3	2.3	0		2007,s
126929	1426	Spiti	thod◦pa	thod◦pa	skull	skull		1.2.1.1	2.4	0		2002,s
126930	1426	Spiti	let◦pa	let◦pa	brain (physical)	brain (physical)		1.2.4	2.5	0		465,s
126931	1426	Spiti	rik◦pa	rik◦pa	brain (mental capacity)	brain (mental capacity)		1.2.4	2.5	0		m,s
126932	1426	Spiti	ṣà	ṣà	hair of head	hair of head		1.2.3	2.7	0	HIDE	DUPE IN SOURCE
126933	1426	Spiti	kàwi	kàwi	bald	bald		1.2.3.4		0		m
126934	1426	Spiti	rha◦co	rha◦co	horn (of animal)	horn (of animal)		1.2.2	2.10	0		814,m
126935	1426	Spiti	rà◦co	rà◦co	horn (of animal)	horn (of animal)		1.2.2	2.10	0		814,m
126936	1426	Spiti	doŋ	doŋ	face	face		1.2.5	3.1	0		2031
126937	1426	Spiti	ṣal◦a	ṣal◦a	forehead / brow	forehead  /  brow		1.2.5.1	3.2	0		384,s
126938	1426	Spiti	carsaŋ	carsaŋ	temple	temple		1.2.5.1	3.3	0		
