rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
8807	1176	Newar (Dolakhali)	pyaṭa	pyaṭa	belly	belly		1.4.7		0		m
8808	1176	Newar (Dolakhali)	hi	hi	blood	blood		1.6.2		0		230
8809	1176	Newar (Dolakhali)	kõsɔ	kõsɔ	bone	bone		1.6.3		0		m
8810	1176	Newar (Dolakhali)	nɔs◦pu◦ṭi	nɔs◦pu◦ṭi	earwax	earwax		1.2.7.3		0		811,812,572
8811	1176	Newar (Dolakhali)	khẽ◦jɔ	khẽ◦jɔ	egg	egg				0		
8812	1176	Newar (Dolakhali)	mi◦kha	mi◦kha	eye	eye		1.2.6		0		682,1110
8813	1176	Newar (Dolakhali)	da◦ku	da◦ku	fat / grease	fat / grease		1.6.4		0		1450,1440
8814	1176	Newar (Dolakhali)	ṭut̥i	ṭut̥i	foot	foot		1.5.2		0		
8815	1176	Newar (Dolakhali)	ã◦ti	ã◦ti	guts	guts		1.7.7		0		
8816	1176	Newar (Dolakhali)	a◦ti	a◦ti	guts	guts		1.7.7		0		
8817	1176	Newar (Dolakhali)	sã	sã	hair (head)	hair (head)		1.2.3		0		366
8818	1176	Newar (Dolakhali)	sã	sã	hair (body)	hair (body)		1.2.3		0		366
8819	1176	Newar (Dolakhali)	laha	laha	hand / arm	hand / arm		1.5.1.1		0		695,m
8820	1176	Newar (Dolakhali)	cher	cher	head	head		1.2.1		0		m
8821	1176	Newar (Dolakhali)	nu◦gɔr	nu◦gɔr	heart	heart		1.7.1		0		m,665
8822	1176	Newar (Dolakhali)	ŋwɔ̃	ŋwɔ̃	horn	horn		1.2.2		0		814
8823	1176	Newar (Dolakhali)	sẽ◦la	sẽ◦la	liver	liver		1.7.3		0		1390,m
8824	1176	Newar (Dolakhali)	muthu	mu◦thu	mouth	mouth		1.3.1		0		442
8825	1176	Newar (Dolakhali)	gɔlɔ	gɔ◦lɔ	neck	neck		1.4.2		0		b
8826	1176	Newar (Dolakhali)	nas	nas	nose	nose		1.2.8		0		803
8827	1176	Newar (Dolakhali)	chyɔu◦ri	chyɔu◦ri	skin / bark	skin / bark		1.6.5		0		585,596
8828	1176	Newar (Dolakhali)	ŋila	ŋila	spit	spit		1.8.3		0		
8829	1176	Newar (Dolakhali)	cum◦ṭu	cum◦ṭu	tail	tail		1.4.10.1		0		m,5639
8830	1176	Newar (Dolakhali)	me	me	tongue	tongue		1.3.3		0		621
8831	1176	Newar (Dolakhali)	wa	wa	tooth	tooth		1.3.4		0		632
8832	1176	Newar (Dolakhali)	pwɔm◦t̥u	pwɔm◦t̥u	wing	wing		1.5.1.3		0		707,m
8833	1176	Newar (Dolakhali)	kuciri	kuciri	nail / claw	nail / claw		1.5.10		0		
8834	1176	Newar (Dolakhali)	cula	cula	finger / toe	finger / toe		1.5.6		0		
8835	1176	Newar (Dolakhali)	dula	dula	palm	palm		1.5.5		0		
8836	1176	Newar (Dolakhali)	tuk◦la	tuk◦la	penis	penis				0		3420,1624
8837	1176	Newar (Dolakhali)	cũ	cũ	penis	penis				0		
8838	1176	Newar (Dolakhali)	pi◦ci	pi◦ci	breast, milk; (euph.) vagina	breast, milk; (euph.) vagina				0		276,1349
8839	1176	Newar (Dolakhali)	cũ	cũ	vagina / breast / milk	vagina / breast / milk				0		3430
8840	1176	Newar (Dolakhali)	du◦du	du◦du	vagina / breast / milk	vagina / breast / milk				0		3466,3466
8841	1176	Newar (Dolakhali)	ni◦pu	ni◦pu	brain	brain		1.2.4		0		249,252
8842	1176	Newar (Dolakhali)	ṭẽ◦bu◦ri	ṭẽ◦bu◦ri	navel	navel		1.9.4		0		519,m,m
8843	1176	Newar (Dolakhali)	khi	khi	shit	shit		1.8.5		0		572
8844	1176	Newar (Dolakhali)	co	co	piss	piss		1.8.4		0		652
8845	1176	Newar (Dolakhali)	cal◦ti	cal◦ti	sweat	sweat		1.8.1		0		615,m
8846	1176	Newar (Dolakhali)	ni	ni	snot	snot		1.8.2		0		805
8847	1176	Newar (Dolakhali)	lo◦we	lo◦we	vomit	vomit		1.8.3.2		0		1783,m
8848	1176	Newar (Dolakhali)	sel	sel	marrow	marrow		1.6.3.5		0		464
8849	1176	Newar (Dolakhali)	syãsyã	syãsyã	breath / life	breath / life		1.1.2.2		0		b
