rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
311458	1790	PNL	ʒa²	ʒa²	son	son			4.7.3	1.	0			
311459	1790	PNL	tsa²	tsa²	salt	salt			3.2.4	2.	0			2729
311460	1790	PNL	xa²	xa²	meat	meat			1.1.1.1	3.	0			34
311462	1790	PNL	dza²	dza²	eat	eat			1.5.3.2	5.	0			36
311463	1790	PNL	k-|ra²	k-ra²	strength	strength			1.1.5	6.	0			5677
311464	1790	PNL	(g)wa²	(g)wa²	chew	chew			1.3.4	7.	0			
311465	1790	PNL	< Ch.	< Ch.	dragon	dragon			2.1.5	8.	0			
311466	1790	PNL	baŋ²	baŋ²	deaf	deaf			1.2.7.5	9.	0			
311468	1790	PNL	ʔ-maŋ²	ʔ-maŋ²	pine	pine			3.1.1	11.	0			
311469	1790	PNL	tsiy²	tsiy²	wash	wash			6.2.2.5.2	12.	0			5647
311470	1790	PNL	b-|ni²	b-ni²	near	near			9.2.3	13.	0			2496
311471	1790	PNL	C-mi²	C-mi²	daughter	daughter			4.7.3	14.	0			
311472	1790	PNL	zum²	zum²	use	use			6.2.2.7.1	15.	0			5574
311473	1790	PNL	ko²	ko²	steal	steal			6.2.2.1	16.	0			2365
311474	1790	PNL	ɣo²	ɣo²	bone	bone			1.6.3	17.	0			232
311475	1790	PNL	ǰim²	ǰim²	raw	raw			7.1.8.3	18.	0			1005
311476	1790	PNL	ʔgyak	ʔgyak	vegetable	vegetable			3.1.2	19.	0			5376
311477	1790	PNL	maŋ²	maŋ²	old	old			7.1.8.3	20.	0			2440
311478	1790	PNL	gaŋ²	gaŋ²	empty	empty			7.1.2.1	21.	0			
311479	1790	PNL	(k)-rwaŋ²	(k)-rwaŋ²	sell	sell			6.22	22.	0			
311480	1790	PNL	ʔnitᴸ	ʔnitᴸ	two	two			9.9	23.	0			2504
311481	1790	PNL	ʔ-kri²	ʔ-kri²	rot	rot			3.1.10	24.	0			
311482	1790	PNL	N-šitᴸ	N-šitᴸ	seven	seven			9.9	25.	0			
311484	1790	PNL	ʔ-|l(y)a¹	ʔ-l(y)a¹	tongue	tongue			1.3.3	27.	0			623
311485	1790	PNL	ma¹	ma¹	bamboo	bamboo			3.1.1	28.	0			5664
311486	1790	PNL	ʔ-na¹	ʔ-na¹	ask	ask			8.5.7.1	29.	0			
311487	1790	PNL	ʔ/g-raw¹	ʔ/g-raw¹	fry	fry			5.5	30.	0			
311491	1790	PNL	tsu¹	tsu¹	fat	fat			1.6.4	34.	0			42
311492	1790	PNL	C-|gray¹	C-gray¹	star	star			3.2.2	35.	0			3574
311494	1790	PNL	dza-n	dza-n	rice (cooked)	rice (cooked)			3.1.4	37.	0			
311495	1790	PNL	C-|ŋa¹	C-ŋa¹	I	I			4.1	38.	0			2530
311496	1790	PNL	C-na¹	C-na¹	ill	ill			1.1.5.1	39.	0			
311497	1790	PNL	C-ra¹	C-ra¹	hundred	hundred			9.9	40.	0			
311500	1790	PNL	doŋ¹	doŋ¹	wing	wing			1.5.1.3	43.	0			711
311502	1790	PNL	m-|gaŋ¹	m-gaŋ¹	pull	pull			6.2.2.3.1	45.	0			5614
311503	1790	PNL	ʒo¹	ʒo¹	sheep	sheep			2.1.8	46.	0			6028
311504	1790	PNL	ti(y)	ti(y)	water	water			3.2.3	47.	0			298
311505	1790	PNL	ʔkuk/ʔguk	ʔkuk/ʔguk	skin	skin			1.6.5	48.	0			586
311506	1790	PNL	siy¹	siy¹	die	die			1.1.6	49.	0			27
311509	1790	PNL	way¹	way¹	buy	buy			6.22	52.	0			
311510	1790	PNL	s-|ŋa²	s-ŋa²	borrow	borrow			6.22	53.	0			2541
311513	1790	PNL	m-|ga²	m-ga²	want	want			8.3.1.14.3	56.	0			1646
311514	1790	PNL	ʔduk	ʔduk	kneel	kneel			1.5.8.4.1	57.	0			
311515	1790	PNL	(k-)|la	(k-)|la	tiger	tiger			2.1.3	58.	0			5560
311517	1790	PNL	s-|ma²	s-ma²	teach	teach			6.19	60.	0			5703
311518	1790	PNL	ʔ-|krwe²	ʔ-krwe²	sweat	sweat			1.8.1	61.	0			615
311520	1790	PNL	k-|rakᴴ	k-|rakᴴ	chicken	chicken			2.1.10	63.	0			1606
311521	1790	PNL	ʔtakᴴ	ʔtakᴴ	embrace	embrace			8.4	64.	0			
311523	1790	PNL	s-|nakᴴ	s-nakᴴ	black	black			9.4	66.	0			2483
311524	1790	PNL	kywan¹/²/³	kywan¹/²/³	sharpen	sharpen			6.9.2	67.	0			
311526	1790	PNL	s-|nökᴴ	s-nökᴴ	bean	bean			3.1.4	69.	0			2067
311527	1790	PNL	m-|bliŋ³	m-bliŋ³	full	be full	be v.		1.1.3.2	70.	0	dwb13		111
311528	1790	PNL	ʔdwakᴸ	ʔdwakᴸ	go out	go out			6.7.2	71.	0			2718
311530	1790	PNL	Nkrokᴴ	Nkrokᴴ	fear	fear			8.3.1.10.1	73.	0			2249
311531	1790	PNL	k-lokᴸ|	k-lokᴸ|	stone	stone			3.2.9	74.	0			1269
311533	1790	PNL	N-|pök ᴴ	N-pök ᴴ	shoot	shoot			6.2.2.1	76.	0			5411
311535	1790	PNL	sik	sik	tree	tree			3.1.2	78.	0			2658
311538	1790	PNL	tsatᴴ	tsatᴴ	break	break			9.5	81.	0			
311539	1790	PNL	lakᴸ	lakᴸ	hand	hand			1.5.1.1	82.	0			695
311540	1790	PNL	wakᴸ	wakᴸ	pig	pig			2.1.12	83.	0			1006
311541	1790	PNL	makᴸ	makᴸ	soldier	soldier			4.2.6	84.	0			257
311542	1790	PNL	rakᴸ	rakᴸ	weave	weave			5.1	85.	0			5669
311543	1790	PNL	C-kokᴸ	C-kokᴸ	year	year			9.1.2	86.	0			
311544	1790	PNL	lokᴸ	lokᴸ	enough	enough			1.1.3.2	87.	0			
311545	1790	PNL	C-krokᴸ	C-krokᴸ	six	six			9.9	88.	0			
311546	1790	PNL	ʔnokᴸ	ʔnokᴸ	brain	brain			1.2.4	89.	0			243
311547	1790	PNL	džokᴸ	džokᴸ	waist	waist			1.4.6	90.	0			215
311548	1790	PNL	ʔdokᴸ	ʔdokᴸ	poison	poison			6.4	91.	0			2202
311549	1790	PNL	sapᴴ	sapᴴ	rub	rub			8.4	92.	0			669
311550	1790	PNL	m-|lyakᴸ	m-|lyakᴸ	lick	lick			1.3.3.1	93.	0			629
311551	1790	PNL	zikᴸ	zikᴸ	leopard	leopard			2.1.3	94.	0			2805
311552	1790	PNL	C-|patᴸ	C-patᴸ	spit vomit	spit vomit			1.8.3	95.	0			1145
311553	1790	PNL	k-r-watᴸ	k-r-watᴸ	leech	leech			2.2.6	96.	0			
311554	1790	PNL	g-rapᴸ	g-rapᴸ	needle	needle			5.1	97.	0			
311558	1790	PNL	ʔrapᴸ	ʔrapᴸ	stand	stand			1.5.2	101.	0			145
311559	1790	PNL	s-mi¹	s-mi¹	catch	catch			6.21	102.	0			
311560	1790	PNL	ba²	ba²	thin	thin			9.7.2	103.	0			5551
311563	1790	PNL	m-|ba³	m-ba³	bright	bright			7.1.11.1	106.	0			5517
311565	1790	PNL	ʔplu¹	ʔplu¹	porcupine	porcupine			2.1.1	108.	0			5429
311566	1790	PNL	tu¹	tu¹	thick	thick			9.7.2	109.	0			183
311567	1790	PNL	< Ch.	< Ch.	chopsticks	chopsticks			5.5	110.	0			
311568	1790	PNL	mraŋ²	mraŋ²	horse	horse			2.1.7	111.	0			1431
311569	1790	PNL	C-nu²	C-nu²	soft	soft			7.1.4.2	112.	0			
311570	1790	PNL	mo²	mo²	sky	sky			3.2.2	113.	0			
311571	1790	PNL	bi/bo²	bi/bo²	insect	insect			2.2.6	114.	0			2178,2178
311572	1790	PNL	po²	po²	price	price			5.9	115.	0			2583
311573	1790	PNL	po²	po²	carry (on back)	carry (on back)			6.2.2.2.1	116.	0			2177
311574	1790	PNL	s-|mo¹	s-mo¹	mushroom	mushroom			3.1.7	117.	0			2472
311575	1790	PNL	akᴸ/a³	akᴸ/a³	crow	crow			2.2.4.1	118.	0			
311577	1790	PNL	ʃi²	ʃi²	urine	urine			1.8.4	120.	0			650
