rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
127140	1611	Tujia	so⁵⁵ tʰiu²¹	so⁵⁵ tʰiu²¹	body	body		1.1.1	1.1	0		4,14
127141	1611	Tujia	pu⁵⁵ tɕe⁵⁵	pu⁵⁵ tɕe⁵⁵	side (right)	side (right)		1.4.5	1.2	0		
127142	1611	Tujia	tʰa³⁵ pu⁵⁵ tɕe³⁵	tʰa³⁵ pu⁵⁵ tɕe³⁵	side (left)	side (left)		1.4.5	1.3	0		
127143	1611	Tujia	tʰa⁵⁵ ne⁵⁵	tʰa⁵⁵ ne⁵⁵	back	back		1.4.8	1.4	0		m,203
127144	1611	Tujia	tsi⁵⁵ kɯe⁵⁵	tsi⁵⁵ kɯe⁵⁵	front	front		1.4.4	1.5	0		1212,m
127145	1611	Tujia	pi⁵⁵ tʰa⁵⁵	pi⁵⁵ tʰa⁵⁵	lap	lap		1.4.4.2	1.8	0		1361,m
127146	1611	Tujia	li⁵⁵ kʰo⁵⁵ tsʰũ⁵⁵	li⁵⁵ kʰo⁵⁵ tsʰũ⁵⁵	bosom	bosom		1.4.4.2	1.9	0		m,2326,m
127147	1611	Tujia	si²¹	si²¹	flesh / meat	flesh  /  meat		1.1.1.1	1.11	0		34
127148	1611	Tujia	se³⁵	se³⁵	die / be dead	die  /  be dead		1.1.6	1.13	0		27
127149	1611	Tujia	ne³⁵	ne³⁵	sleep /  be asleep	sleep  /   be asleep		1.1.4.1	1.16	0		129
127150	1611	Tujia	ne³⁵ si³⁵	ne³⁵ si³⁵	awake / be awake	awake  /  be awake		1.1.4	1.17	0		143,1837
127151	1611	Tujia	mu²¹ tsi²¹ dzi²¹	mu²¹ tsi²¹ dzi²¹	dream	dream	v	1.1.4.2	1.18	0		126,m,m
127152	1611	Tujia	kʰo⁵⁵ pa⁵⁵	kʰo⁵⁵ pa⁵⁵	head	head		1.2.1	2.1	0		386,s
127153	1611	Tujia	kʰũ⁵⁵ nũ⁵⁵	kʰũ⁵⁵ nũ⁵⁵	brain	brain		1.2.4	2.5	0		387,5554
127154	1611	Tujia	sa³⁵ tɕʰi⁵⁵	sa³⁵ tɕʰi⁵⁵	hair of head	hair of head		1.2.3	2.7	0		366,1232
127155	1611	Tujia	kʰɯe⁵⁵	kʰɯe⁵⁵	horn (of animal)	horn (of animal)		1.2.2	2.10	0		819
127156	1611	Tujia	ku³⁵ tʰa⁵⁵	ku³⁵ tʰa⁵⁵	face	face		1.2.5	3.1	0		273,m
127157	1611	Tujia	kʰa⁵⁵ tʰa⁵⁵ kʰɯe⁵⁵	kʰa⁵⁵ tʰa⁵⁵ kʰɯe⁵⁵	forehead / brow	forehead  /  brow		1.2.5.1	3.2	0		1209,358,m
127158	1611	Tujia	lo³⁵ pu⁵⁵	lo³⁵ pu⁵⁵	eye	eye		1.2.6	3.4	0		1427,1275
127159	1611	Tujia	lo³⁵ pu⁵⁵ tʰa⁵⁵ pʰa²¹	lo³⁵ pu⁵⁵ tʰa⁵⁵ pʰa²¹	eyelid	eyelid		1.2.6.4	3.4.1	0		1427,1275,m,2076
127160	1611	Tujia	lo³⁵ tsʰi⁵⁵ li⁵⁵	lo³⁵ tsʰi⁵⁵ li⁵⁵	eyeball	eyeball		1.2.6.1	3.4.2	0		1427,3559,m
127161	1611	Tujia	lo³⁵ pu⁵⁵ si³⁵ ka⁵⁵	lo³⁵ pu⁵⁵ si³⁵ ka⁵⁵	eyebrow	eyebrow		1.2.6.6	3.4.3	0		1427,1228,m,m
127162	1611	Tujia	lo³⁵ pu⁵⁵ tɕʰi⁵⁵ ni²¹	lo³⁵ pu⁵⁵ tɕʰi⁵⁵ ni²¹	blink	blink	v	1.2.6.12	3.4.5	0		m,m,m,31
127163	1611	Tujia	lo³⁵ pu⁵⁵ pɯe⁵⁵ tsʰe²¹	lo³⁵ pu⁵⁵ pɯe⁵⁵ tsʰe²¹	tears	tears		1.2.6.7	3.4.6	0		1427,1275,187,298
127164	1611	Tujia	tsi³⁵	tsi³⁵	cry / weep	cry  /  weep	v	1.8.8.2	3.4.8	0		m
127165	1611	Tujia	pa⁵⁵	pa⁵⁵	see / look	see  /  look	v	1.2.6.10	3.4.9	0		m
