rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
9894	1667	Yi (Xide)	na³⁴-lu̱³³	na³⁴-lu̱³³	cancer	cancer		5.3		0		
9895	1667	Yi (Xide)	kʰɯ²¹-bu²¹	kʰɯ²¹-bu²¹	diptheria	diptheria				0		
9896	1667	Yi (Xide)	tsɿ²¹-si⁵⁵	tsɿ²¹-si⁵⁵	whooping cough	whooping cough		5.3		0		
9897	1667	Yi (Xide)	ma³³-ɣa³³-dʑu²¹	ma³³-ɣa³³-dʑu²¹	scar	scar		1.6.5.3		0		
9898	1667	Yi (Xide)	ɬo²¹-bo²¹ tɔ³³-sɿ³³	ɬo²¹-bo²¹ tɔ³³-sɿ³³	upper arm / wing	upper arm±wing		9.2.1		0		695,1327,m,m
9899	1667	Yi (Xide)	du̱³³	du̱³³	upper arm / wing	upper arm±wing		9.2.1		0		
9900	1667	Yi (Xide)	dʐʅ³⁴-tu³³	dʐʅ³⁴-tu³³	bucktooth	bucktooth		1.3.4		0		635,m
9901	1667	Yi (Xide)	mbu̱³³	mbu̱³³	full (from eating)	full (from eating)		1.1.3.2		0		100
9902	1667	Yi (Xide)	o²¹-li²¹-pʰu²¹	o²¹-li²¹-pʰu²¹	belch	belch		1.8.3.4		0		3443,m,m
9903	1667	Yi (Xide)	gu̱³⁴-ndʑɿ³³	gu̱³⁴-ndʑɿ³³	full	full		1.1.3.2		0		1829,1830
9904	1667	Yi (Xide)	ȵi³³	ȵi³³	full	full		1.1.3.2		0		1832
9905	1667	Yi (Xide)	ɣa³³-nɔ³³	ɣa³³-nɔ³³	behind	behind		9.2.8		0		
9906	1667	Yi (Xide)	kɯ²¹-tɯ²¹	kɯ²¹-tɯ²¹	back	back		1.4.8		0		1,225
9907	1667	Yi (Xide)	n̥a²¹-bi⁵⁵	n̥a²¹-bi⁵⁵	nose	nose		1.2.8		0		803,810
9908	1667	Yi (Xide)	n̥a³³-dʑu̱³³	n̥a³³-dʑu̱³³	nostril	nostril		1.2.8.1		0		803,m
9909	1667	Yi (Xide)	n̥a³³-ko³³	n̥a³³-ko³³	bridge of nose	bridge of nose		9.10.2		0		803,809
9910	1667	Yi (Xide)	n̥a³³-dʑu̱³³	n̥a³³-dʑu̱³³	nasal cavity	nasal cavity		3.2.7		0		803,572
9911	1667	Yi (Xide)	n̥a²¹-bi⁵⁵	n̥a²¹-bi⁵⁵	mucus	mucus		1.8.2		0	D1	805,m
9912	1667	Yi (Xide)	a³³-m̥ɿ̄³³	a³³-m̥ɿ̄³³	close mouth	close mouth		6.2.2.6.2		0		p,31
9913	1667	Yi (Xide)	so⁵⁵-mi²¹	so⁵⁵-mi²¹	hold breath	hold breath		6.16		0		32,m
9914	1667	Yi (Xide)	ɬo²¹-bo²¹ tɔ³³-sɿ̄³³	ɬo²¹-bo²¹ tɔ³³-sɿ̄³³	arm	arm		1.5.1.2		0		695,1327,m,m
9915	1667	Yi (Xide)	ʂa³³-vu̱³³-tɕᴇ³³-ma³³	ʂa³³-vu̱³³-tɕᴇ³³-ma³³	kneecap	kneecap		1.5.8.4		0		
9916	1667	Yi (Xide)	na³³	na³³	ill	ill		1.1.5.1		0		160
9917	1667	Yi (Xide)	na³⁴-bu³³	na³⁴-bu³³	germs	germs		1.1.5.1		0		160,m
9918	1667	Yi (Xide)	na³³-mu²¹ na³³-mi⁵⁵	na³³-mu²¹ na³³-mi⁵⁵	pathology	pathology		5.3		0		160,m,160,m
9919	1667	Yi (Xide)	na³³-ȵi³³-pu̱³³-dzu̱³³	na³³-ȵi³³-pu̱³³-dzu̱³³	sick appearance	sick appearance		1.1.5.1		0		160,m,m,m
9920	1667	Yi (Xide)	ŋgu²¹ nɯ³⁴ a²¹ ŋɯ³³	ŋgu²¹ nɯ³⁴ a²¹ ŋɯ³³	beyond cure	beyond cure		9.2.8		0		
