rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
284414	1703	Lahu (Nyi)	taw:◦la˰◦k'uˉ	taw:◦la˰◦k'uˉ	wing	wing		1.5.1.3	83	0		711,695,m
284415	1703	Lahu (Nyi)	aw˯mv(uh):	aw˯mv(uh):	feathers	feathers		1.6.1.1	85	0		
284416	1703	Lahu (Nyi)	uˉ◦hkeh:◦mvuh:	uˉ◦hkeh:◦mvuh:	hair (head)	hair (head)		1.2.3	89	0		385,372,363
284417	1703	Lahu (Nyi)	mehˆ◦hpfuhˇ	mehˆhpfuhˇ	face	face		1.2.5	91	0		681,1186
284418	1703	Lahu (Nyi)	mehˆhpfuhˇdiˇ	mehˆhpfuhˇdiˇ	cheeks	cheeks		1.2.5.2	99	0	D0	
284419	1703	Lahu (Nyi)	paˇkuiˇleuˆ	paˇkuiˇleuˆ	chin	chin		1.2.5.3	100	0		
284420	1703	Lahu (Nyi)	paˇpi:	paˇpi:	chin	chin		1.2.5.3	100	0		
284421	1703	Lahu (Nyi)	u:◦gaˇ	u:gaˇ	fontanelle	fontanelle		1.2.1.3	103	0		385,1198
284422	1703	Lahu (Nyi)	k'aˉ◦k'eu:◦leuˆ	k'aˉk'eu:leuˆ	larynx	larynx		1.3.5.4	104	0		493,486,3412
284423	1703	Lahu (Nyi)	la˰◦k'aˉ◦pui:	la˰k'aˉpui:	shoulder	shoulder		1.4.3	107	0		695,m,m
284424	1703	Lahu (Nyi)	la˰◦k'aw:	la˰◦k'aw:	arm	arm		1.5.1.2	108	0		m,240
284425	1703	Lahu (Nyi)	la˰◦meh:◦cwi:	la˰meh:cwi:	elbow	elbow		1.5.8.3	109	0		695,m,m
284426	1703	Lahu (Nyi)	la˰◦tsuhˉ	la˰◦tsuhˉ	wrist	wrist		1.5.8.1	110	0		695,418
284427	1703	Lahu (Nyi)	la˰taw:k'awˍ	la˰taw:k'awˍ	palm	palm		1.5.5	112	0		
284428	1703	Lahu (Nyi)	ma˰ma:pui:	ma˰ma:pui:	thumb	thumb		1.5.6.1	114	0		
284429	1703	Lahu (Nyi)	la˰shehˍk'uˉ	la˰shehˍk'uˉ	fingernail	fingernail		1.5.10.1	115	0		
284430	1703	Lahu (Nyi)	la˰k'aˉpeˍ	la˰k'aˉpeˍ	armpit	armpit		1.5.1.2.3	116	0		
284431	1703	Lahu (Nyi)	hk'aw˰nawˉ	hk'aw˰nawˉ	back (upper)	back (upper)		1.4.8	117	0		
284432	1703	Lahu (Nyi)	caw˰◦g'awˇ	caw˰g'awˇ	waist / back (lower)	waist / back (lower)		1.4.6	118	0		215,m
284433	1703	Lahu (Nyi)	g'awˇ◦tu:◦shiˍ	g'awˇ◦tu:◦shiˍ	navel	navel		1.9.4	120	0		137,520,1019
284434	1703	Lahu (Nyi)	pfuhˍtehˇk'u:	pfuhˍtehˇk'u:	buttock	buttock		1.4.9.2	121A	0		
284435	1703	Lahu (Nyi)	hkui:peh˯k'wi:	hkui:peh˯k'wi:	thigh	thigh		1.5.7.1	121B	0		
284436	1703	Lahu (Nyi)	nyiˍ hk'eh˰	nyiˍ hk'eh˰	penis	penis			122	0		545,m
284437	1703	Lahu (Nyi)	cha:peh˰	cha:peh˰	vulva	vulva			123	0		
284438	1703	Lahu (Nyi)	hkui:◦(sheh:)	hkui:(sheh:)	leg	leg		1.5.7	124	0		335,m
284439	1703	Lahu (Nyi)	hkui:◦tsuhˉ◦k'uˍ	hkui:tsuhˉk'uˍ	knee	knee		1.5.8.4	125	0		335,418,m
