rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
10706	923	Lisu	hwa¹hchi⁵	hwa¹hchi⁵	awaken	awaken		1.1.4	767S	0		150,152
10707	923	Lisu	yi⁶nyi¹grgh⁵	yi⁶nyi¹grgh⁵	awaken	awaken		1.1.4	767C	0		127,143,s
10708	923	Lisu	hwa¹hchi⁵	hwa¹hchi⁵	awake	awake		1.1.4	767S	0		150,152
10709	923	Lisu	yi⁶nyi¹grgh⁵	yi⁶nyi¹grgh⁵	awake	awake		1.1.4	767C	0		127,143,s
10710	923	Lisu	cha¹	cha¹	feed	feed		1.3.5.8	766C	0		
10711	923	Lisu	na⁴	na⁴	ill	ill		1.1.5.1	763S	0		160
10712	923	Lisu	na⁴hsya²	na⁴hsya²	ill	ill		1.1.5.1	763S	0		160,m
10713	923	Lisu	tá²	tá²	put / place	put  /  place		6.17	761A	0		2682
10714	923	Lisu	tá²	tá²	come rest / put	come rest  / put	v.	6.7.1	761S/C	0		
10715	923	Lisu	daw⁴	daw⁴	Causatives :	Causatives :		10.4.2.4	760C	0		
10716	923	Lisu	hpē⁶	hpē⁶	swell up	swell up		1.1.5.2	740A	0	D2	163?
10717	923	Lisu	hpē⁶	hpē⁶	swell up	swell up		1.1.5.2		0	HIDE	DUPE IN SOURCE
10718	923	Lisu	hku⁴	hku⁴	call	call		8.5.13	665A/B	0		
10719	923	Lisu	sha¹hte⁴	sha¹hte⁴	speak	speak		8.5.10.1	663B	0	D1	
10720	923	Lisu	sha¹hte⁴	sha¹hte⁴	speak	speak		8.5.10.1	663A	0	HIDE	DUPE IN SOURCE
10721	923	Lisu	gwa⁵	gwa⁵	chew	chew		1.3.4	635B	0	D1	1762
10722	923	Lisu	gwa⁵	gwa⁵	chew	chew		1.3.4	635A	0	HIDE	DUPE IN SOURCE
10723	923	Lisu	hkaw⁶	hkaw⁶	bite	bite		1.3.4.4	634B	0	D1	755
10724	923	Lisu	hkaw⁶	hkaw⁶	bite	bite		1.3.4.4	634A	0	HIDE	DUPE IN SOURCE
10725	923	Lisu	nyi¹	nyi¹	look at	look at		1.2.6.11	594B	0	D2	5419
10726	923	Lisu	nyi¹	nyi¹	look at	look at		1.2.6.11	594A	0	HIDE	DUPE IN SOURCE
10727	923	Lisu	ni²mū³	ni²mū³	itch	itch		1.6.5.5	584B	0		
10728	923	Lisu	ny²mū³	ny²mū³	itch	itch		1.6.5.5	584A	0		
10729	923	Lisu	tsï³	tsï³	cough	cough		1.8.3.3	576B	0	D1	
10730	923	Lisu	tsï³	tsï³	cough	cough		1.8.3.3	576A	0	HIDE	DUPE IN SOURCE
