rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
16677	1285	Côông [Phunoi]	nɑ⁵⁵ nɑ̃³³	nɑ⁵⁵ nɑ̃³³	awake	awake		1.1.4		0		
16678	1285	Côông [Phunoi]	ʔɑ̃⁵⁵ biɑ³³ pɔ¹¹	ʔɑ̃⁵⁵ biɑ³³ pɔ¹¹	blind	blind		1.2.6.14.2		0		5450,681,m
16679	1285	Côông [Phunoi]	khon³³ bɑ⁵⁵ kɑn³⁵ ce³³	khon³³ bɑ⁵⁵ kɑn³⁵ ce³³	burp	burp		1.8.3		0		
16680	1285	Côông [Phunoi]	bo³³ pɑ¹¹	bo³³ pɑ¹¹	cheek	cheek		1.2.5.2		0		268,s
16681	1285	Côông [Phunoi]	jup¹¹ bɑ³³ bɑ³³ ce³³	jup¹¹ bɑ³³ bɑ³³ ce³³	dream	dream		1.1.4.2		0		127,126,126,s
16682	1285	Côông [Phunoi]	ʔɑ̃⁵⁵ hnɑ¹¹	ʔɑ̃⁵⁵ hnɑ¹¹	ear	ear		1.2.7		0		5450,811
16683	1285	Côông [Phunoi]	ʔɑ̃⁵⁵ biɑ³³	ʔɑ̃⁵⁵ biɑ³³	eye	eye		1.2.6		0		5450,681
16684	1285	Côông [Phunoi]	bə̆◦kɑʔ¹¹	bə̆◦kɑʔ¹¹	face	face		1.2.5		0		681,273
16685	1285	Côông [Phunoi]	bŏ◦puɑn⁵⁵ biɑ¹¹ jɑu³³	bŏ◦puɑn⁵⁵ biɑ¹¹ jɑu³³	fat	fat		1.6.4		0		50,163,m,m
16686	1285	Côông [Phunoi]	cɑ¹¹ ce³³	cɑ¹¹ ce³³	hear	hear		1.2.7.4		0		1411,m
16687	1285	Côông [Phunoi]	lə̆bɑ³³ si¹¹	lə̆bɑ³³ si¹¹	heart	heart		1.7.1		0		m,1019
16688	1285	Côông [Phunoi]	lɑ¹¹	lɑ¹¹	hand	hand		1.5.1.1		0		695
16689	1285	Côông [Phunoi]	kʰon³³ bɑ⁵⁵ si¹¹	kʰon³³ bɑ⁵⁵ si¹¹	larynx	larynx		1.3.5.4		0		3361,m,m
16690	1285	Côông [Phunoi]	ʔɑ̃⁵⁵ cɑ³³	ʔɑ̃⁵⁵ cɑ³³	live	live		1.1.2.1		0		p,71
16691	1285	Côông [Phunoi]	ʔɑ̃⁵⁵ kʰɑt³³ miɑ¹¹	ʔɑ̃⁵⁵ kʰɑt³³ miɑ¹¹	marrow	marrow		1.6.3.5		0		5450,465,m
16692	1285	Côông [Phunoi]	sɑ¹¹	sɑ¹¹	meat	meat		1.1.1.1		0		34
16693	1285	Côông [Phunoi]	mə◦cʰɑʔ¹¹	mə◦cʰɑʔ¹¹	navel	navel		1.9.4		0		m,525
16694	1285	Côông [Phunoi]	lə̆woa³³	lə̆woa³³	palm	palm		1.5.5		0		
