rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
307080	1235	Pa-O	ʔáu ló	ʔáu ló	?left over	?left over				0		
307081	1235	Pa-O	ʔáu	ʔáu	situated (inanimates?)	be situated (inanimates?)	be v.	9.2.7		0		
307082	1235	Pa-O	ʔəló	ʔəló	must (preV)	must (preV)		8.2		0		
307083	1235	Pa-O	hâm pɔ̂ŋ	hâm pɔ̂ŋ	a little	a little		9.7.2		0		
307084	1235	Pa-O	hóʔ	hóʔ	abdomen, stomach	abdomen, stomach		1.4.7		0		
307085	1235	Pa-O	hóʔ thō	hóʔ thō	diarrhea	diarrhea		1.8.5		0		
307086	1235	Pa-O	hóʔ chà	hóʔ chà	diarrhea (2)	diarrhea (2)		1.8.5		0		
307087	1235	Pa-O	hóʔ khô, hóʔ khô dɛ̀n	hóʔ khô, hóʔ khô dɛ̀n	hungry	hungry		1.1.3		0		
307088	1235	Pa-O	hóʔ ʔɛ́ŋ	hóʔ ʔɛ́ŋ	stomach ache	stomach ache		1.7.6		0		
307089	1235	Pa-O	hóʔ ʔə́ŋ	hóʔ ʔə́ŋ	stomach ache, air in stomach?	stomach ache, air in stomach?		1.7.6		0		
307090	1235	Pa-O	jɨ̂ pā, jɨ̂ wāŋ	jɨ̂ pā, jɨ̂ wāŋ	accuse	accuse		8.3.1.3.1		0		
307091	1235	Pa-O	lóʔ wāŋ, lwáʔ wāŋ, wˉ	lóʔ wāŋ, lwáʔ wāŋ, wˉ	each other, among a group	each other, among a group		9.9		0		
307092	1235	Pa-O	pā	pā	people, somebody	people, somebody		4.5		0		
307093	1235	Pa-O	cwē tərā	cwē tərā	accuse, charge with crime in c	accuse, charge with crime in c		10.1.1		0		
307094	1235	Pa-O	ŋə̄n wâ lwî	ŋə̄n wâ lwî	Adam's apple	Adam's apple		1.3.5.4		0		
307095	1235	Pa-O	wâ lwî	wâ lwî	dove	dove		2.2.4.1		0		
307096	1235	Pa-O	ŋɔ̄n	ŋɔ̄n	neck	neck		1.4.2		0		483
307097	1235	Pa-O	wón khám (Bm)	wón khám (Bm)	admit	admit		8.5.14.2		0		
307098	1235	Pa-O	ŋâm	ŋâm	afraid	afraid		7.1.1		0		
307099	1235	Pa-O	pài	pài	after, past, in clock time exp	after, past, in clock time exp		9.1.5		0		
307100	1235	Pa-O	mɨ̂ pāŋ	mɨ̂ pāŋ	afternoon, early (12-3 PM)	afternoon, early (12-3 PM)		9.1.4		0		
307101	1235	Pa-O	mɨ̂	mɨ̂	sun	sun		3.2.10		0		7489
307102	1235	Pa-O	mɨ̂ thɨ́	mɨ̂ thɨ́	afternoon, early (12-3 PM) (2)	afternoon, early (12-3 PM) (2)		9.1.4		0		
307103	1235	Pa-O	thɨ́	thɨ́	heavy	heavy		9.6.2		0		
307106	1235	Pa-O	phjàŋ	phjàŋ	again	again		10.1		0		
