rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
150185	1112	Moyon	hʌ̀k◦cáŋ	hʌ̀k◦cáŋ	body	body		1.1.1	1.1	0		8,6
150186	1112	Moyon	ticʌ́ŋ	ticʌ́ŋ	side (right)	side (right)		1.4.5	1.2	0		
150187	1112	Moyon	tirí	tirí	side (left)	side (left)		1.4.5	1.3	0		
150188	1112	Moyon	tùk◦núŋ	tùk◦núŋ	back	back		1.4.8	1.4	0		3322,203
150189	1112	Moyon	màŋ◦šòk ~ maŋ◦šòk	màŋšòk ~ maŋšòk	front	front		1.4.4	1.5	0		1210,m,1210,m
150190	1112	Moyon	ʌthʌ́r	ʌthʌ́r	torso / trunk	torso  /  trunk		1.5.3.2	1.6	0		
150191	1112	Moyon	khikìk ~ khìkìk	khikìk ~ khìkìk	limbs / arms and legs	limbs  /  arms and legs		1.5.3.1	1.7	0		
150192	1112	Moyon	khìkìk itu	khìkìk itu	start crawling (for a child)	start crawling (for a child)		9.5	1.7	0		
150193	1112	Moyon	bʌtór	bʌtór	lap	lap		1.4.4.2	1.8	0		
150194	1112	Moyon	thʌbàʔ ~ thʌ̀bàʔ	thʌbàʔ ~ thʌ̀bàʔ	bosom	bosom		1.4.4.2	1.9	0		
150195	1112	Moyon	jæ◦khí	jæ◦khí	groin / loins / hips	groin  /  loins  / hips		1.4.9	1.10	0		m,221
150196	1112	Moyon	bʌ◦tsə́	bʌtsə́	flesh / meat	flesh  /  meat		1.1.1.1	1.11	0		
150197	1112	Moyon	bʌtsə́ ndúr	bʌtsə́ ndúr	prone to sores, scabies etc.	prone to sores,scabies etc.		7.1.5.4	1.11	0		
150198	1112	Moyon	lríŋ	lríŋ	alive / be living	alive  /  be living		1.1.2.1	1.12	0		71
150199	1112	Moyon	lthə́	lthə́	die / be dead	die  /  be dead		1.1.6	1.13	0		
150200	1112	Moyon	lrowŋ	lrowŋ	corpse / dead body	corpse  /  dead body		1.1.6.1	1.14	0		
150201	1112	Moyon	sʌsì ~ sʌ̀sì	sʌsì ~ sʌ̀sì	carcass / dead animal	carcass  /  dead animal		1.1.6.1	1.15	0		
150202	1112	Moyon	ljár	ljár	sleep /  be asleep	sleep  /   be asleep		1.1.4.1	1.16	0		
150203	1112	Moyon	ntér	ntér	awake / be awake	awake  /  be awake		1.1.4	1.17	0		
150204	1112	Moyon	rumʌ́ŋ lsə́	rumʌ́ŋ lsə́	dream	dream (v.)	v	1.1.4.2	1.18	0		126,m
150205	1112	Moyon	rušæ̀ ~ ròw	rušæ̀ ~ ròw	head	head		1.2.1	2.1	0		
150206	1112	Moyon	rubʌsə́p	rubʌsə́p	top of head / crown / pate	top of head  /  crown  /  pate		1.2.1.2	2.2	0		
150207	1112	Moyon	ruthén	ruthén	fontanel (soft spots in baby s	fontanel (soft spots in baby s		1.2.1.3	2.3	0		
150208	1112	Moyon	rukʌ́ŋ	rukʌ́ŋ	skull	skull		1.2.1.1	2.4	0		
150209	1112	Moyon	ruthówʔ ~ thop	ruthówʔ ~ thop	brain (= 9.1 )	brain (=  9.1  )		1.2.4	2.5	0		
150210	1112	Moyon	šʌ̀m	šʌ̀m	hair of head (= 8.1.1)	hair of head (=  8.1.1)		1.2.3	2.7	0		366
