rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
13111	370	Bola	kauŋ⁵⁵ tɔʔ³¹	kauŋ⁵⁵ tɔʔ³¹	body	body			1.1.1	94	0			1,14
13112	370	Bola	kʰji⁵⁵ laʔ³¹	kʰji⁵⁵ laʔ³¹	limbs	limbs			1.5.3.1	95	0			
13113	370	Bola	u̱³⁵ lam³¹	u̱³⁵ lam³¹	head	head			1.2.1	96	0			385,690
13114	370	Bola	tsʰɛ̃⁵⁵	tsʰɛ̃⁵⁵	hair (head)	hair (head)			1.2.3	97	0			366
13115	370	Bola	tsʰɛ̃⁵⁵ nak⁵⁵	tsʰɛ̃⁵⁵ nak⁵⁵	braid (hair)	braid (hair)	n	n	1.2.3.2	98	0			366,2023
13116	370	Bola	ŋə̆³¹ lɔ̃³¹	ŋə̆³¹ lɔ̃³¹	forehead	forehead			1.2.5.1	99	0			356,392
13117	370	Bola	mjaʔ³¹ ma̱uŋ⁵⁵	mjaʔ³¹ ma̱uŋ⁵⁵	eyebrow	eyebrow			1.2.6.6	100	0			681,363
13118	370	Bola	mjaʔ³¹	mjaʔ³¹	eye	eye			1.2.6	101	0			681
13119	370	Bola	mjaʔ³¹ tsʰɛ̃⁵⁵	mjaʔ³¹ tsʰɛ̃⁵⁵	eyelash	eyelash			1.2.6.5	102	0			681,366
13120	370	Bola	na̱⁵⁵	na̱⁵⁵	nose	nose			1.2.8	103	0			803
13121	370	Bola	nə̆³¹ kʰjɛʔ⁵⁵	nə̆³¹ kʰjɛʔ⁵⁵	ear	ear			1.2.7	104	0			811,823
13122	370	Bola	mjaʔ³¹ tuŋ³¹	mjaʔ³¹ tuŋ³¹	face	face			1.2.5	105	0			681,2031
13123	370	Bola	nə̆³¹ kɛ̱̃⁵⁵	nə̆³¹ kɛ̱̃⁵⁵	cheek	cheek			1.2.5.2	106	0			p,262
13124	370	Bola	nɔ̱t⁵⁵	nɔ̱t⁵⁵	mouth	mouth			1.3.1	107	0			471
13125	370	Bola	nɔ̱t⁵⁵ ka̱uʔ	nɔ̱t⁵⁵ ka̱uʔ	lip	lip			1.3.2	108	0			471,586
13126	370	Bola	nɔ̱t⁵⁵ mø³¹	nɔ̱t⁵⁵ mø³¹	beard	beard			1.2.5.5	109	0			471,363
13127	370	Bola	nɔ̱t⁵⁵ mø³¹	nɔ̱t⁵⁵ mø³¹	whiskers	whiskers			1.2.5.5	110	0			471,363
13128	370	Bola	ɛ̃⁵⁵ tʰɔ̃⁵⁵	ɛ̃⁵⁵ tʰɔ̃⁵⁵	lower jaw, chin	lower jaw, chin				111	0			m,m
13129	370	Bola	laŋ⁵⁵ taŋ³¹	laŋ⁵⁵ taŋ³¹	neck	neck			1.4.2	112	0			479,255
13130	370	Bola	laŋ⁵⁵ kʰauŋ³⁵	laŋ⁵⁵ kʰauŋ³⁵	nape	nape			1.4.2.1	113	0			
13131	370	Bola	laʔ³¹ sɛ̃⁵⁵	laʔ³¹ sɛ̃⁵⁵	shoulder	shoulder			1.4.3	114	0			695,3348
13132	370	Bola	kauŋ⁵⁵ tɔ̱̃³⁵	kauŋ⁵⁵ tɔ̱̃³⁵	back (body)	back (body)			1.4.8	115	0			1,225
13133	370	Bola	laʔ³¹ tʃʰɛʔ⁵⁵	laʔ³¹ tʃʰɛʔ⁵⁵	armpit	armpit			1.5.1.2.3	116	0			
13134	370	Bola	ɣɔ⁵⁵ kɔ̃⁵⁵	ɣɔ⁵⁵ kɔ̃⁵⁵	chest	chest			1.4.4.3	117	0			288,2000
13135	370	Bola	nau³⁵	nau³⁵	breast	breast			1.4.4.3	118	0			253
13136	370	Bola	vɛ³¹ tau³¹	vɛ³¹ tau³¹	belly	belly			1.4.7	119	0			137,m
13137	370	Bola	tʃʰaʔ⁵⁵	tʃʰaʔ⁵⁵	navel	navel			1.9.4	120	0			525
13138	370	Bola	pʰi³¹ tam³¹	pʰi³¹ tam³¹	waist	waist			1.4.6	121	0			1361,1362
13139	370	Bola	tʃʰauʔ⁵⁵ pauŋ⁵⁵	tʃʰauʔ⁵⁵ pauŋ⁵⁵	buttocks	buttocks			1.4.10	122	0			215,404
13140	370	Bola	tɔ̱̃³⁵ pau³¹	tɔ̱̃³⁵ pau³¹	thigh	thigh			1.5.7.1	123	0			
13141	370	Bola	pɔ̱t⁵⁵ lauʔ⁵⁵	pɔ̱t⁵⁵ lauʔ⁵⁵	knee	knee			1.5.8.4	124	0			436,m
13142	370	Bola	kʰji⁵⁵ pu̱³¹	kʰji⁵⁵ pu̱³¹	calf	calf			1.5.7	125	0			
13143	370	Bola	kʰji⁵⁵	kʰji⁵⁵	foot	foot			1.5.2	126	0			335
13144	370	Bola	kʰji⁵⁵ tʃʰɛʔ⁵⁵	kʰji⁵⁵ tʃʰɛʔ⁵⁵	heel	heel			1.5.2.1	127	0			
13145	370	Bola	laʔ³¹ pu³⁵	laʔ³¹ pu³⁵	arm	arm			1.5.1.2	128	0			695,1327
13147	370	Bola	laʔ³¹	laʔ³¹	hand	hand			1.5.1.1	130	0			695
13148	370	Bola	laʔ³¹ jɔn³¹	laʔ³¹ jɔn³¹	wrist	wrist			1.5.8.1	131	0			695,m
13149	370	Bola	laʔ³¹ ŋju̱ŋ³⁵	laʔ³¹ ŋju̱ŋ³⁵	finger	finger			1.5.6	132	0			695,320
13150	370	Bola	laʔ³¹ ma³⁵ tʃʰɛ̃³¹	laʔ³¹ ma³⁵ tʃʰɛ̃³¹	thumb	thumb			1.5.6.1	133	0			
13151	370	Bola	tɔ̱n³⁵ ŋju̱ŋ³⁵	tɔ̱n³⁵ ŋju̱ŋ³⁵	index finger	index finger			1.0	134	0			m,320
13152	370	Bola	kauŋ³¹ kauŋ⁵⁵ ŋju̱ŋ³⁵	kauŋ³¹ kauŋ⁵⁵ ŋju̱ŋ³⁵	middle finger	middle finger			1.9.4	135	0			
13154	370	Bola	laʔ³¹ tʰɔ̃³⁵ ŋju̱ŋ³⁵	laʔ³¹ tʰɔ̃³⁵ ŋju̱ŋ³⁵	little finger	little finger			9.7.2	137	0			695,m,m
13155	370	Bola	laʔ³¹ saŋ³⁵	laʔ³¹ saŋ³⁵	fingernail	fingernail			1.5.10.1	138	0			
13156	370	Bola	laʔ³¹ tsa̱p⁵⁵	laʔ³¹ tsa̱p⁵⁵	fist	fist			1.5.1.1.1	139	0			695,86
13157	370	Bola	tʃʰauʔ⁵⁵	tʃʰauʔ⁵⁵	anus	anus			1.4.10.2	140	0			m
13158	370	Bola	ŋji̱³⁵	ŋji̱³⁵	penis	penis				141	0			545
13159	370	Bola	ŋji̱³⁵ tʃɿ³⁵	ŋji̱³⁵ tʃɿ³⁵	testicles	testicles				142	0			545,3559
13160	370	Bola	tʃauʔ³¹	tʃauʔ³¹	vagina	vagina				143	0			1356
13161	370	Bola	ŋji⁵⁵ tʃʰɔ̃³⁵	ŋji⁵⁵ tʃʰɔ̃³⁵	placenta	placenta				144	0			m,1615
13162	370	Bola	tʃʰaʔ⁵⁵	tʃʰaʔ⁵⁵	umbilical cord	umbilical cord				145	0			525
13163	370	Bola	tʃauʔ³¹ tui⁵⁵	tʃauʔ³¹ tui⁵⁵	womb	womb				146	0			679,m
13164	370	Bola	ʃă³⁵ ka̱uʔ⁵⁵	ʃă³⁵ ka̱uʔ⁵⁵	skin	skin			1.6.5	147	0			34,586
13165	370	Bola	mə̆³¹ va³¹	mə̆³¹ va³¹	hemorrhoids	hemorrhoids			1.4.10.2	149	0			
13166	370	Bola	pjaŋ⁵⁵	pjaŋ⁵⁵	sore, ulcer	sore, ulcer			1.1.5.1	150	0			
13167	370	Bola	tɛ̃⁵⁵ kʰo⁵⁵	tɛ̃⁵⁵ kʰo⁵⁵	scar	scar			1.6.5.3	151	0			
13168	370	Bola	ʃă³⁵ taʔ⁵⁵	ʃă³⁵ taʔ⁵⁵	ringworm	ringworm			2.2.6	153	0			
13169	370	Bola	ʃa³⁵	ʃa³⁵	flesh	flesh			1.1.1.1	154	0			34
13170	370	Bola	sui³⁵	sui³⁵	blood	blood			1.6.2	155	0			230
13171	370	Bola	ʃă³⁵ kji³¹	ʃă³⁵ kji³¹	muscle	muscle			1.6.6.2	156	0			34,372
