rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
13508	559	Ergong (Daofu)	ʔzu◦bo	ʔzu◦bo	body	body			1.1.1	1.1	0			4,1902
13509	559	Ergong (Daofu)	ʑaɬthuŋæce	ʑaɬthuŋæce	side (right)	side (right)			1.4.5	1.2	0			
13510	559	Ergong (Daofu)	ʑa kuɑŋæ ce	ʑa kuɑŋæ ce	side (left)	side (left)			1.4.5	1.3	0			
13511	559	Ergong (Daofu)	dʑɑu ȵo ce	dʑɑu ȵo ce	back	back			1.4.8	1.4	0			213,203,m
13512	559	Ergong (Daofu)	ŋui ce	ŋui ce	front	front			1.4.4	1.5	0			m,m
13513	559	Ergong (Daofu)	ʔzu	ʔzu	torso / trunk	torso  /  trunk			1.5.3.2	1.6	0	jbl3		4
13514	559	Ergong (Daofu)	rko ʑa	rko ʑa	limbs / arms and legs	limbs  /  arms and legs			1.5.3.1	1.7	0	jbl3		5621,m
13515	559	Ergong (Daofu)	ɦa lɔ	ɦa lɔ	bosom	bosom			1.4.4.2	1.9	0			
13516	559	Ergong (Daofu)	bla ze	bla ze	groin / loins	groin  /  loins			1.4.9	1.10	0	jbl3		3341,m
13517	559	Ergong (Daofu)	ʔba no	ʔba no	flesh / meat	flesh  /  meat			1.1.1.1	1.11	0	jbl3		m,35
13518	559	Ergong (Daofu)	ʔshə shə	ʔshə shə	alive / be living	alive  /  be living			1.1.2.1	1.12	0	jbl3		80,80
13519	559	Ergong (Daofu)	da sa shei	da sa shei	die / be dead	die  /  be dead			1.1.6	1.13	0	jbl3		m,m,27
13520	559	Ergong (Daofu)	ʔruə	ʔruə	corpse / dead body	corpse  /  dead body			1.1.6.1	1.14	0	jbl3		19
13521	559	Ergong (Daofu)	rə |dɔ ʔruə	rə dɔ ʔruə	carcass / dead animal	carcass  /  dead animal			1.1.6.1	1.15	0	jbl3		1862,19
13522	559	Ergong (Daofu)	ga rgə shei	ga rgə shei	sleep /  be asleep	sleep  /   be asleep			1.1.4.1	1.16	0	jbl3		p,m,m
13523	559	Ergong (Daofu)	da sue shei	da sue shei	awake / be awake	awake  /  be awake			1.1.4	1.17	0	jbl3		5770,5768,1837
13524	559	Ergong (Daofu)	ʔtsha ɬmɑ	ʔtsha ɬmɑ	dream	dream	v.	v.	1.1.4.2	1.18	0			m,126
13525	559	Ergong (Daofu)	huə	huə	head	head			1.2.1	2.1	0			386
13526	559	Ergong (Daofu)	huə tsɔ tsɔ	huə tsɔ tsɔ	top of head / crown / pate	top of head  /  crown  /  pate			1.2.1.2	2.2	0	jbl3		386,m,m
13527	559	Ergong (Daofu)	huə tɕhə rei	huə tɕhə rei	skull	skull			1.2.1.1	2.4	0			386,m,232
13528	559	Ergong (Daofu)	huə ʔɸuɑ	huə ʔɸuɑ	brain	brain			1.2.4	2.5	0			386,247
13529	559	Ergong (Daofu)	snei naŋ	snei naŋ	sinus	sinus			1.2.8.1	2.6	0			803
13530	559	Ergong (Daofu)	huə pho	huə pho	hair of head	hair of head			1.2.3	2.7	0			386,1228
13531	559	Ergong (Daofu)	huə dʑa	huə dʑa	scalp	scalp			1.2.1.5	2.8	0			386,448
13532	559	Ergong (Daofu)	lmu	lmu	comb (of rooster)	comb (of rooster)			1.2.2.1	2.9	0			1148
13533	559	Ergong (Daofu)	qrə	qrə	horn (of animal)	horn (of animal)			1.2.2	2.10	0			819
13534	559	Ergong (Daofu)	ʔtsa qrə	ʔtsa qrə	antler (of deer)	antler (of deer)			1.2.2	2.11	0			m,814
13535	559	Ergong (Daofu)	rŋa	rŋa	face	face			1.2.5	3.1	0			1192
13536	559	Ergong (Daofu)	kɑɹ |pɑ |lɑ	kɑɹ pɑ lɑ	forehead / brow	forehead  /  brow			1.2.5.1	3.2	0	jbl3		1241
13537	559	Ergong (Daofu)	mɑu	mɑu	eye	eye			1.2.6	3.4	0			681
