rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
13903	606	rGyalrong	tə s◦gru	tə s◦gru	body	body		1.1.1	1.1	0		p,p,560
13904	606	rGyalrong	ka wlak	ka wlak	side (right)	side (right)		1.4.5	1.2	0		
13905	606	rGyalrong	ka tɕʰa	ka tɕʰa	side (left)	side (left)		1.4.5	1.3	0		
13906	606	rGyalrong	teŋ◦kʰu	teŋ◦kʰu	back	back		1.4.8	1.4	0		225,211
13907	606	rGyalrong	tə tʂi	tə tʂi	front	front		1.4.4	1.5	0		m,1212
13908	606	rGyalrong	tə s◦gru	tə s◦gru	torso / trunk	torso  /  trunk		1.5.3.2	1.6	0		p,p,560
13909	606	rGyalrong	tə mɛ ta jɛk	tə mɛ ta jɛk	limbs / arms and legs	limbs  /  arms and legs		1.5.3.1	1.7	0		
13910	606	rGyalrong	tə smɛt	tə smɛt	lap	lap		1.4.4.2	1.8	0		p,m
13911	606	rGyalrong	ta r̥o	ta r̥o	bosom	bosom		1.4.4.2	1.9	0		
13912	606	rGyalrong	ta pjak kɛ	ta pjak kɛ	groin / loins	groin  /  loins		1.4.9	1.10	0		
13913	606	rGyalrong	ɕa	ɕa	flesh / meat	flesh  /  meat		1.1.1.1	1.11	0		34
13914	606	rGyalrong	kə sə so	kə sə so	alive / be living	alive  /  be living		1.1.2.1	1.12	0		p,80,80
13915	606	rGyalrong	kə ɕi	kə ɕi	die / be dead	die  /  be dead		1.1.6	1.13	0		p,27
13916	606	rGyalrong	ta wam	ta wam	corpse / dead body	corpse  /  dead body		1.1.6.1	1.14	0		p,12
13917	606	rGyalrong	kə rȵɛ wam	kə rȵɛ wam	carcass / dead animal	carcass  /  dead animal		1.1.6.1	1.15	0		p,m,12
13918	606	rGyalrong	ka rma	ka rma	sleep /  be asleep	sleep  /   be asleep		1.1.4.1	1.16	0		p,130
13919	606	rGyalrong	ta mȵak kə r̥o	ta mȵak |kə r̥o	awake / be awake	awake  /  be awake		1.1.4	1.17	0		p,682,m,m
13920	606	rGyalrong	ta r̥mo kə pa	ta r̥mo kə pa	dream	dream	v.	1.1.4.2	1.18	0		p,126,m,m
13921	606	rGyalrong	ta ko	ta ko	head	head		1.2.1	2.1	0		p,386
13922	606	rGyalrong	tə ŋtɛk	tə ŋtɛk	top of head / crown / pate	top of head  /  crown  /  pate		1.2.1.2	2.2	0		
13923	606	rGyalrong	ɕa rə	ɕa rə	skull	skull		1.2.1.1	2.4	0		m,1198
13924	606	rGyalrong	tə pjo	tə pjo	brain	brain		1.2.4	2.5	0		p,252
13925	606	rGyalrong	tə ɕna kʰoi jdu	tə ɕna kʰoi jdu	sinus	sinus		1.2.8.1	2.6	0		p,m,665,822
13926	606	rGyalrong	ta ko rȵᴇ	ta ko rȵᴇ	hair of head	hair of head		1.2.3	2.7	0	D1	p,386,368
13927	606	rGyalrong	ta ko n◦dɕi	ta ko n◦dɕi	scalp	scalp		1.2.1.5	2.8	0		p,386,p,596
