rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
14460	697	Jinuo (Baka)	a³³ mʌ⁴⁴	a³³ mʌ⁴⁴	body	body		1.1.1	97	0		p,17
14461	697	Jinuo (Baka)	v̩⁴⁴ kʰɛ⁴⁴	v̩⁴⁴ kʰɛ⁴⁴	head	head		1.2.1	99	0		385,383
14462	697	Jinuo (Baka)	tsʰɛ⁴⁴ kʰɯ⁴⁴	tsʰɛ⁴⁴ kʰɯ⁴⁴	hair (head)	hair (head)		1.2.3	100	0		366,372
14463	697	Jinuo (Baka)	tsʰɛ⁴⁴ pʰlø⁵⁵	tsʰɛ⁴⁴ pʰlø⁵⁵	braid (hair)	braid (hair)	n	1.2.3.2	101	0		366,2018
14464	697	Jinuo (Baka)	n̥ɤ³¹ tʰɤ⁵⁵	n̥ɤ³¹ tʰɤ⁵⁵	forehead	forehead		1.2.5.1	102	0		356,358
14465	697	Jinuo (Baka)	mja³¹ m̥ɯ⁴⁴	mja³¹ m̥ɯ⁴⁴	eyebrow	eyebrow		1.2.6.6	103	0		681,363
14466	697	Jinuo (Baka)	mja³¹ sɯ⁴⁴	mja³¹ sɯ⁴⁴	eye	eye		1.2.6	104	0		681,3559
14467	697	Jinuo (Baka)	mja³¹ tsɿ⁴⁴	mja³¹ tsɿ⁴⁴	eye	eye		1.2.6	104.1	0		681,3559
14468	697	Jinuo (Baka)	n̥o³¹ tu⁴⁴	n̥o³¹ tu⁴⁴	nose	nose		1.2.8	106	0		803,808
14469	697	Jinuo (Baka)	n̥a⁴⁴ kʰu⁵⁵	n̥a⁴⁴ kʰu⁵⁵	ear	ear		1.2.7	107	0		811,820
14470	697	Jinuo (Baka)	mja³¹ pʰlʌ⁴⁴	mja³¹ pʰlʌ⁴⁴	face	face		1.2.5	108	0		681,1186
14471	697	Jinuo (Baka)	pɔ⁴⁴ kjɛ³¹	pɔ⁴⁴ kjɛ³¹	cheek	cheek		1.2.5.2	109	0		268,262
14472	697	Jinuo (Baka)	m̥ø⁴⁴ m̥ø⁴⁴	m̥ø⁴⁴ m̥ø⁴⁴	mouth	mouth		1.3.1	110	0		467,467
14473	697	Jinuo (Baka)	m̥ø⁴⁴ kʰu³¹	m̥ø⁴⁴ kʰu³¹	lip	lip		1.3.2	111	0		467,586
14474	697	Jinuo (Baka)	mø⁴⁴ m̥ɯ⁴⁴	mø⁴⁴ m̥ɯ⁴⁴	beard	beard		1.2.5.5	112	0		363,363
14475	697	Jinuo (Baka)	m̥ø⁴⁴ tʌ³³	m̥ø⁴⁴ tʌ³³	lower jaw, chin	lower jaw, chin			114	0		1187,m
14476	697	Jinuo (Baka)	lɯ³¹ tsʰɯ⁵⁵	lɯ³¹ tsʰɯ⁵⁵	neck	neck		1.4.2	115	0		479,418
14477	697	Jinuo (Baka)	lɯ³¹ nu⁴⁴ lu⁴⁴	lɯ³¹ nu⁴⁴ lu⁴⁴	nape	nape		1.4.2.1	116	0		479,m,m
14478	697	Jinuo (Baka)	pa⁴⁴ pʰv̩⁵⁵	pa⁴⁴ pʰv̩⁵⁵	shoulder	shoulder		1.4.3	117	0		568,3344
14479	697	Jinuo (Baka)	a⁴⁴ n̥u³¹	a⁴⁴ n̥u³¹	back (body)	back (body)		1.4.8	118	0		p,203
14480	697	Jinuo (Baka)	ja⁴⁴ u⁴⁴	ja⁴⁴ u⁴⁴	armpit	armpit		1.5.1.2.3	119	0		
14481	697	Jinuo (Baka)	n̥ɯ³¹ kʰa³¹	n̥ɯ³¹ kʰa³¹	chest	chest		1.4.4.3	120	0		297,310
14482	697	Jinuo (Baka)	a⁴⁴ tʃu⁵⁵	a⁴⁴ tʃu⁵⁵	waist	waist		1.4.6	124	0		p,215
14483	697	Jinuo (Baka)	to⁴⁴ tʃø⁴⁴	to⁴⁴ tʃø⁴⁴	buttocks	buttocks		1.4.10	125	0		225,284
14484	697	Jinuo (Baka)	ʃo³³ kʰji⁵⁵	ʃo³³ kʰji⁵⁵	foot	foot		1.5.2	129	0		m,335
14485	697	Jinuo (Baka)	la⁵⁵ pv̩⁴⁴	la⁵⁵ pv̩⁴⁴	arm	arm		1.5.1.2	131	0		695,1327
14486	697	Jinuo (Baka)	la⁵⁵ ɯ⁴⁴	la⁵⁵ ɯ⁴⁴	forearm	forearm		1.5.1.2.2	131.1	0		695,m
14487	697	Jinuo (Baka)	la⁵⁵ tsʰɯ⁵⁵	la⁵⁵ tsʰɯ⁵⁵	elbow	elbow		1.5.8.3	132	0		695,418
14488	697	Jinuo (Baka)	la⁵⁵ pv̩⁴⁴	la⁵⁵ pv̩⁴⁴	hand	hand		1.5.1.1	133	0		695,m
14489	697	Jinuo (Baka)	la⁵⁵ kʰjø⁴⁴	la⁵⁵ kʰjø⁴⁴	palm	palm		1.5.5	133.1	0		695,m
14490	697	Jinuo (Baka)	la⁵⁵ n̥v̩⁵⁵	la⁵⁵ n̥v̩⁵⁵	finger	finger		1.5.6	135	0		695,320
14491	697	Jinuo (Baka)	la⁵⁵ mo³³	la⁵⁵ mo³³	thumb	thumb		1.5.6.1	136	0		695,1619
14492	697	Jinuo (Baka)	ny⁵⁵ tʰo⁴⁴	ny⁵⁵ tʰo⁴⁴	index finger	index finger		1.0	137	0		
14493	697	Jinuo (Baka)	n̥v̩⁵⁵ ku⁵⁵ lv̩⁵⁵	n̥v̩⁵⁵ ku⁵⁵ lv̩⁵⁵	middle finger	middle finger		1.9.4	138	0		
14494	697	Jinuo (Baka)	la⁵⁵ ni⁵⁵ li⁵⁵	la⁵⁵ ni⁵⁵ li⁵⁵	little finger	little finger		9.7.2	140	0		695,m,m
14495	697	Jinuo (Baka)	la⁵⁵ sɯ⁴⁴	la⁵⁵ sɯ⁴⁴	fingernail	fingernail		1.5.10.1	141	0	D0	695,512
14496	697	Jinuo (Baka)	la⁵⁵ tʰv̩³¹	la⁵⁵ tʰv̩³¹	fist	fist		1.5.1.1.1	142	0		695,m
14497	697	Jinuo (Baka)	n̥ɤ⁴⁴ tʰɤ⁴⁴	n̥ɤ⁴⁴ tʰɤ⁴⁴	wrinkles	wrinkles		9.6.2	151	0		
14498	697	Jinuo (Baka)	tʃʰa⁵⁵ m̥ɯ⁴⁴	tʃʰa⁵⁵ m̥ɯ⁴⁴	body hair	body hair		1.6.1	152	0		1232,363
14499	697	Jinuo (Baka)	mɛ⁴⁴ na³¹	mɛ⁴⁴ na³¹	hemorrhoids	hemorrhoids		1.4.10.2	153	0	D0	
14500	697	Jinuo (Baka)	ʃo⁴⁴	ʃo⁴⁴	flesh	flesh		1.1.1.1	159	0		34
14501	697	Jinuo (Baka)	ʃɿ³³	ʃɿ³³	blood	blood		1.6.2	160	0		230
14502	697	Jinuo (Baka)	v̩⁴⁴ no⁵⁵	v̩⁴⁴ no⁵⁵	brain	brain		1.2.4	164	0		385,243
14503	697	Jinuo (Baka)	ʃo⁴⁴ ɯ³³	ʃo⁴⁴ ɯ³³	bone	bone		1.6.3	165	0		34,232
14504	697	Jinuo (Baka)	a³³ tʃɯ⁴⁴	a³³ tʃɯ⁴⁴	tooth	tooth		1.3.4	170	0		p,635
14505	697	Jinuo (Baka)	a³³ ɬo⁴⁴	a³³ ɬo⁴⁴	tongue	tongue		1.3.3	172	0		p,623
14506	697	Jinuo (Baka)	a⁴⁴ tsʰɿ⁵⁵	a⁴⁴ tsʰɿ⁵⁵	lungs	lungs		1.7.2	178	0		
14507	697	Jinuo (Baka)	n̥ɯ³¹ sɯ⁴⁴	n̥ɯ³¹ sɯ⁴⁴	heart	heart		1.7.1	179	0		297,1019
14508	697	Jinuo (Baka)	tsʰɯ³¹ na³¹ la³¹	tsʰɯ³¹ na³¹ la³¹	liver	liver		1.7.3	180	0		1390,m,m
14509	697	Jinuo (Baka)	kʰji³¹ kʰo⁴⁴	kʰji³¹ kʰo⁴⁴	gall bladder	gall bladder		1.7.3	183	0		227,m
14510	697	Jinuo (Baka)	a³³ v̩⁴⁴	a³³ v̩⁴⁴	intestines	intestines		1.7.7	184	0		p,2102
14511	697	Jinuo (Baka)	kʰji⁴⁴	kʰji⁴⁴	sweat	sweat		1.8.1	190	0		615
14512	697	Jinuo (Baka)	kʰjø⁴⁴ kʰlʌ³¹	kʰjø⁴⁴ kʰlʌ³¹	phlegm	phlegm		1.8.3	191	0		m,540
