rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
15429	886	Lashi	kuŋ³¹	kuŋ³¹	body	body		1.1.1	1.1	0		1
15430	886	Lashi	nuŋ⁵⁵ khuŋ³³	nuŋ⁵⁵ khuŋ³³	back	back		1.4.8	1.4	0	D1	203,219
15431	886	Lashi	kuŋ³³	kuŋ³³	torso / trunk	torso  /  trunk		1.5.3.2	1.6	0		1
15432	886	Lashi	khjei³³ lɔʔ³¹	khjei³³ lɔʔ³¹	limbs / arms and legs	limbs  /  arms and legs		1.5.3.1	1.7	0		
15433	886	Lashi	ta̱ŋ⁵⁵ kɔ:i⁵⁵	ta̱ŋ⁵⁵ kɔ:i⁵⁵	lap	lap		1.4.4.2	1.8	0		289,2326
15434	886	Lashi	jaŋ³¹ kaŋ³¹	jaŋ³¹ kaŋ³¹	bosom	bosom		1.4.4.2	1.9	0		m,m
15435	886	Lashi	ta̱ŋ⁵⁵ kɔ:i⁵⁵ khjo³³	ta̱ŋ⁵⁵ kɔ:i⁵⁵ khjo³³	groin / loins	groin  /  loins		1.4.9	1.10	0		225,m,m
15436	886	Lashi	ʃo⁵⁵	ʃo⁵⁵	flesh / meat	flesh  /  meat		1.1.1.1	1.11	0		34
15437	886	Lashi	tə³¹ tsə⁵⁵	tə³¹ tsə⁵⁵	alive / be living	alive  /  be living		1.1.2.1	1.12	0		m,71
15438	886	Lashi	ʃə̱i³³ tsə⁵⁵	ʃə̱i³³ tsə⁵⁵	die / be dead	die  /  be dead		1.1.6	1.13	0		27,m
15439	886	Lashi	maŋ³¹	maŋ³¹	corpse / dead body	corpse  /  dead body		1.1.6.1	1.14	0		17
15440	886	Lashi	maŋ³¹	maŋ³¹	carcass / dead animal	carcass  /  dead animal		1.1.6.1	1.15	0		17
15441	886	Lashi	ju̱:p⁵⁵	ju̱:p⁵⁵	sleep /  be asleep	sleep  /   be asleep		1.1.4.1	1.16	0		127
15442	886	Lashi	ʃu̱:p⁵⁵	ʃu̱:p⁵⁵	sleep /  be asleep	sleep  /   be asleep		1.1.4.1	1.16	0		127
15443	886	Lashi	pu:n³³	pu:n³³	awake / be awake	awake  /  be awake		1.1.4	1.17	0		151
15444	886	Lashi	mɔ:ʔ³¹	mɔ:ʔ³¹	dream	dream	v.	1.1.4.2	1.18	0		126
15445	886	Lashi	wo̱⁵⁵ lɔ̱m⁵³	wo̱⁵⁵ lɔ̱m⁵³	head	head		1.2.1	2.1	0		385,690
