rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
15680	958	Lolopho	gɯ³³ tʂhɿ³¹	gɯ³³ tʂhɿ³¹	body	body		1.1.1	1.1	0		2,1126
15681	958	Lolopho	væ⁵⁵ khɤ³¹	væ⁵⁵ khɤ³¹	side (right)	side (right)		1.4.5	1.2	0		
15682	958	Lolopho	ʐo³³ khɤ³¹	ʐo³³ khɤ³¹	side (left)	side (left)		1.4.5	1.3	0		
15683	958	Lolopho	kæ⁴⁴ ni⁵⁵ sɤ⁴⁴	kæ⁴⁴ ni⁵⁵ sɤ⁴⁴	back	back		1.4.8	1.4	0		m,203,m
15684	958	Lolopho	xɒ⁵⁵ mɯ³¹ tshe³¹	xɒ⁵⁵ mɯ³¹ tshe³¹	front	front		1.4.4	1.5	0		m,m,m
15685	958	Lolopho	gɯ³³ mo³³	gɯ³³ mo³³	torso / trunk	torso  /  trunk		1.5.3.2	1.6	0		m,m
15686	958	Lolopho	tɕi³³ v̩³¹ le̱³¹v̩³¹	tɕi³³ v̩³¹ le̱³¹v̩³¹	limbs / arms and legs	limbs  /  arms and legs		1.5.3.1	1.7	0		
15687	958	Lolopho	ȵi̱⁴⁴ mo³³ tʂo³³ tshe³¹	ȵi̱⁴⁴ mo³³ tʂo³³ tshe³¹	bosom	bosom		1.4.4.2	1.9	0		297,s,299,m
15688	958	Lolopho	xo³¹ ɳe̱³¹	xo³¹ ɳe̱³¹	flesh / meat	flesh  /  meat		1.1.1.1	1.11	0		34,43
15689	958	Lolopho	gv̩³³ lv̩⁴⁴	gv̩³³ lv̩⁴⁴	alive / be living	alive  /  be living		1.1.2.1	1.12	0		20,87
15690	958	Lolopho	ʂɿ³³ lv̩⁴⁴	ʂɿ³³ lv̩⁴⁴	die / be dead	die  /  be dead		1.1.6	1.13	0		27,s
15691	958	Lolopho	tshɒ³³ ʂɿ³³ mɒ³³	tshɒ³³ ʂɿ³³ mɒ³³	corpse / dead body	corpse  /  dead body		1.1.6.1	1.14	0		3327,27,17
15692	958	Lolopho	ʂɿ³³ mɒ³³	ʂɿ³³ mɒ³³	carcass / dead animal	carcass  /  dead animal		1.1.6.1	1.15	0		27,17
15693	958	Lolopho	ʑi̱³¹ pɯ⁵⁵	ʑi̱³¹ pɯ⁵⁵	sleep /  be asleep	sleep  /   be asleep		1.1.4.1	1.16	0		127,s
15694	958	Lolopho	xo⁵⁵ tɕhi³¹	xo⁵⁵ tɕhi³¹	awake / be awake	awake  /  be awake		1.1.4	1.17	0		150,152
15695	958	Lolopho	ʑi̱³¹ mi̱³³ khɒ³³	ʑi̱³¹ mi̱³³ khɒ³³	dream	dream	v.	1.1.4.2	1.18	0		127,126,m
15696	958	Lolopho	v̩⁵⁵ dɯ³³	v̩⁵⁵ dɯ³³	head	head		1.2.1	2.1	0		385,1223
15697	958	Lolopho	v̩⁵⁵ kɒ⁴⁴ pi⁴⁴	v̩⁵⁵ kɒ⁴⁴ pi⁴⁴	top of head / crown / pate	top of head  /  crown  /  pate		1.2.1.2	2.2	0		385,m,m
15698	958	Lolopho	v̩⁵⁵ dɯ³³ v̩³¹ kv⁴⁴	v̩⁵⁵ dɯ³³ v̩³¹ kv⁴⁴	skull	skull		1.2.1.1	2.4	0	E	e
15699	958	Lolopho	v̩⁵⁵ no̱³¹	v̩⁵⁵ no̱³¹	brain	brain		1.2.4	2.5	0		385,243
15700	958	Lolopho	v̩⁵⁵ tʂɤ³³	v̩⁵⁵ tʂɤ³³	hair of head	hair of head		1.2.3	2.7	0		385,1232
15701	958	Lolopho	v̩⁵⁵ phi³¹	v̩⁵⁵ phi³¹	scalp	scalp		1.2.1.5	2.8	0		385,590
15702	958	Lolopho	ze̱⁴⁴ kɤ⁴⁴	ze̱⁴⁴ kɤ⁴⁴	comb (of rooster)	comb (of rooster)		1.2.2.1	2.9	0		1606,m
15703	958	Lolopho	khɯ³³	khɯ³³	horn (of animal)	horn (of animal)		1.2.2	2.10	0		819
15704	958	Lolopho	tɕhi̱⁴⁴ khɯ³³	tɕhi̱⁴⁴ khɯ³³	antler (of deer)	antler (of deer)		1.2.2	2.11	0		2739,819
15705	958	Lolopho	pha³¹ me̱⁴⁴	pha³¹ me̱⁴⁴	face	face		1.2.5	3.1	0		1186,681
15706	958	Lolopho	ŋɤ̱³¹ kɒ⁴⁴	ŋɤ̱³¹ kɒ⁴⁴	forehead / brow	forehead  /  brow		1.2.5.1	3.2	0		356,m
15707	958	Lolopho	me̱⁴⁴ dv̩³¹	me̱⁴⁴ dv̩³¹	eye	eye		1.2.6	3.4	0		681,2068
15708	958	Lolopho	me̱⁴⁴ sæ³¹	me̱⁴⁴ sæ³¹	eyeball	eyeball		1.2.6.1	3.4.2	0		681,1019
15709	958	Lolopho	me̱⁴⁴ phv̩³³	me̱⁴⁴ phv̩³³	iris	iris		1.2.6.2	3.4.2.1	0		681,m
15710	958	Lolopho	me̱⁴⁴ ne̱³³	me̱⁴⁴ ne̱³³	pupil	pupil		1.2.6.2	3.4.2.2	0		681,m
15711	958	Lolopho	me̱⁴⁴ phv̩³³	me̱⁴⁴ phv̩³³	white of eye	white of eye		1.2.6.3	3.4.2.3	0		681,1235
15712	958	Lolopho	me̱⁴⁴ kɯ⁵⁵ phæ³³	me̱⁴⁴ kɯ⁵⁵ phæ³³	eyebrow	eyebrow		1.2.6.6	3.4.3	0		681,586,m
15713	958	Lolopho	me̱⁴⁴ tɕi⁴⁴	me̱⁴⁴ tɕi⁴⁴	eyelash	eyelash		1.2.6.5	3.4.4	0		681,366
15714	958	Lolopho	me̱⁴⁴ tɕhi̱⁴⁴	me̱⁴⁴ tɕhi̱⁴⁴	blink	blink	v.	1.2.6.12	3.4.5	0		681,m
15715	958	Lolopho	me̱⁴⁴ bi³³	me̱⁴⁴ bi³³	tears	tears	n.	1.2.6.7	3.4.6	0		681,187
15716	958	Lolopho	me̱⁴⁴ ɕi³¹	me̱⁴⁴ ɕi³¹	eye sand	eye sand		1.2.6.8	3.4.7	0		681,572
15717	958	Lolopho	ŋɯ³³	ŋɯ³³	cry / weep	cry  /  weep	v.	1.8.8.2	3.4.8	0		1104
15718	958	Lolopho	xɒ³³	xɒ³³	look	look	v.	1.2.6.11	3.4.9	0		m
15719	958	Lolopho	xɒ³³ mɒ³³	xɒ³³ mɒ³³	see	see	v.	1.2.6.10	3.4.9	0		m,m
15720	958	Lolopho	me̱⁴⁴ ka⁴⁴	me̱⁴⁴ ka⁴⁴	blind	blind		1.2.6.14.2	3.4.10	0		681,m
15721	958	Lolopho	nv̩⁴⁴ gv̩³³	nv̩⁴⁴ gv̩³³	nose	nose		1.2.8	3.5	0		803,809
15722	958	Lolopho	no⁴⁴ v̩³¹	no⁴⁴ v̩³¹	nose bridge	nose bridge		1.2.8	3.5.1	0		803,232
15723	958	Lolopho	nv̩⁴⁴ gv̩³³ mi³³ dv̩³¹	nv̩⁴⁴ gv̩³³ mi³³ dv̩³¹	nostril	nostril		1.2.8.1	3.5.2	0		803,809,m,808
15724	958	Lolopho	nv̩⁴⁴ gv̩³³ mɯ³³	nv̩⁴⁴ gv̩³³ mɯ³³	nose hair	nose hair		1.2.8	3.5.4	0		803,809,363
15725	958	Lolopho	ve̱³¹ nv̩⁴⁴ gv̩³³	ve̱³¹ nv̩⁴⁴ gv̩³³	snout (pig)	snout (pig)		1.2.8	3.5.5	0		1006,803,809
15726	958	Lolopho	ti⁵⁵ vi³³	ti⁵⁵ vi³³	liquid mucus	liquid mucus		3.2.3	3.5.6	0		
15727	958	Lolopho	ti⁵⁵ vi³³ nɤ̱⁵⁵ po³³	ti⁵⁵ vi³³ nɤ̱⁵⁵ po³³	solid mucus	solid mucus		1.1.5	3.5.7	0		
15728	958	Lolopho	xɯ³¹	xɯ³¹	blow nose	blow nose	v.	1.3.1.4	3.5.8	0		
15729	958	Lolopho	nɤ³¹	nɤ³¹	smell / sniff	smell  /  sniff	v.	1.2.8.5	3.5.9	0		1415
15730	958	Lolopho	no⁵⁵ pɒ⁴⁴	no⁵⁵ pɒ⁴⁴	ear	ear		1.2.7	3.6	0		811,812
15731	958	Lolopho	no⁵⁵ pɒ⁴⁴ mi³³ dv̩³¹	no⁵⁵ pɒ⁴⁴ mi³³ dv̩³¹	ear canal	ear canal		1.2.7	3.6.4	0		811,812,m,822
15732	958	Lolopho	no⁵⁵ ɕi³¹	no⁵⁵ ɕi³¹	earwax	earwax		1.2.7.3	3.6.6	0		811,572
15733	958	Lolopho	dʑi³³ ɣo³³	dʑi³³ ɣo³³	hear	hear	v.	1.2.7.4	3.6.7	0		m,1411
15734	958	Lolopho	(no⁵⁵) bɒ³¹	(no⁵⁵) bɒ³¹	deaf	deaf		1.2.7.5	3.6.8	0		811,1409
15735	958	Lolopho	me³¹ khv̩⁴⁴	me³¹ khv̩⁴⁴	mouth	mouth		1.3.1	3.7	0		467,473
15736	958	Lolopho	sɤ³¹ tse³³	sɤ³¹ tse³³	gums	gums		1.3.4.3	3.7.3	0		632,m
15737	958	Lolopho	ze̱⁴⁴ lo⁴⁴	ze̱⁴⁴ lo⁴⁴	uvula	uvula		1.3.5.1	3.7.4	0		
15738	958	Lolopho	ti⁵⁵ vi³³	ti⁵⁵ vi³³	saliva	saliva		1.8.3	3.7.5	0		
15739	958	Lolopho	dʐo³¹	dʐo³¹	eat	eat	v.	1.5.3.2	3.7.6	0		36
15740	958	Lolopho	dɒ³³	dɒ³³	drink	drink	v.		3.7.7	0		502
15741	958	Lolopho	xæ⁵⁵	xæ⁵⁵	thirsty	thirsty	be v.	1.1.3.1	3.7.8	0		101
15742	958	Lolopho	mi̱³¹	mi̱³¹	hungry	hungry	be v.	1.1.3	3.7.9	0		99
15743	958	Lolopho	bɯ̱³³ bi³³	bɯ̱³³ bi³³	full / be satiated	full  /  be satiated		1.1.3.2	3.7.10	0		100,134
15744	958	Lolopho	phi̱³¹	phi̱³¹	spit	spit	v.	1.8.3	3.7.11	0		
15745	958	Lolopho	lɒ⁵⁵	lɒ⁵⁵	vomit	vomit	v.	1.8.3.2	3.7.13	0		m
15746	958	Lolopho	mɤ⁴⁴	mɤ⁴⁴	hold in mouth	hold in mouth	v.	1.3.4.4	3.7.14	0		467
15747	958	Lolopho	ŋa⁵⁵	ŋa⁵⁵	gape / open mouth	gape  /  open mouth	v.	1.3.1	3.7.15	0		5706
15748	958	Lolopho	me³¹ tɕi⁴⁴ ŋa⁵⁵	me³¹ tɕi⁴⁴ ŋa⁵⁵	yawn	yawn	v.	1.3.1.3	3.7.16	0		
15749	958	Lolopho	lo⁴⁴	lo⁴⁴	tongue	tongue		1.3.3	3.8	0		623
15750	958	Lolopho	thɤ³³	thɤ³³	speak	speak	v.	8.5.10.1	3.8.1	0		
15751	958	Lolopho	lo̱⁴⁴ gɒ³³	lo̱⁴⁴ gɒ³³	stutter / stammer	stutter  /  stammer		8.5.4.5	3.8.2	0		
15752	958	Lolopho	po⁴⁴ mi⁴⁴	po⁴⁴ mi⁴⁴	mute / dumb	mute  /  dumb		1.5.3.2	3.8.3	0		
15753	958	Lolopho	la³¹	la³¹	lick	lick	v.	1.3.3.1	3.8.4	0		629
15754	958	Lolopho	me³¹ la⁵⁵	me³¹ la⁵⁵	lip	lip		1.3.2	3.9	0		467,456
15755	958	Lolopho	me³¹ kv̩⁴⁴	me³¹ kv̩⁴⁴	beak / bill	beak / bill		1.3.1.2	3.9.3	0		467,468
15756	958	Lolopho	væ³³	væ³³	smile	smile	v.	1.8.8.1	3.9.4	0		1108
15757	958	Lolopho	ʂɒ³¹	ʂɒ³¹	kiss	kiss	v.	1.3.2.2	3.9.5	0		
15758	958	Lolopho	ʂɤ³¹	ʂɤ³¹	tooth	tooth		1.3.4	3.10	0		632
15759	958	Lolopho	ʂɤ³¹ mo³³ pe̱³¹	ʂɤ³¹ mo³³ pe̱³¹	tooth (incisor)	tooth (incisor)		1.3.4	3.10.1	0		632,m,m
15760	958	Lolopho	v̩³³ kɯ⁵⁵	v̩³³ kɯ⁵⁵	molar	molar		1.3.4.2	3.10.2	0		m,637
15761	958	Lolopho	ɒ⁵⁵ no³¹ ɕi⁵⁵ ʂɤ³¹ ?	ɒ⁵⁵ no³¹ ɕi⁵⁵ ʂɤ³¹ ?	eyetooth / canine tooth	eyetooth  /  canine tooth		1.3.4.1	3.10.3	0		m,m,m,632
15762	958	Lolopho	ʂɤ³¹	ʂɤ³¹	tusk (of elephant, boar)	tusk (of elephant, boar)		1.3.4.1	3.10.6	0		
15763	958	Lolopho	khɤ̱³¹	khɤ̱³¹	bite	bite	v.	1.3.4.4	3.10.7	0		755
15764	958	Lolopho	gɯ̱³¹	gɯ̱³¹	chew	chew	v.	1.3.4	3.10.8	0		1762
15765	958	Lolopho	pha³¹ me̱⁴⁴	pha³¹ me̱⁴⁴	cheek	cheek		1.2.5.2	3.11	0		m,681
15766	958	Lolopho	bo³¹ kɯ³³	bo³¹ kɯ³³	cheekbone	cheekbone		1.2.5.2	3.11.1	0		268,m
15767	958	Lolopho	me³¹ pi⁴⁴	me³¹ pi⁴⁴	chin	chin		1.2.5.3	3.12	0		1187,271
15768	958	Lolopho	le³³ be³¹	le³³ be³¹	neck	neck		1.4.2	4.1	0		479,484
