rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
15938	1218	Nusu (Central/Zhizhiluo)	tɕʰe³⁵ gɯ³¹	tɕʰe³⁵ gɯ³¹	body	body			1.1.1	94.	0			1126,2
15939	1218	Nusu (Central/Zhizhiluo)	vʴi³⁵ ba³⁵	vʴi³⁵ ba³⁵	limbs	limbs			1.5.3.1	95.	0			
15940	1218	Nusu (Central/Zhizhiluo)	u³¹ pʰu⁵⁵	u³¹ pʰu⁵⁵	head	head			1.2.1	96.	0			385,1275
15941	1218	Nusu (Central/Zhizhiluo)	tsʰa³⁵	tsʰa³⁵	hair (head)	hair (head)			1.2.3	97.	0			366
15942	1218	Nusu (Central/Zhizhiluo)	tsʰa³⁵ pʰʴɚ⁵⁵	tsʰa³⁵ pʰʴɚ⁵⁵	braid (hair)	braid (hair)	n	n	1.2.3.2	98.	0			366,2018
15943	1218	Nusu (Central/Zhizhiluo)	n̥a⁵⁵ gõ⁵⁵ ti³⁵	n̥a⁵⁵ gõ⁵⁵ ti³⁵	forehead	forehead			1.2.5.1	99.	0			356,2025,358
15944	1218	Nusu (Central/Zhizhiluo)	mʴa̱³¹ m̥ʴɚ³⁵	mʴa̱³¹ m̥ʴɚ³⁵	eyebrow	eyebrow			1.2.6.6	100.	0			681,363
15945	1218	Nusu (Central/Zhizhiluo)	mʴa̱³¹ dzi³¹	mʴa̱³¹ dzi³¹	eye	eye			1.2.6	101.	0			681,3559
15946	1218	Nusu (Central/Zhizhiluo)	mʴa̱³¹ m̥ʴɚ³⁵	mʴa̱³¹ m̥ʴɚ³⁵	eyelash	eyelash			1.2.6.5	102.	0			681,363
15947	1218	Nusu (Central/Zhizhiluo)	n̥a⁵⁵ kõ³⁵	n̥a⁵⁵ kõ³⁵	nose	nose			1.2.8	103.	0			803,809
15948	1218	Nusu (Central/Zhizhiluo)	n̥a⁵⁵ sɚ̃³⁵	n̥a⁵⁵ sɚ̃³⁵	ear	ear			1.2.7	104.	0			811,2082
15949	1218	Nusu (Central/Zhizhiluo)	pʰʴɚ⁵⁵ n̥a³⁵	pʰʴɚ⁵⁵ n̥a³⁵	face	face			1.2.5	105.	0			1186,803
15950	1218	Nusu (Central/Zhizhiluo)	ba⁵⁵ ba³⁵	ba⁵⁵ ba³⁵	cheek	cheek			1.2.5.2	106.	0			268,s
15951	1218	Nusu (Central/Zhizhiluo)	n̥a⁵⁵ kʰõ³⁵	n̥a⁵⁵ kʰõ³⁵	mouth	mouth			1.3.1	107.	0			803,473
15952	1218	Nusu (Central/Zhizhiluo)	n̥ɯ⁵⁵ sui⁵⁵	n̥ɯ⁵⁵ sui⁵⁵	lip	lip			1.3.2	108.	0			467,790
15953	1218	Nusu (Central/Zhizhiluo)	m̥ɯ⁵⁵ tɕʰuɚ̱̃³¹	m̥ɯ⁵⁵ tɕʰuɚ̱̃³¹	beard	beard			1.2.5.5	109.	0			363,370
15954	1218	Nusu (Central/Zhizhiluo)	ka̱³¹ kʰe³¹	ka̱³¹ kʰe³¹	lower jaw, chin	lower jaw, chin				111.	0			m,m
15955	1218	Nusu (Central/Zhizhiluo)	le³¹ dɔ³⁵	le³¹ dɔ³⁵	neck	neck			1.4.2	112.	0			479,359
15956	1218	Nusu (Central/Zhizhiluo)	gua⁵⁵ gua³¹	gua⁵⁵ gua³¹	nape	nape			1.4.2.1	113.	0			389,389
15957	1218	Nusu (Central/Zhizhiluo)	kua⁵⁵ bo³¹	kua⁵⁵ bo³¹	shoulder	shoulder			1.4.3	114.	0			3350,1327
15958	1218	Nusu (Central/Zhizhiluo)	dõ³⁵	dõ³⁵	back (body)	back (body)			1.4.8	115.	0			225
15959	1218	Nusu (Central/Zhizhiluo)	kua⁵⁵ kɯ³⁵	kua⁵⁵ kɯ³⁵	armpit	armpit			1.5.1.2.3	116.	0			
15960	1218	Nusu (Central/Zhizhiluo)	ɣʴoŋ³¹ pʰʴɚ⁵⁵	ɣʴoŋ³¹ pʰʴɚ⁵⁵	chest	chest			1.4.4.3	117.	0			288,308
15961	1218	Nusu (Central/Zhizhiluo)	nɯ³⁵ nɯ³¹	nɯ³⁵ nɯ³¹	breast	breast			1.4.4.3	118.	0			253,253
15962	1218	Nusu (Central/Zhizhiluo)	va³¹ lɔ̱⁵³	va³¹ lɔ̱⁵³	belly	belly			1.4.7	119.	0			137,m
