rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
16193	1216	Nusu (Central)	tʂʰɿ³³ gɯ³¹	tʂʰɿ³³ gɯ³¹	body	body			1.1.1	94.	0			1126,2
16194	1216	Nusu (Central)	u³¹ pʰu⁵⁵	u³¹ pʰu⁵⁵	head	head			1.2.1	96.	0			385,1275
16195	1216	Nusu (Central)	tsʰa³³	tsʰa³³	hair (head)	hair (head)			1.2.3	97.	0			366
16196	1216	Nusu (Central)	tsʰa³³ pʰʴɔ³³	tsʰa³³ pʰʴɔ³³	braid (hair)	braid (hair)	n	n	1.2.3.2	98.	0			366,2018
16197	1216	Nusu (Central)	n̥a⁵⁵ goŋ⁵⁵ ti³⁵	n̥a⁵⁵ goŋ⁵⁵ ti³⁵	forehead	forehead			1.2.5.1	99.	0			356,2025,358
16198	1216	Nusu (Central)	mʴa̱⁵³ m̥ʴɚ³³	mʴa̱⁵³ m̥ʴɚ³³	eyebrow	eyebrow			1.2.6.6	100.	0			681,363
16199	1216	Nusu (Central)	mʴa̱⁵³ dʐʅ³¹	mʴa̱⁵³ dʐʅ³¹	eye	eye			1.2.6	101.	0			681,3559
16200	1216	Nusu (Central)	mʴa̱⁵³ m̥ʴɚ³³	mʴa̱⁵³ m̥ʴɚ³³	eyelash	eyelash			1.2.6.5	102.	0			681,363
16201	1216	Nusu (Central)	n̥a⁵⁵ kɔ̃³³	n̥a⁵⁵ kɔ̃³³	nose	nose			1.2.8	103.	0			803,809
16202	1216	Nusu (Central)	n̥a⁵⁵ sɚ̃³³	n̥a⁵⁵ sɚ̃³³	ear	ear			1.2.7	104.	0			811,2082
16203	1216	Nusu (Central)	pʰia⁵⁵ na⁵⁵	pʰia⁵⁵ na⁵⁵	face	face			1.2.5	105.	0			1186,803
16204	1216	Nusu (Central)	ba⁵⁵ ba³³	ba⁵⁵ ba³³	cheek	cheek			1.2.5.2	106.	0			268,s
16205	1216	Nusu (Central)	n̥a⁵⁵ kɔ̃³³	n̥a⁵⁵ kɔ̃³³	mouth	mouth			1.3.1	107.	0			803,473
16206	1216	Nusu (Central)	n̥ɯ⁵⁵ ʂui⁵⁵	n̥ɯ⁵⁵ ʂui⁵⁵	lip	lip			1.3.2	108.	0			467,790
16207	1216	Nusu (Central)	m̥ɯ⁵⁵ tʂʰuɚ̱̃⁵³	m̥ɯ⁵⁵ tʂʰuɚ̱̃⁵³	beard	beard			1.2.5.5	109.	0			363,370
16208	1216	Nusu (Central)	pʰi⁵⁵ tʰɔ̃³³	pʰi⁵⁵ tʰɔ̃³³	lower jaw, chin	lower jaw, chin				111.	0			m,m
16209	1216	Nusu (Central)	le³¹ dɔ³⁵	le³¹ dɔ³⁵	neck	neck			1.4.2	112.	0			479,359
16210	1216	Nusu (Central)	kua⁵⁵ bɔ³¹	kua⁵⁵ bɔ³¹	shoulder	shoulder			1.4.3	114.	0			3350,1327
16211	1216	Nusu (Central)	dɔ̃³³	dɔ̃³³	back (body)	back (body)			1.4.8	115.	0			225
16212	1216	Nusu (Central)	kua⁵⁵ kʰʴoŋ³³	kua⁵⁵ kʰʴoŋ³³	armpit	armpit			1.5.1.2.3	116.	0			
16213	1216	Nusu (Central)	ɣʴɚ³¹ pʰʴɚ³³	ɣʴɚ³¹ pʰʴɚ³³	chest	chest			1.4.4.3	117.	0			288,308
16214	1216	Nusu (Central)	nɯ³³ nɯ³¹	nɯ³³ nɯ³¹	breast	breast			1.4.4.3	118.	0			253,253
16215	1216	Nusu (Central)	va³¹ lɔ⁵³	va³¹ lɔ⁵³	belly	belly			1.4.7	119.	0			137,m
16216	1216	Nusu (Central)	tʂʰa̱⁵³	tʂʰa̱⁵³	navel	navel			1.9.4	120.	0			525
16217	1216	Nusu (Central)	dʑu̱⁵³	dʑu̱⁵³	waist	waist			1.4.6	121.	0			215
16218	1216	Nusu (Central)	kʰʴi⁵⁵ dɔŋ⁵⁵	kʰʴi⁵⁵ dɔŋ⁵⁵	buttocks	buttocks			1.4.10	122.	0			572,225
16219	1216	Nusu (Central)	boŋ³³	boŋ³³	thigh	thigh			1.5.7.1	123.	0			404
16220	1216	Nusu (Central)	pʰu⁵⁵ tsi³³ l̥u̱⁵³	pʰu⁵⁵ tsi³³ l̥u̱⁵³	knee	knee			1.5.8.4	124.	0			435,m,m
16221	1216	Nusu (Central)	kʰʴi³³ tʂʰɔ³³	kʰʴi³³ tʂʰɔ³³	calf (leg)	calf (leg)			1.5.7	125.	0			335,m
16222	1216	Nusu (Central)	kʰʴi³³	kʰʴi³³	foot	foot			1.5.2	126.	0			335
16223	1216	Nusu (Central)	kʰʴi³³ tsi̱⁵³	kʰʴi³³ tsi̱⁵³	ankle	ankle			1.5.8.2	127.	0			m,418
16224	1216	Nusu (Central)	la̱⁵³	la̱⁵³	arm	arm			1.5.1.2	128.	0			695
16225	1216	Nusu (Central)	la̱⁵³ tsi̱⁵³	la̱⁵³ tsi̱⁵³	elbow	elbow			1.5.8.3	129.	0			695,418
16226	1216	Nusu (Central)	la̱⁵³	la̱⁵³	hand	hand			1.5.1.1	130.	0			695
16227	1216	Nusu (Central)	la̱⁵³ tsi̱⁵³	la̱⁵³ tsi̱⁵³	wrist	wrist			1.5.8.1	131.	0			695,418
16228	1216	Nusu (Central)	la̱⁵³ n̥ɯ⁵⁵	la̱⁵³ n̥ɯ⁵⁵	finger	finger			1.5.6	132.	0			695,m
16229	1216	Nusu (Central)	la̱⁵³ ma³¹	la̱⁵³ ma³¹	thumb	thumb			1.5.6.1	133.	0			695,m
16230	1216	Nusu (Central)	kʰue³³ kʰue³³ n̥ɯ⁵⁵ ə³¹	kʰue³³ kʰue³³ n̥ɯ⁵⁵ ə³¹	little finger	little finger			9.7.2	137.	0			
16231	1216	Nusu (Central)	la̱⁵³ sɚ̃⁵⁵	la̱⁵³ sɚ̃⁵⁵	fingernail	fingernail			1.5.10.1	138.	0			695,m
16232	1216	Nusu (Central)	la̱⁵³ pu⁵⁵	la̱⁵³ pu⁵⁵	fist	fist			1.5.1.1.1	139.	0			695,m
16233	1216	Nusu (Central)	kʰʴi⁵⁵ doŋ⁵⁵	kʰʴi⁵⁵ doŋ⁵⁵	anus	anus			1.4.10.2	140.	0			572,822
16234	1216	Nusu (Central)	za⁵⁵ iɔ³³	za⁵⁵ iɔ³³	placenta	placenta				144.	0			1012,m
16235	1216	Nusu (Central)	tʂʰa̱⁵³	tʂʰa̱⁵³	umbilical cord	umbilical cord				145.	0			525
16236	1216	Nusu (Central)	kʰu̱⁵³ ɣʴi³³	kʰu̱⁵³ ɣʴi³³	skin	skin			1.6.5	147.	0			586,596
16237	1216	Nusu (Central)	tɕu̱⁵³ a³¹	tɕu̱⁵³ a³¹	wrinkles	wrinkles			9.6.2	148.	0			
16238	1216	Nusu (Central)	tsʰɔ̃³¹ vʴɚ̱⁵³	tsʰɔ̃³¹ vʴɚ̱⁵³	hemorrhoids	hemorrhoids			1.4.10.2	149.	0			
16239	1216	Nusu (Central)	l̥i⁵⁵ bʴɚ̃³³	l̥i⁵⁵ bʴɚ̃³³	sore, ulcer	sore, ulcer			1.1.5.1	150.	0			
16240	1216	Nusu (Central)	pu̱⁵³ n̥ə³³	pu̱⁵³ n̥ə³³	scar	scar			1.6.5.3	151.	0			
16241	1216	Nusu (Central)	ʂɔ̱⁵³ na³³	ʂɔ̱⁵³ na³³	measles	measles			5.3	152.	0			
16242	1216	Nusu (Central)	ʂa⁵⁵	ʂa⁵⁵	flesh	flesh			1.1.1.1	154.	0			34
16243	1216	Nusu (Central)	sui⁵⁵	sui⁵⁵	blood	blood			1.6.2	155.	0			230
16244	1216	Nusu (Central)	gʴɯ⁵⁵	gʴɯ⁵⁵	muscle	muscle			1.6.6.2	156.	0			535
16245	1216	Nusu (Central)	la̱⁵³ m̥i⁵⁵	la̱⁵³ m̥i⁵⁵	pulse	pulse			1.7.1.1	157.	0			695,m
16246	1216	Nusu (Central)	u³³ ȵ̥u̱⁵³	u³³ ȵ̥u̱⁵³	brain	brain			1.2.4	158.	0			385,243
16247	1216	Nusu (Central)	ɣʴɯ⁵⁵	ɣʴɯ⁵⁵	bone	bone			1.6.3	159.	0			232
16248	1216	Nusu (Central)	dɔ̃³³ tsi̱⁵³	dɔ̃³³ tsi̱⁵³	backbone / spine	backbone / spine			1.4.8.2	160.	0			225,418
16249	1216	Nusu (Central)	ɣʴɔ̃³¹ li³³	ɣʴɔ̃³¹ li³³	rib	rib			1.4.4.3	161.	0			288,m
16250	1216	Nusu (Central)	ɣʴɯ⁵⁵ tsi̱⁵³	ɣʴɯ⁵⁵ tsi̱⁵³	joint	joint			1.5.8	162.	0			232,418
16251	1216	Nusu (Central)	sua⁵⁵	sua⁵⁵	tooth	tooth			1.3.4	163.	0			632
16252	1216	Nusu (Central)	ȵɚ³³	ȵɚ³³	gums	gums			1.3.4.3	164.	0			504
16253	1216	Nusu (Central)	fia³³	fia³³	tongue	tongue			1.3.3	165.	0			623
16254	1216	Nusu (Central)	fia³³ za⁵⁵	fia³³ za⁵⁵	uvula	uvula			1.3.5.1	166.	0			
16255	1216	Nusu (Central)	ȵɚ³³	ȵɚ³³	palate	palate			1.3.1.1	167.	0			1720
16256	1216	Nusu (Central)	kʰʴoŋ⁵⁵ te̱⁵³ lɔ⁵³	kʰʴoŋ⁵⁵ te̱⁵³ lɔ⁵³	throat	throat			1.3.5	168.	0			3361,501,m
16257	1216	Nusu (Central)	tsʰuɚ̃³³	tsʰuɚ̃³³	lungs	lungs			1.7.2	171.	0			
16258	1216	Nusu (Central)	ȵ̥i̱⁵³ lɔ⁵³	ȵ̥i̱⁵³ lɔ⁵³	heart	heart			1.7.1	172.	0			297,1381
16259	1216	Nusu (Central)	tsɚ̃⁵⁵	tsɚ̃⁵⁵	liver	liver			1.7.3	173.	0			1390
16260	1216	Nusu (Central)	ɣɯ⁵⁵ tʰɚ̃³¹	ɣɯ⁵⁵ tʰɚ̃³¹	kidneys	kidneys			1.7.5	174.	0			
16261	1216	Nusu (Central)	l̥a̱⁵³	l̥a̱⁵³	spleen	spleen			1.7.4	175.	0			2812
16262	1216	Nusu (Central)	kʴe³³	kʴe³³	gall bladder	gall bladder			1.7.3	177.	0			227
16263	1216	Nusu (Central)	u³³	u³³	intestines	intestines			1.7.7	178.	0			2102
16264	1216	Nusu (Central)	a⁵⁵ tʂɯ³¹ tʂɯ³³	a⁵⁵ tʂɯ³¹ tʂɯ³³	bladder	bladder			1.7.8	179.	0			
16265	1216	Nusu (Central)	kʰʴi⁵⁵	kʰʴi⁵⁵	feces	feces			1.8.5	180.	0			572
