rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
17842	1325	Qiang (Yadu)	pəʴ ʂən	pəʴ ʂən	body	body		1.1.1	97	0		m,34
17843	1325	Qiang (Yadu)	qə pɑ◦tʂ	qə pɑ◦tʂ	head	head		1.2.1	99	0		386,m,m
17844	1325	Qiang (Yadu)	qə◦u	qəu	hair (head)	hair (head)		1.2.3	100	0		386,m
17845	1325	Qiang (Yadu)	qu xʂul	qu xʂul	braid (hair)	braid (hair)	n	1.2.3.2	101	0		
17846	1325	Qiang (Yadu)	zdu xkui	zdu xkui	forehead	forehead		1.2.5.1	102	0		
17847	1325	Qiang (Yadu)	mi xkam	mi xkam	eyebrow	eyebrow		1.2.6.6	103	0		681,454
17848	1325	Qiang (Yadu)	miː	miː	eye	eye		1.2.6	104	0		682
17849	1325	Qiang (Yadu)	ɕtɕy◦ts	ɕtɕy◦ts	nose	nose		1.2.8	106	0		442,m
17850	1325	Qiang (Yadu)	ȵu◦k	ȵu◦k	ear	ear		1.2.7	107	0		811,820
17851	1325	Qiang (Yadu)	quæ hæ	quæ hæ	face	face		1.2.5	108	0		273,m
17852	1325	Qiang (Yadu)	ʂqu	ʂqu	mouth	mouth		1.3.1	110	0		468
17853	1325	Qiang (Yadu)	zde◦ku̥	zde◦ku̥	lip	lip		1.3.2	111	0		442,586
17854	1325	Qiang (Yadu)	xo◦ts	xo◦ts	beard	beard		1.2.5.5	112	0		e?
17855	1325	Qiang (Yadu)	dʑo	dʑo	lower jaw, chin	lower jaw, chin			114	0		
17856	1325	Qiang (Yadu)	tʂu◦ki	tʂu◦ki	neck	neck		1.4.2	115	0		p,481
17857	1325	Qiang (Yadu)	wulu xotʂ	wulu xotʂ	nape	nape		1.4.2.1	116	0		m,m
17858	1325	Qiang (Yadu)	ji pi	ji pi	shoulder	shoulder		1.4.3	117	0		m,276
17859	1325	Qiang (Yadu)	tsup	tsup	back (body)	back (body)		1.4.8	118	0		213
17860	1325	Qiang (Yadu)	ʑdʑi xqɑ	ʑdʑi xqɑ	armpit	armpit		1.5.1.2.3	119	0		
17861	1325	Qiang (Yadu)	ji qʰuɑ	ji qʰuɑ	chest	chest		1.4.4.3	120	0		288,310
17862	1325	Qiang (Yadu)	pɑ pə	pɑ pə	breast	breast		1.4.4.3	121	0		3459,3459
17863	1325	Qiang (Yadu)	pə	pə	belly	belly		1.4.7	122	0		2103
17864	1325	Qiang (Yadu)	pu◦tʂu̥	pu◦tʂu̥	navel	navel		1.9.4	123	0		2103,525
17865	1325	Qiang (Yadu)	ʂəq	ʂəq	waist	waist		1.4.6	124	0		
