rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
17354	209	Achang (Xiandao)	a³¹ tu³¹	a³¹ tu³¹	body	body		1.1.1	94	0		p,14
17355	209	Achang (Xiandao)	u³¹ kɔŋ³¹	u³¹ kɔŋ³¹	head	head		1.2.1	96	0		385,387
17356	209	Achang (Xiandao)	u³¹	u³¹	hair (head)	hair (head)		1.2.3	97	0		385
17357	209	Achang (Xiandao)	u³¹ n̥ɤk⁵⁵	u³¹ n̥ɤk⁵⁵	braid (hair)	braid (hair)	n	1.2.3.2	98	0		385,2023
17358	209	Achang (Xiandao)	ŋ̊a³¹ ta³⁵	ŋ̊a³¹ ta³⁵	forehead	forehead		1.2.5.1	99	0		356,358
17359	209	Achang (Xiandao)	ɲɔʔ⁵⁵ mui³¹	ɲɔʔ⁵⁵ mui³¹	eyebrow	eyebrow		1.2.6.6	100	0		681,363
17360	209	Achang (Xiandao)	ɲɔʔ⁵⁵	ɲɔʔ⁵⁵	eye	eye		1.2.6	101	0		681
17361	209	Achang (Xiandao)	ɲɔʔ⁵⁵ pʰʐu⁵⁵	ɲɔʔ⁵⁵ pʰʐu⁵⁵	eye white	eye white		1.2.6	101.1	0		681,1235
17362	209	Achang (Xiandao)	ɲɔʔ⁵⁵ nɔʔ⁵⁵	ɲɔʔ⁵⁵ nɔʔ⁵⁵	pupil	pupil		1.2.6.2	101.2	0		681,m
17363	209	Achang (Xiandao)	ɲɔʔ⁵⁵ tsi³¹	ɲɔʔ⁵⁵ tsi³¹	eyeball	eyeball		1.2.6.1	101.3	0		681,3559
17364	209	Achang (Xiandao)	ɲɔʔ⁵⁵ mui³¹	ɲɔʔ⁵⁵ mui³¹	eyelash	eyelash		1.2.6.5	102	0		681,363
17365	209	Achang (Xiandao)	n̥ap³¹ pʰɔŋ⁵⁵	n̥ap³¹ pʰɔŋ⁵⁵	nose	nose		1.2.8	103	0		805,806
17366	209	Achang (Xiandao)	n̥a³¹ tʂʰɔ³¹	n̥a³¹ tʂʰɔ³¹	ear	ear		1.2.7	104	0		811,816
17367	209	Achang (Xiandao)	ɲɔʔ⁵⁵ n̥o⁵⁵	ɲɔʔ⁵⁵ n̥o⁵⁵	face	face		1.2.5	105	0		681,803
17368	209	Achang (Xiandao)	pɤ³¹ ʐam³⁵	pɤ³¹ ʐam³⁵	cheek	cheek		1.2.5.2	106	0		268,262
17369	209	Achang (Xiandao)	pʰă³¹ kʐau³⁵ tau³¹	pʰă³¹ kʐau³⁵ tau³¹	cheekbone	cheekbone		1.2.5.2	106.1	0		268,m,m
