rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
618731	2246	Ao (Mongsen: Khensa)	ásùʔ		small		be v.				0			
618735	2246	Ao (Mongsen: Khensa)	mú◦kùʔ		cigarette, tobacco		n.				0			m,2361
618745	2246	Ao (Mongsen: Khensa)	tʃíɹə́m		otter		n.		2.2.7.1		0			2595
618758	2246	Ao (Mongsen: Khensa)	sə̀ŋsə̀m		sprout		n.				0			
618759	2246	Ao (Mongsen: Khensa)	fùʔtsəŋ		steal, seize		v.				0			
618760	2246	Ao (Mongsen: Khensa)	mə̀mpaŋ		stump of tree		n.				0			
619434	2245	Ao (Chungli)	a¹-juŋ²nu²		stream (small)		n.				0			p,7770,m
619435	2245	Ao (Chungli)	a¹li²-u³ku²		has become too much		v.				0			
619436	2245	Ao (Chungli)	a¹lu²		potato		n.				0			b
619441	2245	Ao (Chungli)	a¹ɹi²-si²		chase		v.				0			p,6552,s
619442	2245	Ao (Chungli)	a¹-ɹi²tʃu²		bachelor house (morung)		n.				0			
619445	2245	Ao (Chungli)	a¹tən²		pass, cross		v.				0			
619446	2245	Ao (Chungli)	a¹-tsə²		fence / garden		n.				0			
619447	2245	Ao (Chungli)	a¹-tʃəm²		needle		n.				0			
619448	2245	Ao (Chungli)	a¹-zə²muŋ³si¹		rabbit		n.				0			
619450	2245	Ao (Chungli)	a¹-zəŋ²kən³		soy bean		n.				0			
619452	2245	Ao (Chungli)	a²-i²pən³		most of the time		adv.				0			
619459	2245	Ao (Chungli)	a²ki²		take		v.				0			
619461	2245	Ao (Chungli)	a²-laŋ²		cheap		be v.				0			
619466	2245	Ao (Chungli)	a²-li³ma¹		world, earth		n.				0			p,2453,1187
619468	2245	Ao (Chungli)	a²-luŋ²		crawl along, move in mass or lump		n.				0			
619475	2245	Ao (Chungli)	a²-nuŋ²		push		v.				0			
619477	2245	Ao (Chungli)	a²ŋa³-siʔ¹		hear		v.				0			p,811b,m
619478	2245	Ao (Chungli)	a²ŋa³-tət¹		understand		v.				0			p,811b,s
619479	2245	Ao (Chungli)	a²-ŋi²		bird lime		n.				0			
619481	2245	Ao (Chungli)	a²pən²sa³ a²pən²saɹ³²		well-rounded		adj.				0			p,7726,m,p,7726,m
619483	2245	Ao (Chungli)	a²pi³tət¹		guess (successfully)		v.				0			
619486	2245	Ao (Chungli)	a²-puŋ²		carry (on back)		v.				0			
619490	2245	Ao (Chungli)	a²ɹəm³-zək¹		endure (a significant trial)		v.				0			p,5374,s
619491	2245	Ao (Chungli)	a²-ɹi³si¹		longevity		n.				0			
619492	2245	Ao (Chungli)	a²-ɹi³si¹ kəm¹		age		n.				0			p,m,m,6165
619493	2245	Ao (Chungli)	a²ɹuk³ a¹ɹu²ka²		very deep, deeply						0			
619495	2245	Ao (Chungli)	a²sa²ja²		play		v.				0			
619496	2245	Ao (Chungli)	a²-saŋ²		bake		v.				0			
619498	2245	Ao (Chungli)	a²səm²		drum		n.				0			
619502	2245	Ao (Chungli)	a²səŋ²taŋ²		ask (a question)		v.				0			
619503	2245	Ao (Chungli)	a²-si²		painful		be v.				0			
619507	2245	Ao (Chungli)	a²-ta²		fetch (water)		v.				0			
619508	2245	Ao (Chungli)	a²ta³luk¹		happen		v.				0			
619509	2245	Ao (Chungli)	a²-taŋ²		grow (of fruit)		v.				0			
