rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
325756	1793	Bai (Dali)	fa siɔ 16	fa siɔ 16	end of school	end of school		9.5	1	0		
325757	1793	Bai (Dali)	fa tue 31	fa tue 31	object to, to	object to, to		10.1.1	2	0		bChinese
325758	1793	Bai (Dali)	fe 2	fe 2	very	very		7.1.2.2	3	0		
325759	1793	Bai (Dali)	fö lu ?2	fö lu ?2	stove / furnace	stove / furnace		5.5	4	0		
325760	1793	Bai (Dali)	fö zö 66	fö zö 66	dragonfly	dragonfly		2.2.6	5	0		
325761	1793	Bai (Dali)	fö zö ??	fö zö ??	kite	kite		5.8	6	0		
325762	1793	Bai (Dali)	foe niɛ 22:66	foe niɛ 22:66	fever, have a, to	fever, have a, to		1.1.5.1	7	0		
325763	1793	Bai (Dali)	foe 3/4	foe 3/4	back side; turn over, to	back side; turn over, to		1.4.8	8	0		
325764	1793	Bai (Dali)	fv 1	fv 1	bee	bee		2.2.6	9	0		bChinese
325765	1793	Bai (Dali)	fv mi 12	fv mi 12	honey	honey		2.2.6	10	0		bChinese
325766	1793	Bai (Dali)	fv 2	fv 2	six	six		9.9	11	0		
325767	1793	Bai (Dali)	-fv 2	-fv 2					12	0	HIDE	
325768	1793	Bai (Dali)	fv 2	fv 2	calligraphy brush	calligraphy brush		5.11.8.4	13	0		
325769	1793	Bai (Dali)	fv suɛ 25	fv suɛ 25	diarrhea	diarrhea		1.8.5	14	0		
325770	1793	Bai (Dali)	fv ts'ɛ 22	fv ts'ɛ 22	saw	saw (n)	n	5.11.5.3	15	0		
325771	1793	Bai (Dali)	fv tö 37	fv tö 37	axe	axe		5.11.5.3	16	0		
325772	1793	Bai (Dali)	fv 6	fv 6	seal, to	seal, to		6.15	17	0		
325773	1793	Bai (Dali)	fv fv sɛ ??5	fv fv sɛ ??5	fan	fan		5.4	18	0		
325774	1793	Bai (Dali)	ka 2	ka 2	OBJECT MARKER, similar to Chinese ba	OBJECT MARKER, similar to Chinese ba		5.11	19	0		
325775	1793	Bai (Dali)	ka pi 26	ka pi 26	pen (for writing)	pen (for writing)		5.1	20	0		bChinese
325776	1793	Bai (Dali)	ka soe 22	ka soe 22	beggar	beggar		8.5.10.3	21	0		
325777	1793	Bai (Dali)	ka 3	ka 3	tell / announce, to	tell / announce, to		1.8.7	22	0		
325778	1793	Bai (Dali)	ka 4	ka 4	wharf	wharf			23	0		
325779	1793	Bai (Dali)	ka 4	ka 4	dare, to	dare, to			24	0		
325780	1793	Bai (Dali)	ka 6	ka 6	teach, to	teach, to		6.19	25	0		
325781	1793	Bai (Dali)	ka 6	ka 6	vat	vat		5.1	26	0		
325782	1793	Bai (Dali)	ka 6	ka 6	dry	dry		6.6	27	0		
325783	1793	Bai (Dali)	ka 6	ka 6	high	high		7.1.5.3	28	0		b?
325784	1793	Bai (Dali)	ka 6	ka 6	thick (not fluid, of congee)	thick (not fluid, of congee)		9.7.2	29	0		
325785	1793	Bai (Dali)	ka 7	ka 7	hold in mouth, to	hold in mouth, to		10.1.1	30	0		
325786	1793	Bai (Dali)	ka na 76	ka na 76	olive	olive			31	0		bChinese
325787	1793	Bai (Dali)	ke 6	ke 6	toward	toward		9.2.8	32	0		
325788	1793	Bai (Dali)	ke 6	ke 6	hen	hen		2.1.10	33	0		
325789	1793	Bai (Dali)	ke k'v 6 3/4	ke k'v 6 3/4	chicken hut	chicken hut		2.1.10	34	0		
325790	1793	Bai (Dali)	ke mɔ 63	ke mɔ 63	hen (as opposed to rooster)	hen (as opposed to rooster)		2.1.10	35	0		
325791	1793	Bai (Dali)	ke sɛ 65	ke sɛ 65	egg (chicken)	egg (chicken)			36	0		m,3439
325792	1793	Bai (Dali)	ke tsw 62	ke tsw 62	chicken	chicken		2.1.10	37	0		
325793	1793	Bai (Dali)	ke 7	ke 7	climb, to	climb, to		6.7.7	38	0		
325794	1793	Bai (Dali)	kɛ 2	kɛ 2	see, to	see, to		1.2.6.10	39	0		1229
325795	1793	Bai (Dali)	kɛ koe 36	kɛ koe 36	reform	reform (n)	n		40	0		bChinese
325796	1793	Bai (Dali)	ko tö 6:26	ko tö 6:26	person with pock-marked face	person with pock-marked face		4.5	41	0		
325797	1793	Bai (Dali)	ko 3	ko 3	two	two		9.9	42	0		
325798	1793	Bai (Dali)	ko 7	ko 7	fat	fat		1.6.4	43	0		
325799	1793	Bai (Dali)	koe ni 12	koe ni 12	today	today		9.1.3	44	0		
325800	1793	Bai (Dali)	koe tsw sua 1?2	koe tsw sua 1?2	year, this	year, this		9.1.2	45	0		
325801	1793	Bai (Dali)	koe 2	koe 2	go by / occur, to	go by / occur, to		6.7.2	46	0		
325802	1793	Bai (Dali)	koe pioe 22	koe pioe 22	that which divides the property of two people	that which divides the property of two people		10.1	47	0		
325803	1793	Bai (Dali)	koe tɔ 5 3/4	koe tɔ 5 3/4	precious	precious		9.6.1.1	48	0		b?
325804	1793	Bai (Dali)	-koe 6	-koe 6					49	0	HIDE	
325805	1793	Bai (Dali)	koe 6	koe 6	doubt / suspect, to	doubt  /  suspect, to		8.3.1.12.1	50	0		
325806	1793	Bai (Dali)	koe 6	koe 6	fear, to	fear, to		8.3.1.10.1	51	0		
325807	1793	Bai (Dali)	koe kw 66	koe kw 66	fever, intermittent	fever, intermittent		1.1.5.1	52	0		
325808	1793	Bai (Dali)	koe miw 61	koe miw 61	revolution	revolution			53	0		bChinese
325809	1793	Bai (Dali)	koe 7	koe 7	meat	meat		1.1.1.1	54	0		1130
325810	1793	Bai (Dali)	kɔ lɛ 12	kɔ lɛ 12	butterfly	butterfly		2.2.6	55	0		
325811	1793	Bai (Dali)	kɔ 5	kɔ 5	rainbow	rainbow		3.2.1	56	0		
325812	1793	Bai (Dali)	kɔ sy 53	kɔ sy 53	dew	dew			57	0		m,bChinese
325813	1793	Bai (Dali)	kɔ 6	kɔ 6	cake	cake		5.5	58	0		bChinese
325814	1793	Bai (Dali)	kɔ lia 66	kɔ lia 66	sorghum	sorghum		3.1.4	59	0		bChinese
325815	1793	Bai (Dali)	kɔ tsw 62	kɔ tsw 62	pigeon	pigeon		2.2.4.1	60	0		bChinese
325816	1793	Bai (Dali)	kɔ 7	kɔ 7	sea / lake	sea / lake		3.2.3	61	0		
325817	1793	Bai (Dali)	kɔ tv 75	kɔ tv 75	hole	hole		3.2.7	62	0		
325818	1793	Bai (Dali)	kɔ ?	kɔ ?	foot / hoof of an animal	foot / hoof of an animal		1.5.2	63	0		417
325819	1793	Bai (Dali)	kɔ lɔ tsw ???	kɔ lɔ tsw ???	oyster	oyster			64	0		
325820	1793	Bai (Dali)	ku sw 11	ku sw 11	story / tale	story / tale		5.8	65	0		bChinese
325821	1793	Bai (Dali)	ku zoe 28	ku zoe 28	worker	worker		6.1.1	66	0		bChinese
325822	1793	Bai (Dali)	ku 3	ku 3	old	old		7.1.8.3	67	0		b
325823	1793	Bai (Dali)	ku pɔ 36	ku pɔ 36	man, old	man, old		1.9.6.1	68	0		b,m
325824	1793	Bai (Dali)	ku tue 32	ku tue 32	story	story		5.8	69	0		bChinese,m
325825	1793	Bai (Dali)	ku tsu 36	ku tsu 36	Tibetan	Tibetan		4.6	70	0		
325826	1793	Bai (Dali)	ku iɔ 34	ku iɔ 34	woman, old	woman, old		1.9.3	71	0		b,m
325827	1793	Bai (Dali)	ku 4	ku 4	story	story		5.8	72	0		bChinese
325828	1793	Bai (Dali)	ku 6	ku 6	aunt (father's sister)	aunt (father's sister)		4.7.1	73	0		
325829	1793	Bai (Dali)	-ku 6	-ku 6					74	0	HIDE	
325830	1793	Bai (Dali)	ku ma 62	ku ma 62	syn. ku 6; cf. ma 2			10.0	75	0	XXX	
325831	1793	Bai (Dali)	ku 6	ku 6	thick (not fluid)	thick (not fluid)		9.7.2	76	0		
325832	1793	Bai (Dali)	ku 7	ku 7	bridge	bridge		9.10.2	77	0		
325833	1793	Bai (Dali)	ku 7	ku 7	bottle	bottle		5.1	78	0		
325834	1793	Bai (Dali)	kua 2	kua 2	stick / hook onto / hang, to	stick / hook onto /  hang, to		10.1.1	79	0		bChinese
325835	1793	Bai (Dali)	kua ts'ɛ 61	kua ts'ɛ 61	coffin	coffin		5.8.2.3	80	0		
325836	1793	Bai (Dali)	kua zu 66	kua zu 66	pants	pants		5.11.8.2.1.3	81	0		
325837	1793	Bai (Dali)	kua tsɛ 78	kua tsɛ 78	stutterer	stutterer		8.5.4.5	82	0		
325838	1793	Bai (Dali)	kue tiw 21	kue tiw 21	regulation	regulation			83	0		bChinese
325839	1793	Bai (Dali)	kue xuo 26	kue xuo 26	Osmanthus fragrans (type of flower)	Osmanthus fragrans (type of flower)		8.1	84	0		m,bChinese
325840	1793	Bai (Dali)	kue 3	kue 3	scram, to	scram, to		10.1.1	85	0		
325841	1793	Bai (Dali)	kuɛ fv p'ɔ 218	kuɛ fv p'ɔ 218	widow	widow		4.2.8	86	0		
325842	1793	Bai (Dali)	kuɛ tsw 23	kuɛ tsw 23	restaurant	restaurant			87	0		b?
325843	1793	Bai (Dali)	kuɛ 3/4	kuɛ 3/4	turn, to	turn, to		6.7.6	88	0		
325844	1793	Bai (Dali)	kuo 6	kuo 6	rice on stalk	rice on stalk		3.1.4	89	0		
325845	1793	Bai (Dali)	kuo 6	kuo 6	classifier (numeral) for cigarettes: iä 2 ko 3, ku	classifier (numeral) for cigarettes: iä 2 ko 3, ku		10.1.3	90	0		
325846	1793	Bai (Dali)	kuo 6	kuo 6	pot	pot		5.5	91	0		bChinese
325847	1793	Bai (Dali)	kuo ts'a 64	kuo ts'a 64	spatula	spatula		5.5	92	0		bChinese
325848	1793	Bai (Dali)	kuo tɔ 63-	kuo tɔ 63-	grow / big, get, to	grow / big, get, to		9.7.2	93	0		
325849	1793	Bai (Dali)	kuoe 5	kuoe 5	bad (speaking about the character of a person or a	bad (speaking about the character of a person or a		9.6.2.1	94	0		
325850	1793	Bai (Dali)	kuoe 7	kuoe 7					95	0	HIDE	e
325851	1793	Bai (Dali)	kuoe 7	kuoe 7	horizontal	horizontal		7.1.5.4	96	0		
325852	1793	Bai (Dali)	kv nio tɔ 134	kv nio tɔ 134	deaf	deaf		1.2.7.5	97	0		
325853	1793	Bai (Dali)	kv tö pɔ 127	kv tö pɔ 127	deaf			1.2.7.5	98	0	XXX	
325854	1793	Bai (Dali)	kv koe 2:5 6	kv koe 2:5 6	dresser	dresser			99	0		
325855	1793	Bai (Dali)	kv lv 22	kv lv 22	corner	corner		5.11.9.3	100	0		
325856	1793	Bai (Dali)	kv 6	kv 6	yell / shout / cry, to	yell / shout / cry, to		8.5.4.1	101	0		2235
325857	1793	Bai (Dali)	kv 6	kv 6	submerge, to	submerge, to		6.6	102	0		
325858	1793	Bai (Dali)	kv 6	kv 6	ditch	ditch (n)	n	3.2.7	103	0		
325859	1793	Bai (Dali)	kv ngv 66	kv ngv 66	fish (sp., Schizopygetaliensis)	fish (sp., Schizopygetaliensis)		2.2.5	104	0		m,1455
325860	1793	Bai (Dali)	kv tö 72	kv tö 72	hunchback	hunchback		1.4.8.3	105	0		
325861	1793	Bai (Dali)	kw lö kw 112	kw lö kw 112	hook	hook (n)	n	5.4	106	0		
325862	1793	Bai (Dali)	kw 3-	kw 3-	[CHIN gloss, gei: to give]	[CHIN gloss, gei: to give]			107	0		
325863	1793	Bai (Dali)	kw 3	kw 3	thick	thick		9.7.2	108	0		
