rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
327478	1794	Tiddim	ˉă	ˉă	he / she / it / they;his / her / its / their	he / she / it / they;his / her / its / their	ppf	4.1		0		2138
327479	1794	Tiddim	ˍă	ˍă	he / she / it / they;his / her / its / their	he / she / it / they;his / her / its / their	ppf	4.1		0		2138
327480	1794	Tiddim	ˉaʔ	ˉaʔ	in / on / at	in / on / at	pnp	10.1.1		0		
327481	1794	Tiddim	ˍaʔ	ˍaʔ	in / on / at	in / on / at	pnp	10.1.1		0		
327482	1794	Tiddim	-aːk	-aːk	fowl	fowl	n	2.1.10		0		1600
327483	1794	Tiddim	ˋaːk	ˋaːk	sound made by a crow	sound made by a crow	x	9.3		0		
327484	1794	Tiddim	-aːk |ˋsiː	-aːk ˋsiː	star	star	n	3.2.2		0		2300,1019
327485	1794	Tiddim	ˍalʔ/ˍalʔ	ˍalʔ/ˍalʔ	have an unpleasant, bitter taste	have an unpleasant, bitter taste	v	8.2		0		
327486	1794	Tiddim	ˊaːm/ˋaːm	ˊaːm/ˋaːm	jealous	jealous	v			0		
327487	1794	Tiddim	ˋaːm,/ˍap	ˋaːm,/ˍap	glow (of embers)	glow (of embers)	v	3.2.12.1		0		
327488	1794	Tiddim	ˉă-maː	ˉă-maː	his / her(s)	his / her(s)	no.	4.1		0		
327489	1794	Tiddim	ˉă◦ˍmaʔ	ˉăˍmaʔ	he / she	he / she	n	4.1		0		2138,m
327490	1794	Tiddim	ˉăm̀aːu	ˉăm̀aːu	they	they	n+ps	4.1		0		
327491	1794	Tiddim	-aŋ	-aŋ	arms / bosom	arms / bosom	n	1.5.1.2		0		
327492	1794	Tiddim	-aŋ/ˋan	-aŋ/ˋan	half-ripe	half-ripe	v	9.8		0		
327493	1794	Tiddim	ˍap/ˍap	ˍap/ˍap	moldy	moldy	v	3.1.7		0		
327494	1794	Tiddim	ˋaːp/ˋaːp	ˋaːp/ˋaːp	entrust	entrust	v	8.3		0		
327495	1794	Tiddim	ˊaːt/àːt	ˊaːt/àːt	cut	cut	v	6.9.3		0		4474
327496	1794	Tiddim	ˋaːt/àːt	ˋaːt/àːt	cut a portion for someone / cut on someone's behalf	cut a portion for someone / cut on someone's behalf	v	6.9.3		0		
327497	1794	Tiddim	ˊɔː	ˊɔː	sound / voice	sound / voice	n	9.3		0		4503
327498	1794	Tiddim	ˋɔː	ˋɔː	used in addressing someone	used in addressing someone	x	6.2.2.7.1		0		
327499	1794	Tiddim	ˋɔːi/ˋɔːi	ˋɔːi/ˋɔːi	agree	agree	v	8.3.1.4.1		0		
327500	1794	Tiddim	ˊɔːk/ˋɔːk	ˊɔːk/ˋɔːk	caught	caught	v	6.21		0		
327501	1794	Tiddim	ˊbaː	ˊbaː	lock of hair / whiskers	lock of hair / whiskers	n	1.2.3		0		
327502	1794	Tiddim	-baː/ˍbaʔ	-baː/ˍbaʔ	owe	owe	v	6.22		0		4039
327503	1794	Tiddim	ˍbaʔ/ˍbaʔ	ˍbaʔ/ˍbaʔ	tired	tired	v	9.6.2.2		0		
327504	1794	Tiddim	-baːi/ˋbaːi	-baːi/ˋbaːi	lame	lame	v	1.5.12		0		6133,6133
327505	1794	Tiddim	-baːiˉbek	-baːiˉbek	bulbul (red-vented)	bulbul (red-vented)	n	2.2.4.1		0		
327506	1794	Tiddim	ˍbak/ˍbak	ˍbak/ˍbak	catch in the mouth	catch in the mouth	v	6.21		0		
327507	1794	Tiddim	ˊbaːk	ˊbaːk	bat	bat	n	2.2.4.1		0		2146
327508	1794	Tiddim	-baːk	-baːk	twig	twig	n	3.1.2		0		
327509	1794	Tiddim	ˋbaːk/ˍbaʔ	ˋbaːk/ˍbaʔ	feed forcibly	feed forcibly	v	1.3.5.8		0		4027,4027
327510	1794	Tiddim	ˊbal/ˋbal	ˊbal/ˋbal	tear off	tear off	v	1.8.8.1		0		
327511	1794	Tiddim	ˊbaːl	ˊbaːl	taro	taro	n	3.1.5.1		0		4050
327512	1794	Tiddim	baːl/ˍbalʔ	baːl/ˍbalʔ	all juicy / covered with juice	all juicy / covered with juice	v	9.9		0		
327513	1794	Tiddim	-ban/ˋban	-ban/ˋban	slash / cut at a stroke	slash / cut at a stroke	v	10.0		0		
327514	1794	Tiddim	-baːn	-baːn	arm	arm	n	1.5.1.2		0		745
327515	1794	Tiddim	ˋbaːn/ˍbat	ˋbaːn/ˍbat	reach for	reach for	v	6.21		0		
327516	1794	Tiddim	ˋbaŋ	ˋbaŋ	what	what	n	10.5.3		0		
327517	1794	Tiddim	ˋbaŋ/ˍbat	ˋbaŋ/ˍbat	like, be	like, be	v	8.3.1.1.1		0		
327518	1794	Tiddim	b́aːŋ	b́aːŋ	remaining	remaining	?	6.7.11		0		
327519	1794	Tiddim	-baːŋ/b̀aːn	-baːŋ/b̀aːn	hang;call at	hang;call at	vt	6.1.1.5		0		
327520	1794	Tiddim	ˍbat/ˍbat	ˍbat/ˍbat	wear in the ear	wear in the ear	v	6.2.2.1		0		4029
327521	1794	Tiddim	-bau	-bau	with a heavy thud	with a heavy thud	x	10.1.1		0		
327522	1794	Tiddim	ˍbɔʔ/ˍbɔʔ	ˍbɔʔ/ˍbɔʔ	seize / catch hold of	seize / catch hold of	v	6.21		0		
327523	1794	Tiddim	ˊbɛː	ˊbɛː	bean	bean	n	3.1.4		0		2155
327524	1794	Tiddim	-bɛːl	-bɛːl	pot	pot	n	5.5		0		4041
327525	1794	Tiddim	ˍbɛʔ	ˍbɛʔ	relative	relative	n	4.7.5		0		
327526	1794	Tiddim	ˉbek	ˉbek	only	only	a	7.1.6.1		0		
327527	1794	Tiddim	ˋbeŋ	ˋbeŋ	opium	opium	n	3.1.6.2		0		
327528	1794	Tiddim	ˋbɛːŋ/ˍbet	ˋbɛːŋ/ˍbet	strike with the palm of the hand	strike with the palm of the hand	v	10.1.1		0		
327529	1794	Tiddim	ˋbeu	ˋbeu	piece	piece	n	7.1.6.1		0		
327530	1794	Tiddim	ˋbia/ˊbiak	ˋbia/ˊbiak	propitiate	propitiate	v	6.19		0		
