rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
142306	1010	Chinese (Mandarin)	chútou	chútou	hoe	hoe		5.3		0		
142307	1010	Chinese (Mandarin)	tā	tā	he / she / it 3rd pers. pron.	he / she / it 3rd pers. pron.		4.1		0		
142308	1010	Chinese (Mandarin)	hùi	hùi	able	able		1.1.2.4		0		
142309	1010	Chinese (Mandarin)	hèn	hèn	hate	hate		8.3.1.1.2		0		
142310	1010	Chinese (Mandarin)	huóde	huóde	alive	alive		1.1.2.1		0		m
142312	1010	Chinese (Mandarin)	dǐdá	dǐdá	arrive	arrive		6.7.1		0		
142313	1010	Chinese (Mandarin)	huī	huī	ashes	ashes		3.2.12.2		0		
142314	1010	Chinese (Mandarin)	tīng	tīng	listen	listen		1.2.7.4		0		
142315	1010	Chinese (Mandarin)	jǐ◦bèi	jǐbèi	back / spine	back / spine		1.4.8		0		
142316	1010	Chinese (Mandarin)	(gǒu)fèi	(gǒu)fèi	bark (of dogs)	bark (of dogs)		2.1.11.1		0		
142317	1010	Chinese (Mandarin)	shì	shì	be, copula	be, copula	be v.	10.4.1.1		0		
142318	1010	Chinese (Mandarin)	xióng	xióng	bear	bear		2.2.3		0		
142319	1010	Chinese (Mandarin)	dǎ	dǎ	beat	beat		6.8		0		
142320	1010	Chinese (Mandarin)	měilì	měilì	beautiful	beautiful		7.1.3		0		
142321	1010	Chinese (Mandarin)	chòuchóng	chòuchóng	bedbug	bedbug		2.2.6		0		
142322	1010	Chinese (Mandarin)	mì◦fēng	mìfēng	bee	bee		2.2.6		0		m,302
142323	1010	Chinese (Mandarin)	cóngqián	cóngqián	before, long ago	before, long ago		9.1.5		0		
142325	1010	Chinese (Mandarin)	dà	dà	big	big		9.7.2		0		
142326	1010	Chinese (Mandarin)	dǎn◦(zhī)	dǎn◦(zhī)	bile	bile		1.7.3.1		0		
142327	1010	Chinese (Mandarin)	niǎo	niǎo	bird	bird		2.2.4		0		
142328	1010	Chinese (Mandarin)	kǔ	kǔ	bitter	bitter		7.1.4.4		0		229
142329	1010	Chinese (Mandarin)	hēi	hēi	black	black		9.4		0		
