rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
19286	963	Lotha Naga	ven	ven	blow	blow		1.3.1.4	74	0		
19287	963	Lotha Naga	e◦sap	e◦sap	blow	blow		1.3.1.4	74	0		p,m
19304	963	Lotha Naga	phyotacho	phyotacho	diarrhea	diarrhea		1.8.5	187	0		
19318	963	Lotha Naga	pe◦le◦ta	pe◦le◦ta	fat	fat	adj	1.6.4	242	0	HIDE	DUPE IN SOURCE
19331	963	Lotha Naga	e◦ng	eng	hear	hear		1.2.7.4	332	0		p,811b
19343	963	Lotha Naga	e◦chhü	e◦chhü	horn	horn		1.2.2	354	0	D5	p,819
19383	963	Lotha Naga	shi◦ro◦tchhü	shi◦ro◦tchhü	milk	milk			459	0	HIDE	DUPE IN SOURCE
19394	963	Lotha Naga	ti◦tchhü	ti◦tchhü	oil	oil		1.6.4.1	511	0		1439,1631
19400	963	Lotha Naga	myo◦ku	myo◦ku	palm (hand)	palm (hand)		1.5.5	529	0		6217,m
19401	963	Lotha Naga	nkachit	nkachit	pass by	pass by		6.7.10	530	0		
19404	963	Lotha Naga	nchyua	nchyua	person	person		4.5	537	0		
19427	963	Lotha Naga	mhe◦phi	mhephi	rub	rub	v	8.4	606	0		7734,m
19430	963	Lotha Naga	e◦nak	enak	scratch	scratch		1.6.5.5	619	0		p,5765
19431	963	Lotha Naga	nshak	nshak	scratch	scratch		1.6.5.5	619	0		1457b
19435	963	Lotha Naga	ti-ing	ti-ing	seven	seven		9.9	625	0		
19443	963	Lotha Naga	ra◦tha◦ta	ra◦that◦a	sick	sick		1.1.5.1	652	0		6192,1844,m
19445	963	Lotha Naga	nyan	nyan	sing	sing		5.1	657	0	HIDE	DUPE IN SOURCE
19450	963	Lotha Naga	yip	yip	sleep	sleep		1.1.4.1	669	0	HIDE	DUPE IN SOURCE
19474	963	Lotha Naga	e◦mhen	e◦mhen	tail	tail		1.4.10.1	735	0		
19478	963	Lotha Naga	tarosi-ti-ing	tarosi-ti-ing	seventeen	seventeen		9.9		0		
19486	963	Lotha Naga	nli	nli	tongue	tongue		1.3.3	784	0		621
19493	963	Lotha Naga	e◦ze◦m-mho	ezem-mho	ugly	ugly		7.1.3	803	0	HIDE	DUPE IN SOURCE,p,m,p,m
19501	963	Lotha Naga	mpoa-chan	mpoa-chan	whisper	whisper		8.5.4.2	846	0		
19504	963	Lotha Naga	e◦lu◦e	elue	woman	woman		1.9.3	867	0		p,5493,s
19509	963	Lotha Naga	khyangdroe	khyangdroe	young	young		7.1.8.3	889	0	HIDE	DUPE IN SOURCE
150001	486	Chokri	u-pi-tha	u-pi-tha	hair	hair		1.2.3	116	0		m,1242,366
150002	750	Khezha	e-ta	e-ta	hair	hair		1.2.3	116	0		p,366
150003	790	Khoirao	tham	tham	hair	hair		1.2.3	116	0		366
150004	906	Liangmei	ta-tham	ta-tham	hair	hair		1.2.3	116	0		p,366
150005	252	Angami (Khonoma)	lhi◦thena	lhi◦thena	seventy	seventy		9.9	116	0		
150006	1019	Maring	sam	sam	hair	hair		1.2.3	116	0		366
150007	1050	Meluri	a-she	a-she	hair	hair		1.2.3	116	0		p,366
150010	1188	Nocte	ka-cho	ka-cho	hair	hair		1.2.3	116	0		
150011	1017	Mao	pi-shu	pi-shu	hair	hair		1.2.3	116	0		1242,366
150012	1281	Phom	shu	shu	hair	hair		1.2.3	116	0		
150013	1301	Puiron	sam	sam	hair	hair		1.2.3	116	0		366
150014	1382	Sema [Sumi]	a-sa	a-sa	hair	hair		1.2.3	116	0		p,366
150015	1471	Tangkhul	kui-sam	kui-sam	hair	hair		1.2.3	116	0		386,366
150016	1694	Zeme	mi-tam	mi-tam	hair	hair		1.2.3	116	0		1002,366
164961	252	Angami (Khonoma)	phi◦mhi	phimhi	ankle	ankle		1.5.8.2		0		m,682
164962	254	Angami (Kohima)	u◦phi◦mhi	uphimhi	ankle	ankle		1.5.8.2		0		p,m,682
164963	270	Ao (Chungli)	te◦nük◦lang	te◦nük◦lang	ankle	ankle		1.5.8.2		0		p,682,m
164964	273	Ao (Mongsen: Longchang)	changchap	changchap	ankle	ankle		1.5.8.2		0		
164965	429	Chang	yo◦nyek	yonyek	ankle	ankle		1.5.8.2		0		375,681
164966	807	Konyak	ya◦mek	yamek	ankle	ankle		1.5.8.2		0		375,681
164967	906	Liangmei	talongra	talongra	ankle	ankle		1.5.8.2		0		
164968	963	Lotha Naga	cho◦mhyek	cho◦mhyek	ankle	ankle		1.5.8.2		0		888?,682
164969	1017	Mao	pi◦nghi	pinghi	ankle	ankle		1.5.8.2		0		m,682
164970	1018	Maram	paki	paki	ankle	ankle		1.5.8.2		0		
164971	1019	Maring	ho◦ru◦mit	horumit	ankle	ankle		1.5.8.2		0		m,m,682
164972	1050	Meluri	akhü	akhü	ankle	ankle		1.5.8.2		0		
164973	1347	Rongmei / Nruanghmei	phaiteng	phaiteng	ankle	ankle		1.5.8.2		0		
164974	1196	Ntenyi	achü-a◦nyang	achü-a◦nyang	ankle	ankle		1.5.8.2		0		m,p,681
164975	1301	Puiron	ki◦mik	kimik	ankle	ankle		1.5.8.2		0		m,682
164976	1335	Rengma	mpha◦bero	mpha◦bero	ankle	ankle		1.5.8.2		0		341,m
164977	1364	Sangtam	achingna	achingna	ankle	ankle		1.5.8.2		0		
164978	1382	Sema [Sumi]	alouhye	alouhye	ankle	ankle		1.5.8.2		0		
164979	1471	Tangkhul	phei◦mik◦ra	phei◦mik◦ra	ankle	ankle		1.5.8.2		0		m,682,m
164980	1490	Tangsa (Yogli)	ya◦mik	yamik	ankle	ankle		1.5.8.2		0		375,682
164981	1628	Wancho	chi◦ding	chiding	ankle	ankle		1.5.8.2		0		
164982	1694	Zeme	mi◦hi◦mik	mihimik	ankle	ankle		1.5.8.2		0		m,m,682
164983	392	Burmese (Written)	pha◦myak	phamyak	ankle	ankle		1.5.8.2		0		m,681
164984	531	Dimasa	ya◦mu	yamu	ankle	ankle		1.5.8.2		0		m,682
164985	669	Jingpho	la◦gaw-lah◦taw	lagaw-lahtaw	ankle	ankle		1.5.8.2		0		350,m,350,m
164986	976	Lushai [Mizo]	ke◦rek	kerek	ankle	ankle		1.5.8.2		0		
164987	1041	Meithei	khu◦jeng	khu◦jeng	ankle	ankle		1.5.8.2		0		1251,m
164988	1062	Mikir [Karbi]	hambi	hambi	ankle	ankle		1.5.8.2		0		
164989	252	Angami (Khonoma)	bu	bu	arm	arm		1.5.1.2		0		1327
164990	254	Angami (Kohima)	u◦bou	u◦bou	arm	arm		1.5.1.2		0		p,1327
164991	270	Ao (Chungli)	te◦ben	te◦ben	arm	arm		1.5.1.2		0		p,745
164992	273	Ao (Mongsen: Longchang)	tü◦cha	tü◦cha	arm	arm		1.5.1.2		0		p,735
164993	429	Chang	yik	yik	arm	arm		1.5.1.2		0		696
164994	486	Chokri	u◦bo	u◦bo	arm	arm		1.5.1.2		0		p,1327
164995	807	Konyak	yak	yak	arm	arm		1.5.1.2		0		696
164996	906	Liangmei	m◦poum	m◦poum	arm	arm		1.5.1.2		0		p,754
164997	963	Lotha Naga	e◦won	e◦won	arm	arm		1.5.1.2		0		p,725
164998	1017	Mao	o◦ba	o◦ba	arm	arm		1.5.1.2		0		p,745
164999	1018	Maram	wai◦chu◦kung	wai◦chu◦kung	arm	arm		1.5.1.2		0		m,731,240
165000	1019	Maring	khut◦bang	khut◦bang	arm	arm		1.5.1.2		0		712,1327
165001	1137	Mzieme	mi◦ba-keng◦kieng	mi◦ba-keng◦kieng	arm	arm		1.5.1.2		0		1002,745,m,720
165002	1347	Rongmei / Nruanghmei	ban◦pom	ban◦pom	arm	arm		1.5.1.2		0		745,754
165003	1196	Ntenyi	a◦kwang	a◦kwang	arm	arm		1.5.1.2		0		p,240
165004	1281	Phom	lak	lak	arm	arm		1.5.1.2		0		695
165005	1301	Puiron	khut	khut	arm	arm		1.5.1.2		0		712
165006	1335	Rengma	mbe	mbe	arm	arm		1.5.1.2		0		751
165007	1364	Sangtam	ok	ok	arm	arm		1.5.1.2		0		695
165008	1382	Sema [Sumi]	a◦ou	a◦ou	arm	arm		1.5.1.2		0		p,373
165009	1471	Tangkhul	pang◦thei	pang◦thei	arm	arm		1.5.1.2		0		1327,m
165010	1489	Tangsa (Moshang)	yok◦phum	yok◦phum	arm	arm		1.5.1.2		0		696,754
165011	1490	Tangsa (Yogli)	yak◦phim	yak◦phim	arm	arm		1.5.1.2		0		696,754
165012	1628	Wancho	tzak	tzak	arm	arm		1.5.1.2		0		699
165013	1694	Zeme	mi◦pa	mi◦pa	arm	arm		1.5.1.2		0		1002
165014	392	Burmese (Written)	lak◦moṅ	lak◦moṅ	arm	arm		1.5.1.2		0		695,769
165015	531	Dimasa	yao◦go◦do	yao◦go◦do	arm	arm		1.5.1.2		0		696,m,m
165016	669	Jingpho	kahpampu	kahpampu	arm	arm		1.5.1.2		0		
165017	976	Lushai [Mizo]	bân	bân	arm	arm		1.5.1.2		0		745
165018	1041	Meithei	pam◦bom	pam◦bom	arm	arm		1.5.1.2		0		745,754
165019	1062	Mikir [Karbi]	ri	ri	arm	arm		1.5.1.2		0		770
165020	1564	Tibetan (Written)	lagpa	lagpa	arm	arm		1.5.1.2		0		695,s
165021	252	Angami (Khonoma)	che	che	back (body)	back (body)		1.4.8		0		221
165022	254	Angami (Kohima)	u◦chie	u◦chie	back (body)	back (body)		1.4.8		0		p,221
165023	270	Ao (Chungli)	te◦pe◦rem	te◦pe◦rem	back (body)	back (body)		1.4.8		0		p,1361,3339
165024	273	Ao (Mongsen: Longchang)	tü◦rong◦tong	tü◦rong◦tong	back (body)	back (body)		1.4.8		0		p,3323,3322
165025	429	Chang	tak	tak	back (body)	back (body)		1.4.8		0		3322
165026	486	Chokri	u◦che	u◦che	back (body)	back (body)		1.4.8		0		p,221
165027	750	Khezha	ke◦che	ke◦che	back (body)	back (body)		1.4.8		0		209,221
165028	790	Khoirao	a◦sen	a◦sen	back (body)	back (body)		1.4.8		0		p,223
165029	807	Konyak	tok	tok	back (body)	back (body)		1.4.8		0		3322
165030	906	Liangmei	mai◦ting	mai◦ting	back (body)	back (body)		1.4.8		0		1002,3322
165031	963	Lotha Naga	man◦ku	man◦ku	back (body)	back (body)		1.4.8		0		1107,211
165032	1017	Mao	o◦pfe	o◦pfe	back (body)	back (body)		1.4.8		0		p,1361
165033	1018	Maram	a◦pau	a◦pau	back (body)	back (body)		1.4.8		0		p,3330
165034	1019	Maring	nam◦hal	nam◦hal	back (body)	back (body)		1.4.8		0		3324,201
165035	1050	Meluri	a◦se◦hü	a◦se◦hü	back (body)	back (body)		1.4.8		0		m,3391,m
165036	1188	Nocte	tam	tam	back (body)	back (body)		1.4.8		0		1362
165037	1347	Rongmei / Nruanghmei	ka◦thei	ka◦thei	back (body)	back (body)		1.4.8		0		m,1243
165038	1196	Ntenyi	a◦ke◦sü	a◦ke◦sü	back (body)	back (body)		1.4.8		0		p,209,m
165039	1281	Phom	tok	tok	back (body)	back (body)		1.4.8		0		3322
165040	1301	Puiron	chung	chung	back (body)	back (body)		1.4.8		0		3323
165041	1335	Rengma	nnye◦zung	nnye◦zung	back (body)	back (body)		1.4.8		0		m,3323
165042	1364	Sangtam	a◦rong	a◦rong	back (body)	back (body)		1.4.8		0		p,3323
165043	1382	Sema [Sumi]	a◦ki◦che	a◦ki◦che	back (body)	back (body)		1.4.8		0		p,209,m
165044	1471	Tangkhul	khum◦kor	khum◦kor	back (body)	back (body)		1.4.8		0		206,2827
165045	1490	Tangsa (Yogli)	kheng◦pang	kheng◦pang	back (body)	back (body)		1.4.8		0		219,3326
165046	1628	Wancho	ta◦ki	ta◦ki	back (body)	back (body)		1.4.8		0		p,209
165047	1640	Yacham-Tengsa	ta◦lam	ta◦lam	back (body)	back (body)		1.4.8		0		p,3324
165048	1672	Yimchungrü	rung	rung	back (body)	back (body)		1.4.8		0		3323
165049	1694	Zeme	mi◦chai	mi◦chai	back (body)	back (body)		1.4.8		0		1002,221
165050	392	Burmese (Written)	kro◦kun:	kro◦kun:	back (body)	back (body)		1.4.8		0		215,207
165051	531	Dimasa	si◦ma	si◦ma	back (body)	back (body)		1.4.8		0		
165052	669	Jingpho	marung	marung	back (body)	back (body)		1.4.8		0		3323
165053	976	Lushai [Mizo]	hnung	hnung	back (body)	back (body)		1.4.8		0		203
165054	1041	Meithei	tung	tung	back (body)	back (body)		1.4.8		0		3322
165055	1062	Mikir [Karbi]	nung	nung	back (body)	back (body)		1.4.8		0		203
165056	1564	Tibetan (Written)	rgyab	rgyab	back (body)	back (body)		1.4.8		0		213
165057	252	Angami (Khonoma)	tama	tama	beard	beard		1.2.5.5		0		1114
165058	254	Angami (Kohima)	tamie	tamie	beard	beard		1.2.5.5		0		1114
165059	270	Ao (Chungli)	bang◦sem	bang◦sem	beard	beard		1.2.5.5		0		263,366
165060	273	Ao (Mongsen: Longchang)	tü◦ma◦ko◦wa	tüma◦ko◦wa	beard	beard		1.2.5.5		0		p,1187,m,7573
165061	429	Chang	kau◦shang◦wi	kau◦shang◦wi	beard	beard		1.2.5.5		0		2057,1112,m
165062	790	Khoirao	nkha◦wu	nkha◦wu	beard	beard		1.2.5.5		0		273,1228
165063	906	Liangmei	a◦tai	a◦tai	beard	beard		1.2.5.5		0		p,1111
165064	963	Lotha Naga	kho◦ka◦hüm	kho◦ka◦hüm	beard	beard		1.2.5.5		0		2057,273,366
165065	1018	Maram	makho◦mei	makho◦mei	beard	beard		1.2.5.5		0		273,363
165066	1347	Rongmei / Nruanghmei	khu◦put	khu◦put	beard	beard		1.2.5.5		0		2057,1228
165067	1301	Puiron	ku◦mun	ku◦mun	beard	beard		1.2.5.5		0		2057,363
