rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
161381	1280	Pwo (Tenasserim)	pʻle⁵	pʻle⁵	tongue	tongue			1.3.3	F.9	0			621
161382	1273	Pwo (Delta)	pʻle²	pʻle²	tongue	tongue			1.3.3	F.9	0			621
161383	1389	Sgaw	ple³	ple³	tongue	tongue			1.3.3	F.9	0			621
161384	1254	Paku	ble²	ble²	tongue	tongue			1.3.3	F.9	0			621
161385	415	Bwe (Western)	blɪ³	blɪ³	tongue	tongue			1.3.3	F.9	0			621
161386	588	Geba	bli²	bli²	tongue	tongue			1.3.3	F.9	0			621
161387	1233	Pa-O (Northern)	pʻre⁵	pʻre⁵	tongue	tongue			1.3.3	F.9	0			621
161388	1280	Pwo (Tenasserim)	kʻwe⁵	kʻwe⁵	buffalo horn; buffalo	buffalo horn; buffalo			2.1.2	F.10	0			
161389	1273	Pwo (Delta)	kʻwe²	kʻwe²	buffalo horn; buffalo	buffalo horn; buffalo			2.1.2	F.10	0			
161390	1389	Sgaw	kwɛ³	kwɛ³	buffalo horn; buffalo	buffalo horn; buffalo			2.1.2	F.10	0			
161391	1254	Paku	gwɛ²	gwɛ²	buffalo horn; buffalo	buffalo horn; buffalo			2.1.2	F.10	0			
161392	415	Bwe (Western)	gwɛ²	gwɛ²	buffalo horn; buffalo	buffalo horn; buffalo			2.1.2	F.10	0			
161393	588	Geba	gwɛ²	gwɛ²	buffalo horn; buffalo	buffalo horn; buffalo			2.1.2	F.10	0			
161394	1233	Pa-O (Northern)	tʻwe⁶	tʻwe⁶	buffalo horn; buffalo	buffalo horn; buffalo			2.1.2	F.10	0			
161395	1280	Pwo (Tenasserim)	mə̃⁵	mə̃⁵	dizzy, drunk	dizzy, drunk			8.3.1.11.3	F.15	0			7298
161396	1273	Pwo (Delta)	mə̃²	mə̃²	dizzy, drunk	dizzy, drunk			8.3.1.11.3	F.15	0			7298
