rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
451512	1964	Sak	a◦hú	ahú	head	head			1.2.1	1	0			p,386
451513	1964	Sak	ahú=kəna	ahú=kəna	headache	headache			1.2.1	1a	0			
451514	1964	Sak	a◦hú◦miŋ	ahúmiŋ	hair of head	hair of head			1.2.3	1-1	0			p,386,m
451515	1964	Sak	a◦hú◦miŋ◦phro	ahúmiŋphro	white hair	white hair			9.4	1-1a	0			p,386,m,m
451516	1964	Sak	sɨ	sɨ	comb hair	comb hair			1.2.2.1	1-1b	0			
451517	1964	Sak	húsɨ	húsɨ	comb	comb			1.2.2.1	1-1c	0			
451518	1964	Sak	saiŋkháʔ	saiŋkháʔ	hairpin	hairpin			5.11.8.3	1-1d	0			
451519	1964	Sak	kyaŋləláʔ	kyaŋləláʔ	bald	bald			1.2.3.4	1-2	0			
451520	1964	Sak	kyáŋ	kyáŋ	get bald	get bald			1.1.5	1-2a	0			
451521	1964	Sak	góŋgyáŋ	góŋgyáŋ	bald head	bald head			1.2.3.4	1-2b	0			
451522	1964	Sak	gúŋdúʔ	gúŋdúʔ	shaven head	shaven head			6.9.2	1-2c	0			
451523	1964	Sak	ú◦nóʔ	ú◦nóʔ	brain	brain			1.2.4	1-3	0			385,243
451524	1964	Sak	nə◦phú◦ja	nəphúja	forehead	forehead			1.2.5.1	2	0			356,2024,m
451525	1964	Sak	a◦míʔ	a◦míʔ	eye	eye			1.2.6	3	0			p,682
451526	1964	Sak	amíʔkóláʔ	amíʔkóláʔ	eyelid	eyelid			1.2.6.4	3a	0			
451527	1964	Sak	myáʔráiʔmuŋ	myáʔráiʔmuŋ	eyebrow	eyebrow			1.2.6.6	4	0			
451528	1964	Sak	a◦míʔ◦kóláʔmuŋ	a◦míʔ◦kóláʔmuŋ	eyelash	eyelash			1.2.6.5	4a	0			p,682,m
451529	1964	Sak	amíʔkəɨ́	amíʔkəɨ́	tears	tears			1.2.6.7	5	0			
451530	1964	Sak	míʔ◦kre	míʔkre	blind	blind			1.2.6.14.2	6	0			682,m
451531	1964	Sak	a◦sə◦kə◦nú	asəkənú	nose	nose			1.2.8	7	0			p,p,p,803
451532	1964	Sak	a◦náiʔ	anáiʔ	snot	snot			1.8.2	7a	0			
451533	1964	Sak	asəkənúʃi	asəkənúʃi	nasal mucus (solid)	nasal mucus (solid)			1.8.2	7b	0			
451534	1964	Sak	asəkənúse	asəkənúse	nosebleed	nosebleed			1.2.8	7c	0			
451535	1964	Sak	a◦kəná	a◦kəná	ear	ear			1.2.7	8	0			p,811
451536	1964	Sak	nəbáŋ	nəbáŋ	deaf	deaf			1.2.7.5	9	0			
451537	1964	Sak	áŋsɨ	áŋsɨ	mouth	mouth			1.3.1	10	0			
451538	1964	Sak	asətúŋ	asətúŋ	lip	lip			1.3.2	11	0			
451539	1964	Sak	a◦səlíʔ	asəlíʔ	tongue	tongue			1.3.3	12	0			p,621
451540	1964	Sak	búbá	búbá	dumb	dumb			8.5.4.4	13	0			
451541	1964	Sak	á	á	stutter	stutter			8.5.4.5	13a	0			
451542	1964	Sak	asəvá	asəvá	teeth	teeth			1.3.4	14	0			
451543	1964	Sak	həɨ́	həɨ́	saliva	saliva			1.8.3	15	0			
451544	1964	Sak	məháʔ	məháʔ	phlegm	phlegm			1.8.3	15a	0			
451545	1964	Sak	ʃarekəɨ́	ʃarekəɨ́	slobber	slobber				15b	0			
451546	1964	Sak	svu◦saʔ=kɨ́ŋ	svusaʔ=kɨ́ŋ	breathe	breathe			1.1.2.2	16	0			m,32,m
451547	1964	Sak	svu◦saʔ	svusaʔ	breath	breath			1.1.2.2	16a	0			m,32
451548	1964	Sak	ákra	ákra	voice	voice			8.5.5	17	0			
451549	1964	Sak	kruʔsuʔ+róga	kruʔsuʔ+róga	cough	cough			1.8.3.3	18	0			
451550	1964	Sak	kruʔsuʔ	kruʔsuʔ	cough	to cough	v		1.8.3.3	18a	0	dwb20		
451551	1964	Sak	haiʔkhyɨ́ŋ	haiʔkhyúŋ	sneeze	sneeze			1.8.2.1	19	0			
451552	1964	Sak	arəváiŋ	arəváiŋ	yawn	yawn			1.3.1.3	20	0			
451553	1964	Sak	ahə◦ɓɯ́ʔ	ahə◦ɓɯ́ʔ	jaw	jaw			1.2.5.2	21	0			
451554	1964	Sak	amáiŋ	amáiŋ	face	face			1.2.5	22	0			
451555	1964	Sak	a◦nə◦báŋ	a◦nə◦báŋ	cheek	cheek			1.2.5.2	23	0			p,p,263
451556	1964	Sak	asətúŋmuŋ	asətúŋmuŋ	moustache	moustache			1.2.5.5	24	0			
451557	1964	Sak	ahəɓɯ́ʔmuŋ	ahəɓɯ́ʔmuŋ	beard	beard			1.2.5.5	24a	0			
