rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
20604	1002	Manang (Prakaa)	³pakli	³pakli	head	head		1.2.1	0001	0		m
20605	1002	Manang (Prakaa)	³krə	³krə	hair (of head)	hair (of head)		1.2.3	0002	0		367
20606	1002	Manang (Prakaa)	²ŋo◦kroŋ	²ŋo◦kroŋ	forehead	forehead		1.2.5.1	0003	0		356,2025
20607	1002	Manang (Prakaa)	³miː◦tsẽ	³miː◦tsẽ	eyebrow	eyebrow		1.2.6.6	0004	0		682,366
20608	1002	Manang (Prakaa)	¹mi	¹mi	eye	eye		1.2.6	0005	0		682
20609	1002	Manang (Prakaa)	³mi◦ki	³mi◦ki	tears	tears		1.2.6.7	0006	0		682,572
20610	1002	Manang (Prakaa)	²ɲe◦maŋ	²ɲe◦maŋ	ear	ear		1.2.7	0007	0		811,2084
20611	1002	Manang (Prakaa)	³nə	³nə	nose	nose		1.2.8	0008a	0		803
20612	1002	Manang (Prakaa)	³nə◦kuŋ	³nə◦kuŋ	nose	nose		1.2.8	0008b	0		803,809
20613	1002	Manang (Prakaa)	³suŋ	³suŋ	mouth	mouth		1.3.1	0009	0		477
20614	1002	Manang (Prakaa)	²mə̃◦ci	²mə̃◦ci	lip	lip		1.3.2	0010	0		467,686
20615	1002	Manang (Prakaa)	¹liʔ◦e	¹liʔ◦e	tongue	tongue		1.3.3	0011	0		621,m
20616	1002	Manang (Prakaa)	¹tʰaː	¹tʰaː	spit	spit		1.8.3	0012	0		603
20617	1002	Manang (Prakaa)	³sə	³sə	tooth	tooth		1.3.4	0013	0		632
20618	1002	Manang (Prakaa)	¹kə̃◦ta	¹kə̃◦ta	chin	chin		1.2.5.3	0014	0		630,m
20619	1002	Manang (Prakaa)	²krə◦mə	²krə◦mə	cheek	cheek		1.2.5.2	0015	0		262,m
20620	1002	Manang (Prakaa)	³mon◦ʈe	³mon◦ʈe	moustache	moustache		1.2.5.5	0016	0		1114,1265
20621	1002	Manang (Prakaa)	¹li	¹li	face	face		1.2.5	0017	0		1184
20622	1002	Manang (Prakaa)	³kʰaː◦r	³kʰaː◦r	neck	neck		1.4.2	0018	0		494,5650
20623	1002	Manang (Prakaa)	³mlaŋ◦kuŋ	³mlaŋ◦kuŋ	throat	throat		1.3.5	0019	0		479,3361
20624	1002	Manang (Prakaa)	²pən◦taː	²pən◦taː	shoulder	shoulder		1.4.3	0020	0		745,m
20625	1002	Manang (Prakaa)	²teː◦ɲe	²teː◦ɲe	back (body)	back (body)		1.4.8	0021	0		
20626	1002	Manang (Prakaa)	³kre	³kre	waist	waist		1.4.6	0022	0		217
20627	1002	Manang (Prakaa)	³pi◦ɕi	³pi◦ɕi	buttock	buttock		1.4.9.2	0023	0		1361,223
20628	1002	Manang (Prakaa)	³ku	³ku	chest	chest		1.4.4.3	0024	0		2
20629	1002	Manang (Prakaa)	²ɲok◦roː	²ɲok◦roː	breast	breast		1.4.4.3	0025	0		259,m
20630	1002	Manang (Prakaa)	¹pʰwo	¹pʰwo	belly	belly		1.4.7	0026	0		2103
20631	1002	Manang (Prakaa)	²pi◦te	²pi◦te	navel	navel		1.9.4	0027	0		m,519
20632	1002	Manang (Prakaa)	³yaː◦kaŋ	³yaː◦kaŋ	arm	arm		1.5.1.2	0028	0		696,240
20633	1002	Manang (Prakaa)	³yaː◦kru	³yaː◦kru	elbow	elbow		1.5.8.3	0029	0		696,307
20634	1002	Manang (Prakaa)	³yaː	³yaː	hand	hand		1.5.1.1	0030	0		696
20635	1002	Manang (Prakaa)	³ʈi	³ʈi	finger	finger		1.5.6	0031	0		
20636	1002	Manang (Prakaa)	³ɕĩ	³ɕĩ	nail	nail		1.5.10	0032	0		512
20637	1002	Manang (Prakaa)	²pəle	²pəle	leg	leg		1.5.7	0033	0		
20638	1002	Manang (Prakaa)	¹puci	¹puci	knee	knee		1.5.8.4	0034	0		
20639	1002	Manang (Prakaa)	³cʰĩ◦pə	³cʰĩ◦pə	liver	liver		1.7.3	0035	0		1390,s
20640	1002	Manang (Prakaa)	³tĩ	³tĩ	heart	heart		1.7.1	0036	0		1387
20641	1002	Manang (Prakaa)	²kuruŋ	²kuruŋ	guts	guts		1.7.7	0037	0		m
20642	1002	Manang (Prakaa)	²ʈi	²ʈi	skin	skin		1.6.5	0038	0		596
20643	1002	Manang (Prakaa)	¹ʈu	¹ʈu	sweat	sweat		1.8.1	0039	0		m
20644	1002	Manang (Prakaa)	²kri	²kri	filth / grime	filth / grime		1.8.5	0040	0		
20645	1002	Manang (Prakaa)	²naː	²naː	pus	pus		1.8.6.1	0041	0		1297
20646	1002	Manang (Prakaa)	¹muʔi	¹muʔi	hair (body)	hair (body)		1.2.3	0042	0		363
20647	1002	Manang (Prakaa)	¹cʰi	¹cʰi	fat / grease	fat / grease		1.6.4	0043	0		48
20648	1002	Manang (Prakaa)	¹kaː	¹kaː	blood	blood		1.6.2	0044	0		231
20649	1002	Manang (Prakaa)	¹no◦kre	¹no◦kre	bone	bone		1.6.3	0045	0		m,232
20650	1002	Manang (Prakaa)	³ɕyə	³ɕyə	flesh	flesh		1.1.1.1	0046	0		34
20651	1002	Manang (Prakaa)	²suː◦pə	²suː◦pə	body	body		1.1.1	0047	0		4,1902
20652	1002	Manang (Prakaa)	¹nə◦pə	¹nə◦pə	disease / illness / sickness	disease / illness / sickness		1.1.5.1	0048	0		160,s
20653	1002	Manang (Prakaa)	²moko	²moko	wound	wound		1.8.6.2	0049	0		
20654	1002	Manang (Prakaa)	³mẽ	³mẽ	medicine	medicine		5.4	0050	0		5434
20655	1002	Manang (Prakaa)	³ɕi	³ɕi	rice	rice		3.1.4	0051a	0		
20656	1002	Manang (Prakaa)	³kyẽ	³kyẽ	rice (cooked)	rice (cooked)		3.1.4	0051b	0		
20657	1002	Manang (Prakaa)	⁴pr̥a	⁴pr̥a	powder	powder		3.2.11	0052	0		
20658	1002	Manang (Prakaa)	³tsətsə	³tsətsə	salt	salt		3.2.4	0053	0		
20659	1002	Manang (Prakaa)	³cʰu◦ku	³cʰuku	oil	oil		1.6.4.1	0054	0		42,1440
20660	1002	Manang (Prakaa)	³pʰi	³pʰi	liquor (fermented)	liquor (fermented)		3.1.6.3	0055a	0		
20661	1002	Manang (Prakaa)	³ʔara	³ʔara	liquor (distilled)	liquor (distilled)		3.1.6.3	0055b	0		
20662	1002	Manang (Prakaa)	³ɕukri	³ɕukri	tobacco	tobacco		3.1.6.2	0056	0		
20663	1002	Manang (Prakaa)	²ʈu	²ʈu	taste / flavor	taste / flavor		1.3.5.8	0057	0	z	
20664	1002	Manang (Prakaa)	³tʰaŋ	³tʰaŋ	smell / scent / odour	smell / scent / odour		7.1.4.5	0058	0		
20665	1002	Manang (Prakaa)	²səki	²səki	food	food		5.5	0059	0		
20666	1002	Manang (Prakaa)	³ɕyə	³ɕyə	meat	meat		1.1.1.1	0060	0		34
20667	1002	Manang (Prakaa)	¹pʰuŋ	¹pʰuŋ	egg	egg			0061	0		304
20668	1002	Manang (Prakaa)	¹nə◦kə	¹nə◦kə	fowl / hen / cock	fowl / hen / cock		2.1.10	0062	0		3442,m
20669	1002	Manang (Prakaa)	³ɲemə	³ɲemə	bird	bird		2.2.4	0063	0		
20670	1002	Manang (Prakaa)	³ɕi◦pyə	³ɕi◦pyə	wing	wing		1.5.1.3	0064	0		m,760
20671	1002	Manang (Prakaa)	¹muʔi	¹muʔi	feather / plume	feather / plume		1.6.1.1	0065	0		363
20672	1002	Manang (Prakaa)	²tsaŋ	²tsaŋ	nest	nest		2.2.4	0066	0		1615
20673	1002	Manang (Prakaa)	³suŋ	³suŋ	beak / bill	beak / bill		1.3.1.2	0067	0		477
20674	1002	Manang (Prakaa)	³ru	³ru	horn	horn		1.2.2	0068	0		814
20675	1002	Manang (Prakaa)	⁴miʔe	⁴miʔe	cattle	cattle		2.1.2	0069a	0		
20676	1002	Manang (Prakaa)	⁴myekye	⁴myekye	cattle (bull)	cattle (bull)		2.1.2	0069b	0		
20677	1002	Manang (Prakaa)	⁴myamə	⁴myamə	cattle (cow)	cattle (cow)		2.1.2	0069c	0		
20678	1002	Manang (Prakaa)	³kəlti	³kəlti	knife / sword	knife / sword		5.5	0070	0		
20679	1002	Manang (Prakaa)	³kəlti	³kəlti	sword	sword		5.15	0071a	0		
20680	1002	Manang (Prakaa)	²ɕaːlaŋ	²ɕaːlaŋ	sword	sword		5.15	0071b	0		
20681	1002	Manang (Prakaa)	³kʰə	³kʰə	blade / edge	blade / edge		1.4.3.2	0072	0		
20682	1002	Manang (Prakaa)	²pyarka	²pyarka	pole / bar / stick	pole / bar / stick		9.7.1	0073a	0		
20683	1002	Manang (Prakaa)	²pyerka	²pyerka	pole / bar / stick	pole / bar / stick		9.7.1	0073b	0		
20684	1002	Manang (Prakaa)	²telẽ	²telẽ	bow	bow		5.15	0074	0		
20685	1002	Manang (Prakaa)	³myetɕo	³myetɕo	arrow	arrow		5.15	0075a	0		
20686	1002	Manang (Prakaa)	³myotɕo	³myotɕo	arrow	arrow		5.15	0075b	0		
20687	1002	Manang (Prakaa)	⁴tuŋ	⁴tuŋ	lance / spear	lance / spear		5.15	0076	0		2205
20688	1002	Manang (Prakaa)	¹ʈu	¹ʈu	thread	thread		5.11.6	0077	0		
20689	1002	Manang (Prakaa)	⁴tʰe	⁴tʰe	needle	needle		5.1	0078	0		
20690	1002	Manang (Prakaa)	³kwẽ	³kwẽ	clothes / clothing	clothes / clothing		5.11.8.2.1	0079	0		
20691	1002	Manang (Prakaa)	³ɕoɕo	³ɕoɕo	paper	paper		5.1	0080	0		
20692	1002	Manang (Prakaa)	²pərpə	²pərpə	thing	thing		8.1	0081	0		
20693	1002	Manang (Prakaa)	²pu◦kriː	²pu◦kriː	snake	snake		2.1.6.1	0082	0		2623,6104
