rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
504648	1988	Lepcha	kâ	kâ	cook	cook	v.	5.5		0		
504649	1988	Lepcha	kât	kât	order, command	order, command	v.	8.5.1		0		
504650	1988	Lepcha	kaku	kaku	eight	eight	num.	9.9		0		
504651	1988	Lepcha	kakyók	kakyók	seven	seven	num.	9.9		0		
504652	1988	Lepcha	kakyót	kakyót	nine	nine	num.	9.9		0		
504653	1988	Lepcha	kacer	kacer	wheat	wheat	n.	3.1.4		0		
504654	1988	Lepcha	kajóm	kajóm	finger	finger	n.	1.5.6		0		
504655	1988	Lepcha	kajú	kajú	dog	dog	n.	2.1.11		0		1764
504656	1988	Lepcha	kajú◦tâng	kajú◦tâng	fat male dog	fat male dog	n.	1.6.4		0		1764,m
504657	1988	Lepcha	katáp	katáp	fist	fist	n.	1.5.1.1.1		0		
504658	1988	Lepcha	kati	kati	ten	ten	num.	9.9		0		
504659	1988	Lepcha	katyám	katyám	muscle of the arm	muscle of the arm	n.	1.6.6.2		0		
504660	1988	Lepcha	kathi	kathi	little finger	little finger	n.	9.7.2		0		
504661	1988	Lepcha	kadóm	kadóm	thumb	thumb	n.	1.5.6.1		0		
504662	1988	Lepcha	ká◦bu	kábu	carry	carry	v.	6.2.2.2.1		0		m,2177
504663	1988	Lepcha	katshóng	katshóng	day after tomorrow	day after tomorrow	adv.	1.5.3.2		0		
504664	1988	Lepcha	kayók	kayók	fingertip	fingertip	n.	1.5.6		0		
504665	1988	Lepcha	kayóng	kayóng	middle finger	middle finger	n.	1.9.4		0		
504666	1988	Lepcha	kalít	kalít	ring finger	ring finger	n.	1.5.6.2		0		
504667	1988	Lepcha	kalók	kalók	rat, mouse	rat, mouse	n.	2.1.1		0		
504668	1988	Lepcha	kalyók	kalyók	palm of hand	palm of hand	n.	1.5.5		0		
504669	1988	Lepcha	káchám	káchám	in three days time, after three days	in three days time, after three days	adv.	9.1.3		0		
504670	1988	Lepcha	káchót	káchót	in four days time, after four days	in four days time, after four days	adv.	9.1.3		0		
