rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
117688	831	Lahu (Black)	g̈û(~g̈ɔ̂)-tu-šī	g̈û(~g̈ɔ̂)-tu-šī	navel	navel		1.9.4	1138	0		137,137,520,1019
117730	831	Lahu (Black)	g̈û(~g̈ɔ̂)-tu-câʔ	g̈û(~g̈ɔ̂)-tu-câʔ	umbilical cord	umbilical cord			1138	0		137,137,520,525
117731	831	Lahu (Black)	ɣû-tu-šī-câʔ	ɣû-tu-šī-câʔ	umbilical cord	umbilical cord			1129	0		137,520,1019,525
144738	831	Lahu (Black)	chɛ̂	chɛ̂	live, dwell, stay	live, dwell, stay		1.1.2.1	542-3	0		71
144750	831	Lahu (Black)	nâʔ-le	nâʔ-le	trigger	trigger	n.	5.14	p.751	0		m,517
144751	831	Lahu (Black)	khâʔ-le	khâʔ-le	trigger of crossbow	trigger of crossbow	n.	5.14	p.369	0		5678,517
144752	831	Lahu (Black)	phâ	phâ	man, male person; fellow; guy	man, male person; fellow; guy	n.	1.9.6.1	p.882	0		1634
144753	831	Lahu (Black)	šɛ̄-phâ	šɛ̄-phâ	masculine agentive nominalizer	masculine agentive nominalizer		1.9.6.1	p.1216	0		m,1634
144773	831	Lahu (Black)	phu	phu	male	male		1.9.6.1	p.895	0		1635
145078	831	Lahu (Black)	pɛ̀ʔ	pɛ̀ʔ	horny, randy (to be)	horny, randy (to be)	v.		p. 856	0		662
145080	831	Lahu (Black)	gú-pi	gú-pi	string coiled around an object	string coiled around an object	Bn	5.1	p. 817	0		m,1629
145081	831	Lahu (Black)	ɔ̀-pi-câʔ	ɔ̀-pi-câʔ	strap; sash; belt	strap; sash; belt	n.	5.11.8.2.3	p. 817	0		5450,1629,525
145083	831	Lahu (Black)	yɔ̂	yɔ̂	rust; rot; blight; deteriorati	rust; rot; blight; deteriorati	n.	3.2.4	p. 1291	0		1655
145084	831	Lahu (Black)	ɔ	ɔ	spawn	spawn	v.		p. 131	0		
145085	831	Lahu (Black)	ɔ̀-ɔ	ɔ̀-ɔ	spawn	spawn	n.		p. 136	0		
148744	831	Lahu (Black)	cɔ́	cɔ́	slim, thin, slender (people)	slim, thin, slender (people)		7.1.3	p. 488-9	0		45
148745	831	Lahu (Black)	gò	gò	thin (person or animal)	thin (person or animal)		9.7.2	p. 410	0		1805
148749	831	Lahu (Black)	cha	cha	hot	hot	v			0		1844
148750	831	Lahu (Black)	mû-cha	mû-cha	sunlight	sunlight	n	3.2.10		0		2473,1844
148753	831	Lahu (Black)	qɔ	qɔ	roast or bake; expose to heat	roast or bake; expose to heat		5.5	p. 250	0		119
148754	831	Lahu (Black)	ku~kwi	ku~kwi	hard, dry object	hard, dry object		9.6.2	p. 335	0		1001,1001
148755	831	Lahu (Black)	mû qhâʔ ve	mû qhâʔ ve	drought, be a; not have rain	drought, be a; not have rain		3.2.3	p. 993	0		2473,105,450
148757	831	Lahu (Black)	gô	gô	dried up and brittle; dehydrated	dried up and brittle;dehydratd		6.6	p. 410	0		116
148758	831	Lahu (Black)	fī	fī	dry up, go dry	dry up, go dry	v	6.6	p. 1310	0		3298
148759	831	Lahu (Black)	vi	vi	dry, dry out	dry, dry out	v	6.6	p. 1328	0		3298
148765	831	Lahu (Black)	nɔ̂	nɔ̂	awaken from sleep	awaken from sleep (v.i.)	v.i.	1.1.4	791	0		143
148766	831	Lahu (Black)	nɔ̄	nɔ̄	wake someone up	wake someone up (v.t.)	v.t.	1.1.4	794	0		143
148775	139	*Lolo-Burmese	k-|ra²	k-ra²	strength	strength		1.1.5	p.1116	0		5677
148781	831	Lahu (Black)	g̈a	g̈a	get;gain;catch;succeed	get;gain;catch;succeed	v	6.21	p.1113	0		5677
148782	831	Lahu (Black)	g̈â	g̈â	strength;power;vital force	strength;power;vital force	n	1.1.5	p.1116	0		5677
148783	831	Lahu (Black)	g̈â	g̈â	win;overcome;conquer	win;overcome;conquer	v	6.19	p.1117	0		5677
148806	831	Lahu (Black)	nà	nà	get better	get better		1.1.5	p.734-7	0		160
148813	139	*Lolo-Burmese	siy¹	siy¹	die	die		1.1.6	p.1229	0		27
148814	831	Lahu (Black)	šɨ	šɨ	die	die		1.1.6	p.1229	0		27
148827	831	Lahu (Black)	šá g̈ɔ̀ ve	šá g̈ɔ̀ ve	draw breath;inhale	draw breath;inhale		1.1.2.2	p.1160	0		32,1810,450
148834	831	Lahu (Black)	yɨ̀ʔ-mɨ́ qa ve	yɨ̀ʔ-mɨ́ qa ve	fall asleep; be asleep	fall asleep; be asleep		1.1.4.1	p.1301	0		127,130,m,450
148835	831	Lahu (Black)	yɨ̀ʔ-mɨ́ gə̀ʔ ve	yɨ̀ʔ-mɨ́ gə̀ʔ ve	sleepy	sleepy		1.1.4.1	p.1301	0		127,130,m,450
150019	831	Lahu (Black)	pâ-cɨ̂ʔ-mu	pâ-cɨ̂ʔ-mu	beard	beard		1.2.5.5	807	0		268,1232,363
150032	831	Lahu (Black)	hu	hu	support; nourish; rear	support; nourish; rear		6.16	1071	0		97
150156	831	Lahu (Black)	tu	tu	stand; get up	stand; get up	v	1.5.2	609	0		148
150157	831	Lahu (Black)	yɨ̀ʔ-tu	yɨ̀ʔ-tu	awake from sleep; rise from prone position	awake from sleep; rise from prone position	v	1.1.4	609	0		127,148
150506	831	Lahu (Black)	yâ hu ve	yâ hu ve	be pregnant, raise a child	be pregnant, raise a child	be	10.4.1.1	1259	0		1012,97,450
150515	831	Lahu (Black)	šá g̈ɔ̀ ve	šá g̈ɔ̀ ve	"breathe (""draw breath"")"	"breathe (""draw breath"")"		1.1.2.2	1160	0		32,1810,450
169224	831	Lahu (Black)	nī thû	nī thû	have an erection; be aroused	have an erection; be aroused		8.2	769	0		545,3476
169231	831	Lahu (Black)	ú-phu	ú-phu	head (in idioms)	head (in idioms)		1.2.1	115	0		385,1275
169239	831	Lahu (Black)	mə̂-cu	mə̂-cu	snout / beak / mouth (animal)	snout / beak / mouth (animal)		1.2.8	1044	0		467,442
169240	831	Lahu (Black)	mɔ̀ʔ-cu	mɔ̀ʔ-cu	snout / beak / mouth (animal)	snout / beak / mouth (animal)		1.2.8	1044	0		687,442
171239	831	Lahu (Black)	-šū	-šū	tooth-like part of tools	tooth-like part of tools		1.3.4	1195	0		632
171240	395	Burmese (Written)	ʔə◦swâ	ʔəswâ	edge of cutting instrument	edge of cutting instrument		9.2.7	1196	0	u	p,632
173024	831	Lahu (Black)	cì-tɛ̂	cì-tɛ̂	gums	gums		1.3.4.3	463	0		635,1718
173026	139	*Lolo-Burmese	b(r)aŋ³	b(r)aŋ³	born / birth	born / birth	v	1.1.2	p.857	0		70
173027	831	Lahu (Black)	pɔ	pɔ	born, be; give birth to	born, be; give birth to		1.1.2		0		70
173028	831	Lahu (Black)	šá chêʔ ve	šá chêʔ ve	die (breath is cut off)	die (breath is cut off)	v	1.1.6	p. 1160	0		32,1007,450
174671	831	Lahu (Black)	pɛ	pɛ	plentiful; abundant; numerous	plentiful; abundant; numerous	Vadj; V	7.1.2.1	p. 844	0		111
174683	831	Lahu (Black)	jî̵ pí ve	jî̵ pí ve	urinate	urinate	v	1.5.3.2	p. 582	0		650,3493,450
174692	831	Lahu (Black)	ɔ̀-vɛ̀ʔ	ɔ̀-vɛ̀ʔ	screw	screw	v	5.11.9		0		p,1006
174700	831	Lahu (Black)	ša	ša	easy, pleasant	easy, pleasant		9.6.1.1		0		156
282994	831	Lahu (Black)	qá-qə̂ʔ-lə̂ʔ	qá-qə̂ʔ-lə̂ʔ	larnyx / Adam's apple	larnyx / Adam's apple		1.5.3.2		0		493,486,3412
