rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
29026	397	Burmese (Written)	rai	rai	laugh	laugh			1.8.8.1	001	0			1108
29027	833	Lahu (Black)	g̈ɨ̀	g̈ɨ̀	laugh	laugh			1.8.8.1	001	0			1108
29028	397	Burmese (Written)	(tə)◦chai	(tə)◦chai	ten	ten			9.9	002	0			m,2748
29029	833	Lahu (Black)	(tê)◦chi	(tê)◦chi	ten	ten			9.9	002	0			m,2748
29030	397	Burmese (Written)	cwai	cwai	tooth / tusk	tooth / tusk			1.3.4	003	0			635
29031	833	Lahu (Black)	cì	cì	tooth / tusk	tooth / tusk			1.3.4	003	0			635
29032	833	Lahu (Black)	á-ci-ku	á-ci-ku	crab	crab			2.2.5	004	0			5450,2304,m
29033	979	Lushai [Mizo]	ai	ai	crab	crab			2.2.5	004	0			2304
29034	1473	Tangkhul	khai	khai	fish	fish			2.2.5	004	0		D0	6788
29035	1473	Tangkhul	khai-reu	khai-reu	crab	crab			2.2.5	004	0		D0	2304,m
29036	672	Jingpho	rài	rài	copula	copula			8.2.1	005	0			449
29037	672	Jingpho	kərài(-kəsāŋ)	kərài(-kəsāŋ)	Creator	Creator			6.14	005	0			658,5792
29038	833	Lahu (Black)	g̈ɨ̀(-ša)	g̈ɨ̀(-ša)	Creator	Creator			6.14	005	0			658,m
29039	397	Burmese (Written)	cwan	cwan	hawk / kite	hawk / kite			2.2.4.1	006	0			2219
29040	833	Lahu (Black)	á-cè	á-cè	hawk / kite	hawk / kite			2.2.4.1	006	0			5450,2219
29041	1683	Atsi [Zaiwa]	tsûn	tsûn	hawk / kite	hawk / kite			2.2.4.1	006	0			2219
29042	927	Lisu	dzyē⁴	dzyē⁴	hawk / kite	hawk / kite			2.2.4.1	006	0			2219
29043	474	Chinese (Old)	di̯wan	di̯wan	hawk / kite	hawk / kite			2.2.4.1	006	0			2219
29044	2118	Chinese (Middle)	i̯wän	i̯wän	hawk / kite	hawk / kite			2.2.4.1	006	0			2219
29045	230	Akha	xhà-dzé	xhà-dzé	hawk / kite	hawk / kite			2.2.4.1	006	0			1603,2219
29046	1116	Mpi	te⁶-mo⁴	te⁶-mo⁴	hawk / kite	hawk / kite			2.2.4.1	006	0			2219,m
29047	695	Jinuo	tsø⁵-mɔ³	tsø⁵-mɔ³	hawk / kite	hawk / kite			2.2.4.1	006	0			2219,m
29048	833	Lahu (Black)	še	še	louse	louse			2.2.6	007	0			2652
29049	230	Akha	shɛ́-mɔ̀	shɛ́-mɔ̀	louse	louse			2.2.6	007	0			2652,m
29050	1116	Mpi	se⁶	se⁶	louse	louse			2.2.6	007	0			2652
29051	397	Burmese (Written)	sân	sân	louse	louse			2.2.6	007	0			2652
29052	397	Burmese (Written)	kywan	kywan	slave	slave			4.2.10	008	0			5524
29053	833	Lahu (Black)	cè	cè	slave	slave			4.2.10	008	0			
29054	833	Lahu (Black)	ɔ̀-cè	ɔ̀-cè	slave	slave			4.2.10	008	0			5450,m
29055	1569	Tibetan (Written)	khol-po	khol-po	servant	servant			4.2.10	008	0		D0	5524,s
29056	1569	Tibetan (Written)	khol-mo	khol-mo	servant (fem.)	servant (fem.)			4.2.10	008	0			5524,s
29057	474	Chinese (Old)	g'wan	g'wan	servant, officer, official	servant, officer, official			4.2.10	008	0			
29059	397	Burmese (Written)	ʔəkhywan	ʔəkhywan	end of something sharp	end of something sharp			9.5	009	0			
29060	397	Burmese (Written)	khywân	khywân	naturally pointed	naturally pointed			3.2.1	009	0			
29061	397	Burmese (Written)	khywân~khrwân	khywân~khrwân	goad for elephants	goad for elephants			5.14	009	0			
29062	230	Akha	tjhɛ	tjhɛ	sharpen / point, make	sharpen / point, make			6.9.2	009	0			
29063	1116	Mpi	tɕhe³	tɕhe³	sharpen / point, make	sharpen / point, make			6.9.2	009	0			
29064	833	Lahu (Black)	che	che	sharpen / point, make	sharpen / point, make			6.9.2	009	0			
29065	397	Burmese (Written)	kyan	kyan	remain, be left (simplex)	remain, be left (simplex)			6.7.11	010	0			
29066	397	Burmese (Written)	khyan	khyan	leave, let remain (causative)	leave, let remain (causative)			6.10.2	010	0			
29067	833	Lahu (Black)	che	che	strain, filter	strain, filter			6.6	010	0			
29073	397	Burmese (Written)	chan'	chan'	contrary, opposite, adverse	contrary, opposite, adverse			1.5.3.2	012	0			
29075	833	Lahu (Black)	cè	cè	colored haze	colored haze			9.4	013	0			
29077	121	*Karen	jan	jan	brouillard	brouillard			3.2.2	013	0			
29078	833	Lahu (Black)	khá-ce	khá-ce	arrow	arrow			5.15	014	0			5678,74
29079	160	*Northern Naga	(la-)dzaːn	(la-)dzaːn	arrow	arrow			5.15	014	0			2386,74
29080	1103	Tangsa (Moshang)	la-san	la-san	arrow	arrow			5.15	014	0			2386,74
29081	1189	Nocte	la◦t-|chan	lat-chan	arrow	arrow			5.15	014	0			2386,74
29082	1630	Wancho	san	san	arrow	arrow			5.15	014	0			
29083	808	Konyak	la-han	la-han	arrow	arrow			5.15	014	0			2386,74
29087	833	Lahu (Black)	mû-phe	mû-phe	"sky (""sky-spread""?)"	"sky (""sky-spread""?)"			3.2.2	015	0			2473,5719
29088	833	Lahu (Black)	fe	fe	wide	wide			9.7.2	015	0			5719
29089	1116	Mpi	phe⁵	phe⁵	wide	wide			9.7.2	015	0			5719
