rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
514679	2011	*Lolo-Burmese	ʔ-ga²	ʔ-ga²	mute / dumb / stupid	mute / dumb / stupid			1.5.3.2	583	0			
514680	2012	*Tibeto-Burman	m-|ʔa	m-ʔa	mute / dumb / stupid	mute / dumb / stupid			1.5.3.2	583	0			1752
514681	2012	*Tibeto-Burman	ʔal	ʔal	right (correct) / good	right (correct) / good			1.5.3.2	583	0			3543
514682	2012	*Tibeto-Burman	ʔam	ʔam	eat / drink	eat / drink			1.5.3.2	583	0			487
514683	2012	*Tibeto-Burman	ʔaŋ- ⪤ ʔak-	ʔaŋ- ⪤ ʔak-	noun prefix	noun prefix			10.2.1	583	0			5450,5450
514684	2012	*Tibeto-Burman	ʔap ⪤ gaːp	ʔap ⪤ gaːp	needle	needle			5.1	583	0			5398,5398
514685	2012	*Tibeto-Burman	ʔap ⪤ gaːp	ʔap ⪤ gaːp	shoot	shoot			6.2.2.1	583	0			2232,2232
514686	2012	*Tibeto-Burman	ʔaːr or haːr	ʔaːr or haːr	fowl / chicken / quail	fowl / chicken / quail			2.1.10	583	0			1600,x,1600
514687	2012	*Tibeto-Burman	ʔaw	ʔaw	vomit	vomit			1.8.3.2	583	0			1749
514688	2012	*Tibeto-Burman	ʔaːw	ʔaːw	shout	shout			8.5.4.1	583	0			2142
514689	2012	*Tibeto-Burman	ʔay	ʔay	go / directional particle / transitive motion	go / directional particle / transitive motion			6.7.2	583	0			657
514690	2012	*Tibeto-Burman	ʔew	ʔew	lean back	lean back			1.1.1	583	0			2227
514691	2012	*Tibeto-Burman	ʔik	ʔik	elder brother	elder brother			4.7.1	583	0			2274
514692	2012	*Tibeto-Burman	ʔik	ʔik	strangle	strangle			6.4	583	0			2275
514693	2011	*Lolo-Burmese	ʔu²-(y)ikᴸ	ʔu²-(y)ikᴸ	elder sibling	elder sibling			4.7.1	583	0			385,2274
514694	2012	*Tibeto-Burman	ʔiŋ	ʔiŋ	bear (endure) / suffer	bear (endure) / suffer			6.2	583	0			294
514695	2012	*Tibeto-Burman	ʔip ⪤ ʔiːt	ʔip ⪤ ʔiːt	bag / sack	bag / sack				583	0			643,643
514696	2012	*Tibeto-Burman	ʔit	ʔit	one	one			9.9	583	0			2277
514697	2012	*Tibeto-Burman	ʔok	ʔok	below / under	below / under			9.2.2	583	0			2542
514698	2012	*Tibeto-Burman	ʔoːl	ʔoːl	finish / loose / relax	finish / loose / relax			6.13.1	583	0			2543
