rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
30932	400	Burmese (Written)	pha'	pha'	exchange	exchange		6.22	1	0	D1	
30933	837	Lahu	pa	pa	exchange	exchange		6.22	1	0	D1	
30934	232	Akha	pá	pá	exchange	exchange		6.22	1	0	D1	
30935	929	Lisu	pa³	pa³	exchange	exchange		6.22	1	0	D1	
30936	400	Burmese (Written)	khyok	khyok	chasm, gulf	chasm, gulf		3.2.7	77	0		2322
30937	475	Chinese (Old)	k'iog	k'iog	hole, opening	hole, opening		3.2.7	77	0		
30938	1572	Tibetan (Written)	khuŋ(s)	khuŋ(s)	pit	pit		3.1.2	77	0		
30939	400	Burmese (Written)	paŋ'-ku	paŋ'-ku	spider	spider		2.2.6	76	0		
30941	1572	Tibetan (Written)	'bag-rag	'bag-rag	spider	spider		2.2.6	76	0		
30942	400	Burmese (Written)	waŋ	waŋ	fence, enclosure	fence, enclosure		5.11.9.5	75	0		2270
30943	400	Burmese (Written)	ə◦kwaŋ	əkwaŋ	circle, ring, loop	circle, ring, loop		9.7.1	75	0		p,6077
30944	475	Chinese (Old)	kwâk	kwâk	outer wall of a city	outer wall of a city		9.2	75	0		
30945	1572	Tibetan (Written)	skor	skor	circle	circle		9.7.1	75	0		5748
30946	400	Burmese (Written)	krak	krak	fowl	fowl		2.1.10	74	0		1606
30947	475	Chinese (Old)	kieg	kieg	fowl	fowl		2.1.10	74	0		
30949	787	*Khmer	raka	raka	Year of the Cock	Year of the Cock		9.1.2	74	0	u	
30950	475	Chinese (Old)	zi̯ôg	zi̯ôg	fowl	fowl		2.1.10	74	0		
30951	400	Burmese (Written)	kywan	kywan	servant, slave	servant, slave		4.2.10	73	0		5524
30952	475	Chinese (Old)	g'wan	g'wan	servant, officer, official	servant, officer, official		4.2.10	73	0		
30953	1572	Tibetan (Written)	khol-po	khol-po	servant	servant		4.2.10	73	0	D0	5524,s
30954	1572	Tibetan (Written)	khol-mo	khol-mo	maidservant	maidservant		4.2.10	73	0		
30955	837	Lahu	cè	cè	servant	servant		4.2.10	73	0		
30956	400	Burmese (Written)	kraː	kraː	hear, inform	hear, inform		1.2.7.4	72	0		1411
30958	837	Lahu	kâ	kâ	in unison	in unison		10.1.1	72	0		1411*
30959	475	Chinese (Old)	k'ɛr	k'ɛr	hear / inform	hear / inform		1.2.7.4	72	0		
30960	400	Burmese (Written)	ə◦rwak	ərwak	leaf	leaf		3.1.3	71	0		p,2085
30963	400	Burmese (Written)	khak	khak	hard, difficult, arduous	hard, difficult, arduous		9.6.2	70	0		173
30964	475	Chinese (Old)	ʔěk	ʔěk	straits, difficulties	straits, difficulties		3.2.3	70	0		175
30965	1572	Tibetan (Written)	khag-po	khag-po	difficult, hard to bear	difficult, hard to bear		9.6.2	70	0		173,s
30967	837	Lahu	ɛ́-qwɛ̀ʔ	ɛ́-qwɛ̀ʔ	yoke	yoke		5.14	70	0		
30968	400	Burmese (Written)	cok	cok	steep	steep		7.1.5.3	69	0		2760
30969	475	Chinese (Old)	ts'i̯og	ts'i̯og	high, precipitous	high, precipitous		7.1.5.3	69	0		
30970	1572	Tibetan (Written)	gtsaŋ-gtsoŋ	gtsaŋ-gtsoŋ	steep, rugged, mountainous	steep, rugged, mountainous		3.2.5	69	0		
30973	1572	Tibetan (Written)	zog	zog	deceit, fraud, falsehood	deceit, fraud, falsehood		8.3.3.4.3.2	68	0		
30974	1572	Tibetan (Written)	zol-zog	zol-zog	deceit, fraud, falsehood	deceit, fraud, falsehood		8.3.3.4.3.2	68	0		
30975	1572	Tibetan (Written)	zkyu-zog	zkyu-zog	hypocrisy	hypocrisy		8.3.3.4.3.2	68	0		
30980	475	Chinese (Old)	kâŋ	kâŋ	hill, ridge	hill, ridge		3.2.5	66	0		3581
30981	1572	Tibetan (Written)	sgaŋ	sgaŋ	projecting hill / spur	projecting hill / spur		6.12	66	0		3581
30982	837	Lahu	qhɔ	qhɔ	mountain	mountain		3.2.5	66	0		3581
30983	400	Burmese (Written)	sut	sut	wipe / rub	wipe / rub		6.2.2.1	65	0		5594
30984	475	Chinese (Old)	s̥i̯wat ⪤ swat	s̥i̯wat⪤swat	scrape, clear, brush	scrape, clear, brush		6.3	65	0		
30985	475	Chinese (Old)	śi̯wad	śi̯wad	kerchief, towel	kerchief, towel		5.11.8.2.2	65	0		
30986	475	Chinese (Old)	ts'i̯wad	ts'i̯wad	wipe / rub	wipe / rub		6.2.2.1	65	0		
30987	1572	Tibetan (Written)	śud-pa	śud-pa	rub	rub		8.4	65	0		5594,s
30988	837	Lahu	šîʔ	šîʔ	wipe / rub	wipe / rub		6.2.2.1	65	0		5594
30989	232	Akha	síʔ	síʔ	wipe / rub	wipe / rub		6.2.2.1	65	0		5594
30990	400	Burmese (Written)	waŋː	waŋː	brightly yellow	brightly yellow	be v.	7.1.11.1	64	0		5518
30991	475	Chinese (Old)	g'wâŋ	g'wâŋ	yellow	yellow		9.4	64	0		5518
30993	400	Burmese (Written)	ə◦wa	əwa	colour, brightness	colour, brightness		9.4	64	0		p,165
30994	400	Burmese (Written)	tim	tim	cloud	cloud		3.2.1	63	0		5656
30995	475	Chinese (Old)	ʔi̯əm	ʔi̯əm	cloudy	cloudy		3.2.2	63	0		2624
30996	1572	Tibetan (Written)	gtibs-pa ⪤ 'thibs-pa	gtibs-pa⪤'thibs-pa	gather (of clouds)	gather (of clouds)	v.	6.13.5	63	0		
30999	475	Chinese (Old)	b'wâŋ	b'wâŋ	irresolute walk, hesitating	irresolute walk, hesitating			62	0		
31002	475	Chinese (Old)	dz'əg	dz'əg	woodstuff, material, resources	woodstuff, material, resources		3.1.2	61	0		
31004	400	Burmese (Written)	ka'	ka'	saddle-frame	saddle-frame		5.14	60	0		
31005	475	Chinese (Old)	ka	ka	yoke-horses, yoke	yoke-horses, yoke	v.	5.14	60	0		
31006	1572	Tibetan (Written)	sga	sga	saddle	saddle		5.14	60	0		5674
31007	400	Burmese (Written)	hmit	hmit	wink, shut the eyes	wink, shut the eyes		1.2.6.12	59	0		31
31008	1572	Tibetan (Written)	gńid	gńid	sleep	sleep		1.1.4.1	59	0		131
31010	232	Akha	míʔ	míʔ	extinguished	extinguished	be v.	3.2.12.1	59	0		31
31012	475	Chinese (Old)	mi̯at	mi̯at	drown, extinguish, destroy	drown, extinguish, destroy		6.6	59	0		31
31013	400	Burmese (Written)	əhńok	əhńok	sprout	sprout		3.1.10	58	0		
31014	475	Chinese (Old)	mi̯og	mi̯og	sprout	sprout		3.1.10	58	0		
31015	1572	Tibetan (Written)	myug	myug	sprout	sprout		3.1.10	58	0		
31016	1572	Tibetan (Written)	smyig-ma ⪤ smyug-ma	smyig-ma⪤smyug-ma	cane, bamboo	cane, bamboo		5.11.8.2.2	58	0		2477,s,2477,s
31017	400	Burmese (Written)	hmyac	hmyac	bamboo sprout	bamboo sprout		3.1.1	58	0		2477
31018	573	Garo	bimik	bimik	sprout, germ, blade	sprout, germ, blade		3.1.10	58	0	u	
31019	400	Burmese (Written)	tam̊-mrak	tam̊-mrak	broom	broom		5.4	57	0		
31020	475	Chinese (Old)	b'i̯ǔg	b'i̯ǔg	wife	wife		4.7.4	57	0		
31021	1572	Tibetan (Written)	phyag-ma	phyag-ma	broom	broom		5.4	57	0		2587,m
31022	1572	Tibetan (Written)	'phyag-pa	'phyag-pa	sweep	sweep		6.2.2.5.3	57	0		2587,s
31023	400	Burmese (Written)	khraŋ-chi	khraŋ-chi	marrow	marrow		1.6.3.5	56	0	D0	459,463
31024	475	Chinese (Old)	swia	swia	marrow	marrow		1.6.3.5	56	0		5485
31025	1572	Tibetan (Written)	rkaŋ	rkaŋ	marrow	marrow		1.6.3.5	56	0		459
31026	1572	Tibetan (Written)	rkaŋ-mar	rkaŋ-mar	marrow	marrow		1.6.3.5	56	0		459,m
31027	400	Burmese (Written)	tam-thwe	tam-thwe	spit	spit		1.8.3	55	0		m,298
31028	475	Chinese (Old)	t'o	t'o	spit out, vomit	spit out, vomit		1.8.3	55	0		603
31029	475	Chinese (Old)	t'wâ	t'wâ	spit	spit		1.8.3	55	0		603
31030	1572	Tibetan (Written)	tho-le	tho-le	spittle	spittle		1.2.6	55	0		
31031	1572	Tibetan (Written)	thu	thu	spittle	spittle		1.2.6	55	0		
31032	400	Burmese (Written)	cak	cak	fall in drops	fall in drops		6.1.1.4.2	54	0		
31033	400	Burmese (Written)	ə◦cak	əcak	drop	drop	n.	6.16	54	0		p,557
31034	475	Chinese (Old)	tiek	tiek	drop / drip	drop / drip		6.16	54	0		190
31035	1572	Tibetan (Written)	thigs-pa	thigs-pa	drop	drop	n.	6.16	54	0		555,s
31036	1572	Tibetan (Written)	'dzag-pa	'dzag-pa	fall in drops	fall in drops		6.1.1.4.2	54	0		
31038	400	Burmese (Written)	ʔip	ʔip	sleep	sleep		1.1.4.1	53	0		127
31039	475	Chinese (Old)	ts'i̯əm	ts'i̯əm	sleep	sleep		1.1.4.1	53	0		128
31040	1572	Tibetan (Written)	gzim-pa	gzim-pa	sleep	sleep		1.1.4.1	53	0		128,s
31041	1572	Tibetan (Written)	yib-pa	yib-pa	hide oneself	hide oneself		1.6.5.1	53	0		127,s
31042	675	Jingpho	ʔyúp	ʔyúp	sleep	sleep		1.1.4.1	53	0		127
31043	400	Burmese (Written)	wam	wam	womb / belly	womb / belly			52	0		2108
31044	475	Chinese (Old)	b'i̯wǎm	b'i̯wǎm	mould, matrix	mould, matrix		3.1.7	52	0		670
31045	1572	Tibetan (Written)	rum	rum	womb	womb			52	0		670
31046	1572	Tibetan (Written)	hlums	hlums	womb (resp.)	womb (resp.)			52	0		670
31047	400	Burmese (Written)	ə◦khak	əkhak	branch	branch		1.5.3.1	51	0		p,1278
31048	475	Chinese (Old)	t̂i̯ěg	t̂i̯ěg	branch	branch		1.5.3.1	51	0		
31049	475	Chinese (Old)	g'i̯ěg	g'i̯ěg	bifurcating, forked	bifurcating, forked		6.10.4	51	0		
31050	1572	Tibetan (Written)	khag	khag	division, section	division, section		9.9	51	0		
31051	400	Burmese (Written)	thaŋ	thaŋ	firewood	firewood		5.11.5.5	50	0		
31052	400	Burmese (Written)	thaŋː-ruː	thaŋː-ruː	pine, fir	pine, fir		3.1.1	50	0		2690,2620
31053	475	Chinese (Old)	t̂i̯əŋ	t̂i̯əŋ	small twigs as firewood	small twigs as firewood		9.7.2	50	0		
31054	1572	Tibetan (Written)	thaŋ-śiŋ	thaŋ-śiŋ	fir, pine	fir, pine		3.1.1	50	0		2690,2658
31055	837	Lahu	thɔ̂	thɔ̂	firewood / pine	firewood / pine		5.11.5.5	50	0		2690
31056	400	Burmese (Written)	ʔuː-hnok	ʔuː-hnok	brain	brain		1.2.4	49	0		385,243
31057	466	Chinese (Middle)	nâu	nâu	brain	brain		1.2.4	49	0	u	243
31058	971	Luquan	ń̥a¹¹	ń̥a¹¹	brain	brain		1.2.4	49	0	u	243
31059	400	Burmese (Written)	cə◦ka	cəka	word / speech	word / speech		8.5.10.2	48	0		p,1754
31060	475	Chinese (Old)	g'wad	g'wad	word / speech	word / speech		8.5.10.2	48	0		
31061	475	Chinese (Old)	kâ	kâ	sing	sing		5.1	48	0		521
31062	1572	Tibetan (Written)	b◦ka	bka	word, speech	word, speech		8.5.10.2	48	0		p,1754
31063	1572	Tibetan (Written)	skad	skad	voice, speech, language	voice, speech, language		8.5.5	48	0		
31064	400	Burmese (Written)	kyok	kyok	stone / rock	stone / rock		3.2.9	47	0		1269
31065	381	Burmese (Inscriptional)	klok	klok	stone / rock	stone / rock		3.2.9	47	0		1269
31066	475	Chinese (Old)	k'og ⪤ k'iog	k'og⪤k'iog	stony soil	stony soil		3.2.11	47	0		
31067	1572	Tibetan (Written)	rdo	rdo	stone, rock	stone, rock		3.2.9	47	0		
31068	400	Burmese (Written)	saŋ	saŋ	emit pleasant odour	emit pleasant odour		8.3.1.1.1	46	0		1417
31069	475	Chinese (Old)	xi̯aŋ	xi̯aŋ	fragrance	fragrance		3.1.2	46	0		
31070	1572	Tibetan (Written)	bsuŋ	bsuŋ	smell, esp. sweet scent	smell, esp. sweet scent		1.2.8.5	46	0		1417
31071	400	Burmese (Written)	ʔumː	ʔumː	pillow	pillow		1.2.1	45	0		692
31072	400	Burmese (Written)	khum	khum	block	block		6.2	45	0		692
31073	475	Chinese (Old)	t̂i̯əm	t̂i̯əm	pillow	pillow		1.2.1	45	0		692
31074	475	Chinese (Old)	t'i̯əm	t'i̯əm	block, anvil	block, anvil		6.2	45	0		692
31075	475	Chinese (Old)	tiam	tiam	earthen stand for cups	earthen stand for cups		3.2.11	45	0		
31076	475	Chinese (Old)	ti̯əm	ti̯əm	chopping-block	chopping-block		6.9.3	45	0		692
31077	400	Burmese (Written)	mrwe	mrwe	snake	snake		2.1.6.1	44	0		2623
31079	1572	Tibetan (Written)	sbrul	sbrul	snake	snake		2.1.6.1	44	0		2623
31080	400	Burmese (Written)	yap	yap	fan / wave	fan / wave		5.4	43	0		2790
31081	475	Chinese (Old)	sap	sap	plume-gan	plume-gan		1.6.1.1	43	0		
31082	1572	Tibetan (Written)	(g)yab-mo	(g)yab-mo	fan / wave	fan / wave		5.4	43	0		2790,m
31083	675	Jingpho	kə◦tsàp	kətsàp	winnow	winnow		3.1.10	43	0		m,2790
31084	400	Burmese (Written)	pərwak	pərwak	ant	ant		2.2.6	42	0		2631
31085	475	Chinese (Old)	g'i̯og	g'i̯og	ant	ant		2.2.6	42	0		
31086	1572	Tibetan (Written)	grog-ma	grog-ma	ant	ant		2.2.6	42	0		2631,s
31087	400	Burmese (Written)	wam'	wam'	dare	dare			41	0		5652
31088	475	Chinese (Old)	kâm	kâm	dare	dare			41	0		5652
31089	1572	Tibetan (Written)	spobs-pa	spobs-pa	dare	dare			41	0		
31090	400	Burmese (Written)	rap	rap	stand	stand		1.5.2	40	0		145
31091	475	Chinese (Old)	gli̯ep	gli̯ep	stand	stand		1.5.2	40	0		
31092	1572	Tibetan (Written)	źabs	źabs	foot	foot		1.5.2	40	0		
31093	400	Burmese (Written)	nam-nak	nam-nak	morning	morning		9.1.4	39	0		m,6227
31094	1572	Tibetan (Written)	naŋ-mo	naŋ-mo	morning	morning		9.1.4	39	0		
31095	400	Burmese (Written)	ra	ra	place	place		9.10.5	38	0		5435
31096	475	Chinese (Old)	śri̯o	śri̯o	place	place		9.10.5	38	0		5435
31097	1572	Tibetan (Written)	sa	sa	place	place		9.10.5	38	0		
31098	675	Jingpho	rà~šərà	rà~šərà	place	place		9.10.5	38	0		5435,5435
31099	400	Burmese (Written)	nak	nak	black	black		9.4	37	0		2483
31100	400	Burmese (Written)	maŋ~hmaŋ	maŋ~hmaŋ	ink	ink		5.1	37	0		6130,6130
31101	475	Chinese (Old)	mək	mək	ink / black	ink / black		5.1	37	0		6130
31102	1572	Tibetan (Written)	nag-po	nag-po	black	black		9.4	37	0		2483,s
31103	1572	Tibetan (Written)	snag	snag	ink	ink		5.1	37	0		
31104	1572	Tibetan (Written)	smag	smag	dark, darkness	dark, darkness		9.4	37	0		2465
31105	400	Burmese (Written)	kam	kam	bank / shore	bank / shore		9.10.2	36	0		454
31106	381	Burmese (Inscriptional)	kham	kham	bank / shore	bank / shore		9.10.2	36	0		454
31107	475	Chinese (Old)	k'âm	k'âm	bank / shore	bank / shore		9.10.2	36	0		454
31108	1572	Tibetan (Written)	'gram	'gram	bank / shore	bank / shore		9.10.2	36	0		
31109	400	Burmese (Written)	mak	mak	war / army / soldier	war / army / soldier		5.15	35	0		257
31110	1572	Tibetan (Written)	dmag	dmag	war / army / soldier	war / army / soldier		5.15	35	0		257
31111	400	Burmese (Written)	tok	tok	poison	poison		6.4	34	0		2202
31112	475	Chinese (Old)	d'ôk	d'ôk	poison	poison		6.4	34	0		2202
31113	1572	Tibetan (Written)	dug	dug	poison	poison		6.4	34	0		2202
31114	400	Burmese (Written)	khok	khok	bark / covering (outer)	bark / covering (outer)		2.1.11.1	33	0		
31115	475	Chinese (Old)	k'ǔk	k'ǔk	bark / covering (outer)	bark / covering (outer)		2.1.11.1	33	0		
31116	475	Chinese (Old)	k'wâk	k'wâk	leather	leather		1.6.5.1	33	0		586
31117	475	Chinese (Old)	kɛk	kɛk	hide, skin	hide, skin		1.6.5.1	33	0		586
31118	1572	Tibetan (Written)	khog-pa	khog-pa	bark / covering (outer)	bark / covering (outer)		2.1.11.1	33	0		
31119	1572	Tibetan (Written)	skog-pa	skog-pa	bark / covering (outer)	bark / covering (outer)		2.1.11.1	33	0		
31120	400	Burmese (Written)	kok	kok	crooked / bent	crooked / bent		9.7.2	32	0		
31121	475	Chinese (Old)	k'i̯uk	k'i̯uk	crooked / bent	crooked / bent		9.7.2	32	0		
31122	1572	Tibetan (Written)	kug	kug	crooked / bent	crooked / bent		9.7.2	32	0		
31123	1572	Tibetan (Written)	'gugs-pa	'gugs-pa	crooked / bent	crooked / bent		9.7.2	32	0		
31124	400	Burmese (Written)	kok	kok	grain / rice plant	grain / rice plant		3.1.6.2	31	0		5817
31125	475	Chinese (Old)	kuk	kuk	grain / rice plant	grain / rice plant		3.1.6.2	31	0		
31126	400	Burmese (Written)	kyaŋ	kyaŋ	excreta	excreta		1.8.5	30	0		
31127	1572	Tibetan (Written)	rkyag-pa	rkyag-pa	excreta	excreta		1.8.5	30	0		
31128	1572	Tibetan (Written)	skyag	skyag	excreta	excreta		1.8.5	30	0		577
31129	400	Burmese (Written)	wak	wak	pig	pig		2.1.12	29	0		1006
31130	475	Chinese (Old)	g'i̯wag	g'i̯wag	wild boar	wild boar		3.2.5	29	0		
31131	1572	Tibetan (Written)	phag	phag	pig	pig		2.1.12	29	0		1006
31132	400	Burmese (Written)	rak	rak	weave	weave		5.1	28	0		5669
31133	475	Chinese (Old)	t̂i̯ək	t̂i̯ək	weave	weave		5.1	28	0		2686
31134	1572	Tibetan (Written)	'thag-pa	'thag-pa	weave	weave		5.1	28	0		2686,s
31135	400	Burmese (Written)	mak	mak	dream	dream		1.1.4.2	27	0		126
31136	475	Chinese (Old)	mi̯ǔŋ	mi̯ǔŋ	dream	dream		1.1.4.2	27	0		126
31137	1572	Tibetan (Written)	rmaŋ	rmaŋ	dream	dream		1.1.4.2	27	0		126
31138	400	Burmese (Written)	lań	lań	neck	neck		1.4.2	26	0		479
31139	475	Chinese (Old)	li̯éŋ	li̯éŋ	neck	neck		1.4.2	26	0		479
31140	1572	Tibetan (Written)	'jiŋ-pa	'jiŋ-pa	neck	neck		1.4.2	26	0		479,s
31141	1572	Tibetan (Written)	mjiŋ-pa	mjiŋ-pa	neck	neck		1.4.2	26	0		479,s
31142	400	Burmese (Written)	mań	mań	named	named	be v.	5.8	25	0		
31143	400	Burmese (Written)	hmań	hmań	name	name	v.	5.8	25	0		2450
31144	475	Chinese (Old)	mi̯ěŋ	mi̯ěŋ	name	name		5.8	25	0		2450
31145	1572	Tibetan (Written)	miŋ	miŋ	name	name		5.8	25	0		2450
31146	475	Chinese (Old)	si̯ěn	si̯ěn	new	new		9.6.1.1	24	0		2651
