rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
234997	519	Dhimal	jiu*	jiu*	body	body			1.1.1		0			15
234998	519	Dhimal	pundi, pundui	pundi, pundui	brain	brain			1.2.4		0			
234999	519	Dhimal	hara*	hara*	bone	bone			1.6.3		0			b
235000	519	Dhimal	hi◦ti	hi◦ti	blood	blood			1.6.2		0			230,298
235001	519	Dhimal	puriŋ	puriŋ	head	head			1.2.1		0			
235002	519	Dhimal	pusyiŋ	pusyiŋ	hair	hair			1.2.3		0			
235003	519	Dhimal	lokhuri	lokhuri	skull	skull			1.2.1.1		0			
235004	519	Dhimal	kapal*	kapal*	forehead	forehead			1.2.5.1		0			1241
235005	519	Dhimal	misyã	misyã	eyeball	eyeball			1.2.6.1		0			
235006	519	Dhimal	mi(pata)	mi(pata)	eyelid	eyelid			1.2.6.4		0			
235007	519	Dhimal	mi◦muĩ	mi◦muĩ	eyelash / brow	eyelash / brow			1.2.6.5		0			682,m
235008	519	Dhimal	nha◦pu	nhapu	nose	nose			1.2.8		0			803,806
235009	519	Dhimal	nhapukana	nhapukana	nostril	nostril			1.2.8.1		0			
235010	519	Dhimal	(gal)bhuŋ	(gal)bhuŋ	cheek	cheek			1.2.5.2		0			
235011	519	Dhimal	nha◦toŋ	nha◦toŋ	ear	ear			1.2.7		0			811,m
235012	519	Dhimal	nui	nui	mouth	mouth			1.3.1		0			
235013	519	Dhimal	dirbe	dirbe	lip	lip			1.3.2		0			
235014	519	Dhimal	ditoŋ	ditoŋ	tongue	tongue			1.3.3		0			
235015	519	Dhimal	tasyi	tasyi	tooth	tooth			1.3.4		0			
235016	519	Dhimal	rhai	rhai	face	face			1.2.5		0			
235017	519	Dhimal	ka◦to	ka◦to	chin	chin			1.2.5.3		0			
235018	519	Dhimal	jambai	jambai	jaw	jaw			1.2.5.2		0			
235019	519	Dhimal	kan◦dhe	kan◦dhe	shoulder	shoulder			1.4.3		0			3393,3408
235020	519	Dhimal	baha*	baha*	arm	arm			1.5.1.2		0			
235021	519	Dhimal	khur*	khur*	hand	hand			1.5.1.1		0			
235022	519	Dhimal	khursyiŋ	khursyiŋ	fingernail	fingernail			1.5.10.1		0			
235023	519	Dhimal	gandhi	gandhi	back	back			1.4.8		0			
235024	519	Dhimal	tum◦ta	tum◦ta	chest	chest			1.4.4.3		0			
235025	519	Dhimal	du◦du	du◦du	breast	breast			1.4.4.3		0			3466,3466
235026	519	Dhimal	sukulu	sukulu	heart	heart			1.7.1		0			
235027	519	Dhimal	khondaŋ	khondaŋ	lung	lung			1.7.2		0			
235028	519	Dhimal	du◦du◦no◦si	du◦du◦no◦si	nipple	nipple					0			3466,3466,253,1019
235029	519	Dhimal	bo◦dhi	bo◦dhi	navel	navel			1.9.4		0			m,519
235030	519	Dhimal	kolhe	kolhe	lap	lap			1.4.4.2		0			
235031	519	Dhimal	himũ	himũ	stomach	stomach			1.7.6		0			
235032	519	Dhimal	cibhuŋ	cibhuŋ	bladder	bladder			1.7.8		0			
235033	519	Dhimal	piti*	piti*	gallbladder	gallbladder			1.7.3		0			
235034	519	Dhimal	tumsyiŋ	tumsyiŋ	liver	liver			1.7.3		0			
235035	519	Dhimal	tereŋ	tereŋ	bowels	bowels			1.7.7		0			
235036	519	Dhimal	lekhara, lesara	lekhara, lesara	butt	butt			1.4.10		0			
235037	519	Dhimal	lekhara, cupini	lekhara, cupini	anus	anus			1.4.10.2		0			
235038	519	Dhimal	tau	tau	penis	penis					0			3420
235039	519	Dhimal	cu◦cu	cu◦cu	vagina	vagina					0			661,661
235040	519	Dhimal	ta◦muĩ	ta◦muĩ	man's pubic hair	man's pubic hair			1.9.6.1		0			3420,363
235041	519	Dhimal	li◦muĩ	li◦muĩ	woman's pubic hair	woman's pubic hair			1.9.3		0			1616,363
235042	519	Dhimal	syeq, syeq guli	syeq, syeq guli	testicle	testicle					0			3439,3439,m
235043	519	Dhimal	khokoi	khokoi	leg	leg			1.5.7		0			
235044	519	Dhimal	tiru	tiru	knee	knee			1.5.8.4		0			
235045	519	Dhimal	dyaŋko dhale	dyaŋko dhale	skin	skin			1.6.5		0			
235046	519	Dhimal	jhire	jhire	vein	vein			1.6.2.1		0			
235047	519	Dhimal	dum	dum	marrow	marrow			1.6.3.5		0			
235048	519	Dhimal	tintoi	tintoi	wart	wart			1.6.5.3		0			
235049	519	Dhimal	dajil	dajil	mole	mole			2.2.7		0			
311412	519	Dhimal	li	li	vagina	vagina					0			1616
311440	519	Dhimal	ta◦tui	ta◦tui	penis	penis					0			3420,m
