rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
34346	387	Burmese (Standard Spoken)	hcé	hcé	widen	widen		9.2.7		0		
34347	404	Burmese (Written)	khyai	khyai	widen	widen		9.2.7		0		
34348	290	Arakanese	hceí	hceí	widen	widen		9.2.7		0		
34349	663	Intha	hklé	hklé	widen	widen		9.2.7		0		
34350	1503	Tavoyan	hklé	hklé	widen	widen		9.2.7		0		
34351	387	Burmese (Standard Spoken)	ce	ce	wide	wide		9.7.2		0		3574
34352	404	Burmese (Written)	kyay	kyay	wide	wide		9.7.2		0		
34353	382	Burmese (Inscriptional)	klay	klay	wide	wide		9.7.2		0		3574
34354	290	Arakanese	cei	cei	wide	wide		9.7.2		0		3574
34355	290	Arakanese	"ce[?sc.""]"	"ce[?sc.""]"	wide	wide		9.7.2		0		e,e
34356	663	Intha	kle	kle	wide	wide		9.7.2		0		
34357	1503	Tavoyan	kle	kle	wide	wide		9.7.2		0		
34358	387	Burmese (Standard Spoken)	hcoù	hcoù	wash	wash		6.2.2.5.2		0		
34359	404	Burmese (Written)	khyui:	khyui:	wash	wash		6.2.2.5.2		0		2344
34360	382	Burmese (Inscriptional)	khluiw	khluiw	wash	wash		6.2.2.5.2		0		2344
34361	663	Intha	hyoù	hyoù	wash	wash		6.2.2.5.2		0		
34362	1503	Tavoyan	hkloù	hkloù	wash	wash		6.2.2.5.2		0		
34363	1503	Tavoyan	hcoù	hcoù	wash	wash		6.2.2.5.2		0		
34364	387	Burmese (Standard Spoken)	hcin	hcin	want	want		8.3.1.14.3		0		
34365	404	Burmese (Written)	khyan̊	khyan̊	want	want		8.3.1.14.3		0		
34366	382	Burmese (Inscriptional)	khlyan̊	khlyan̊	want	want		8.3.1.14.3		0		
34367	290	Arakanese	hcon	hcon	want	want		8.3.1.14.3		0	D1	
34368	290	Arakanese	hyon	hyon	want	want		8.3.1.14.3		0		
34370	663	Intha	hyen	hyen	want	want		8.3.1.14.3		0		
34371	663	Intha	hcen	hcen	want	want		8.3.1.14.3		0		
34372	1503	Tavoyan	hyin	hyin	want	want		8.3.1.14.3		0		
34373	387	Burmese (Standard Spoken)	ca	ca	tiger	tiger		2.1.3		0		
34374	404	Burmese (Written)	kyā:	kyā:	tiger	tiger		2.1.3		0		5560
34375	382	Burmese (Inscriptional)	klā	klā	tiger	tiger		2.1.3		0		5560
34376	290	Arakanese	cà	cà	tiger	tiger		2.1.3		0		5560
34377	663	Intha	cà	cà	tiger	tiger		2.1.3		0		5560?,b?Burmese
34378	1503	Tavoyan	klà	klà	tiger	tiger		2.1.3		0		5560
34379	1029	Maru [Langsu]	lō	lō	tiger	tiger		2.1.3		0		5560
34380	387	Burmese (Standard Spoken)	hci	hci	tie	tie		6.13.1		0		
34381	404	Burmese (Written)	khyaññ	khyaññ	tie	tie		6.13.1		0		
34382	290	Arakanese	hcain	hcain	tie	tie		6.13.1		0		
34383	1503	Tavoyan	hke	hke	tie	tie		6.13.1		0		
34384	404	Burmese (Written)	hcoùn	hcoùn	thunder	thunder		3.2.1		0		
34385	382	Burmese (Inscriptional)	khyun:	khyun:	thunder	thunder		3.2.1		0		
34386	290	Arakanese	khrun	khrun	thunder	thunder		3.2.1		0		
34387	1503	Tavoyan	hkloùn	hkloùn	thunder	thunder		3.2.1		0		
