rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
36601	1011	Chinese (Mandarin)	shahng	shahng	above	above		9.2.1	1	0		
36602	1011	Chinese (Mandarin)	shahngmiahn	shahngmiahn	surface, upper part	surface, upper part		9.2.7	2	0		
36605	1011	Chinese (Mandarin)	lah	lah	hot (taste)	hot (taste)			5	0		
36606	1011	Chinese (Mandarin)	hourjiee	hourjiee	adam's apple	adam's apple		1.3.5.4	6	0		
36607	1011	Chinese (Mandarin)	houhlair	houhlair	afterwards	afterwards		9.1.5	7	0		
36608	1011	Chinese (Mandarin)	kungjyun	kungjyun	air force	air force		1.1.2.2	8	0		x
36609	1011	Chinese (Mandarin)	feiji	feiji	airplane	airplane		5.1	9	0		x
36610	1011	Chinese (Mandarin)	chyuarnbuh	chyuarnbuh	all	all		9.9	10	0		
36611	1011	Chinese (Mandarin)	shyrcharng	shyrcharng	often, off and on	often, off and on		9.1.1	11	0		
36612	1011	Chinese (Mandarin)	huupuoh	huupuoh	amber	amber		3.2.8	12	0		
36613	1011	Chinese (Mandarin)	her	her	and	and		10.1.2.1	13	0		
36614	1011	Chinese (Mandarin)	turng	turng	and	and		10.1.2.1	13	0		
36615	1011	Chinese (Mandarin)	maayii	maayii	ant	ant		2.2.6	14	0		
36617	1011	Chinese (Mandarin)	chuhshyu	chuhshyu	antenna, feeler	antenna, feeler		1.2.2	16	0		
36618	1011	Chinese (Mandarin)	chuhjiaau	chuhjiaau	antenna, feeler	antenna, feeler		1.2.2	16	0		
36619	1011	Chinese (Mandarin)	ji◦jiaau	ji◦jiaau	antler, horn	antler, horn		1.2.2	17	0		m,814
36620	1011	Chinese (Mandarin)	gang◦mern	gangmern	anus	anus		1.4.10.2	18	0		219,m
36621	1011	Chinese (Mandarin)	weih◦koou	weih◦koou	appetite	appetite		1.1.3	19	0		x
36622	1011	Chinese (Mandarin)	pirngguoo	pirngguoo	apple	apple		3.1.5	20	0		
36623	1011	Chinese (Mandarin)	shyuertur	shyuertur	apprentice	apprentice		4.2.1	21	0		
36624	1011	Chinese (Mandarin)	yehwuo	yehwuo	armpit	armpit		1.5.1.2.3	22	0		
36625	1011	Chinese (Mandarin)	jyundueih	jyundueih	army	army		5.15	23	0		
36626	1011	Chinese (Mandarin)	luhjyun	luhjyun	army (military division)	army (military division)		5.15	24	0		
36627	1011	Chinese (Mandarin)	jiahn	jiahn	arrow	arrow		5.15	25	0		
36628	1011	Chinese (Mandarin)	tzyydahn	tzyydahn	bullet	bullet		5.15	26	0		
36629	1011	Chinese (Mandarin)	huei	huei	ashes	ashes		3.2.12.2	27	0		
36630	1011	Chinese (Mandarin)	guuhuei	guuhuei	ashes (of bones)	ashes (of bones)		3.2.12.2	28	0		
36631	1011	Chinese (Mandarin)	lyur (yeelyur)	lyur (yeelyur)	donkey (wild)	donkey (wild)		2.1.7	29	0		r
36632	1011	Chinese (Mandarin)	seh	seh	astringent (taste)	astringent (taste)		7.1.4.4	30	0		
36633	1011	Chinese (Mandarin)	chihche	chihche	automobile	automobile		5.1	31	0		
36634	1011	Chinese (Mandarin)	chioutian	chioutian	autumn, fall	autumn, fall		9.1.2	32	0		
36635	1011	Chinese (Mandarin)	fuu'tou	fuu'tou	ax	ax		5.11.5.3	33	0		
36636	1011	Chinese (Mandarin)	huan	huan	badger	badger		2.2.7	34	0		
36641	1011	Chinese (Mandarin)	daitz	daitz	bag (small)	bag (small)			39	0		
36642	1011	Chinese (Mandarin)	tu◦tz	tu◦tz	bald person	bald person		1.2.3.4	40	0		m,s
36643	1011	Chinese (Mandarin)	chiour	chiour	ball	ball		9.7.1	41	0		
36644	1011	Chinese (Mandarin)	jurtz	jurtz	bamboo	bamboo		3.1.1	42	0		
36645	1011	Chinese (Mandarin)	yirnharng	yirnharng	bank (for depositing money)	bank (for depositing money)		9.10.2	43	0		
36646	1011	Chinese (Mandarin)	liifaapuh	liifaapuh	barbershop	barbershop		9.10.6	44	0		
36647	1011	Chinese (Mandarin)	shuhpir	shuhpir	bark (of a tree)	bark (of a tree)		2.1.11.1	45	0		
36648	1011	Chinese (Mandarin)	chingke	chingke	barley (Tibetan)	barley (Tibetan)		3.1.4	46	0		
36652	1011	Chinese (Mandarin)	bianfur	bianfur	bat	bat		2.2.4.1	49	0		
36653	1011	Chinese (Mandarin)	beih◦buh	beih◦buh	back	back		1.4.8	50	0		
