rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
173031	360	Bokar	ta-čit	ta-čit	abscess	abscess		1.8.6.2		0		p,6283
173032	1253	Padam-Mishing [Abor-Miri]	ta-sut	ta-sut	abscess	abscess		1.8.6.2		0		p,6283
173033	287	Apatani	tur	tur	alive	alive		1.1.2.1		0		6626
173034	333	Bengni	a-tɯr	a-tɯr	alive	alive		1.1.2.1		0		p,6626
173035	360	Bokar	tur	tur	alive	alive		1.1.2.1		0		6626
173036	1253	Padam-Mishing [Abor-Miri]	tur	tur	alive	alive		1.1.2.1		0		6626
173037	360	Bokar	-mur	-mur	amiss (verbal particle)	amiss (verbal particle)				0		6682
173038	1079	Mishing [Miri]	-mur	-mur	amiss (verbal particle)	amiss (verbal particle)				0		6682
173039	1251	Padam [Abor]	-mul	-mul	amiss (verbal particle)	amiss (verbal particle)				0		6682
173040	360	Bokar	čuŋ-dum	čuŋ-dum	angle	angle		1.5.8		0		6285,m
173041	1253	Padam-Mishing [Abor-Miri]	suŋ-ken	suŋ-ken	angle	angle		1.5.8		0		6285,m
173042	333	Bengni	haː-fak	haː-fak	angry	angry		8.3.1.6.1		0		6201,6302
173043	1253	Padam-Mishing [Abor-Miri]	ak	ak	angry	angry		8.3.1.6.1		0		6302
173044	287	Apatani	ta-ruʔ	ta-ruʔ	ant	ant		2.2.6		0		p,6580
173045	333	Bengni	ta-rup	ta-rup	ant	ant		2.2.6		0		p,6580
173046	360	Bokar	ta-ruk	ta-ruk	ant	ant		2.2.6		0		p,6580
173047	1251	Padam [Abor]	ta-ruk	ta-ruk	ant	ant		2.2.6		0		p,6580
173048	287	Apatani	ɯ-mrjo	ɯ-mrjo	arrow poison (aconite)	arrow poison (aconite)		5.15		0		p,6469
173049	333	Bengni	u-mjuː	u-mjuː	arrow poison (aconite)	arrow poison (aconite)		5.15		0		p,6469
173050	360	Bokar	o-moː	o-moː	arrow poison (aconite)	arrow poison (aconite)		5.15		0		p,6469
173051	1079	Mishing [Miri]	joŋ-mo	joŋ-mo	arrow poison (aconite)	arrow poison (aconite)		5.15		0		m,6469
173052	1251	Padam [Abor]	ə-mo	ə-mo	arrow poison (aconite)	arrow poison (aconite)		5.15		0		p,6469
173053	287	Apatani	a-pu	a-pu	arrow	arrow		5.15		0		p,6536
173054	333	Bengni	u-puk	u-puk	arrow	arrow		5.15		0		p,6536
173055	360	Bokar	u-puk	u-puk	arrow	arrow		5.15		0		p,6536
173056	1253	Padam-Mishing [Abor-Miri]	ə-puk	ə-puk	arrow	arrow		5.15		0		p,6536
173057	287	Apatani	go-ča	go-ča	ascend	ascend		6.7.7		0		m,6279
173058	333	Bengni	čaː	čaː	ascend	ascend		6.7.7		0		6279
173059	360	Bokar	čaŋ	čaŋ	ascend	ascend		6.7.7		0		6279
173060	1252	Padam [Abor]	saŋ	saŋ	ascend	ascend		6.7.7		0		6279
173061	287	Apatani	ja-hɯ	ja-hɯ	ax	ax		5.11.5.3		0		p,2772
173062	333	Bengni	ɯ-fɯː	ɯ-fɯː	ax	ax		5.11.5.3		0		p,2772
173063	360	Bokar	jaː	jaː	ax	ax		5.11.5.3		0		
173064	1079	Mishing [Miri]	ɯ-gɯŋ	ɯ-gɯŋ	ax	ax		5.11.5.3		0		2772,m
173065	333	Bengni	a-ŋɯː	a-ŋɯː	baby	baby		4.2.11		0		p,90
173066	360	Bokar	a-ŋaː	a-ŋaː	baby	baby		4.2.11		0		p,90
173067	287	Apatani	kur	kur	back	back (adv.)	adv	1.4.8		0		2827
173068	333	Bengni	kɯr	kɯr	back	back (adv.)	adv	1.4.8		0		2827
173069	360	Bokar	kur	kur	back	back (adv.)	adv	1.4.8		0		2827
173070	287	Apatani	kɯ-|lĩ	kɯ-lĩ	back	back (n.)	n	1.4.8		0		6417
173071	333	Bengni	lam-|ku	lam-|ku	back	back (n.)	n	1.4.8		0		6417
173072	360	Bokar	lam-|ko	lam-|ko	back	back (n.)	n	1.4.8		0		6417
173073	1253	Padam-Mishing [Abor-Miri]	lam-|ku	lam-|ku	back	back (n.)	n	1.4.8		0		6417
173074	333	Bengni	ɯː	ɯː	bamboo (large species)	bamboo (large species)		3.1.1		0		6665
173075	1251	Padam [Abor]	eŋ	eŋ	bamboo (large species)	bamboo (large species)		3.1.1		0		6665
173076	287	Apatani	(kɯ-pa) ko-|pa	(kɯ-pa) ko-|pa	banana	banana		3.1.5		0		m,m,6381
173077	333	Bengni	ku-|pak	ku-|pak	banana	banana		3.1.5		0		6381
173078	1253	Padam-Mishing [Abor-Miri]	ko-|pak	ko-|pak	banana	banana		3.1.5		0		6381
173079	287	Apatani	sɯ-dĩ	sɯ-dĩ	barking deer	barking deer		2.1.11.1		0		m,6293
173080	333	Bengni	šu-dum	šu-dum	barking deer	barking deer		2.1.11.1		0		m,6293
173081	360	Bokar	šu-dum	šu-dum	barking deer	barking deer		2.1.11.1		0		m,6293
173082	1253	Padam-Mishing [Abor-Miri]	si-dum	si-dum	barking deer	barking deer		2.1.11.1		0		m,6293
173083	333	Bengni	pin-tɕi	pin-tɕi	bat / flying fox	bat / flying fox		2.2.4.1		0		6524,m
173084	360	Bokar	ta-pen	ta-pen	bat / flying fox	bat / flying fox		2.2.4.1		0		p,6524
173085	1253	Padam-Mishing [Abor-Miri]	pon-sik	pon-sik	bat / flying fox	bat / flying fox		2.2.4.1		0		6524,m
173086	287	Apatani	hi-|bu	hi-|bu	beak	beak		1.3.1.2		0		476
173087	333	Bengni	fi-|buŋ	fi-|buŋ	beak	beak		1.3.1.2		0		476
173088	360	Bokar	ji-|buŋ	ji-|buŋ	beak	beak		1.3.1.2		0		476
173089	287	Apatani	pe-rũ	pe-rũ	beans	beans		3.1.4		0		2155,m
173090	333	Bengni	ta-piː	ta-piː	beans	beans		3.1.4		0		p,2155
173091	360	Bokar	ta-peː	ta-peː	beans	beans		3.1.4		0		p,2155
173092	1079	Mishing [Miri]	pe-ret	pe-ret	beans	beans		3.1.4		0		2155,m
173093	1251	Padam [Abor]	pe-ron	pe-ron	beans	beans		3.1.4		0		2155,m
173094	287	Apatani	si-tĩ	si-tĩ	bear (animal)	bear (animal)		2.2.3		0		m,2777
173095	333	Bengni	šu-tum	šu-tum	bear (animal)	bear (animal)		2.2.3		0		m,2777
173096	360	Bokar	šu-tum	šu-tum	bear (animal)	bear (animal)		2.2.3		0		m,2777
173097	1253	Padam-Mishing [Abor-Miri]	si-tum	si-tum	bear (animal)	bear (animal)		2.2.3		0		m,2777
173098	287	Apatani	dã	dã	beat / flog	beat / flog		6.8		0		296
173099	333	Bengni	ǰiŋ	ǰiŋ	beat / flog	beat / flog		6.8		0		296
173100	1253	Padam-Mishing [Abor-Miri]	dɯŋ	dɯŋ	beat / flog	beat / flog		6.8		0		296
173101	360	Bokar	jit	jit	beat	beatª		6.8		0		6642
173102	1079	Mishing [Miri]	sit	sit	beat	beatª		6.8		0		6642
173103	1251	Padam [Abor]	it	it	beat	beatª		6.8		0		6642
173104	287	Apatani	ka-prjo|	ka-prjo|	beautiful / good-looking	beautiful / good-looking		7.1.3		0		6154
173105	333	Bengni	kaː-puː|	kaː-puː|	beautiful / good-looking	beautiful / good-looking		7.1.3		0		6154
173106	360	Bokar	koŋ-po|	koŋ-po|	beautiful / good-looking	beautiful / good-looking		7.1.3		0		6154
173107	1251	Padam [Abor]	kam-po| < kaŋ-po	kam-po| < kaŋ-po	beautiful / good-looking	beautiful / good-looking		7.1.3		0		6154
173108	287	Apatani	ta-bu	ta-bu	bedbug	bedbug		2.2.6		0		p,6271
173109	333	Bengni	ta-bɯː	ta-bɯː	bedbug	bedbug		2.2.6		0		p,6271
173110	1253	Padam-Mishing [Abor-Miri]	tab-bə	tab-bə	bedbug	bedbug		2.2.6		0		p,6271
173111	287	Apatani	ku rhyme!	ku rhyme!	beg / request	beg / request		8.5.10.3		0	E	6380
173112	333	Bengni	du-ku	du-ku	beg / request	beg / request		8.5.10.3		0		m,6380
173113	360	Bokar	dok-ko	dok-ko	beg / request	beg / request		8.5.10.3		0		m,6380
