rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
37445	1316	Qiang (Mawo)	tʃə◦kə	tʃə◦kə	neck	neck			1.4.2		0			p,481
37446	1316	Qiang (Mawo)	tsʰu◦rqu	tsʰu◦rqu	throat	throat			1.3.5		0			3363,389
37447	1316	Qiang (Mawo)	zumukatʂhiː	zumukatʂhiː	Adam's apple	Adam's apple			1.3.5.4		0			
37448	1316	Qiang (Mawo)	dʒa◦bla	dʒa◦bla	shoulder	shoulder			1.4.3		0			6704,m
37449	1316	Qiang (Mawo)	dʒaχuχqul	dʒaχuχqul	side	side			1.4.5		0			
37450	1316	Qiang (Mawo)	dʒa◦pu	dʒa◦pu	arm	arm			1.5.1.2		0			699,1327
37451	1316	Qiang (Mawo)	laʴʁsi	laʴʁsi	forearm	forearm			1.5.1.2.2		0			
37452	1316	Qiang (Mawo)	ʁəʴ	ʁəʴ	forearm	forearm			1.5.1.2.2		0			
37453	1316	Qiang (Mawo)	lasi dʒaʴ◦ʁsi	lasi dʒaʴʁsi	elbow	elbow			1.5.8.3		0			m,699,m
37454	1316	Qiang (Mawo)	dʒə◦pa	dʒə◦pa	hand	hand			1.5.1.1		0			699,s
37455	1316	Qiang (Mawo)	dʒahpi	dʒahpi	palm	palm			1.5.5		0			
37456	1316	Qiang (Mawo)	dʒa◦su	dʒasu	finger	finger			1.5.6		0			699,m
37457	1316	Qiang (Mawo)	dʒaʴmi	dʒaʴmi	thumb	thumb			1.5.6.1		0			
37458	1316	Qiang (Mawo)	khatuʐwi	khatuʐwi	middle finger	middle finger			1.9.4		0			
37459	1316	Qiang (Mawo)	khamani	khamani	ring finger	ring finger			1.5.6.2		0			
37460	1316	Qiang (Mawo)	khattʃi	khattʃi	little finger	little finger			9.7.2		0			
37461	1316	Qiang (Mawo)	ʁdʐə◦si	ʁdʐəsi	fingernail	fingernail			1.5.10.1		0			699,512
37462	1316	Qiang (Mawo)	saq	saq	knuckle	knuckle			1.5.8.5		0			425
37463	1316	Qiang (Mawo)	dʒərpaʁu	dʒərpaʁu	fist	fist			1.5.1.1.1		0			
37464	1316	Qiang (Mawo)	əʴː◦qhwɑ	əʴː◦qhwɑ	chest	chest			1.4.4.3		0			m,310
37465	1316	Qiang (Mawo)	ɹa◦hu̥	ɹa◦hu̥	chest hair	chest hair			1.4.4.5		0			288,363
