rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
333906	1798	Shili	tə-ɣwé-mkʰe	tə-ɣwé-mkʰe	ankle	ankle		1.5.8.2		0		
333907	1798	Shili	tom	tom	bear (black)	bear (black)		2.2.3		0		2777
333908	1798	Shili	pɐ́-tʃʰə	pɐ́-tʃʰə	bird	bird		2.2.4		0		
333909	1798	Shili	tá saχ	tá|saχ	blood	blood		1.6.2		0		p,230
333910	1798	Shili	tɐ-nbəʔ	tɐ-nbəʔ	bug; insect	bug; insect		2.2.6		0		p,2178?
333911	1798	Shili	ʁa-stse	ʁa-stse	deer	deer		2.2.2		0		
333912	1798	Shili	ʁa55-ljaq53	ʁa55-ljaq53	eagle	eagle		2.2.4.1		0		
333913	1798	Shili	tə-rna	tə-rna	ear	ear		1.2.7		0		p,811
333914	1798	Shili	smet	smet	extinguished	extinguished		3.2.12.1		0		
333915	1798	Shili	tə-mɲɐχ	tə-mɲɐχ	eye	eye		1.2.6		0		p,681
333916	1798	Shili	tə-mɲa-ndʒə	tə-mɲa-ndʒə	eyelid	eyelid		1.2.6.4		0		
333917	1798	Shili	a-pʰɐ	a-pʰɐ	father	father		4.7.1		0		
333918	1798	Shili	sməʔ	sməʔ	fire	fire		3.2.12.2		0		
333919	1798	Shili	tə-ɣwe	tə-ɣwe	foot	foot		1.5.2		0		
333920	1798	Shili	ʁa-tsuj	ʁa-tsuj	fox	fox		2.1.11		0		m,1764
333921	1798	Shili	tə-|jaq/χ	tə-|jaq/χ	hand / arm	hand / arm		1.5.1.1		0		699
333922	1798	Shili	tə-ku	tə-ku	head; end	head; end		1.2.1		0		
333923	1798	Shili	tə́-sne	tə́-sne	heart (organ)	heart (organ)		1.7.1		0		p,251
333924	1798	Shili	ptʃʰə-rti	ptʃʰə-rti	heel	heel		1.5.2.1		0		
333925	1798	Shili	ndʐɐ	ndʐɐ	horse	horse		2.1.7		0		1431
333926	1798	Shili	rgjə-me	rgjə-me	intestines	intestines		1.7.7		0		2116,m
333927	1798	Shili	tə-kpum	tə-kpum	knee	knee		1.5.8.4		0		
333928	1798	Shili	ku-sa	ku-sa	leopard	leopard		2.1.3		0		m,2805
333929	1798	Shili	tə́-mtsʰi	tə́-mtsʰi	liver	liver		1.7.3		0		p,1390
333930	1798	Shili	tə-rtsʰot	tə-rtsʰot	lungs	lungs		1.7.2		0		
333931	1798	Shili	a-mo	a-mo	mother	mother		4.7.1		0		p,1619
333932	1798	Shili	tə-kir	tə-kir	mouth	mouth		1.3.1		0		
333933	1798	Shili	kə-tʃit	kə-tʃit	narrow (road)	narrow (road)		9.7.2		0		
333934	1798	Shili	tə́-mkʰe	tə́-mkʰe	neck	neck		1.4.2		0		p,481
333935	1798	Shili	tə-sni	tə-sni	nose	nose		1.2.8		0		p,803
333936	1798	Shili	tá-ʁa	tá-ʁa	person	person		4.5		0		
333937	1798	Shili	ʁá-rme	ʁá-rme	Tibetan eared pheasant (Crossoptilon crossoptilon)	Tibetan eared pheasant (Crossoptilon crossoptilon)		4.6		0	D0	
333938	1798	Shili	tə-ku-ndʒə	tə-ku-ndʒə	scalp	scalp		1.2.1.5		0		
333939	1798	Shili	kə́-me	kə́-me	short	short		9.7.2		0		
333940	1798	Shili	ptʂʰak-pe	ptʂʰak-pe	shoulder	shoulder		1.4.3		0		
333941	1798	Shili	tə-ndʒə	tə-ndʒə	skin	skin	n	1.6.5		0		p,596
333942	1798	Shili	kɐ́-rkəʔ	kɐ́-rkəʔ	sleep; go to bed	sleep; go to bed		1.1.4.1		0		
333943	1798	Shili	ʁa-ptʂi	ʁa-ptʂi	snake	snake		2.1.6.1		0		m,2623
333944	1798	Shili	kə-tʃor; kə-kʰjəʔ	kə-tʃor; kə-kʰjəʔ	sour	sour		7.1.4.4		0		p,2379,p,m
333945	1798	Shili	pʰo-kʰa	pʰo-kʰa	stomach (inner organ)	stomach (inner organ)		1.7.6		0		
333946	1798	Shili	tə-ʃet	tə-ʃet	sweat	sweat		1.8.1		0		
333947	1798	Shili	kə́-ndʐɐ	kə́-ndʐɐ	tall	tall		9.7.2		0		
333948	1798	Shili	ʁa-jiʔ	ʁa-jiʔ	tiger	tiger		2.1.3		0		
333949	1798	Shili	tə-mtiː	tə-mtiː	tongue	tongue		1.3.3		0		
333950	1798	Shili	tə́-ʃwe	tə́-ʃwe	tooth	tooth		1.3.4		0		p,632
333951	1798	Shili	tə́-kjə	tə́-kjə	water	water		3.2.3		0		
