rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
150574	334	Bengni	(kɯ-čeː) a-juŋ maː-ku	(kɯ-čeː) a-juŋ maː-ku	awhile	awhile		9.1.5		0		
150575	286	Apatani	a-tu-do-pa-mú	a-tu-do-pa-mú	abbreviate	abbreviate				0		
150576	334	Bengni	ni-pɯː	ni-pɯː	abdomen	abdomen		1.4.7		0		
150577	286	Apatani	ka-čʰo	ka-čʰo	abhor	abhor		8.3.1.1.2		0		
150578	285	Apatani	ko-ka	ko-ka	ablative marker	ablative marker		10.4.1.1		0		
150579	365	Bokar	-ga	-ga	ablative	ablative postp.	postp	10.4.1.1		0		
150580	286	Apatani	mú-la-ken-nɯ	mú-la-ken-nɯ	able	able		1.1.2.4		0		
150581	365	Bokar	ñoː	ñoː	able	able		1.1.2.4		0		5742
150582	365	Bokar	čen	čen	able	able		1.1.2.4		0		1229
150583	498	Damu	duk-pu-bo (mo-duŋ)	duk-pu-bo (mo-duŋ)	able (to V)	able (to V)		1.1.2.4		0		
150584	334	Bengni	-čin	-čin	able to	able to		1.1.2.4		0		1229
150585	365	Bokar	či-to-teː	či-to-teː	able to catch up with	able to catch up with		10.1.1		0		
150586	285	Apatani	čo-ča	čo-ča	abound	abound		8.2		0		
150587	285	Apatani	à-bu-ǰe	à-bu-ǰe	abound	abound		8.2		0		
150588	286	Apatani	a-bu-če	a-bu-če	abound	abound		8.2		0		
150589	285	Apatani	ha-o	ha-o	above	above		9.2.1		0		3515,m
150590	334	Bengni	a-wuː-kjam	a-wuː-kjam	above	above		9.2.1		0		p,6661,m
150591	365	Bokar	a-geː	a-geː	above	above		9.2.1		0		
150592	498	Damu	tat-lo	tat-lo	above	above		9.2.1		0		
150593	286	Apatani	har-gɯ	har-gɯ	abscond	abscond		6.10.2		0		
150594	286	Apatani	ñi-ma-nɯ	ñi-ma-nɯ	absent	absent		8.1		0		
150595	286	Apatani	ga	ga	abuse	abuse		6.4		0		
150596	286	Apatani	la	la	accept	accept		8.3.1.2.1		0		
150597	286	Apatani	a-ǰin	a-ǰin	accompany	accompany		6.7.10		0		
150598	498	Damu	ta-po	ta-po	accompany	accompany		6.7.10		0		
150599	365	Bokar	ham	ham	accusative, dative, adverbial	accusative,dative,adverbial		10.4.1.1		0		
150600	365	Bokar	me	me	accusative, dative, adverbial	accusative,dative,adverbial		10.4.1.1		0		
