rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
38805	310	Bai (Bijiang)	tɯ̱²¹	tɯ̱²¹	front	front		1.4.4		0		1212
38806	310	Bai (Bijiang)	ɣɯ³³	ɣɯ³³	back (side)	back (side)		1.4.8		0		
38807	310	Bai (Bijiang)	pi³⁵	pi³⁵	left	left		1.5.3.2		0		
38808	310	Bai (Bijiang)	ʈɑ̃³³	ʈɑ̃³³	right (side)	right (side)		1.5.3.2		0		
38809	310	Bai (Bijiang)	po⁵⁵ qo⁵⁵ no³³	po⁵⁵ qo⁵⁵ no³³	side	side		1.4.5		0		
38810	310	Bai (Bijiang)	sẽ̱⁴²	sẽ̱⁴²	egg	egg				0		3439
38811	310	Bai (Bijiang)	lo̱²¹ ji³³	lo̱²¹ ji³³	wing	wing		1.5.1.3		0		695,m
38812	310	Bai (Bijiang)	mi̱e²¹	mi̱e²¹	fur	fur		1.6.1		0		363
38813	310	Bai (Bijiang)	tɕĩ̱⁴²	tɕĩ̱⁴²	claw	claw		1.5.10.4		0		
38814	310	Bai (Bijiang)	po̱²¹	po̱²¹	hoof (horse)	hoof (horse)		1.5.4		0		w
38815	310	Bai (Bijiang)	qo̱⁴⁴	qo̱⁴⁴	horn	horn		1.2.2		0		814
38816	310	Bai (Bijiang)	meʴ³³ quɑ⁵⁵	meʴ³³ quɑ⁵⁵	tail	tail		1.4.10.1		0		1288,m
38817	310	Bai (Bijiang)	tɕhi⁵⁵ gɯ̱⁴²	tɕhi⁵⁵ gɯ̱⁴²	body	body		1.1.1		0		1126,2
38818	310	Bai (Bijiang)	ʈo³³ qɑ̱⁴⁴	ʈo³³ qɑ̱⁴⁴	head	head		1.2.1		0		m,m
38819	310	Bai (Bijiang)	ŋɑ̱⁴⁴ te̱⁴⁴ pẽ̱ʴ²¹	ŋɑ̱⁴⁴ te̱⁴⁴ pẽ̱ʴ²¹	forehead	forehead		1.2.5.1		0		356,358,m
38820	310	Bai (Bijiang)	tie̱²¹ mie⁵⁵	tie̱²¹ mie⁵⁵	hair (head)	hair (head)		1.2.3		0		m,363
38821	310	Bai (Bijiang)	tie̱²¹ mie⁵⁵ pe̱ʴ⁴²	tie̱²¹ mie⁵⁵ pe̱ʴ⁴²	braid (hair)	braid (hair)	n	1.2.3.2		0		m,363,2018
38822	310	Bai (Bijiang)	nv̩³³ ɕui³³	nv̩³³ ɕui³³	brain	brain		1.2.4		0		243,m
38823	310	Bai (Bijiang)	tɕui³³ vĩ³³	tɕui³³ vĩ³³	face	face		1.2.5		0		
38824	310	Bai (Bijiang)	vĩ³³ mie̱⁴²	vĩ³³ mie̱⁴²	eyebrow	eyebrow		1.2.6.6		0		m,363
38825	310	Bai (Bijiang)	vĩ³³	vĩ³³	eye	eye		1.2.6		0		
38826	310	Bai (Bijiang)	vĩ³³ ɕui³³	vĩ³³ ɕui³³	tears	tears		1.2.6.7		0		
38827	310	Bai (Bijiang)	qhue̱ʴ⁴² ʈɯ̱²¹	qhue̱ʴ⁴² ʈɯ̱²¹	nose	nose		1.2.8		0		m,808
38828	310	Bai (Bijiang)	ẽ³³ tɕu̱i²¹	ẽ³³ tɕu̱i²¹	ear	ear		1.2.7		0		m,2082
38829	310	Bai (Bijiang)	tɕo³³ qo⁵⁵	tɕo³³ qo⁵⁵	mouth	mouth		1.3.1		0		442,273
38830	310	Bai (Bijiang)	tɕui³³ tɕu̱i²¹	tɕui³³ tɕu̱i²¹	lip	lip		1.3.2		0		442,m
38831	310	Bai (Bijiang)	tɕo³³ pɑ̱⁴⁴	tɕo³³ pɑ̱⁴⁴	tooth	tooth		1.3.4		0		635,s
38832	310	Bai (Bijiang)	ʈe̱ʴ⁴²	ʈe̱ʴ⁴²	tongue	tongue		1.3.3		0		621
38833	310	Bai (Bijiang)	vu̱²¹	vu̱²¹	beard	beard		1.2.5.5		0		2065
38834	310	Bai (Bijiang)	qo̱⁴² te̱⁴⁴ me̱ʴ⁴²	qo̱⁴² te̱⁴⁴ me̱ʴ⁴²	neck	neck		1.4.2		0		3361,m,m
38835	310	Bai (Bijiang)	sẽ̱⁴² qv̩̄²¹	sẽ̱⁴² qv̩̄²¹	throat	throat		1.3.5		0		m,486
38836	310	Bai (Bijiang)	po³³ ʈɯ̱²¹	po³³ ʈɯ̱²¹	shoulder	shoulder		1.4.3		0		1327,3343
38837	310	Bai (Bijiang)	ʂi³³	ʂi³³	hand	hand		1.5.1.1		0		731
38838	310	Bai (Bijiang)	ʂi³³ pɑ̱̃⁴²	ʂi³³ pɑ̱̃⁴²	arm	arm		1.5.1.2		0		731,1327
38839	310	Bai (Bijiang)	ʂi³³ tʂeʴ³³ ʈɯ̱²¹	ʂi³³ tʂeʴ³³ ʈɯ̱²¹	finger	finger		1.5.6		0		731,m,m
38840	310	Bai (Bijiang)	ʂi³³ tʂeʴ³³ ʈɯ̱²¹ qɑ̱⁴⁴	ʂi³³ tʂeʴ³³ ʈɯ̱²¹ qɑ̱⁴⁴	fingernail	fingernail		1.5.10.1		0		731,m,m,m
38841	310	Bai (Bijiang)	se⁵⁵ ʈɯ̱²¹ ɯ̱⁴⁴	se⁵⁵ ʈɯ̱²¹ ɯ̱⁴⁴	chest (of body)	chest (of body)		1.4.4.3		0		m,289,m
38842	310	Bai (Bijiang)	do̱⁴² pe̱ʴ⁴²	do̱⁴² pe̱ʴ⁴²	back (of body)	back (of body)		1.4.8		0		225,1361
38843	310	Bai (Bijiang)	pɑ̱⁴²	pɑ̱⁴²	breast	breast		1.4.4.3		0		3459
38844	310	Bai (Bijiang)	ʐe̱ʴ⁴²	ʐe̱ʴ⁴²	belly	belly		1.4.7		0		m
38845	310	Bai (Bijiang)	se̱⁴² xo⁵⁵ me³³	se̱⁴² xo⁵⁵ me³³	belly	belly		1.4.7		0		m,m,m
38846	310	Bai (Bijiang)	ẽ⁵⁵ quɑ̱⁴⁴	ẽ⁵⁵ quɑ̱⁴⁴	waist	waist		1.4.6		0		m,219
38847	310	Bai (Bijiang)	ko̱⁴⁴	ko̱⁴⁴	foot	foot		1.5.2		0		
38848	310	Bai (Bijiang)	qhuɑ̱̃⁴²	qhuɑ̱̃⁴²	leg (thigh)	leg (thigh)		1.5.7		0		
38849	310	Bai (Bijiang)	jo̱⁴² me̱ʴ²¹ tĩ³³	jo̱⁴² me̱ʴ²¹ tĩ³³	armpit	armpit		1.5.1.2.3		0		
38850	310	Bai (Bijiang)	tɕui³³ qɑ̱⁴⁴	tɕui³³ qɑ̱⁴⁴	skin	skin		1.6.5		0		596,s
38851	310	Bai (Bijiang)	quɑ̱⁴⁴	quɑ̱⁴⁴	bone	bone		1.6.3		0		237
38852	310	Bai (Bijiang)	tɕĩ⁵⁵	tɕĩ⁵⁵	muscle	muscle		1.6.6.2		0		372
38853	310	Bai (Bijiang)	suɑ̱⁴⁴	suɑ̱⁴⁴	blood	blood		1.6.2		0		230
38854	310	Bai (Bijiang)	ʐe̱ʴ⁴²	ʐe̱ʴ⁴²	stomach	stomach		1.7.6		0		m
38855	310	Bai (Bijiang)	ŋɑ⁵⁵ dzɑ̱̃⁴² tshv̩̄⁴²	ŋɑ⁵⁵ dzɑ̱̃⁴² tshv̩̄⁴²	stomach	stomach		1.7.6		0		2118,m,1390
38856	310	Bai (Bijiang)	dʐẽʴ³³	dʐẽʴ³³	kidney	kidney		1.7.5		0		
38857	310	Bai (Bijiang)	ʈõ̱²¹	ʈõ̱²¹	intestines	intestines		1.7.7		0		m
38858	310	Bai (Bijiang)	sẽ⁵⁵	sẽ⁵⁵	heart	heart		1.7.1		0		66
38859	310	Bai (Bijiang)	qɑ̃³⁵	qɑ̃³⁵	liver	liver		1.7.3		0		229,bChinese
38860	310	Bai (Bijiang)	tɕhuɑ̱⁴⁴	tɕhuɑ̱⁴⁴	lung	lung		1.7.2		0		
38861	310	Bai (Bijiang)	tĩ³³	tĩ³³	gall	gall		1.7.3.1		0		bChinese
38862	310	Bai (Bijiang)	phu⁵⁵	phu⁵⁵	bladder	bladder		1.7.8		0		779
38863	310	Bai (Bijiang)	ŋɑ̱²¹	ŋɑ̱²¹	sweat	sweat		1.8.1		0		801
38864	310	Bai (Bijiang)	ŋv̩̄⁴² sẽ̱⁴² ẽ⁵⁵	ŋv̩̄⁴² sẽ̱⁴² ẽ⁵⁵	mucus	mucus		1.8.2		0		
38865	310	Bai (Bijiang)	qho⁵⁵ si̱⁴² bɯ̱⁴²	qho⁵⁵ si̱⁴² bɯ̱⁴²	phlegm	phlegm		1.8.3		0		
38866	310	Bai (Bijiang)	tɕue̱ʴ⁴²	tɕue̱ʴ⁴²	saliva	saliva		1.8.3		0		
38867	310	Bai (Bijiang)	pɑ̱⁴²	pɑ̱⁴²	milk	milk				0		3459
38868	310	Bai (Bijiang)	ʂeʴ³³	ʂeʴ³³	shit	shit		1.8.5		0		m
38869	310	Bai (Bijiang)	ɑ⁵⁵ ʂeʴ³³ tʂe̱ʴ⁴⁴	ɑ⁵⁵ ʂeʴ³³ tʂe̱ʴ⁴⁴	urine	urine		1.8.4		0		p,m,m
38870	310	Bai (Bijiang)	qu̱i²¹ le̱²¹ tɕhi̱⁴⁴	qu̱i²¹ le̱²¹ tɕhi̱⁴⁴	ulcer, sore	ulcer, sore		1.8.6.2		0		m,m,1296
38871	310	Bai (Bijiang)	nv̩̄²¹	nv̩̄²¹	pus	pus		1.8.6.1		0		1709
38872	310	Bai (Bijiang)	fv̩⁵⁵	fv̩⁵⁵	smallpox	smallpox		5.3		0		
38873	310	Bai (Bijiang)	fɑ̱⁴⁴ phi⁵⁵ vo³³	fɑ̱⁴⁴ phi⁵⁵ vo³³	malaria	malaria		5.3		0		
38874	310	Bai (Bijiang)	vĩ³³ tɑ̃⁵⁵ ȵi̱²¹	vĩ³³ tɑ̃⁵⁵ ȵi̱²¹	blind person	blind person		1.2.6.14.2		0		m
38875	310	Bai (Bijiang)	kṽ̩⁵⁵ ẽ³³ tɕu̱i²¹	kṽ̩⁵⁵ ẽ³³ tɕu̱i²¹	deaf person	deaf person		1.2.7.5		0		
38876	310	Bai (Bijiang)	qo̱⁴⁴ ȵi̱²¹	qo̱⁴⁴ ȵi̱²¹	mute person	mute person		1.5.3.2		0		m,m
38877	310	Bai (Bijiang)	vu̱²¹ ȵi̱²¹	vu̱²¹ ȵi̱²¹	insane person	insane person		8.3.1.11.3		0		
38878	310	Bai (Bijiang)	ko̱⁴⁴ qhe̱⁴⁴	ko̱⁴⁴ qhe̱⁴⁴	lame person	lame person		1.5.12		0		
38879	310	Bai (Bijiang)	tʂeʴ⁵⁵	tʂeʴ⁵⁵	oil, fat	oil, fat		1.6.4.1		0		42
38880	310	Bai (Bijiang)	qɑ̱²¹	qɑ̱²¹	meat, flesh	meat, flesh		1.1.1.1		0		1130
38881	310	Bai (Bijiang)	tɕhi⁵⁵ phɑ̱⁴⁴	tɕhi⁵⁵ phɑ̱⁴⁴	fertilizer	fertilizer		1.9		0		
38882	310	Bai (Bijiang)	tɕhi⁵⁵	tɕhi⁵⁵	manure	manure		1.8.5		0		
38883	310	Bai (Bijiang)	tõ̱²¹	tõ̱²¹	speech	speech		1.8.7		0		
38884	310	Bai (Bijiang)	ʈɑ̃⁵⁵	ʈɑ̃⁵⁵	sound	sound		9.3		0		
38885	310	Bai (Bijiang)	ɣɯ̱⁴²	ɣɯ̱⁴²	strength	strength		1.1.5		0		5677
38886	310	Bai (Bijiang)	po⁵⁵ di³³	po⁵⁵ di³³	courage	courage				0		
38887	310	Bai (Bijiang)	mɯ̱⁴²	mɯ̱⁴²	dream	dream		1.1.4.2		0		126
38888	310	Bai (Bijiang)	po⁵⁵ qɑ̃³³	po⁵⁵ qɑ̃³³	shadow	shadow		3.2.10		0		
38889	310	Bai (Bijiang)	ʂẽʴ⁵⁵ ȵi̱²¹	ʂẽʴ⁵⁵ ȵi̱²¹	spirit	spirit		5.8.1.1		0		m,160
38890	310	Bai (Bijiang)	tʂeʴ³³	tʂeʴ³³	ghost	ghost		4.2.12.2		0		
38891	310	Bai (Bijiang)	e³³	e³³	look at	look at		1.2.6.11		0		1410
