rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
39221	1085	Tsangla (Motuo)	kum¹³	kum¹³	front	front			1.4.4		0			
39222	1085	Tsangla (Motuo)	tsʰiŋ⁵⁵	tsʰiŋ⁵⁵	back (side)	back (side)			1.4.8		0			223
39223	1085	Tsangla (Motuo)	mi¹³ ȵoŋ¹³	mi¹³ ȵoŋ¹³	left	left			1.5.3.2		0			
39224	1085	Tsangla (Motuo)	la¹³ ȵoŋ¹³	la¹³ ȵoŋ¹³	right (side)	right (side)			1.5.3.2		0			
39225	1085	Tsangla (Motuo)	tɕʰam⁵⁵	tɕʰam⁵⁵	middle	middle			1.9.4		0			
39226	1085	Tsangla (Motuo)	re¹³	re¹³	side	side			1.4.5		0			
39227	1085	Tsangla (Motuo)	ko¹³ tʰam⁵⁵	ko¹³ tʰam⁵⁵	egg	egg					0			305,646
39228	1085	Tsangla (Motuo)	ko¹³ ham⁵⁵	ko¹³ ham⁵⁵	egg	egg					0			305,646
39229	1085	Tsangla (Motuo)	wai¹³ lam¹³	wai¹³ lam¹³	wing	wing			1.5.1.3		0			1603,768
39230	1085	Tsangla (Motuo)	pu⁵⁵	pu⁵⁵	fur	fur			1.6.1		0			1228
39231	1085	Tsangla (Motuo)	pi¹³-tap⁵⁵ pi¹³	pi¹³-tap⁵⁵ pi¹³	claw	claw			1.5.10.4		0			
39232	1085	Tsangla (Motuo)	pi¹³-tɕok¹³ taŋ⁵⁵	pi¹³-tɕok¹³ taŋ⁵⁵	hoof	hoof			1.5.4		0			
39233	1085	Tsangla (Motuo)	wa¹³ roŋ¹³	wa¹³ roŋ¹³	horn	horn			1.2.2		0			m,814
39234	1085	Tsangla (Motuo)	ɕam⁵⁵ pi⁵⁵	ɕam⁵⁵ pi⁵⁵	tail	tail			1.4.10.1		0			m,1361
39235	1085	Tsangla (Motuo)	moŋ¹³ naŋ¹³	moŋ¹³ naŋ¹³	animal skin	animal skin			2.3		0			54,m
39236	1085	Tsangla (Motuo)	tor⁵⁵ tɕo⁵⁵	tor⁵⁵ tɕo⁵⁵	cockscomb	cockscomb			1.2.2.1		0			
39237	1085	Tsangla (Motuo)	sep⁵⁵	sep⁵⁵	scales	scales			1.6.5.2		0			1454
39238	1085	Tsangla (Motuo)	lup¹³ su⁵⁵	lup¹³ su⁵⁵	body	body			1.1.1		0			11,e,1902
39239	1085	Tsangla (Motuo)	kʰok⁵⁵ tøʔ⁵⁵	kʰok⁵⁵ tøʔ⁵⁵	upper body	upper body			9.2.1		0			5364,21
39240	1085	Tsangla (Motuo)	kʰoŋ⁵⁵ meʔ⁵⁵	kʰoŋ⁵⁵ meʔ⁵⁵	lower body	lower body			1.1.1		0		W	5364,m
39241	1085	Tsangla (Motuo)	ɕa⁵⁵ raŋ¹³	ɕa⁵⁵ raŋ¹³	head	head			1.2.1		0			m,392
39242	1085	Tsangla (Motuo)	sem⁵⁵ sem⁵⁵ pa	sem⁵⁵ sem⁵⁵ pa	temples	temples			1.2.5.1		0			
39243	1085	Tsangla (Motuo)	ȵom⁵⁵ ȵom⁵⁵ pa	ȵom⁵⁵ ȵom⁵⁵ pa	fontanelle	fontanelle			1.2.1.3		0			m,m,m
39244	1085	Tsangla (Motuo)	pa⁵⁵ toŋ⁵⁵	pa⁵⁵ toŋ⁵⁵	forehead	forehead			1.2.5.1		0			m,371
39245	1085	Tsangla (Motuo)	tsʰam⁵⁵	tsʰam⁵⁵	hair (head)	hair (head)			1.2.3		0			366
39246	1085	Tsangla (Motuo)	tɕʰur⁵⁵ tɕʰur⁵⁵ pa	tɕʰur⁵⁵ tɕʰur⁵⁵ pa	swirl in head hair	swirl in head hair			6.7.6		0			m,m,m
39247	1085	Tsangla (Motuo)	ɕa⁵⁵ raŋ⁵⁵ wuŋ¹³	ɕa⁵⁵ raŋ⁵⁵ wuŋ¹³	crown of head	crown of head			1.2.1.2		0			m,392,m
