rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
40937	699	Jinuo (Buyuan)	tjE⁴⁴	tjE⁴⁴	look at	look at			1.2.6.11		0			1236
40938	699	Jinuo (Buyuan)	tɕʰi⁵⁵	tɕʰi⁵⁵	bite	bite			1.3.4.4		0			744
40939	699	Jinuo (Buyuan)	tsi⁵⁵	tsi⁵⁵	blow	blow			1.3.1.4		0			1739
40940	699	Jinuo (Buyuan)	vu⁵⁵ tsɔ³³ vu⁵⁵ nə⁴⁴	vu⁵⁵ tsɔ³³ vu⁵⁵ nə⁴⁴	diarrhea	diarrhea			1.8.5		0			
40941	699	Jinuo (Buyuan)	vu⁴⁴	vu⁴⁴	hatch (an egg)	hatch (an egg)			1.1.2		0			301
40942	699	Jinuo (Buyuan)	vu⁴² mɔ⁴⁴	vu⁴² mɔ⁴⁴	belly	belly			1.4.7		0			137,m
40943	699	Jinuo (Buyuan)	pjE³¹	pjE³¹	fly	fly	v	v	2.2.6		0			
40944	699	Jinuo (Buyuan)	pu⁴⁴ lɔ⁴⁴	pu⁴⁴ lɔ⁴⁴	full, satiated	full, satiated	be v.	be v.	1.1.3.2		0			100,s
40945	699	Jinuo (Buyuan)	pʰje⁴⁴	pʰje⁴⁴	braid	braid	v.	v.	1.2.3.2		0			2018
40946	699	Jinuo (Buyuan)	vu³³ kɑ⁵⁵ lɑ⁵⁵	vu³³ kɑ⁵⁵ lɑ⁵⁵	bald person	bald person			1.2.3.4		0			385,m,m
40947	699	Jinuo (Buyuan)	ɑ³³ tɕʰi¹¹	ɑ³³ tɕʰi¹¹	shit	shit			1.8.5		0			p,572
40948	699	Jinuo (Buyuan)	mi⁴⁴ kʰu⁴⁴	mi⁴⁴ kʰu⁴⁴	lip	lip			1.3.2		0			467,586
40949	699	Jinuo (Buyuan)	nɑ⁵⁵ kʰɑ¹³	nɑ⁵⁵ kʰɑ¹³	forehead	forehead			1.2.5.1		0			356,2026
40950	699	Jinuo (Buyuan)	nɔ⁴⁴ pʰɑ⁵⁵	nɔ⁴⁴ pʰɑ⁵⁵	ear	ear			1.2.7		0			811,821
40951	699	Jinuo (Buyuan)	lɑ⁵⁵ nɑ³¹	lɑ⁵⁵ nɑ³¹	finger	finger			1.5.6		0			
40952	699	Jinuo (Buyuan)	ɕɛ³¹	ɕɛ³¹	fathom	fathom			9.8		0			
40953	699	Jinuo (Buyuan)	ɑ³³ tsi³¹	ɑ³³ tsi³¹	tooth	tooth			1.3.4		0			p,635
40955	699	Jinuo (Buyuan)	ɑ³³ vu³¹	ɑ³³ vu³¹	intestines	intestines			1.7.7		0			p,2102
40956	699	Jinuo (Buyuan)	ɑ³³ tsʰi³¹	ɑ³³ tsʰi³¹	oil	oil			1.6.4.1		0			p,48
40957	699	Jinuo (Buyuan)	me³¹ mɔ³³	me³¹ mɔ³³	eyebrow	eyebrow			1.2.6.6		0			681,363
40958	699	Jinuo (Buyuan)	jɔ³³ tsi³³	jɔ³³ tsi³³	kidney	kidney			1.7.5		0			b
40959	699	Jinuo (Buyuan)	ɑ³³ mɤ⁴⁴	ɑ³³ mɤ⁴⁴	fur	fur			1.6.1		0			p,363
40960	699	Jinuo (Buyuan)	ɑ⁴⁴ kʰu⁴⁴	ɑ⁴⁴ kʰu⁴⁴	skin	skin			1.6.5		0			p,586
40961	699	Jinuo (Buyuan)	ɑ⁵⁵ tɕʰi¹¹	ɑ⁵⁵ tɕʰi¹¹	foot	foot			1.5.2		0			
40962	699	Jinuo (Buyuan)	tsʰi⁴⁴	tsʰi⁴⁴	cough	cough			1.8.3.3		0			
40963	699	Jinuo (Buyuan)	nɔ⁴²	nɔ⁴²	sick, ill	sick, ill	be v.	be v.	1.1.5.1		0			160
40964	699	Jinuo (Buyuan)	tɕʰi⁵⁵	tɕʰi⁵⁵	gnaw	gnaw			1.3.4.4		0			
40965	699	Jinuo (Buyuan)	tsʰɤ⁴² tɕʰi⁴²	tsʰɤ⁴² tɕʰi⁴²	hair (head)	hair (head)			1.2.3		0			366,m
40966	699	Jinuo (Buyuan)	vu⁴⁴ tɕʰɯ⁴⁴ lɯ⁴⁴	vu⁴⁴ tɕʰɯ⁴⁴ lɯ⁴⁴	head	head			1.2.1		0			385,m,1221
40967	699	Jinuo (Buyuan)	tɕʰu³³ pi³³	tɕʰu³³ pi³³	throat	throat			1.3.5		0			488,484
40968	699	Jinuo (Buyuan)	vu⁴⁴ nu⁵⁵ lu⁵⁵	vu⁴⁴ nu⁵⁵ lu⁵⁵	brain	brain			1.2.4		0			385,243,1221
40969	699	Jinuo (Buyuan)	kʰɯ³¹ tʰɑ⁵⁵	kʰɯ³¹ tʰɑ⁵⁵	back (of body)	back (of body)			1.4.8		0			m,212
40970	699	Jinuo (Buyuan)	ɑ³¹ nɑ¹¹	ɑ³¹ nɑ¹¹	milk	milk					0			p,253
40971	699	Jinuo (Buyuan)	tʰɑ⁵⁵ kʰɔ³³	tʰɑ⁵⁵ kʰɔ³³	saliva	saliva			1.8.3		0			
40972	699	Jinuo (Buyuan)	mɔ⁴² tɕʰi⁴⁴	mɔ⁴² tɕʰi⁴⁴	sore, ulcer	sore, ulcer			1.1.5.1		0			
40973	699	Jinuo (Buyuan)	lɑ⁵⁵ pu⁴⁴	lɑ⁵⁵ pu⁴⁴	hand	hand			1.5.1.1		0			695,m
40974	699	Jinuo (Buyuan)	tsɔ⁴⁴	tsɔ⁴⁴	eat	eat			1.5.3.2		0			36
40975	700	Jinuo (Youle)	ɑ⁴⁴ pə³³	ɑ⁴⁴ pə³³	front	front			1.4.4		0			m,m
40976	700	Jinuo (Youle)	ɑ⁴⁴ n̥o⁴²	ɑ⁴⁴ n̥o⁴²	back (side)	back (side)			1.4.8		0			m,203
40977	700	Jinuo (Youle)	lɑ⁵⁵ vu⁵⁵	lɑ⁵⁵ vu⁵⁵	left	left			1.5.3.2		0			695,2154
40978	700	Jinuo (Youle)	lɑ³³ m̥ɔ⁵⁵	lɑ³³ m̥ɔ⁵⁵	right (side)	right (side)			1.5.3.2		0			695,m
40979	700	Jinuo (Youle)	ko⁴² tɕʰə³³	ko⁴² tɕʰə³³	middle, between	middle, between			1.9.4		0			691,m
40980	700	Jinuo (Youle)	ɑ³³ tse⁴⁴ le⁴⁴	ɑ³³ tse⁴⁴ le⁴⁴	side	side			1.4.5		0			
40981	700	Jinuo (Youle)	ɑ⁴⁴ vu³³	ɑ⁴⁴ vu³³	egg	egg					0			p,301
40982	700	Jinuo (Youle)	vu⁴⁴ ʃɯ⁴⁴	vu⁴⁴ ʃɯ⁴⁴	yolk	yolk					0			
40983	700	Jinuo (Youle)	ɑ³³ to⁴⁴	ɑ³³ to⁴⁴	wing	wing			1.5.1.3		0			p,711
40984	700	Jinuo (Youle)	ɑ³³ m̥ɯ⁴⁴	ɑ³³ m̥ɯ⁴⁴	fur	fur			1.6.1		0			p,363
40985	700	Jinuo (Youle)	pʰɹɔ⁴⁴ sɤ⁴⁴	pʰɹɔ⁴⁴ sɤ⁴⁴	claw	claw			1.5.10.4		0			
40986	700	Jinuo (Youle)	pʰɹɔ⁴⁴ pø⁵⁵	pʰɹɔ⁴⁴ pø⁵⁵	hoof	hoof			1.5.4		0			
40987	700	Jinuo (Youle)	vu³³ kʰi⁴⁴	vu³³ kʰi⁴⁴	horn	horn			1.2.2		0			385,819
40988	700	Jinuo (Youle)	to⁴⁴ m̥i⁴⁴	to⁴⁴ m̥i⁴⁴	tail	tail			1.4.10.1		0			225,1288
40989	700	Jinuo (Youle)	n̥ɔ⁴⁴ mo⁴² lo⁴²	n̥ɔ⁴⁴ mo⁴² lo⁴²	cockscomb	cockscomb			1.2.2.1		0			356,m,m
40990	700	Jinuo (Youle)	ʃi⁵⁵ pu³³ lu³³	ʃi⁵⁵ pu³³ lu³³	bladder	bladder			1.7.8		0		D1	650,779,m
40991	700	Jinuo (Youle)	pɔ⁴⁴ kɛ⁴²	pɔ⁴⁴ kɛ⁴²	gills	gills			1.3.5.3		0			
40992	700	Jinuo (Youle)	ɑ⁴⁴ ki⁴⁴	ɑ⁴⁴ ki⁴⁴	scales	scales			1.6.5.2		0			p,596
40993	700	Jinuo (Youle)	mə⁴² to⁴⁴	mə⁴² to⁴⁴	body	body			1.1.1		0			17,m
40994	700	Jinuo (Youle)	ɑ³³ mə⁴⁴	ɑ³³ mə⁴⁴	body	body			1.1.1		0			p,17
40995	700	Jinuo (Youle)	vu⁴⁴ kʰɛ⁴⁴	vu⁴⁴ kʰɛ⁴⁴	head	head			1.2.1		0			385,383
