rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
41472	850	Lahu (Black)	ɣu⁵³ sɿ¹¹	ɣu⁵³ sɿ¹¹	front	front			1.4.4		0			1217,1214
41473	850	Lahu (Black)	qʰɔʔ²¹ nɔ³⁵	qʰɔʔ²¹ nɔ³⁵	back (side)	back (side)			1.4.8		0			m,203
41474	850	Lahu (Black)	laʔ²¹ mɛ³¹	laʔ²¹ mɛ³¹	left	left			1.5.3.2		0			695,2154
41475	850	Lahu (Black)	laʔ²¹ sa³³	laʔ²¹ sa³³	right (side)	right (side)			1.5.3.2		0			695,2786
41476	850	Lahu (Black)	ɔ³¹ pa⁵³	ɔ³¹ pa⁵³	side	side			1.4.5		0			p,2584
41477	850	Lahu (Black)	ɔ³¹ qɔ³³ dzi³³	ɔ³¹ qɔ³³ dzi³³	center, middle	center, middle			1.9.4		0			m,m,m
41478	850	Lahu (Black)	ɔ³¹ v̩³³	ɔ³¹ v̩³³	egg	egg					0			5450,301
41479	850	Lahu (Black)	tɔ³¹ laʔ²¹ kv̩³⁵	tɔ³¹ laʔ²¹ kv̩³⁵	wing	wing			1.5.1.3		0			711,695,m
41480	850	Lahu (Black)	ɔ³¹ mv̩³³	ɔ³¹ mv̩³³	fur	fur			1.6.1		0			p,363
41481	850	Lahu (Black)	kʰɯ³³ si¹¹ kv̩³⁵	kʰɯ³³ si¹¹ kv̩³⁵	claw	claw			1.5.10.4		0			
41482	850	Lahu (Black)	kʰɯ³³ ti³⁵ pu³¹	kʰɯ³³ ti³⁵ pu³¹	hoof	hoof			1.5.4		0			
41483	850	Lahu (Black)	kʰɔ³³	kʰɔ³³	horn	horn			1.2.2		0			819
41484	850	Lahu (Black)	ɔ³¹ gɯ³¹	ɔ³¹ gɯ³¹	hide	hide			1.6.5.1		0			p,596
41485	850	Lahu (Black)	mɛ³¹ tv̩³³	mɛ³¹ tv̩³³	tail	tail			1.4.10.1		0			1288,5639
41486	850	Lahu (Black)	ɣaʔ⁵⁴ na³¹ bzɿ³³	ɣaʔ⁵⁴ na³¹ bzɿ³³	cockscomb	cockscomb			1.2.2.1		0			1606,356,2014
41487	850	Lahu (Black)	na³¹ pɔ³¹	na³¹ pɔ³¹	gills	gills			1.3.5.3		0			
41488	850	Lahu (Black)	ɔ³¹ sɛʔ⁵⁴	ɔ³¹ sɛʔ⁵⁴	scales	scales			1.6.5.2		0			5450,1454
41489	850	Lahu (Black)	ɔ³¹ tu³³	ɔ³¹ tu³³	body	body			1.1.1		0			5450,14
41490	850	Lahu (Black)	v̩³⁵ qu¹¹	v̩³⁵ qu¹¹	head	head			1.2.1		0			385,387
41491	850	Lahu (Black)	u³⁵ qu³¹ si¹¹	u³⁵ qu³¹ si¹¹	skull	skull			1.2.1.1		0			385,387,1019
41492	850	Lahu (Black)	na³¹ qa³¹ pɯ³³	na³¹ qa³¹ pɯ³³	forehead	forehead			1.2.5.1		0			356,2026,276
41494	850	Lahu (Black)	v̩³⁵ kʰɛ³³ pʰi⁵³	v̩³⁵ kʰɛ³³ pʰi⁵³	braid (hair)	braid (hair)	n	n	1.2.3.2		0			385,372,2018
