rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
42764	1304	Pumi (Qinghua)	skʰi⁵⁵ tsə⁵⁵	skʰi⁵⁵ tsə⁵⁵	egg	egg				0		m,1609
42765	1304	Pumi (Qinghua)	dõ¹³	dõ¹³	wing	wing		1.5.1.3		0		711
42766	1304	Pumi (Qinghua)	ma⁵⁵	ma⁵⁵	fur	fur		1.6.1		0		363
42767	1304	Pumi (Qinghua)	sdʒã¹³	sdʒã¹³	claw	claw		1.5.10.4		0		
42768	1304	Pumi (Qinghua)	spɑ⁵⁵	spɑ⁵⁵	hoof	hoof		1.5.4		0		417
42769	1304	Pumi (Qinghua)	tʂhy⁵⁵	tʂhy⁵⁵	horn	horn		1.2.2		0		819
42770	1304	Pumi (Qinghua)	mɐ¹³ ɬiɛ⁵⁵	mɐ¹³ ɬiɛ⁵⁵	tail	tail		1.4.10.1		0		1288,3332
42771	1304	Pumi (Qinghua)	stɑ⁵⁵ ku⁵⁵ mi¹³	stɑ⁵⁵ ku⁵⁵ mi¹³	blind person	blind person		1.2.6.14.2		0		m,m,1002
42772	1304	Pumi (Qinghua)	sdə¹³ bõ¹³	sdə¹³ bõ¹³	deaf person	deaf person		1.2.7.5		0		m,1409
42773	1304	Pumi (Qinghua)	mə⁵⁵ do⁵⁵ mi¹³	mə⁵⁵ do⁵⁵ mi¹³	mute person	mute person		1.5.3.2		0		m,m,1002
42774	1304	Pumi (Qinghua)	sqɑ̃u⁵⁵ mi¹³	sqɑ̃u⁵⁵ mi¹³	insane person	insane person		8.3.1.11.3		0		m,1002
42775	1304	Pumi (Qinghua)	sda¹³ pɑ¹³	sda¹³ pɑ¹³	lame person	lame person		1.5.12		0		
42776	1304	Pumi (Qinghua)	dʒɑ¹³ ɣa¹³	dʒɑ¹³ ɣa¹³	fat , oil	fat , oil	n.	1.6.4		0		1450,m
42777	1304	Pumi (Qinghua)	ʃɤ⁵⁵	ʃɤ⁵⁵	meat, flesh	meat, flesh		1.1.1.1		0		34
42778	1304	Pumi (Qinghua)	ʒɛ̃¹³ lyə⁵⁵	ʒɛ̃¹³ lyə⁵⁵	fertilizer	fertilizer		1.9		0		
42779	1304	Pumi (Qinghua)	ʒɛ̃⁵⁵	ʒɛ̃⁵⁵	manure	manure		1.8.5		0		
42780	1304	Pumi (Qinghua)	gu⁵⁵ tʃə⁵⁵	gu⁵⁵ tʃə⁵⁵	speech	speech		1.8.7		0		
42781	1304	Pumi (Qinghua)	tʂhɑ̃u⁵⁵	tʂhɑ̃u⁵⁵	sound	sound		9.3		0		
42782	1304	Pumi (Qinghua)	ʒə¹³ mɛ¹³	ʒə¹³ mɛ¹³	dream	dream		1.1.4.2		0		127,126
42783	1304	Pumi (Qinghua)	dzɑ⁵⁵	dzɑ⁵⁵	shadow	shadow		3.2.10		0		
42784	1304	Pumi (Qinghua)	ɕe⁵⁵	ɕe⁵⁵	spirit	spirit		5.8.1.1		0		28
42785	1304	Pumi (Qinghua)	tsu⁵⁵	tsu⁵⁵	ghost	ghost		4.2.12.2		0		28
42786	1304	Pumi (Qinghua)	qa¹³ ta⁵⁵	qa¹³ ta⁵⁵	strength	strength		1.1.5		0		5677,m
42787	1304	Pumi (Qinghua)	skhyɛ⁵⁵ ta⁵⁵	skhyɛ⁵⁵ ta⁵⁵	courage	courage				0		
