rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
43344	1616	Tujia (Northern)	tsi⁵⁵ kɨe⁵⁵	tsi⁵⁵ kɨe⁵⁵	front	front			1.4.4		0			1212,m
43345	1616	Tujia (Northern)	tʰa⁵⁵ ne⁵⁵	tʰa⁵⁵ ne⁵⁵	back (side)	back (side)			1.4.8		0			m,203
43346	1616	Tujia (Northern)	tʰa³⁵ pu⁵⁵ tɕe³⁵	tʰa³⁵ pu⁵⁵ tɕe³⁵	left	left			1.5.3.2		0			
43347	1616	Tujia (Northern)	pu⁵⁵ tɕe⁵⁵	pu⁵⁵ tɕe⁵⁵	right (side)	right (side)			1.5.3.2		0			
43348	1616	Tujia (Northern)	se³⁵ tʰa³⁵	se³⁵ tʰa³⁵	side	side			1.4.5		0			
43349	1616	Tujia (Northern)	lo³⁵ li⁵⁵	lo³⁵ li⁵⁵	center	center			1.9.4		0			m,517
43350	1616	Tujia (Northern)	a⁵⁵ le⁵⁵	a⁵⁵ le⁵⁵	egg	egg					0			p,3438
43352	1616	Tujia (Northern)	tɕe³⁵ tʰã³⁵ kʰɨe⁵⁵	tɕe³⁵ tʰã³⁵ kʰɨe⁵⁵	wing	wing			1.5.1.3		0			R,711,739
43353	1616	Tujia (Northern)	si³⁵ ka⁵⁵	si³⁵ ka⁵⁵	fur	fur			1.6.1		0			m
43354	1616	Tujia (Northern)	tsau⁵⁵ tsi⁵⁵	tsau⁵⁵ tsi⁵⁵	claw	claw			1.5.10.4		0			
43355	1616	Tujia (Northern)	tʰi²¹ kʰo³⁵	tʰi²¹ kʰo³⁵	hoof	hoof			1.5.4		0			m,417
43356	1616	Tujia (Northern)	za²¹ kʰũ⁵⁵ nũ⁵⁵ pʰɨe⁵⁵	za²¹ kʰũ⁵⁵ nũ⁵⁵ pʰɨe⁵⁵	crop (of chicken)	crop (of chicken)			1.7.6.1		0			2187,m,m,m
43357	1616	Tujia (Northern)	kʰɨe⁵⁵	kʰɨe⁵⁵	horn	horn			1.2.2		0			819
43358	1616	Tujia (Northern)	le²¹ pʰũ³⁵	le²¹ pʰũ³⁵	tail	tail			1.4.10.1		0			3332,404
43359	1616	Tujia (Northern)	so⁵⁵ tʰi²¹	so⁵⁵ tʰi²¹	body	body			1.1.1		0			4,1125
43360	1616	Tujia (Northern)	kʰo⁵⁵ pa⁵⁵	kʰo⁵⁵ pa⁵⁵	head	head			1.2.1		0			386,s
43361	1616	Tujia (Northern)	kʰa⁵⁵ tʰa⁵⁵ kʰɨe⁵⁵	kʰa⁵⁵ tʰa⁵⁵ kʰɨe⁵⁵	forehead	forehead			1.2.5.1		0			1209,358,m
43362	1616	Tujia (Northern)	sa³⁵ tɕʰi⁵⁵	sa³⁵ tɕʰi⁵⁵	hair (head)	hair (head)			1.2.3		0			366,1232
43363	1616	Tujia (Northern)	sa³⁵ tɕʰi⁵⁵ piã⁵⁵ tsi⁵⁵	sa³⁵ tɕʰi⁵⁵ piã⁵⁵ tsi⁵⁵	braid (hair)	braid (hair)	n	n	1.2.3.2		0			366,1232,b,b
43364	1616	Tujia (Northern)	kʰũ⁵⁵ nũ⁵⁵	kʰũ⁵⁵ nũ⁵⁵	brain	brain			1.2.4		0			387,5554
43365	1616	Tujia (Northern)	ku³⁵	ku³⁵	face	face			1.2.5		0			273
43366	1616	Tujia (Northern)	lo³⁵ pu³⁵ si³⁵ ka⁵⁵	lo³⁵ pu³⁵ si³⁵ ka⁵⁵	eyebrow	eyebrow			1.2.6.6		0			1427,1228,m,m
43367	1616	Tujia (Northern)	lo³⁵ pu³⁵	lo³⁵ pu³⁵	eye	eye			1.2.6		0			1427,1275
43368	1616	Tujia (Northern)	lo³⁵ se²¹	lo³⁵ se²¹	eye sand	eye sand			1.2.6.8		0			1427,587
43369	1616	Tujia (Northern)	lo³⁵ pu³⁵ pɨe⁵⁵ tsʰe²¹	lo³⁵ pu³⁵ pɨe⁵⁵ tsʰe²¹	tears	tears			1.2.6.7		0			1427,1275,187,298
43370	1616	Tujia (Northern)	ẽ³⁵ tɕʰi⁵⁵	ẽ³⁵ tɕʰi⁵⁵	nose	nose			1.2.8		0			p,442
43371	1616	Tujia (Northern)	ẽ²¹ tɕʰe³⁵	ẽ²¹ tɕʰe³⁵	ear	ear			1.2.7		0			m,2082
43372	1616	Tujia (Northern)	tsa³⁵ tɕʰi⁵⁵	tsa³⁵ tɕʰi⁵⁵	mouth	mouth			1.3.1		0			
43373	1616	Tujia (Northern)	tsa³⁵ tɕʰi⁵⁵ tʰa⁵⁵ pʰa²¹	tsa³⁵ tɕʰi⁵⁵ tʰa⁵⁵ pʰa²¹	lip	lip			1.3.2		0			
43374	1616	Tujia (Northern)	si⁵⁵ si⁵⁵	si⁵⁵ si⁵⁵	tooth	tooth			1.3.4		0			632,632
43375	1616	Tujia (Northern)	ji³⁵ la⁵⁵	ji³⁵ la⁵⁵	tongue	tongue			1.3.3		0			621,623
43376	1616	Tujia (Northern)	la⁵⁵ pʰa²¹	la⁵⁵ pʰa²¹	beard	beard			1.2.5.5		0			1265,m
43377	1616	Tujia (Northern)	kʰũ⁵⁵ ti⁵⁵	kʰũ⁵⁵ ti⁵⁵	neck	neck			1.4.2		0			3361,501
43378	1616	Tujia (Northern)	tsʰe²¹ lo³⁵ tʰi⁵⁵	tsʰe²¹ lo³⁵ tʰi⁵⁵	throat	throat			1.3.5		0			m,m,501
43379	1616	Tujia (Northern)	pʰɨe³⁵ tʰi⁵⁵ kʰɨe⁵⁵	pʰɨe³⁵ tʰi⁵⁵ kʰɨe⁵⁵	shoulder	shoulder			1.4.3		0			1327,3408,3393
43380	1616	Tujia (Northern)	tɕe³⁵	tɕe³⁵	hand	hand			1.5.1.1		0			699
43381	1616	Tujia (Northern)	tɕe³⁵ si⁵⁵ pʰɨe⁵⁵	tɕe³⁵ si⁵⁵ pʰɨe⁵⁵	arm	arm			1.5.1.2		0			699,m,m
43382	1616	Tujia (Northern)	tɕe³⁵ mi⁵⁵ tʰi²¹	tɕe³⁵ mi⁵⁵ tʰi²¹	finger	finger			1.5.6		0			
43384	1616	Tujia (Northern)	li⁵⁵ kʰo⁵⁵ tsʰũ⁵⁵	li⁵⁵ kʰo⁵⁵ tsʰũ⁵⁵	chest (of body)	chest (of body)			1.4.4.3		0			m,560,299
43385	1616	Tujia (Northern)	pei³⁵	pei³⁵	back (of body)	back (of body)			1.4.8		0			1361
43386	1616	Tujia (Northern)	mã²¹ pʰɨe²¹	mã²¹ pʰɨe²¹	breast	breast			1.4.4.3		0			3457,m
43387	1616	Tujia (Northern)	mɨe²¹ tsʰi²¹ kʰɨe⁵⁵	mɨe²¹ tsʰi²¹ kʰɨe⁵⁵	belly	belly			1.4.7		0			m,m,m
43388	1616	Tujia (Northern)	mɨe²¹ ko²¹	mɨe²¹ ko²¹	waist	waist			1.4.6		0			
43389	1616	Tujia (Northern)	tɕi²¹	tɕi²¹	foot	foot			1.5.2		0			
43390	1616	Tujia (Northern)	tɕi²¹ si²¹ pʰɨe⁵⁵	tɕi²¹ si²¹ pʰɨe⁵⁵	leg	leg			1.5.7		0			
43391	1616	Tujia (Northern)	tɕe³⁵ tã⁵⁵ tɕi²¹	tɕe³⁵ tã⁵⁵ tɕi²¹	armpit	armpit			1.5.1.2.3		0			
43392	1616	Tujia (Northern)	tɕe³⁵ lo³⁵ pu⁵⁵	tɕe³⁵ lo³⁵ pu⁵⁵	wrist (bone)	wrist (bone)			1.5.8.1		0			699,m,m
43393	1616	Tujia (Northern)	tɕi²¹ tʰi²¹ kʰɨe⁵⁵	tɕi²¹ tʰi²¹ kʰɨe⁵⁵	knee	knee			1.5.8.4		0			
43394	1616	Tujia (Northern)	tʰa⁵⁵ pʰa²¹	tʰa⁵⁵ pʰa²¹	skin	skin			1.6.5		0			m,792
43395	1616	Tujia (Northern)	lu⁵⁵ ka⁵⁵	lu⁵⁵ ka⁵⁵	bone	bone			1.6.3		0			232,m
43396	1616	Tujia (Northern)	tɕĩ⁵⁵	tɕĩ⁵⁵	muscle	muscle			1.6.6.2		0			372
43397	1616	Tujia (Northern)	me⁵⁵	me⁵⁵	blood	blood			1.6.2		0			m
43398	1616	Tujia (Northern)	se²¹ pʰɨe²¹	se²¹ pʰɨe²¹	stomach	stomach			1.7.6		0			m,m
43399	1616	Tujia (Northern)	jiau⁵⁵ tsi⁵⁵ pu³⁵ li⁵⁵	jiau⁵⁵ tsi⁵⁵ pu³⁵ li⁵⁵	kidney	kidney			1.7.5		0			b,b,779,m
43400	1616	Tujia (Northern)	pi³⁵ la⁵⁵	pi³⁵ la⁵⁵	intestines	intestines			1.7.7		0			
43401	1616	Tujia (Northern)	li⁵⁵ kʰo⁵⁵ lo³⁵	li⁵⁵ kʰo⁵⁵ lo³⁵	heart	heart			1.7.1		0			m,665,1427
43402	1616	Tujia (Northern)	ã⁵⁵ ŋa⁵⁵	ã⁵⁵ ŋa⁵⁵	liver	liver			1.7.3		0			p,m
43403	1616	Tujia (Northern)	ɕĩ⁵⁵ pʰu⁵⁵ tsi⁵⁵	ɕĩ⁵⁵ pʰu⁵⁵ tsi⁵⁵	lung	lung			1.7.2		0			
43404	1616	Tujia (Northern)	tsi³⁵ tsi³⁵	tsi³⁵ tsi³⁵	gall	gall			1.7.3.1		0			1390,1390
43405	1616	Tujia (Northern)	niau³⁵ pʰau⁵⁵	niau³⁵ pʰau⁵⁵	bladder	bladder			1.7.8		0			m,m
43406	1616	Tujia (Northern)	ku⁵⁵ tsʰe²¹	ku⁵⁵ tsʰe²¹	sweat	sweat			1.8.1		0			615,m
43407	1616	Tujia (Northern)	ẽ³⁵ tɕʰi⁵⁵ la⁵⁵	ẽ³⁵ tɕʰi⁵⁵ la⁵⁵	mucus	mucus			1.8.2		0			
43408	1616	Tujia (Northern)	nũ⁵⁵ se²¹	nũ⁵⁵ se²¹	phlegm	phlegm			1.8.3		0			
43409	1616	Tujia (Northern)	tsʰe²¹ si²¹	tsʰe²¹ si²¹	saliva	saliva			1.8.3		0			
43410	1616	Tujia (Northern)	mã²¹	mã²¹	milk	milk					0			3457
43411	1616	Tujia (Northern)	se²¹	se²¹	shit	shit			1.8.5		0			572
43412	1616	Tujia (Northern)	ɣɨe⁵⁵ tsʰe⁵⁵	ɣɨe⁵⁵ tsʰe⁵⁵	urine	urine			1.8.4		0			m,650
43413	1616	Tujia (Northern)	tɕʰe³⁵ ka³⁵	tɕʰe³⁵ ka³⁵	sore, ulcer	sore, ulcer			1.1.5.1		0			
43414	1616	Tujia (Northern)	ze³⁵	ze³⁵	pus	pus			1.8.6.1		0			1296
43415	1616	Tujia (Northern)	pu³⁵ li³⁵	pu³⁵ li³⁵	smallpox	smallpox			5.3		0			
43416	1616	Tujia (Northern)	sa⁵⁵ pu⁵⁵	sa⁵⁵ pu⁵⁵	malaria	malaria			5.3		0			
43417	1616	Tujia (Northern)	me⁵⁵ po²¹	me⁵⁵ po²¹	dysentery	dysentery			1.7.7		0			
43418	1616	Tujia (Northern)	lo³⁵ tsi⁵⁵	lo³⁵ tsi⁵⁵	blind person	blind person			1.2.6.14.2		0			m
43419	1616	Tujia (Northern)	nõ⁵⁵ tʰũ⁵⁵	nõ⁵⁵ tʰũ⁵⁵	deaf person	deaf person			1.2.7.5		0			
43420	1616	Tujia (Northern)	ka²¹ pa²¹	ka²¹ pa²¹	dumb person	dumb person			8.5.4.4		0			1752,s
43421	1616	Tujia (Northern)	me⁵⁵ ɕe⁵⁵	me⁵⁵ ɕe⁵⁵	mute, lose voice	mute, lose voice	be v.	be v.	1.5.3.2		0			m,m
43422	1616	Tujia (Northern)	tiã⁵⁵ tsi⁵⁵	tiã⁵⁵ tsi⁵⁵	insane person	insane person			8.3.1.11.3		0			
43423	1616	Tujia (Northern)	pai⁵⁵ tsi⁵⁵	pai⁵⁵ tsi⁵⁵	lame person	lame person			1.5.12		0			
43424	1616	Tujia (Northern)	se²¹ si³⁵	se²¹ si³⁵	oil	oil			1.6.4.1		0			60,48
43425	1616	Tujia (Northern)	si²¹	si²¹	meat, flesh	meat, flesh			1.1.1.1		0			34
43426	1616	Tujia (Northern)	pu²¹ tsʰi³⁵	pu²¹ tsʰi³⁵	fertilizer	fertilizer			1.9		0			
43427	1616	Tujia (Northern)	se²¹	se²¹	excrement	excrement			1.8.5		0			
43428	1616	Tujia (Northern)	sa²¹	sa²¹	speech	speech			1.8.7		0			
43429	1616	Tujia (Northern)	ɕe⁵⁵ tɕʰi⁵⁵	ɕe⁵⁵ tɕʰi⁵⁵	strength	strength			1.1.5		0			32,1843
43430	1616	Tujia (Northern)	tɑ̃⁵⁵ tsi⁵⁵	tɑ̃⁵⁵ tsi⁵⁵	courage	courage					0			
43431	1616	Tujia (Northern)	a³⁵ ze³⁵	a³⁵ ze³⁵	sound	sound			9.3		0			
43432	1616	Tujia (Northern)	mu²¹ tsi²¹	mu²¹ tsi²¹	dream	dream			1.1.4.2		0			126,m
43433	1616	Tujia (Northern)	no⁵⁵ tsʰi²¹ li³⁵	no⁵⁵ tsʰi²¹ li³⁵	shadow (person)	shadow (person)			3.2.10		0			
43434	1616	Tujia (Northern)	mɨe³⁵ lu³⁵	mɨe³⁵ lu³⁵	shadow (thing)	shadow (thing)			3.2.10		0			
43435	1616	Tujia (Northern)	pʰu²¹ sa²¹	pʰu²¹ sa²¹	god	god			5.8.1.1		0			
43436	1616	Tujia (Northern)	a⁵⁵ je²¹	a⁵⁵ je²¹	ghost	ghost			4.2.12.2		0			
43437	1616	Tujia (Northern)	ji²¹	ji²¹	see	see			1.2.6.10		0			m
43438	1616	Tujia (Northern)	tɕĩ⁵⁵ tɕĩ²¹	tɕĩ⁵⁵ tɕĩ²¹	close (eyes)	close (eyes)			6.2.2.6.2		0			
43439	1616	Tujia (Northern)	zu²¹	zu²¹	listen	listen			1.2.7.4		0			
43440	1616	Tujia (Northern)	ka³⁵	ka³⁵	eat	eat			1.5.3.2		0			1707
43441	1616	Tujia (Northern)	xu²¹	xu²¹	drink	drink					0			1704
43442	1616	Tujia (Northern)	ka⁵⁵	ka⁵⁵	bite (of snake)	bite (of snake)			1.3.4.4		0			755
43443	1616	Tujia (Northern)	ka³⁵	ka³⁵	bite (of dog)	bite (of dog)			1.3.4.4		0			755
43444	1616	Tujia (Northern)	tɕʰe²¹	tɕʰe²¹	chew	chew			1.3.4		0			744
43445	1616	Tujia (Northern)	la³⁵	la³⁵	lick	lick			1.3.3.1		0			629
43446	1616	Tujia (Northern)	ŋo³⁵	ŋo³⁵	hold in mouth	hold in mouth			1.3.4.4		0			
43447	1616	Tujia (Northern)	si⁵⁵ sa⁵⁵	si⁵⁵ sa⁵⁵	gnaw	gnaw			1.3.4.4		0			
43448	1616	Tujia (Northern)	ze³⁵	ze³⁵	swallow	swallow	v.t.	v.t.	1.3.5.6		0			
43449	1616	Tujia (Northern)	ze³⁵	ze³⁵	swallow	swallow	v.i.	v.i.	1.3.5.6		0			
43450	1616	Tujia (Northern)	pʰi³⁵	pʰi³⁵	spit	spit			1.8.3		0			
43451	1616	Tujia (Northern)	pʰi³⁵	pʰi³⁵	vomit	vomit			1.8.3.2		0			1145
43452	1616	Tujia (Northern)	nũ⁵⁵	nũ⁵⁵	cough	cough			1.8.3.3		0			
43453	1616	Tujia (Northern)	me³⁵	me³⁵	blow	blow			1.3.1.4		0			503
43454	1616	Tujia (Northern)	li²¹	li²¹	say	say			1.8.7		0			
43455	1616	Tujia (Northern)	tʰu⁵⁵	tʰu⁵⁵	read	read			6.2.2.9.3		0			
43456	1616	Tujia (Northern)	tɕe²¹	tɕe²¹	cry out	cry out			1.8.8.2		0			
43457	1616	Tujia (Northern)	nã²¹	nã²¹	smell	smell	v	v	1.2.8.5		0			1415
43458	1616	Tujia (Northern)	ɕiɑ̃³⁵	ɕiɑ̃³⁵	castrate (caponize)	castrate (caponize)			1.9.2.3		0			m
43459	1616	Tujia (Northern)	ne³⁵	ne³⁵	sleep	sleep			1.1.4.1		0			129
43460	1616	Tujia (Northern)	ne³⁵ si³⁵	ne³⁵ si³⁵	wake	wake			1.1.4		0			129,150
43461	1616	Tujia (Northern)	ne⁵⁵	ne⁵⁵	laugh	laugh			1.8.8.1		0			1105
43462	1616	Tujia (Northern)	tsi³⁵	tsi³⁵	cry, weep	cry, weep			1.8.8.2		0			m
43463	1616	Tujia (Northern)	nũ⁵⁵	nũ⁵⁵	birth, give (to child)	birth, give  (to child)			1.1.2		0	jbl3		1864
43464	1616	Tujia (Northern)	me⁵⁵ zɑ³⁵	me⁵⁵ zɑ³⁵	angry, be	angry, be	v	v	8.3.1.6.1		0			
