rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
43629	1656	Yi (Dafang)	ʈʰu⁵⁵ bɔ²¹	ʈʰu⁵⁵ bɔ²¹	front	front		1.4.4		0		m,m
43630	1656	Yi (Dafang)	nɔ³³ bɔ⁵⁵	nɔ³³ bɔ⁵⁵	back (side)	back (side)		1.4.8		0		203,m
43631	1656	Yi (Dafang)	fə³³	fə³³	left	left		1.5.3.2		0		2154
43632	1656	Yi (Dafang)	xi⁵⁵	xi⁵⁵	right (side)	right (side)		1.5.3.2		0		
43633	1656	Yi (Dafang)	pʰa²¹ bɔ⁵⁵	pʰa²¹ bɔ⁵⁵	side	side		1.4.5		0		
43634	1656	Yi (Dafang)	ndo⁵⁵	ndo⁵⁵	egg	egg				0		1609
43635	1656	Yi (Dafang)	do²¹ la¹³	do²¹ la¹³	wing	wing		1.5.1.3		0		711,695
43636	1656	Yi (Dafang)	mu²¹	mu²¹	fur (fine)	fur (fine)		1.6.1		0		363
43637	1656	Yi (Dafang)	tsʰɯ²¹	tsʰɯ²¹	fur (coarse)	fur (coarse)		1.6.1		0		366
43638	1656	Yi (Dafang)	da¹³	da¹³	claw	claw		1.5.10.4		0		
43639	1656	Yi (Dafang)	kʰo²¹	kʰo²¹	hoof (horse)	hoof (horse)		1.5.4		0		417
43640	1656	Yi (Dafang)	o³³ tɕʰi³³	o³³ tɕʰi³³	horn	horn		1.2.2		0		385,819
43641	1656	Yi (Dafang)	mo²¹ so³³	mo²¹ so³³	tail	tail		1.4.10.1		0		1288,m
43642	1656	Yi (Dafang)	gɯ²¹ kɔ³³	gɯ²¹ kɔ³³	body	body		1.1.1		0		1,2
43643	1656	Yi (Dafang)	o³³ gu⁵⁵	o³³ gu⁵⁵	head	head		1.2.1		0		385,387
43644	1656	Yi (Dafang)	na³³ bo²¹	na³³ bo²¹	forehead	forehead		1.2.5.1		0		356,2024
43645	1656	Yi (Dafang)	o³³ tsʰɯ³³	o³³ tsʰɯ³³	hair (head)	hair (head)		1.2.3		0		385,366
43646	1656	Yi (Dafang)	o³³ pi³³	o³³ pi³³	braid (hair)	braid (hair)	n	1.2.3.2		0		385,2018
43647	1656	Yi (Dafang)	o³³ nɔ³³ ʈu³³	o³³ nɔ³³ ʈu³³	brain	brain		1.2.4		0		385,243,m
43648	1656	Yi (Dafang)	ʈʰu⁵⁵ na²¹	ʈʰu⁵⁵ na²¹	face	face		1.2.5		0		1186,681
43649	1656	Yi (Dafang)	na³³ mu³³	na³³ mu³³	eyebrow	eyebrow		1.2.6.6		0		681,363
43650	1656	Yi (Dafang)	na³³ du³³	na³³ du³³	eye	eye		1.2.6		0		681,2068
43651	1656	Yi (Dafang)	na³³ ɳɖie³³	na³³ ɳɖie³³	tears	tears		1.2.6.7		0		681,298
43652	1656	Yi (Dafang)	nɔ³³ mo⁵⁵	nɔ³³ mo⁵⁵	nose	nose		1.2.8		0		803,m
43653	1656	Yi (Dafang)	lɔ²¹ pɔ³³	lɔ²¹ pɔ³³	ear	ear		1.2.7		0		811,812
43654	1656	Yi (Dafang)	mi¹³ pu²¹	mi¹³ pu²¹	mouth	mouth		1.3.1		0		467,476
43655	1656	Yi (Dafang)	mi¹³ ndʑi²¹	mi¹³ ndʑi²¹	lip	lip		1.3.2		0		467,596
43656	1656	Yi (Dafang)	dzə²¹ mo²¹	dzə²¹ mo²¹	tooth	tooth		1.3.4		0		635,s
43657	1656	Yi (Dafang)	ɬo³³	ɬo³³	tongue	tongue		1.3.3		0		628
43658	1656	Yi (Dafang)	bu²¹ tsʰo⁵⁵	bu²¹ tsʰo⁵⁵	beard	beard		1.2.5.5		0		277,370
43659	1656	Yi (Dafang)	lie²¹ bɑ²¹	lie²¹ bɑ²¹	neck	neck		1.4.2		0		479,s
43660	1656	Yi (Dafang)	tɕʰɒ³³ tʰɔ²¹	tɕʰɒ³³ tʰɔ²¹	throat	throat		1.3.5		0		3363,822
43661	1656	Yi (Dafang)	la¹³ bɯ²¹	la¹³ bɯ²¹	shoulder	shoulder		1.4.3		0		695,1275
43662	1656	Yi (Dafang)	la¹³	la¹³	hand	hand		1.5.1.1		0		695
43663	1656	Yi (Dafang)	la¹³ vu³³	la¹³ vu³³	arm (upper)	arm (upper)		1.5.1.2		0		695,m
