rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
44155	564	Galo	asi-abo	asi-abo	family	family		4.7.5		0		
44156	564	Galo	a◦li	ali	clan	clan		4.4.2		0		p,3560
44157	564	Galo	dolu	dolu	village	village		5.8		0	D1	
44158	564	Galo	kai-na	kai-na	village chief	village chief		5.8		0		
44159	564	Galo	kai-ya-na	kai-ya-na	village chief	village chief		5.8		0		
44160	564	Galo	ɲi-|lo	ɲi-lo	husband	husband		4.7.4		0	z	6455
44161	564	Galo	ɲi-|mɤ	ɲi-mɤ	wife	wife		4.7.4		0		1618
44162	564	Galo	a◦o	a◦o	son	son		4.7.3		0		p,6658
44163	564	Galo	a◦o-ɲi-mɤ	a◦o-ɲi-mɤ	daughter	daughter		4.7.3		0		p,6658,m,1620
44164	564	Galo	a◦o-ɲiɟirː	a◦o-ɲiɟirː	daughter	daughter		4.7.3		0		p,6658,m
44165	564	Galo	a◦bo	a◦bo	father	father		4.7.1		0		p,6261
44166	564	Galo	a◦nɤ	a◦nɤ	mother	mother		4.7.1		0		p,1621
44167	564	Galo	asi	asi	brother (elder)	brother (elder)		1.5.3.2		0		
44168	564	Galo	abirː	abirː	brother (younger)	brother (younger)		1.5.3.2		0		
44169	564	Galo	a◦ɲi	aɲi	sister (elder)	sister (elder)		4.7.2		0		p,6450
44170	564	Galo	abirː ɲiɟirː	abirː ɲiɟirː	sister (younger)	sister (younger)		4.7.2		0		
44171	564	Galo	a◦o	a◦o	brother's son	brother's son		1.5.3.2		0		p,6658
44172	564	Galo	medu-e (y) ao	medu-e (y) ao	sister's son	sister's son		4.7.2		0		
44173	564	Galo	a◦o-ɲiɟirː	a◦o-ɲiɟirː	brother's daughter	brother's daughter		1.5.3.2		0		p,6658,m
44174	564	Galo	meo	meo	sister's daughter	sister's daughter		4.7.2		0		
44175	564	Galo	aya si-nɤ	aya si-nɤ	lover	lover		8.3.1.1.1		0		m,m,m
44176	564	Galo	aya si-nɤ	aya si-nɤ	beloved	beloved		9.6.1.1		0		
44177	564	Galo	a◦ɟen	a◦ɟen	friend	friend		4.4.2		0		p,6362
44178	564	Galo	ɲi-mak	ɲi-mak	enemy	enemy		4.2.6		0		
44179	564	Galo	biro kɤ-den	biro kɤ-den	neighbor	neighbor		4.4.2		0		
44180	564	Galo	o◦mɤ	o◦mɤ	child	child		1.5.3.2		0		6658,m
44181	564	Galo	yamɤ	yamɤ	boy	boy		1.9.6.1		0		m
44182	564	Galo	a◦o-ɲi-mɤ	a◦o-ɲi-mɤ	girl	girl		1.9.3		0		p,6658,m,1620
44183	564	Galo	ɲiɟirː	ɲiɟirː	grown-up girl	grown-up girl		9.2.1		0		
44184	564	Galo	yabuk	yabuk	young man	young man		7.1.8.3		0		
44185	564	Galo	ɟirtɤ	ɟirtɤ	young woman	young woman		7.1.8.3		0		
44186	564	Galo	ya-mɤ popo	ya-mɤ popo	man, manhood	man, manhood		1.9.6.1		0		m,m,m
44187	564	Galo	siter-na	siter-na	man, manhood	man, manhood		1.9.6.1		0		m,m
44188	564	Galo	ɟirtɤ	ɟirtɤ	woman	woman		1.9.3		0		m
44189	564	Galo	ɲi-ɟi	ɲi-ɟi	man (old)	man (old)		1.9.6.1		0		m,m
44190	564	Galo	ɲi-kam	ɲi-kam	woman (old)	woman (old)		1.9.3		0		m,m
44191	564	Galo	ɲim-la-ma-na	ɲim-la-ma-na	bachelor	bachelor		4.2.8		0		1618,m,m,m
44192	564	Galo	ɲim-ta-ma-nam	ɲim-ta-ma-nam	virgin	virgin	v	4.2.8		0		1618,m,m,m
44193	564	Galo	ɲim-la-na	ɲim-la-na	married man	married man		6.19		0		1618,m,m
44194	564	Galo	ɲi-lo-ka-na	ɲi-lo-ka-na	married woman	married woman		6.19		0		
44195	564	Galo	aci-nam	aci-nam	ailing	ailing	v	1.1.5.1		0		m,s
44196	564	Galo	aci-aram kama ɟɯna	aci-aram kama ɟɯna	healthy	healthy		9.6.1.2		0		
44197	564	Galo	ɟɯ◦po-na	ɟɯ◦po-na	fat	fat		1.6.4		0		6260,m,m
44198	564	Galo	kuː◦hi kuː◦dor na kuna	kuː◦hi kuː◦dor na kuna	lean	lean		1.1.1		0		45,m,45,52,m,m
44199	564	Galo	ɲi	ɲi	man	man		1.9.6.1		0		m
44200	564	Galo	a◦yu	a◦yu	body (human)	body (human)		1.1.1		0		p,4
44201	564	Galo	a◦yi	a◦yi	body (human)	body (human)		1.1.1		0		p,4
44202	564	Galo	dum◦po	dum◦po	skull	skull		1.2.1.1		0		1425,388
44203	564	Galo	a◦dum	a◦dum	hair	hair		1.2.3		0		p,1425
44204	564	Galo	tuk-ko	tuk-ko	forehead	forehead		1.2.5.1		0		359,m
44205	564	Galo	dum◦po-a◦pin	dum◦po-a◦pin	scalp	scalp		1.2.1.5		0		1425,388,p,591
44206	564	Galo	ɲuk-mo	ɲuk-mo	face	face		1.2.5		0		682,5662
44207	564	Galo	nap-pa	nap-pa	mouth	mouth		1.3.1		0		470,476
44208	564	Galo	pɯnɯ	pɯnɯ	brain	brain		1.2.4		0		252
44209	564	Galo	a◦ɲik	a◦ɲik	eye	eye		1.2.6		0		p,682
44210	564	Galo	ɲeru	ɲeru	ear	ear		1.2.7		0		6487
44211	564	Galo	ɲe◦pum	ɲe◦pum	nose	nose		1.2.8		0		803,806
44212	564	Galo	nab-bɤ	nab-bɤ	lip	lip		1.3.2		0		470,452
44213	564	Galo	a◦ro	a◦ro	tongue	tongue		1.3.3		0		p,623
44214	564	Galo	i◦ɟu	i◦ɟu	tooth	tooth		1.3.4		0		632,2813
44215	564	Galo	i◦ɲir	i◦ɲir	gums	gums		1.3.4.3		0		632,504
44216	564	Galo	cog◦lo	cog◦lo	jaw	jaw		1.2.5.2		0		2034,238
44217	564	Galo	cokː◦o	cokː◦o	chin	chin		1.2.5.3		0	C	2056,m
44218	564	Galo	cokːo nam-mɤ	cokːo nam-mɤ	beard	beard		1.2.5.5		0		2056,470,363
44219	564	Galo	liː◦po	liː◦po	neck	neck		1.4.2		0		479,3404
44220	564	Galo	ko◦ki	ko◦ki	back	back		1.4.8		0		211,m
44221	564	Galo	u◦gi-a◦lo	u◦gi-a◦lo	backbone	backbone		1.4.8.2		0		p,202,p,238
