rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
458956	1968	Sila	ko55 ɯ21	ko55 ɯ21	autonym	autonym			4.6		0			
458957	1968	Sila	a21 mɯ21	a21 mɯ21	body hair	body hair			1.6.1	1	0			p,363
458958	1968	Sila	a21 khɔ̰33	a21 khɔ̰33	skin	skin			1.6.5	2	0			p,586
458959	1968	Sila	hɛ21 ɯ21	hɛ21 ɯ21	bone	bone			1.6.3	3	0			
458960	1968	Sila	ɕi21	ɕi21	blood	blood			1.6.2	4	0			230
458961	1968	Sila	mja33 bi55	mja33 bi55	tears	tears			1.2.6.7	5	0			
458962	1968	Sila	mja33 ɯ55	mja33 ɯ55	tears	tears			1.2.6.7	5	0			
458963	1968	Sila	tsha55 l̥i21	tsha55 l̥i21	sweat	sweat			1.8.1	6	0			
458964	1968	Sila	o21 khja21	o21 khja21	head	head			1.2.1	7	0			
458965	1968	Sila	tsha55 khɯ55	tsha55 khɯ55	hair	hair			1.2.3	8	0			366,m
458966	1968	Sila	mja33 phjo21	mja33 phjo21	face	face			1.2.5	9	0			681,1186
458967	1968	Sila	mja33 kho55	mja33 kho55	eyebrow	eyebrow			1.2.6.6	10	0			
458968	1968	Sila	mja33 tsḭ33	mja33 tsḭ33	eyes	eyes			1.2.6	11	0			
458969	1968	Sila	ne21 pha̰21	ne21 pha̰21	ears	ears			1.2.7	12	0			
458970	1968	Sila	na55 mø55	na55 mø55	nose	nose			1.2.8	13	0			803,m
458971	1968	Sila	ne21 bo21	ne21 bo21	mouth	mouth			1.3.1	14	0			
458972	1968	Sila	a21 lɔ55	a21 lɔ55	tongue	tongue			1.3.3	15	0			p,623
458973	1968	Sila	a21 se21	a21 se21	teeth	teeth			1.3.4	16	0			
458974	1968	Sila	ne21 mɯ21	ne21 mɯ21	beard / moustache	beard / moustache			1.2.5.5	17	0			
458975	1968	Sila	o21 lɯ55	o21 lɯ55	neck	neck			1.4.2	18	0			
458976	1968	Sila	be21 tha̰21	be21 tha̰21	shoulder	shoulder			1.4.3	19	0			
458977	1968	Sila	la̰21 bu21	la̰21 bu21	hand	hand			1.5.1.1	20	0			695,m
458978	1968	Sila	la̰21 mɔ55	la̰21 mɔ55	right-hand	right-hand			1.5.1.1	21	0			695,m
458979	1968	Sila	la̰21 ṵ21	la̰21 ṵ21	left-hand	left-hand			1.5.3.2	22	0			695,2154
458980	1968	Sila	la̰21 ɯ21	la̰21 ɯ21	arm	arm			1.5.1.2	23	0			695,m
458981	1968	Sila	la̰21 tshɯ̰̰21	la̰21 tshɯ̰̰21	elbow	elbow			1.5.8.3	24	0			695,418
458982	1968	Sila	la̰21 khy̰21	la̰21 khy̰21	palm	palm			1.5.5	25	0			
458983	1968	Sila	la̰21 nɯ55	la̰21 nɯ55	finger	finger			1.5.6	26	0			
458984	1968	Sila	la̰21 sɯ21	la̰21 sɯ21	fingernail	fingernail			1.5.10.1	27	0			
458985	1968	Sila	a21 nu55	a21 nu55	breast	breast			1.4.4.3	28	0			
458986	1968	Sila	nu55 sɯ21	nu55 sɯ21	nipple	nipple				29	0			
458987	1968	Sila	a21 tɕɔ̰21	a21 tɕɔ̰21	waist	waist			1.4.6	30	0			p,215
458988	1968	Sila	u55 mɛ33	u55 mɛ33	belly	belly			1.4.7	31	0			
458989	1968	Sila	tɕha33 tɕhu21	tɕha33 tɕhu21	navel	navel			1.9.4	32	0			
458990	1968	Sila	to21 phu55	to21 phu55	buttocks	buttocks			1.4.10	33	0			
458991	1968	Sila	jo21	jo21	feces	feces			1.8.5	34	0			
458992	1968	Sila	jo21 thɯ33	jo21 thɯ33	defecate	defecate	v.	v.	1.8.5.4	35	0			
458993	1968	Sila	y21 ɕy21	y21 ɕy21	urine	urine			1.8.4	36	0			
458994	1968	Sila	y21 ɕy21 ɕy21	y21 ɕy21 ɕy21	urinate	urinate	v.	v.	1.5.3.2	37	0			
458995	1968	Sila	i21 kha21	i21 kha21	expel intestinal gas	expel intestinal gas	v.	v.	6.7.2	38	0			
458996	1968	Sila	zɛ21 gu21 ty̰21	zɛ21 gu21 ty̰21	give birth	give birth	v.	v.	1.1.2	39	0			
458997	1968	Sila	a21 khi55	a21 khi55	leg	leg			1.5.7	40	0			p,335
458998	1968	Sila	a21 khi55	a21 khi55	foot	foot			1.5.2	41	0			p,335
458999	1968	Sila	tho21 kho55	tho21 kho55	back	back			1.4.8	42	0			
459000	1968	Sila	mjo55	mjo55	see	see	v.	v.	1.2.6.10	43	0			1227
459001	1968	Sila	dɛ21	dɛ21	look	look	v.	v.	1.2.6.11	43	0			
459002	1968	Sila	nɔ55 da21	nɔ55 da21	listen	listen	v.	v.	1.2.7.4	44	0			811,m
459003	1968	Sila	dzɛ21	dzɛ21	eat	eat	v.	v.	1.5.3.2	45	0			36
459004	1968	Sila	do55	do55	drink	drink	v.	v.		46	0			502
459005	1968	Sila	khḭ21	khḭ21	bite	bite	v.	v.	1.3.4.4	47	0			
459006	1968	Sila	ø55	ø55	hold with the hand	hold with the hand	v.	v.	6.16	48	0			
459007	1968	Sila	la21 khe33	la21 khe33	put, place in/on	put, place in/on	v.	v.	10.1.1	49	0			
459008	1968	Sila	lɛ21	lɛ21	push	push	v.	v.	6.2.2.3.1	50	0			
459009	1968	Sila	hɯ33	hɯ33	pull	pull	v.	v.	6.2.2.3.1	51	0			5618
459010	1968	Sila	thi33	thi33	throw	throw	v.	v.	6.12	52	0			
459011	1968	Sila	kɔ33	kɔ33	pick up	pick up	v.	v.	6.10.4	53	0			5430
