rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
307077	1924	Lushai [Mizo]	dùh	duʔ	want, wish, need, require, desire, like	want / desire	v.		8.3.1.14.3	116	0			3476
311403	1947	Lai (Hakha)	til	til	testicle	testicle				238	0			1181
441396	1920	*Chin	tshuu	tshuu	vagina	vagina				609	0		DELETED	
441400	1920	*Chin	yaŋ	yaŋ	penis / stinger (of bee)	penis / stinger (of bee)				1224	0			1283
441401	1921	Lakher [Mara]	zá	zá	penis	penis				1224	0			1283
441402	1947	Lai (Hakha)	zâŋ	zâŋ	penis; stinger (of bee)	penis; stinger (of bee)				1224	0			1283
441403	1923	Lai (Falam)	záŋ	záŋ	penis; stinger (of bee)	penis; stinger (of bee)				1224	0			1283
441404	1924	Lushai [Mizo]	zǎŋ	zǎŋ	penis; stinger (of bee)	penis; stinger (of bee)				1224	0			1283
441405	1925	Tiddim	zang¹	zang¹	penis	penis				1224	0			1283
441406	1926	Thado	záŋ	záŋ	penis	penis				1224	0			1283
441407	1927	Sizang	zang	zang	penis	penis				1224	0			1283
441408	1928	Cho (Mindat)	yang	yang	penis	penis				1224	0			1283
441409	1929	Khumi	jaang	jaang	penis; stinger (of bee)	penis; stinger (of bee)				1224	0			1283
441417	1920	*Chin	luu ⪤ luuk	luu ⪤ luuk	copulate	copulate			1.9.1.1	1003	0			1154,1154
441418	1921	Lakher [Mara]	lū	lū	copulate	copulate			1.9.1.1	1003	0			1154
441419	1924	Lushai [Mizo]	lùu ~ lûuk	lùu ~ lûuk	copulate	copulate			1.9.1.1	1003	0			1154,1154
441420	1925	Tiddim	luː¹ ~ luːk¹	luː¹ ~ luːk¹	copulate	copulate			1.9.1.1	1003	0			1154,1154
441421	1926	Thado	lûu ~ lûʔ	lûu ~ lûʔ	copulate	copulate			1.9.1.1	1003	0			1154,1154
441422	1928	Cho (Mindat)	luk ~ luuk	luk ~ luuk	penetrate sexually, possess a woman	penetrate sexually, possess a woman			6.9.2	1003	0			1154,1154
441423	1929	Khumi	liiw	liiw	have intercourse with	have intercourse with			8.2	1003	0			1154
441428	1920	*Chin	ɗuʔ	ɗuʔ	want, crave, lack	want, crave, lack			8.3.1.14.3	116	0		DELETED	
441429	1921	Lakher [Mara]	dū	dū	love (by grandmother)	love (by grandmother)			8.3.1.1.1	116	0			3476
441430	1947	Lai (Hakha)	duʔ	duʔ	want, crave, like, lack	want, crave, like, lack			8.3.1.14.3	116	0			3476
441431	1923	Lai (Falam)	dùʔ	dùʔ	want, crave, like	want, crave, like			8.3.1.14.3	116	0			3476
441433	1928	Cho (Mindat)	du	du	destitute, in want, needy	be destitute, in want, needy	be v.		9.6.2.2	116	0	dwb13		3476
441434	1930	Paite	duh	duh	crave, like	crave, like			8.3.1.1.1	116	0			3476
441442	1947	Lai (Hakha)	sûur/sǔur	sûur/sǔur	squeeze, milk; rain	squeeze, milk; rain			9.5	694	0			3465,3465
441443	1921	Lakher [Mara]	sào	sào	squeeze, wring	squeeze, wring			9.5	626	0			3465
441469	1947	Lai (Hakha)	tshùu	tshùu	vagina	vagina				609	0			661
441486	1921	Lakher [Mara]	hỳ	hỳ	shell of an egg, the bark of a tree	the shell of an egg, the bark of a tree	n		10.1.1	698	0	dwb2		4698
441487	1923	Lai (Falam)	hǒoŋ	hǒoŋ	bark, cover, shell	bark, cover, shell			2.1.11.1	698	0			4698
441488	1924	Lushai [Mizo]	háwng	háwng	bark, shell (as of eggs, etc)	bark, shell (as of eggs, etc)			2.1.11.1	698	0			4698
441489	1925	Tiddim	ho:ng2	ho:ng2	bark (of a tree)	bark (of a tree)			2.1.11.1	698	0			4698
441491	1921	Lakher [Mara]	bá	bá	arm	arm			1.5.1.2	1	0			745
441492	1947	Lai (Hakha)	bâan	bâan	arm	arm			1.5.1.2	1	0			745
441493	1923	Lai (Falam)	bǎan	bǎan	arm	arm			1.5.1.2	1	0			745
441494	1924	Lushai [Mizo]	báan	báan	arm	the arm	n		1.5.1.2	1	0	dwb2		745
441495	1925	Tiddim	baːn²	baːn²	arm	arm			1.5.1.2	1	0			745
441496	1926	Thado	báan	báan	arm (upper and lower)	arm (upper and lower)			1.5.1.2	1	0			745
441497	1930	Paite	baan	baan	fore-arm	fore-arm			1.5.1.2.2	1	0			745
441498	1927	Sizang	bān	bān	arm	arm			1.5.1.2	1	0			745
441499	1928	Cho (Mindat)	ban	ban	arm	arm			1.5.1.2	1	0			745
441500	1948	Asho	bawnˊˊ	bawnˊˊ	arm	arm			1.5.1.2	1	0			745
441501	1929	Khumi	kíw-báang	kíw-báang	arm (especially the upper part)	arm (especially the upper part)			1.5.1.2	1	0			m,745
441502	1921	Lakher [Mara]	bái	bái	adhere, adhesive	adhere, adhesive			6.13.2	2	0			4002
441503	1947	Lai (Hakha)	belʔ-INV	belʔ-INV	attach, add	attach, add			6.13.3	2	0			4002
441504	1923	Lai (Falam)	bèlʔ-INV	bèlʔ-INV	add, attach	add, attach			9.9	2	0			4002
441505	1924	Lushai [Mizo]	bèel-I|, |bèlh-II|	bèel-I|, |bèlh-II|	join, or attach oneself to	to join, or attach oneself to	v		6.13.5	2	0	dwb20		4002
441506	1925	Tiddim	belʔ³	belʔ³	join with glue	join with glue			6.13.5	2	0			4002
441507	1926	Thado	bèʔ-I, bèe-II	bèʔ-I, bèe-II	attach	to attach	v		6.13.3	2	0	dwb20		4002
441508	1930	Paite	belh	belh	attach, to append	to attach, to append	v		6.13.3	2	0	dwb20		4002
441509	1921	Lakher [Mara]	bā |hlá	bā hlá	banana, plantain	banana, plantain			3.1.5	3	0			4003
441510	1947	Lai (Hakha)	bǎn-|hlâa	bǎn-hlâa	banana, plantain	banana, plantain			3.1.5	3	0			4003
441511	1924	Lushai [Mizo]	bàl-|hlǎ ⪤  bàn-|hlǎ	bàl-hlǎ ⪤  bàn-hlǎ	banana	banana			3.1.5	3	0			4003,4003
441512	1925	Tiddim	bân-|lǎa	bân-lǎa	banana	banana			3.1.5	3	0			4003
441513	1927	Sizang	ban |lā	ban lā	banana	banana			3.1.5	3	0			4003
441514	1929	Khumi	sbaang	sbaang	jungle banana species	jungle banana species			3.2.5	3	0			4003
441515	1921	Lakher [Mara]	ʔà bô¹ kó	ʔà bô¹ kó	banyan tree	banyan tree			3.1.1	4	0			4004
441516	1947	Lai (Hakha)	bûŋ kuuŋ	bûŋ kuuŋ	banyan tree	banyan tree			3.1.1	4	0			4004
441517	1923	Lai (Falam)	bǔŋ	bǔŋ	banyan tree	banyan tree			3.1.1	4	0			4004
