rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
468027	1970	Tangut [Xixia]	sjwɨ	sjwɨ	seed	seed			3.1.4	0001	0			
468028	1970	Tangut [Xixia]	lo	lo	filter	filter			5.1	0002	0			
468029	1970	Tangut [Xixia]	sji	sji	mother	mother			4.7.1	0003	0			
468030	1970	Tangut [Xixia]	la	la	maternal aunt	maternal aunt			4.7.1	0004	0			
468031	1970	Tangut [Xixia]	gjow	gjow	strong	strong			9.6.1.1	0005	0			
468032	1970	Tangut [Xixia]	sjij	sjij	nature	nature			3.2.1	0007	0			
468033	1970	Tangut [Xixia]	do	do	poison	poison			6.4	0008	0			2202
468034	1970	Tangut [Xixia]	śjwo	śjwo	appear, raise	appear, raise			9.5	0009	0			
468035	1970	Tangut [Xixia]	zji	zji	all	all			9.9	0010	0			
468036	1970	Tangut [Xixia]	lo	lo	rich	rich			5.9	0011	0			
468037	1970	Tangut [Xixia]	bju	bju	brothers	brothers			4.7.2	0012	0			
468038	1970	Tangut [Xixia]	zar	zar	undergo	undergo			6.1.1	0013	0			
468039	1970	Tangut [Xixia]	pho̱	pho̱	cover	cover			5.8	0014	0			
468040	1970	Tangut [Xixia]	ɣjɨ̣	ɣjɨ̣	ore	ore				0015	0			
468041	1970	Tangut [Xixia]	tjɨ̣j	tjɨ̣j	grade	grade				0016	0			
468042	1970	Tangut [Xixia]	thjwu	thjwu	catch an illness	catch an illness			6.21	0018	0			
468043	1970	Tangut [Xixia]	ber	ber	meet	meet			6.2	0019	0			
468044	1970	Tangut [Xixia]	tśja	tśja	road, way	road, way			9.10.1	0020	0			
468045	1970	Tangut [Xixia]	bju	bju	elephant	elephant			2.2.1	0021	0			
468046	1970	Tangut [Xixia]	bə	bə	resource	resource			8.1	0022	0			
468047	1970	Tangut [Xixia]	rjor	rjor	get, gain	get, gain			1.1.5	0023	0			
468048	1970	Tangut [Xixia]	phjij	phjij	peddle	peddle				0024	0			
468049	1970	Tangut [Xixia]	khie̱	khie̱	disorder	disorder			9.6.2	0025	0			
468050	1970	Tangut [Xixia]	ŋwu	ŋwu	neck, territory	neck, territory			1.4.2	0026	0			
468051	1970	Tangut [Xixia]	ŋowr	ŋowr	every	every			9.9	0027	0			
468052	1970	Tangut [Xixia]	lhju̱	lhju̱	swelling	swelling			1.1.5.2	0028	0			
468053	1970	Tangut [Xixia]	rer	rer	market	market			9.10.6	0029	0			
468054	1970	Tangut [Xixia]	sa	sa	suck	suck			1.3.2.1	0030	0			
468055	1970	Tangut [Xixia]	dzjwɨ	dzjwɨ	instigate	instigate				0031	0			
468056	1970	Tangut [Xixia]	tshjị	tshjị	way	way			9.2.8	0033	0			
468057	1970	Tangut [Xixia]	low	low	wide	wide			9.7.2	0034	0			
468058	1970	Tangut [Xixia]	zar	zar	betrothal gifts	betrothal gifts			5.8	0035	0			
468059	1970	Tangut [Xixia]	gu̱	gu̱	five	five			9.9	0036	0			
468060	1970	Tangut [Xixia]	śio	śio	mating	mating			1.9.1.1	0038	0			
468061	1970	Tangut [Xixia]	kowr	kowr	tooth	tooth			1.3.4	0039	0			
468062	1970	Tangut [Xixia]	·wej (wej)	·wej (wej)	store	store			9.10.6	0040	0			
468063	1970	Tangut [Xixia]	dziow (dźiow)	dziow (dźiow)	scheme	scheme			8.3.1.13.2	0041	0			
468064	1970	Tangut [Xixia]	khji	khji	open, shine upon (of the sun)	open, shine upon (of the sun)			6.2.2.6.1	0042	0			
468065	1970	Tangut [Xixia]	ŋwu	ŋwu	few, very few	few, very few			9.9	0044	0			
468066	1970	Tangut [Xixia]	zar	zar	hot (spicy), bitter	hot (spicy), bitter			7.1.4.4	0045	0			
468067	1970	Tangut [Xixia]	ljij	ljij	see	see			1.2.6.10	0046	0			
468068	1970	Tangut [Xixia]	ljwụ	ljwụ	creep	creep			6.7.9	0047	0			
468069	1970	Tangut [Xixia]	thjwu	thjwu	end	end			9.5	0048	0			
468070	1970	Tangut [Xixia]	nji̱	nji̱	marry	marry			6.19	0050	0			
468071	1970	Tangut [Xixia]	tha̱r	tha̱r	obvious	obvious				0051	0			
468072	1970	Tangut [Xixia]	njọ	njọ	milk	milk				0053	0			
468073	1970	Tangut [Xixia]	tswa	tswa	hair worn in a bun or coil	hair worn in a bun or coil			1.2.3	0054	0			
468074	1970	Tangut [Xixia]	tśjiw	tśjiw	top	top			1.2.1.3	0055	0			
468075	1970	Tangut [Xixia]	rjijr	rjijr	nearness, side	nearness, side			9.2.3	0056	0			
468076	1970	Tangut [Xixia]	kjir	kjir	observe	observe			1.2.6.11	0058	0			
468077	1970	Tangut [Xixia]	lhejr	lhejr	promise	promise			8.5.16	0059	0			
468078	1970	Tangut [Xixia]	dow	dow	street, marketplace	street, marketplace			9.10.1	0060	0			
468079	1970	Tangut [Xixia]	rjor	rjor	cover	cover			5.8	0062	0			
468080	1970	Tangut [Xixia]	tśhjij	tśhjij	raise	raise			6.7.7	0063	0			
468081	1970	Tangut [Xixia]	gjwɨr	gjwɨr	back	back			1.4.8	0065	0			
468082	1970	Tangut [Xixia]	kiej	kiej	ankle, heel	ankle, heel			1.5.8.2	0066	0			
468083	1970	Tangut [Xixia]	ljij	ljij	shelter	shelter			5.11.9.1	0067	0			
468084	1970	Tangut [Xixia]	śjow	śjow	Buddhist monk	Buddhist monk			5.8.2.3	0068	0			
468085	1970	Tangut [Xixia]	lọ	lọ	rely on	rely on			6.2	0069	0			
468086	1970	Tangut [Xixia]	thjwɨ	thjwɨ	meet, infect	meet, infect			6.2	0070	0			
468087	1970	Tangut [Xixia]	dźjwij	dźjwij	summer	summer			3.2.1	0071	0			
468088	1970	Tangut [Xixia]	wow	wow	hope	hope			8.3.1.7.1	0072	0			
468089	1970	Tangut [Xixia]	tśjɨ̣	tśjɨ̣	branch, fork	branch, fork			1.5.3.1	0073	0			
468090	1970	Tangut [Xixia]	khwə	khwə	half	half			9.8	0074	0			
468091	1970	Tangut [Xixia]	dji̱j	dji̱j	ache	ache			1.1.5.1	0077	0			
468092	1970	Tangut [Xixia]	tjị	tjị	offer a sacrifice to	offer a sacrifice to			8.5.11	0078	0			
468093	1970	Tangut [Xixia]	phio	phio	snake	snake			2.1.6.1	0080	0			2623
468094	1970	Tangut [Xixia]	phə̱	phə̱	detest, hate	detest, hate			8.3.1.1.2	0082	0			
468095	1970	Tangut [Xixia]	·we (we)	·we (we)	dragon; Earthly Branch (辰); flood dragon	dragon; Earthly Branch (辰); flood dragon			2.1.5	0083	0			
468096	1970	Tangut [Xixia]	phə̱	phə̱	integrate, unite	integrate, unite			6.13.5	0084	0			
468097	1970	Tangut [Xixia]	le	le	peacock	peacock			2.2.4.1	0085	0			
468098	1970	Tangut [Xixia]	śjwow	śjwow	patrol	patrol				0086	0			
468099	1970	Tangut [Xixia]	tsow	tsow	incomplete	incomplete			9.5	0087	0			
468100	1970	Tangut [Xixia]	tew	tew	ovum	ovum				0088	0			
468101	1970	Tangut [Xixia]	tśhja̱	tśhja̱	upper	upper			9.2.1	0089	0			
468102	1970	Tangut [Xixia]	wor	wor	chicken	chicken			2.1.10	0090	0			1603
468103	1970	Tangut [Xixia]	thew	thew	meet	meet			6.2	0091	0			
468104	1970	Tangut [Xixia]	mja	mja	ma, mother	ma, mother			4.7.1	0092	0			
468105	1970	Tangut [Xixia]	tjọ	tjọ	pray	pray			5.8.3.1	0093	0			
468106	1970	Tangut [Xixia]	śjwo	śjwo	sweep	sweep			6.2.2.5.3	0094	0			
468107	1970	Tangut [Xixia]	tśhja̱	tśhja̱	licentious	licentious				0095	0			
468108	1970	Tangut [Xixia]	mjij	mjij	braise	braise				0096	0			
468109	1970	Tangut [Xixia]	dji̱j	dji̱j	stratagem	stratagem				0097	0			
468110	1970	Tangut [Xixia]	rjor	rjor	get	get			1.1.5	0098	0			
468111	1970	Tangut [Xixia]	thjwɨ	thjwɨ	finish	finish			9.5	0099	0			
468112	1970	Tangut [Xixia]	lew	lew	one	one			9.9	0100	0			
468113	1970	Tangut [Xixia]	tśhja̱	tśhja̱	strong	strong			9.6.1.1	0101	0			
468114	1970	Tangut [Xixia]	gjɨ	gjɨ	night	night			9.1.4	0102	0			
468115	1970	Tangut [Xixia]	ljụ	ljụ	steamed bread	steamed bread			6.6	0103	0			
468116	1970	Tangut [Xixia]	tśhja̱	tśhja̱	gather	gather			6.13.5	0104	0			
468117	1970	Tangut [Xixia]	kjụ	kjụ	pray	pray			5.8.3.1	0105	0			
468118	1970	Tangut [Xixia]	śio̱w	śio̱w	millet, paddy	millet, paddy			1.5.3.2	0106	0			
468119	1970	Tangut [Xixia]	śiə	śiə	dawn, daybreak	dawn, daybreak			9.1.4	0107	0			
468120	1970	Tangut [Xixia]	gjɨ̣	gjɨ̣	star	star			3.2.2	0108	0			
468121	1970	Tangut [Xixia]	gjịj	gjịj	constellation [see this entry for a list of Tangut planet/star and Lunar Mansion names]	constellation [see this entry for a list of Tangut planet/star and Lunar Mansion names]			3.2.2	0109	0			
468122	1970	Tangut [Xixia]	mej	mej	warm	warm			7.1.2.3	0110	0			
468123	1970	Tangut [Xixia]	ljɨ	ljɨ	creep	creep			6.7.9	0111	0			
468124	1970	Tangut [Xixia]	lẹ	lẹ	basin	basin			5.1	0112	0			
468125	1970	Tangut [Xixia]	śjɨj	śjɨj	accomplish	accomplish				0113	0			
468126	1970	Tangut [Xixia]	dźjwij	dźjwij	spring (season)	spring (season)			6.7.9	0114	0			
468127	1970	Tangut [Xixia]	low	low	heat	heat			9.6.2	0115	0			
