rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
47624	880	Lalung [Tiwa]	anthu	anthu	knee	knee		1.5.8.4	2	0		
47625	880	Lalung [Tiwa]	a◦san◦di	a◦san◦di	hip	hip		1.4.9.2	3	0		p,222,m
47626	880	Lalung [Tiwa]	chawa	chawa	masticate / chew	masticate / chew		1.3.4.5	6	0		
47627	880	Lalung [Tiwa]	chora	chora	joint	joint		1.5.8	9	0		b?
47628	880	Lalung [Tiwa]	chu◦ju	chu◦ju	breast	breast		1.4.4.3	9	0		5539,5539
47629	880	Lalung [Tiwa]	chu◦ju cha◦na	chu◦ju cha◦na	suck breast	suck breast	v.	1.3.2.1	9	0		5539,5539,m,m
47630	880	Lalung [Tiwa]	chu◦ma	chu◦ma	kiss	kiss	n.	1.3.2.2	9	0		5539,s
47631	880	Lalung [Tiwa]	chu◦ma cha◦na	chu◦ma cha◦na	kiss	kiss	v.	1.3.2.2	9	0		5539,s,m,m
47632	880	Lalung [Tiwa]	kaha	kaha	wound	wound	n.	1.8.6.2	10	0		
47633	880	Lalung [Tiwa]	khaʔ	khaʔ	heart / chest	heart / chest		1.7.1	11	0		229
47634	880	Lalung [Tiwa]	khabalʔ	khabalʔ	head	head		1.2.1	11	0		1241
47635	880	Lalung [Tiwa]	kha◦bri	kha◦bri	spleen	spleen		1.7.4	11	0		229,91
47636	880	Lalung [Tiwa]	khan◦galʔ	khan◦galʔ	waist	waist		1.4.6	12	0		219,201
47637	880	Lalung [Tiwa]	khala	khala	deaf	deaf		1.2.7.5	12	0		m
47638	880	Lalung [Tiwa]	kha mi◦har	kha mi◦har	rib	rib		1.4.4.3	12	0		310,m,b
47639	880	Lalung [Tiwa]	kha◦mon	kha◦mon	heart	heart		1.7.1	12	0		m,1392
47640	880	Lalung [Tiwa]	khandasi	khandasi	temples (of face)	temples (of face)		1.2.5.1	12	0		
47641	880	Lalung [Tiwa]	khan◦jur	khan◦jur	ear	ear		1.2.7	13	0		3558,2082
47642	880	Lalung [Tiwa]	khana	khana	blind	blind		1.2.6.14.2	13	0		1407
47643	880	Lalung [Tiwa]	kheʔ	kheʔ	stool / dung	stool / dung		5.11.9.4	13	0		
47644	880	Lalung [Tiwa]	khe◦lang ha◦ta	khe◦lang ha◦ta	hip	hip		1.4.9.2	14	0		m,408,214,406
47645	880	Lalung [Tiwa]	khe◦lang kat	khelang kat	anus	anus		1.4.10.2	14	0		m,408,m
47646	880	Lalung [Tiwa]	khi◦ni	khi◦ni	hair	hair		1.2.3	14	0		m,368
47647	880	Lalung [Tiwa]	khirkundi	khirkundi	elbow	elbow		1.5.8.3	14	0		
47648	880	Lalung [Tiwa]	khin◦di	khin◦di	clitoris	clitoris			14	0		m,1352
47649	880	Lalung [Tiwa]	khongʔ	khongʔ	skin	skin		1.6.5	15	0		780
47650	880	Lalung [Tiwa]	kho·law	kho·law|	skull	skull		1.2.1.1	15	0		1221
47651	880	Lalung [Tiwa]	kho◦re	kho◦re	lap / side	lap / side		1.4.4.2	16	0		2326,m
47652	880	Lalung [Tiwa]	khuʔ	khuʔ	mouth	mouth		1.3.1	17	0		468
47653	880	Lalung [Tiwa]	khu◦ur	khu◦ur	mouth	mouth		1.3.1	18	0		468,452
47654	880	Lalung [Tiwa]	khu◦mul	khu◦mul	hair / fur	hair / fur		1.2.3	18	0		m,363
47655	880	Lalung [Tiwa]	khu◦smangʔ	khu◦smangʔ	moustache	moustache		1.2.5.5	19	0		468,1114
47656	880	Lalung [Tiwa]	ki◦la	ki◦la	nipple	nipple			19	0		
47657	880	Lalung [Tiwa]	ko◦doʔ	ko◦doʔ	neck	neck		1.4.2	20	0		p,359
