rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
127447	1290	Côông [Phunoi]	lãkhu⁵⁵	lã◦khu⁵⁵	back	back			1.4.8	1.4	0			6417
127448	1290	Côông [Phunoi]	bᵊkha sə⁵⁵	bᵊkha sə⁵⁵	front	front			1.4.4	1.5	0			m,m
127449	1290	Côông [Phunoi]	lᵊpu³¹  lᵊkhɨ³¹	lᵊpu³¹  lᵊkhɨ³¹	limbs / arms and legs	limbs  /  arms and legs			1.5.3.1	1.7	0	jbl3		
127450	1290	Côông [Phunoi]	ã◦yã⁵⁵	ãyã⁵⁵	bosom	bosom			1.4.4.2	1.9	0			5450,m
127452	1290	Côông [Phunoi]	ã◦pũ⁵⁵ co◦ca³¹	ã◦pũ⁵⁵ co◦ca³¹	groin / loins / hips	groin  /  loins  / hips			1.4.9	1.10	0	jbl3	D1	5450,404,m,m
127453	1290	Côông [Phunoi]	sã⁵⁵ sɨ⁵⁵	sã⁵⁵ sɨ⁵⁵	corpse / dead body	corpse  /  dead body			1.1.6.1	1.14	0	jbl3		m,27
127454	1290	Côông [Phunoi]	ã◦tu³¹ tatan⁵⁵	ãtu³¹ tatan⁵⁵	top of head / crown / pate	top of head  /  crown  /  pate			1.2.1.2	2.2	0	jbl3		5450,m,m
127455	1290	Côông [Phunoi]	ã◦tu³¹ pᵊpən ya	ã◦tu³¹ pᵊpən ya	fontanel (soft spot in a baby's skull).	fontanel (soft spot in a baby's skull).			1.2.1.3	2.3	0			5450,1223,m,m
127456	1290	Côông [Phunoi]	sam khɨ̃⁵⁵ ã◦lin³¹	sam khɨ̃⁵⁵ ã◦lin³¹	scalp	scalp			1.2.1.5	2.8	0			m,m,p,m
127457	1290	Côông [Phunoi]	(hja)◦tu bot⁵⁵	(hja)◦tu bot⁵⁵	comb (of rooster)	comb (of rooster)			1.2.2.1	2.9	0			1606,m,m
127458	1290	Côông [Phunoi]	ã bja³¹	ã bja³¹	eye	eye			1.2.6	3.4	0			5450,681
127459	1290	Côông [Phunoi]	ã◦bja³¹ da⁵⁵	ã◦bja³¹ da⁵⁵	pupil	pupil			1.2.6.2	3.4.2.2	0			5450,681,m
127460	1290	Côông [Phunoi]	a◦bja³¹ po	a◦bja³¹ po	blind	blind			1.2.6.14.2	3.4.10	0			m,681,m
127461	1290	Côông [Phunoi]	lə◦kã⁵⁵ thũ⁵⁵	lə◦kã⁵⁵ thũ⁵⁵	nostril	nostril			1.2.8.1	3.5.2	0			p,809,808
127462	1290	Côông [Phunoi]	ləkã⁵⁵ hmut³¹	ləkã⁵⁵ hmut³¹	nose hair	nose hair			1.2.8	3.5.4	0			m,1429
127463	1290	Côông [Phunoi]	va³¹ ban³¹ põ ãflə⁵⁵	va³¹ ban³¹ põ ãflə⁵⁵	snout (pig)	snout (pig)			1.2.8	3.5.5	0			1006,453,m,m
127464	1290	Côông [Phunoi]	hnap³¹ thĩ³¹	hnap³¹ thĩ³¹	solid mucus	solid mucus			1.1.5	3.5.7	0			805,m
127465	1290	Côông [Phunoi]	hnam	hnam	smell  /  sniff	smell  /  sniff (v.)	v		1.2.8.5	3.5.9	0	dwb21		1415
127466	1290	Côông [Phunoi]	ã◦hnã³¹ ləpen	ã◦hnã³¹ ləpen	earlobe	earlobe			1.2.7.1	3.6.1	0			5450,811,818
127467	1290	Côông [Phunoi]	kə◦lin⁵⁵	kə◦lin⁵⁵	gums	gums			1.3.4.3	3.7.3	0			1723,504
127468	1290	Côông [Phunoi]	pĩ vja	pĩ vja	full / be satiated	full  /  be satiated			1.1.3.2	3.7.10	0	jbl3		111,1833
127469	1290	Côông [Phunoi]	ce³¹ ʔemthop³¹	ce³¹ ʔemthop³¹	stutter / stammer	stutter  /  stammer			8.5.4.5	3.8.2	0	jbl3		
127470	1290	Côông [Phunoi]	lᵊka⁵⁵	lᵊka⁵⁵	mute / dumb	mute  /  dumb			1.5.3.2	3.8.3	0	jbl3		1752
127471	1290	Côông [Phunoi]	hija ban põ³¹	hija ban põ³¹	beak / bill	beak / bill			1.3.1.2	3.9.3	0			3442,453,476
127472	1290	Côông [Phunoi]	si◦ɲi	si◦ɲi	tooth (incisor)	tooth (incisor)			1.3.4	3.10.1	0			632,m
127473	1290	Côông [Phunoi]	sa◦ba tõ³¹ sum	sa◦ba tõ³¹ sum	molar	molar			1.3.4.2	3.10.2	0			m,m,3316,m
127474	1290	Côông [Phunoi]	si◦ɲe	si◦ɲe	eyetooth / canine tooth / fang	eyetooth  /  canine tooth  /  fang			1.3.4.1	3.10.3	0	jbl3		m,m
127475	1290	Côông [Phunoi]	jᵊ◦ba sə◦cɨ⁵⁵	jᵊba sə◦cɨ⁵⁵	tusk (of elephant, boar)	tusk (of elephant, boar)			1.3.4.1	3.10.6	0			3317,m,m,632
127476	1290	Côông [Phunoi]	ban³¹ pi⁵⁵ tũ³¹ jao	ban³¹ pi⁵⁵ tũ³¹ jao	jaw	jaw			1.2.5.2	3.13	0			m,271,280,m
127477	1290	Côông [Phunoi]	li³⁵ kho³⁵ tõ³¹ phan	li³⁵ kho³⁵ tõ³¹ phan	neck / throat	neck  /  throat			1.4.2	4	0	jbl3		479,3361,822,m
127478	1290	Côông [Phunoi]	li³⁵ khũ tõ³¹ phan	li³⁵ khũ tõ³¹ phan	neck / throat	neck  /  throat			1.4.2	4	0	jbl3		479,3361,822,m
127479	1290	Côông [Phunoi]	li³⁵ kho³⁵	li³⁵ kho³⁵	esophagus	esophagus			1.3.5.5	4.2.2	0			
127480	1290	Côông [Phunoi]	non (ɲi)	non (ɲi)	swallow	swallow (v.)	v		1.3.5.6	4.2.3	0	dwb21		
127481	1290	Côông [Phunoi]	ã◦jã⁵⁵ jao	ã◦jã⁵⁵ jao	rib cage	rib cage			1.4.4.3	5.1.1	0			5450,288,232
127482	1290	Côông [Phunoi]	pu³¹ hum³¹ jao	pu³¹ hum³¹ jao	collar bone / clavicle	collar bone  /  clavicle			1.4.3.1	5.2	0	jbl3		
127483	1290	Côông [Phunoi]	pu³¹ hum³¹ ʔedu	pu³¹ hum³¹ ʔedu	shrug shoulders	shrug shoulders (v.)	v		1.4.3.3	5.3.2	0	dwb21		
127484	1290	Côông [Phunoi]	lõ si³¹	lõ si³¹	breast	breast			1.4.4.3	5.4	0			3458,1019
127485	1290	Côông [Phunoi]	lõ tu	lõ tu	nipple	nipple				5.4.1	0			m,1223
127486	1290	Côông [Phunoi]	hmjã lõsi³¹	hmjã lõsi³¹	udder (of cow, goat)	udder (of cow, goat)				5.4.2	0			
127487	1290	Côông [Phunoi]	shã lᵊ◦kho ãkhot³¹	shã lᵊ◦kho ãkhot³¹	hunchback	hunchback			1.4.8.3	5.5.6	0			m,m,211,m
127488	1290	Côông [Phunoi]	ã◦co³¹	ã◦co³¹	waist	waist			1.4.6	5.6	0			5450,215
127489	1290	Côông [Phunoi]	pᵊ◦põ⁵⁵	pᵊpõ⁵⁵	belly / abdomen (outer bulge)	belly  /  abdomen (outer bulge)			1.4.7	5.7	0	jbl3		2103,2111
127490	1290	Côông [Phunoi]	ãɕa³¹	ãɕa³¹	tickle	tickle			1.5.1.2.4	6.1.1.1	0			
127491	1290	Côông [Phunoi]	lᵊ◦ʔum³¹	lᵊ◦ʔum³¹	arm muscles / biceps	arm muscles  /  biceps			1.5.1.2	6.1.3	0	jbl3		695,m
127492	1290	Côông [Phunoi]	lᵊ◦kho⁵⁵	lᵊ◦kho⁵⁵	back of hand	back of hand			1.5.1.1.2	6.1.7.2	0			695,211
127493	1290	Côông [Phunoi]	lᵊ◦va³¹ tᵊphja³¹	lᵊ◦va³¹ tᵊphja³¹	back of hand	back of hand			1.5.1.1.2	6.1.7.2	0			695,m,m
127494	1290	Côông [Phunoi]	jõ te tõ⁵⁵	jõ te tõ⁵⁵	fin (of fish)	fin (of fish)			1.5.1.3.1	6.1.8	0			
127495	1290	Côông [Phunoi]	phᵊva³¹ tha³¹ pja	phᵊva³¹ tha³¹ pja	instep	instep			1.5.2.2	6.2.6.6	0			
127497	1290	Côông [Phunoi]	phia³¹	phia³¹	footprint	footprint			1.5.2.5	6.2.6.7	0		D1	
127498	1290	Côông [Phunoi]	toŋ pe³¹	toŋ pe³¹	limp	limp (v.)	v		1.5.12	6.2.8	0	dwb21		
127499	1290	Côông [Phunoi]	ləkhɨ⁵⁵ ləhɲu⁵⁵	ləkhɨ⁵⁵ ləhɲu⁵⁵	toe	toe			1.5.6	7.2	0			
127500	1290	Côông [Phunoi]	ləkhɨ⁵⁵ ləba³¹	ləkhɨ⁵⁵ ləba³¹	big toe	big toe			1.5.6.1	7.2.1	0			
127501	1290	Côông [Phunoi]	uchua³¹ səphe	uchua³¹ səphe	pincers (eg. of crab)	pincers (eg. of crab)			1.5.10.4	7.4.5	0			
127502	1290	Côông [Phunoi]	ã hmut³¹	ã hmut³¹	body hair	body hair			1.6.1	8.1.3	0			5450,1429
127503	1290	Côông [Phunoi]	hija ã◦tũ⁵⁵	hija ã◦tũ⁵⁵	feather (of bird)	feather (of bird)			1.6.1.1	8.1.5	0			m,m,711
127504	1290	Côông [Phunoi]	mõ³¹ hut lã⁵⁵	mõ³¹ hut lã⁵⁵	sweat / perspiration	sweat  /  perspiration			1.8.1	8.2.1	0	jbl3		619,m,191
127505	1290	Côông [Phunoi]	paɨ⁵⁵ thin	paɨ⁵⁵ thin	scar	scar			1.6.5.3	8.2.3.7	0			
