rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
126152	1455	Tamang (Risiangku)	¹am	¹am	eating	eating	n ?	1.3.5.8	3.7.6	0		
126153	1455	Tamang (Risiangku)	¹u	¹u	head	head	n, hh	1.2.1	2.1	0		385
126154	1455	Tamang (Risiangku)	²ol◦koŋ	²ol◦koŋ	throat	throat	n	1.3.5	4.2.2	0		490,3361
126155	1455	Tamang (Risiangku)	²kaː	²kaː	blood	blood	n	1.6.2	8.7	0		231
126156	1455	Tamang (Risiangku)	²kaː	²kaː	eat	eat	v	1.5.3.2	3.7.6	0		1707
126157	1455	Tamang (Risiangku)	⁴kau	⁴kau	belch	belch	v	1.8.3.4	11.6	0		
126158	1455	Tamang (Risiangku)	¹kaŋ	¹kaŋ	foot, leg	foot, leg	n	1.5.2	6.2, 6.2.6	0		336
126159	1455	Tamang (Risiangku)	¹kaŋ◦tsʰin	¹kaŋ◦tsʰin	toe-nail	toe-nail	n	1.5.10.2	7.4.2	0		336,512
126160	1455	Tamang (Risiangku)	¹kaŋliŋ	¹kaŋliŋ	musical instrument made in a	musical instrument made in a	n df.	5.1	6.2.1.1	0		
126161	1455	Tamang (Risiangku)	³katsʰar	³katsʰar	bristle (of pigs), mane	bristle (of pigs), mane	n	1.6.1.4	8.1.6	0		
126162	1455	Tamang (Risiangku)	¹kam	¹kam	bile	bile	n	1.7.3.1	9.5.1	0		229
126163	1455	Tamang (Risiangku)	²kam	²kam	chin	chin	n	1.2.5.3	3.12	0		630
126164	1455	Tamang (Risiangku)	²kam-siŋ	²kam-siŋ	jaw	jaw	n comp	1.2.5.2	3.13, 3.13	0		630,1112
126165	1455	Tamang (Risiangku)	¹ku	¹ku	statue	statue	n	5.8	5.1	0		
126166	1455	Tamang (Risiangku)	²kutstsja	²kutstsja	limping, handicapped from the	limping, handicapped from the	?adj	1.5.12	6.2.7	0		
126167	1455	Tamang (Risiangku)	³kutsjul	³kutsjul	armpit	armpit	n	1.5.1.2.3	6.1.1	0		
126168	1455	Tamang (Risiangku)	³kutsjul-¹ʈaː	³kutsjul-¹ʈaː	armpit	armpit	n comp	1.5.1.2.3	6.1.1	0		
126169	1455	Tamang (Risiangku)	¹ket	¹ket	right	right	n	1.5.3.2	1.2	0		
126170	1455	Tamang (Risiangku)	⁴kel	⁴kel	limp	limp	v	1.5.12	6.2.8	0		
126171	1455	Tamang (Risiangku)	³ko	³ko	back (body)	back (body)	n	1.4.8	5.5	0		211
126172	1455	Tamang (Risiangku)	³ko◦kʰro	³ko◦kʰro	Adam's apple	Adam's apple	n	1.3.5.4	4.1.4	0		495,488
126173	1455	Tamang (Risiangku)	¹kõtsjol	¹kõtsjol	bacon, slab of fat	bacon, slab of fat	n	2.1.12	8.3	0		
126174	1455	Tamang (Risiangku)	³kor	³kor	round object, unit	round object, unit		9.7.1		0		5748
126175	1455	Tamang (Risiangku)	²miː-la ³kor	²miː-la ³kor	eyeball	eyeball		1.2.6.1	3.4.2	0	D1	682,m,2072
126176	1455	Tamang (Risiangku)	³ko◦siŋma	³ko◦siŋma	middle back	upper back	n	9.2.1	5.5.1	0		211,m
126177	1455	Tamang (Risiangku)	¹kja	¹kja	itch	itch	v	1.6.5.5	8.2.3.10	0		1456
126178	1455	Tamang (Risiangku)	³kjap	³kjap	behind	behind	adv	9.2.8	1.4	0		
126179	1455	Tamang (Risiangku)	¹kraː	¹kra	cry	cry	v	1.8.8.2	3.4.8	0		1103
126180	1455	Tamang (Risiangku)	³kram◦pa	³kram◦pa	cheek	cheek	n	1.2.5.2	3.11	0		262,s
126181	1455	Tamang (Risiangku)	³kram◦pa-¹ru	³kram◦pa-¹ru	cheekbone	cheekbone	n	1.2.5.2	3.11.1	0	D1	262,s,232
126182	1455	Tamang (Risiangku)	³kram◦pa-¹sua	³kram◦pa-¹sua	molar	molar	n, np	1.3.4.2	3.10.2	0		262,s,632
126183	1455	Tamang (Risiangku)	¹kra-sja	¹kra-sja	brain	brain	n	1.2.4	2.5, 9.1	0		367,464
126184	1455	Tamang (Risiangku)	¹kru	¹kru	cubit	cubit	n	1.5.9.3	13.3	0		307
126185	1455	Tamang (Risiangku)	³kruŋ	³kruŋ	guts	guts	n	1.7.7	9.4, 9.11	0		m
126186	1455	Tamang (Risiangku)	0krup◦krup	0krup◦krup	shoulder blade, scapula	shoulder blade, scapula	n	1.4.3.2	5.3.1	0		
126187	1455	Tamang (Risiangku)	¹kli	¹kli	feces	feces	n	1.8.5	9.12.1	0		572
126188	1455	Tamang (Risiangku)	¹kli-⁴kal	¹kli-⁴kal	anus	anus	n	1.4.10.2	9.12	0		572,201
126189	1455	Tamang (Risiangku)	³kloŋ	³kloŋ	swallow	swallow	v	1.3.5.6	4.2.3	0		1770
126190	1455	Tamang (Risiangku)	⁴klo◦pu	⁴klo◦pu	lung	lung	n	1.7.2	9.2	0		2121,m
126191	1455	Tamang (Risiangku)	⁴klop-¹sja	⁴klop-¹sja	lung	lung	n	1.7.2	9.2	0		2121,32
126192	1455	Tamang (Risiangku)	²kʰairo	²kʰairo	kidney	kidney	n	1.7.5	9.6	0		m
126193	1455	Tamang (Risiangku)	¹kʰakle	¹kʰakle	stutterer	stutterer		8.5.4.5	3.8.2	0		
126194	1455	Tamang (Risiangku)	¹kʰaː◦re	¹kʰaː◦re	neck	neck	n	1.4.2	4.1	0		494,5650
126195	1455	Tamang (Risiangku)	²kʰok◦to	²kʰokto	knee	knee	n	1.5.8.4	6.2.2	0		1251,m
126196	1455	Tamang (Risiangku)	¹kʰoː◦pa	¹kʰoː◦pa	heart (locus of feelings)	heart (locus of feelings)	n	1.7.1	14.2, 14.3	0		665,m
126197	1455	Tamang (Risiangku)	¹kʰora	¹kʰora	lame	lame	n	1.5.12	6.2.7	0		
126198	1455	Tamang (Risiangku)	²kʰolʈo	²kʰolʈo	ankle	ankle	n	1.5.8.2	6.2.5	0		
126199	1455	Tamang (Risiangku)	¹kʰrap	¹kʰrap	bite	bite	v	1.3.4.4	3.10.7	0		1763
126200	1455	Tamang (Risiangku)	¹kʰren	¹kʰren	hungry	hungry	be v.	1.1.3	3.7.9	0		106
126201	1455	Tamang (Risiangku)	³ŋil	³ŋil	gums, palate	gums, palate	n	1.3.4.3	3.7.3, 13.	0		504
126202	1455	Tamang (Risiangku)	⁴ŋu	⁴ŋu	sleep, lie	sleep, lie	v	1.1.4.1	1.16, 12.3	0		129
126203	1455	Tamang (Risiangku)	¹ŋoː	¹ŋoː	tease, tickle	tease, tickle	v	6.19	6.1.1.1	0		
126204	1455	Tamang (Risiangku)	³ŋo	³ŋo	forehead	forehead	n	1.2.5.1	3.2	0		356
126205	1455	Tamang (Risiangku)	¹ŋon	¹ŋon	in front of	in front of	n	10.1.1	1.5	0		1192
126206	1455	Tamang (Risiangku)	⁴ŋor	⁴ŋor	snoring	snoring	n	1.8.2.2	11.4	0		
126207	1455	Tamang (Risiangku)	¹ŋja	¹ŋja	semen	semen	n		10.3.7	0		1627
126208	1455	Tamang (Risiangku)	¹ŋjat	¹ŋjat	chew	chew	v	1.3.4	3.10.8	0		1761
126209	1455	Tamang (Risiangku)	¹ŋjan	¹ŋjan	listen	listen	v	1.2.7.4	3.6.7	0		1410
126210	1455	Tamang (Risiangku)	¹ŋjal	¹ŋjal	ruminate, chew cud	ruminate, chew cud	v	8.3.1.13.1	3.10.8	0		
126211	1455	Tamang (Risiangku)	¹tsa	¹tsa	eat	eat	v	1.5.3.2	3.7.6	0		36
126212	1455	Tamang (Risiangku)	³tsaː	³tsaː	defecate	defecate	v	1.8.5.4	9.12.3, 11	0		
126213	1455	Tamang (Risiangku)	³tsiː	³tsiː	joint	joint	n	1.5.8	7.3,8.9	0		418
126214	1455	Tamang (Risiangku)	⁴tsup	⁴tsup	topknot, top of the head	topknot, top of the head	n	1.2.3.2	2.2, 8.1.1	0		
126215	1455	Tamang (Risiangku)	³tseː	³tseː	footprint, track	footprint, track	n	1.5.2.5	7.1.6 (fin	0		
126216	1455	Tamang (Risiangku)	¹tsjaː	¹tsjaː	look	look	v	1.2.6.11	3.4.9	0		m
126217	1455	Tamang (Risiangku)	¹tsjaŋ	¹tsjaŋ	vein, blood vessel, nerve, lig	vein, blood vessel, nerve, lig		1.6.2.1	8.7.1, 8.6	0		536
126218	1455	Tamang (Risiangku)	²tsjam	²tsjam	urine	urine	n	1.8.4	9.7.1	0		654
126219	1455	Tamang (Risiangku)	³tsju	³tsju	body	body	n	1.1.1	1.1	0		15
126220	1455	Tamang (Risiangku)	¹tsjukur	¹tsjukur	winkles	winkles	n	2.2.5	8.2.3.8	0		
