rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
495922	1980	Gazhuo	sɛ³³tsɿ³¹	sɛ³³tsɿ³¹	body	body		1.1.1		0		
495923	1980	Gazhuo	ti³¹mi³²³si³³	ti³¹mi³²³si³³	forehead	forehead		1.2.5.1		0		
495924	1980	Gazhuo	ʑi³¹tsʰɿ³³kʰv³³	ʑi³¹tsʰɿ³³kʰv³³	hair (of head)	hair (of head)		1.2.3		0		
495925	1980	Gazhuo	pɤ³²³pʰi³²³	pɤ³²³pʰi³²³	dandruff	dandruff		1.2.1.5		0		
495926	1980	Gazhuo	ʑi³¹tsʰɿ³³tʰi³¹	ʑi³¹tsʰɿ³³tʰi³¹	queue (braid)	queue (braid)		1.2.3.2		0		
495927	1980	Gazhuo	tsʰo³³ȵɑ⁵⁵kʰɤ³³	tsʰo³³ȵɑ⁵⁵kʰɤ³³	face	face		1.2.5		0		
495928	1980	Gazhuo	sɛ³³to³³	sɛ³³to³³	cheek	cheek		1.2.5.2		0		
495929	1980	Gazhuo	sɛ³³tuɑ³³	sɛ³³tuɑ³³	cheekbone	cheekbone		1.2.5.2		0		
495930	1980	Gazhuo	ȵɑ⁵³tsɛ²⁴	ȵɑ⁵³tsɛ²⁴	eye	eye 		1.2.6		0		681,m
495931	1980	Gazhuo	tsʰo³³pʰɑ³¹zɑ³¹	tsʰo³³pʰɑ³¹zɑ³¹	pupil	pupil		1.2.6.2		0		
495932	1980	Gazhuo	ȵɑ⁵³kɯ²⁴lo⁵¹	ȵɑ⁵³kɯ²⁴lo⁵¹	corner of eye, canthus	corner of eye, canthus		5.11.9.3		0		681,m,m
495933	1980	Gazhuo	nɑ²⁴kʰv³³tso⁵⁵tsʰi⁵⁵kɤ²⁴	nɑ²⁴kʰv³³tso⁵⁵tsʰi⁵⁵kɤ²⁴	bridge of nose	bridge of nose		9.10.2		0		803,809,m,m,m
495934	1980	Gazhuo	nɑ²⁴kʰv³³to²⁴to²⁴	nɑ²⁴kʰv³³to²⁴to²⁴	nostril	nostril		1.2.8.1		0		
495935	1980	Gazhuo	ȵɑ⁵³mo²⁴	ȵɑ⁵³mo²⁴	eyelash	eyelash		1.2.6.5		0		681,363
