rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
132111	1493	Tangut [Xixia]	lhi̯we	lhi̯we	anklebone	anklebone		1.5.8.2		0		
132112	1493	Tangut [Xixia]	z̀wọ	z̀wọ	artery	artery		1.6.2.1		0		530
132113	1493	Tangut [Xixia]	no²	no²	back	back		1.4.8		0		203
132114	1493	Tangut [Xixia]	ngɪ̯ə̣²	ngɪ̯ə̣²	back	back		1.4.8		0		205
132115	1493	Tangut [Xixia]	ngwi²	ngwi²	back of head	back of head		1.2.1		0		
132116	1493	Tangut [Xixia]	mə̣¹	mə̣¹	beak / bill	beak / bill		1.3.1.2		0		467
132117	1493	Tangut [Xixia]	mɪ̯ạ¹	mɪ̯ạ¹	beard	beard		1.2.5.5		0		1114
132118	1493	Tangut [Xixia]	wẹi¹	wẹi¹	belly	belly		1.4.7		0		m
132119	1493	Tangut [Xixia]	mba²	mba²	belly	belly		1.4.7		0		m
132120	1493	Tangut [Xixia]	ma¹	ma¹	thumb ?	thumb ?		1.5.6.1		0		
132121	1493	Tangut [Xixia]	tɪ̯ə̣¹	tɪ̯ə̣¹	bill	bill		1.3.1.2		0		2095
132122	1493	Tangut [Xixia]	si̯◦wo²	si̯◦wo²	bladder	bladder		1.7.8		0		650,m
132123	1493	Tangut [Xixia]	rạ²	rạ²	blister	blister		1.6.5.3		0		
132124	1493	Tangut [Xixia]	sɪn¹	sɪn¹	blood	blood		1.6.2		0		m
132125	1493	Tangut [Xixia]	lɪ̯wụ²	lɪ̯wụ²	body	body		1.1.1		0		1801
132126	1493	Tangut [Xixia]	ngi̯ụ²	ngi̯ụ²	body	body		1.1.1		0		25
132127	1493	Tangut [Xixia]	kon¹	kon¹	body	body		1.1.1		0		1
132128	1493	Tangut [Xixia]	rɪ̯ə̣¹	rɪ̯ə̣¹	bone	bone		1.6.3		0		232
132129	1493	Tangut [Xixia]	phon¹	phon¹	bosom	bosom		1.4.4.2		0		404
132130	1493	Tangut [Xixia]	no²	no²	brain	brain		1.2.4		0		243
132131	1493	Tangut [Xixia]	lɪ̯wụ²	lɪ̯wụ²	brain	brain		1.2.4		0		m
132132	1493	Tangut [Xixia]	neɯ¹	neɯ¹	breast	breast		1.4.4.3		0		253
132133	1493	Tangut [Xixia]	xi̯ou²	xi̯ou²	breast	breast		1.4.4.3		0		
132134	1493	Tangut [Xixia]	nẹ²	nẹ²	breast	breast		1.4.4.3		0		254
132135	1493	Tangut [Xixia]	·ẹi	·ẹi	breath	breath		1.1.2.2		0		m
132136	1493	Tangut [Xixia]	mɪ²	mɪ²	cheekbone	cheekbone		1.2.5.2		0		1187
132137	1493	Tangut [Xixia]	mbɑ̂²	mbɑ̂²	copulate	copulate		1.9.1.1		0		1359
132138	1493	Tangut [Xixia]	tsụ²	tsụ²	cough	cough		1.8.3.3		0		
132139	1493	Tangut [Xixia]	śi̯we¹	śi̯we¹	dental	dental		1.3.4		0		
132140	1493	Tangut [Xixia]	·ọ²	·ọ²	dumb / mute	dumb / mute		8.5.4.4		0		1752
132141	1493	Tangut [Xixia]	pew¹ ~ peu¹	pew¹ ~ peu¹	dung	dung		1.8.5		0		
132142	1493	Tangut [Xixia]	ri̯ẹ	ri̯ẹ	dung	dung		1.8.5		0		
132143	1493	Tangut [Xixia]	ldi̯ə¹	ldi̯ə¹	dung	dung		1.8.5		0		
132144	1493	Tangut [Xixia]	vi̯ẹ¹	vi̯ẹ¹	dung	dung		1.8.5		0		
132145	1493	Tangut [Xixia]	tswə̣¹	tswə̣¹	dung	dung		1.8.5		0		
132146	1493	Tangut [Xixia]	tẹi¹	tẹi¹	dung	dung		1.8.5		0		
132147	1493	Tangut [Xixia]	tsọ¹	tsọ¹	dung	dung¦		1.8.5		0		
132148	1493	Tangut [Xixia]	ni̯u¹	ni̯u¹	ear	ear		1.2.7		0		811
132149	1493	Tangut [Xixia]	kə²	kə²	ear	ear		1.2.7		0		817
132150	1493	Tangut [Xixia]	tshân²	tshân²	egg	egg				0		
132151	1493	Tangut [Xixia]	ni̯e²	ni̯e²	excrement	excrement		1.8.5		0		2520
