rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
48348	660	Idu	aɲa-me	aɲa-me	family	family		4.7.5		0		
48349	660	Idu	eba	eba	clan	clan		4.4.2		0		
48350	660	Idu	kera-a	kera-a	tribe	tribe		4.4.2		0		
48351	660	Idu	mosã-a	mosã-a	Abor	Abor				0		
48352	660	Idu	keba-a	keba-a	Digaru, Miju	Digaru, Miju		4.6		0		
48353	660	Idu	at-ĩ kʰepa	at-ĩ kʰepa	co-villager	co-villager		4.4.2		0		
48354	660	Idu	at-u wui ici	at-u wui ici	neighbour	neighbour		4.4.2		0		
48355	660	Idu	a mau ici	a mau ici	neighbour	neighbour		4.4.2		0		
48356	660	Idu	meya	meya	man	man		1.9.6.1		0		m
48357	660	Idu	yakũ	yakũ	woman	woman		1.9.3		0		m
48358	660	Idu	ici	ici	husband	husband		4.7.4		0	z	
48359	660	Idu	yakũ	yakũ	wife	wife		4.7.4		0		
48360	660	Idu	ya	ya	wife	wife		4.7.4		0		
48361	660	Idu	a meya	a meya	son	son		4.7.3		0		
48362	660	Idu	a-miya	a-miya	daughter	daughter		4.7.3		0		
48363	660	Idu	ayã	ayã	daughter	daughter		4.7.3		0		
48364	660	Idu	na◦ba	na◦ba	father	father		4.7.1		0		x
48365	660	Idu	nani	nani	mother	mother		4.7.1		0		
48366	660	Idu	eme apuya	eme apuya	elder brother	elder brother		4.7.1		0		
48367	660	Idu	atʰi apuya	atʰi apuya	elder sister	elder sister		4.7.1		0		
48368	660	Idu	eme aliya	eme aliya	younger brother	younger brother				0		
48369	660	Idu	atʰi aliya	atʰi aliya	younger sister	younger sister				0		
48370	660	Idu	naba apuya	naba apuya	paternal uncle (elder)	paternal uncle (elder)		4.7.1		0		x
48371	660	Idu	naba aliya	naba aliya	paternal uncle (younger)	paternal uncle (younger)		4.7.1		0		x
48372	660	Idu	naku	naku	maternal uncle	maternal uncle		4.7.1		0		
48373	660	Idu	emo	emo	husband of patern. aunt	husband of patern. aunt		4.7.4		0	z	
48374	660	Idu	nani	nani	aunt	aunt		4.7.1		0		
48375	660	Idu	nat-a	nat-a	grandfather	grandfather		4.7.1		0		
48376	660	Idu	naya	naya	grandmother	grandmother		4.7.1		0		
48377	660	Idu	ai-a	ai-a	grandson	grandson		4.7.3		0		
48378	660	Idu	ai-a-miya	ai-a-miya	granddaughter	granddaughter		4.7.3		0		
48379	660	Idu	a	a	brother's son	brother's son		1.5.3.2		0		
48380	660	Idu	ad-u-meya	ad-u-meya	sister's son	sister's son		4.7.2		0		
48381	660	Idu	a miya	a miya	brother's daughter	brother's daughter		1.5.3.2		0		
48382	660	Idu	ad-u miya	ad-u miya	sister's daughter	sister's daughter		4.7.2		0		
48383	660	Idu	ebra	ebra	father-in-law	father-in-law		4.7.4		0		x
48384	660	Idu	ayu	ayu	mother-in-law	mother-in-law		4.7.4		0		
48385	660	Idu	emo	emo	husband of wife's sister	husband of wife's sister		4.7.4		0	z	
48386	660	Idu	inu	inu	wife's brother	wife's brother		1.5.3.2		0		
48387	660	Idu	emo	emo	sister's husband	sister's husband		4.7.2		0	z	
48388	660	Idu	en-a	en-a	sister-in-law	sister-in-law		4.7.4		0		
48389	660	Idu	be-eya nat-a-naba	be-eya nat-a-naba	ancestor	ancestor				0		
48390	660	Idu	tape higa	tape higa	heir	heir		4.2.8		0		
48391	660	Idu	eba imu ici	eba imu ici	kinsman	kinsman		4.7.5		0		
48392	660	Idu	eba-ya	eba-ya	kinswoman	kinswoman		4.7.5		0		
48393	660	Idu	arõ	arõ	lover	lover		8.3.1.1.1		0		x
48394	660	Idu	a mitu	a mitu	orphan	orphan		4.3		0		
48395	660	Idu	arõ cʰiga	arõ cʰiga	friend	friend		4.4.2		0		
48396	660	Idu	akʰu	akʰu	co-wife	co-wife		4.7.4		0		
48397	660	Idu	meyẽ (meryẽ)	meyẽ (meryẽ)	enemy	enemy		4.2.6		0		
48398	660	Idu	a	a	baby	baby		4.2.11		0		
48399	660	Idu	ama sõ	ama sõ	child	child		1.5.3.2		0		
48400	660	Idu	ataŋ-go masõ	ataŋ-go masõ	boy	boy		1.9.6.1		0		m,m,m
48401	660	Idu	yakũ amasõ	yakũ amasõ	girl	girl		1.9.3		0		m,m
48402	660	Idu	me ara	me ara	young man	young man		7.1.8.3		0		
48403	660	Idu	aru-pi	aru-pi	young woman	young woman		7.1.8.3		0		
48404	660	Idu	muru-pi	muru-pi	young woman	young woman		7.1.8.3		0		
48405	660	Idu	me-ara masõ	me-ara masõ	man (adult)	man (adult)		1.9.6.1		0		m,m,m
48406	660	Idu	ayuza masõ	ayuza masõ	woman (adult)	woman (adult)		1.9.3		0		m,m
48407	660	Idu	meya mici pra	meya mici pra	old man	old man		7.1.8.3		0		
48408	660	Idu	yakũ micipra	yakũ micipra	old woman	old woman		7.1.8.3		0		
48409	660	Idu	ya bi gajimi	ya bi gajimi	bachelor	bachelor		4.2.8		0		
48410	660	Idu	imu me bi lajimi	imu me bi lajimi	unmarried woman	unmarried woman		6.19		0		
48411	660	Idu	aya	aya	maiden	maiden		4.2.8		0		
48412	660	Idu	ya bihiba	ya bihiba	married man	married man		6.19		0		
48413	660	Idu	ici-goba	ici-goba	married woman	married woman		6.19		0		
48414	660	Idu	ya eso me	ya eso me	widow	widow		4.2.8		0		
48415	660	Idu	ici siba	ici siba	widow	widow		4.2.8		0		
48416	660	Idu	ici eso me	ici eso me	widower	widower		4.2.8		0		
48417	660	Idu	ya-siba	ya-siba	widower	widower		4.2.8		0		
48418	660	Idu	ibi ci-lane jiga	ibi ci-lane jiga	engaged	engaged		6.2.2.1		0		
48419	660	Idu	ici awem-ba	ici awem-ba	divorced man	divorced man		6.19		0		
48420	660	Idu	ya awem-ba	ya awem-ba	divorced woman	divorced woman		6.19		0		
48421	660	Idu	imu	imu	man	man		1.9.6.1		0		m
48422	660	Idu	jõ◦tã	jõ◦tã	body	body		1.1.1		0		4,6
48423	660	Idu	i◦kri◦ya	i◦kri◦ya	head	head		1.2.1		0		p,1221,m
48424	660	Idu	tʰrõm-bre	tʰrõm-bre	hair	hair		1.2.3		0		371,s
48425	660	Idu	a◦pra◦ha	a◦pra◦ha	forehead	forehead		1.2.5.1		0		p,392,2027
48426	660	Idu	e◦wẽ◦na	e◦wẽ◦na	face	face		1.2.5		0		p
48427	660	Idu	e◦lõ◦na	e◦lõ◦na	face	face		1.2.5		0		p
48428	660	Idu	e◦ko-be	e◦ko-be	mouth	mouth		1.3.1		0		p,468,2096
48429	660	Idu	e◦lõ-bra	e◦lõ-bra	eye	eye		1.2.6		0		p,1427,m
48430	660	Idu	elõn-dũ	elõn-dũ	pupil	pupil		1.2.6.2		0		m
48431	660	Idu	e◦po◦mo	e◦po◦mo	eyebrow	eyebrow		1.2.6.6		0		p,m,363
48432	660	Idu	a◦ko◦na	a◦ko◦na	ear	ear		1.2.7		0		p,817,811
48433	660	Idu	e◦nam◦bõ	e◦nam◦bõ	nose	nose		1.2.8		0		p,803,806
48434	660	Idu	e◦nam◦bõ-be	e◦nam◦bõ-be	nostril	nostril		1.2.8.1		0		p,803,806,810
48435	660	Idu	enobru	enobru	upper lip	upper lip		9.2.1		0		
48436	660	Idu	a◦ka◦bi	a◦ka◦bi	lower lip	lower lip				0	W	
48437	660	Idu	e◦ro◦mo	e◦ro◦mo	moustache / beard	moustache / beard		1.2.5.5		0		p,1265,363
48438	660	Idu	i◦li◦na	i◦li◦na	tongue	tongue		1.3.3		0		p,621,m
48439	660	Idu	tã◦pra	tã◦pra	tooth	tooth		1.3.4		0		3316,m
48440	660	Idu	tãm◦bro	tãm◦bro	tooth	tooth		1.3.4		0		3316,m
48441	660	Idu	tã-so◦pu	tã-so◦pu	gums	gums		1.3.4.3		0		3316,m,m
48442	660	Idu	ã◦pra	ã◦pra	jaw	jaw		1.2.5.2		0		p,264
48443	660	Idu	e◦ta◦pʰu	e◦ta◦pʰu	chin	chin		1.2.5.3		0		p,286,m
48444	660	Idu	e◦ta◦po	e◦ta◦po	chin	chin		1.2.5.3		0		p,286,m
48445	660	Idu	a-ka	a-ka	palate	palate		1.3.1.1		0		
48446	660	Idu	sem-bra	sem-bra	neck	neck		1.4.2		0		498,484
48447	660	Idu	e◦ro-lõ	e◦ro-lõ	throat	throat		1.3.5		0		p,489,499
48448	660	Idu	si-chi-ga-lo	si-chi-ga-lo	wind-pipe	wind-pipe		1.3.5.2		0		
48449	660	Idu	i◦gu-ha	i◦gu-ha	back	back		1.4.8		0		
48450	660	Idu	i◦sũŋ-gu◦mbõ	i◦sũŋ-gu◦mbõ	backbone	backbone		1.4.8.2		0		p,m,2254,m
48451	660	Idu	i◦li◦pã	i◦li◦pã	shoulder	shoulder		1.4.3		0		p,563,1327
48452	660	Idu	i◦tʰuŋ-gu	i◦tʰuŋ-gu	chest	chest		1.4.4.3		0		p,289,560
48453	660	Idu	sub◦rup◦ra	sub◦rup◦ra	rib	rib		1.4.4.3		0		m,m,237
48454	660	Idu	a◦po◦bra	a◦po◦bra	heart	heart		1.7.1		0		p,m,m
48455	660	Idu	an-a pũ	an-a pũ	lungs	lungs		1.7.2		0		
48456	660	Idu	nu◦pũ	nu◦pũ	breasts	breasts				0		253,3461
48457	660	Idu	a◦kʰo◦mbrõ	a◦kʰo◦mbrõ	arm	arm		1.5.1.2		0		p,m,236
48458	660	Idu	a◦kʰu-pũ	a◦kʰu-pũ	upper arm	upper arm		1.5.1.2.1		0		p,240,236
48459	660	Idu	a◦kʰu sipra	a◦kʰu sipra	lower arm	lower arm				0	W	p,240,m
48460	660	Idu	la◦ru◦mbõ	larumbõ	elbow	elbow		1.5.8.3		0		695,m,1469
48461	660	Idu	azizimu	azizimu	wrist	wrist		1.5.8.1		0		
48462	660	Idu	la◦pũ	la◦pũ	hand	hand		1.5.1.1		0		695,1327
48463	660	Idu	lapũ	lapũ	palm	palm		1.5.5		0		
48464	660	Idu	atosu	atosu	finger	finger		1.5.6		0		
48465	660	Idu	atambõ	atambõ	thumb	thumb		1.5.6.1		0		
48466	660	Idu	bu◦ci◦gã	bu◦ci◦gã	fist	fist		1.5.1.1.1		0		
48467	660	Idu	ahokõ	ahokõ	nail	nail		1.5.10		0		
48468	660	Idu	kʰe-ã◦põ	kʰe-ã◦põ	belly	belly		1.4.7		0		m,p,2111
48469	660	Idu	eha◦pũ	eha◦pũ	abdomen	abdomen		1.4.7		0		m,2111
48470	660	Idu	i◦ci-be	i◦ci-be	navel	navel		1.9.4		0		p,525,m
48471	660	Idu	ya◦pu	ya◦pu	stomach	stomach		1.7.6		0		2119,2111
48472	660	Idu	i◦mihũ	imihũ	liver	liver		1.7.3		0		p,1390
48473	660	Idu	e◦co-bra	e◦co-bra	kidney	kidney		1.7.5		0		m,m,m
48474	660	Idu	a◦tʰu-ku	a◦tʰu-ku	waist	waist		1.4.6		0		p,m,221
48475	660	Idu	i◦pi◦pũ	i◦pi◦pũ	buttocks	buttocks		1.4.10		0		p,400,404
48476	660	Idu	a-õta	a-õta	leg	leg		1.5.7		0		
48477	660	Idu	aŋ-ge-sa	aŋ-ge-sa	leg	leg		1.5.7		0		p,338,m
48478	660	Idu	anu-pũ	anu-pũ	thigh	thigh		1.5.7.1		0		
48479	660	Idu	ambohã	ambohã	knee	knee		1.5.8.4		0		
48480	660	Idu	brokʰri	brokʰri	ankle	ankle		1.5.8.2		0		
48481	660	Idu	bra◦pa	bra◦pa	foot	foot		1.5.2		0		329,m
48482	660	Idu	brudu	brudu	heel	heel		1.5.2.1		0		
48483	660	Idu	atʰopa	atʰopa	toe	toe		1.5.6		0		
48484	660	Idu	tʰa	tʰa	muscle	muscle		1.6.6.2		0		530
48485	660	Idu	tʰẽ-pra	tʰẽ-pra	urine	urine		1.8.4		0		m,1731
48486	660	Idu	kʰẽ-eh	kʰẽ-eh	excreta	excreta		1.8.5		0		
48487	660	Idu	ti◦ci	ti◦ci	sweat	sweat		1.8.1		0		m,298
48488	660	Idu	bu	bu	pus	pus		1.8.6.1		0		1293
48489	660	Idu	bu◦mbro	bu◦mbro	pus	pus		1.8.6.1		0		1293,1292
48490	660	Idu	i◦bi-bra	i◦bi-bra	tears	tears		1.2.6.7		0		p,187,m
